date,open,high,low,close,volume
2025-02-26,105.52,115.35,105.31,113.33,3193380.0
2025-02-27,116.2,117.26,104.85,105.11,3430333.0
2025-02-28,104.48,106.19,102.18,105.71,1829595.0
2025-03-03,106.6,106.98,99.19,100.25,1777727.0
2025-03-04,98.11,102.63,95.32,100.25,1798084.0
2025-03-05,98.67,100.03,96.7,98.71,1500019.0
2025-03-06,95.21,96.11,90.61,91.14,2029517.0
2025-03-07,91.54,93.31,84.87,88.09,2958106.0
2025-03-10,85.09,86.41,80.9,84.82,3866023.0
2025-03-11,84.7,90.26,84.7,88.62,3214422.0
2025-03-12,91.0,94.55,90.68,92.47,2909092.0
2025-03-13,92.26,92.5,89.43,90.92,1713085.0
2025-03-14,92.58,95.63,91.37,95.39,1846143.0
2025-03-17,95.6,97.92,94.44,96.13,1316407.0
2025-03-18,94.19,95.35,93.21,94.68,905760.0
2025-03-19,94.98,99.02,94.9,98.26,1141339.0
2025-03-20,97.05,100.49,96.58,99.64,1412604.0
2025-03-21,98.05,100.74,96.58,100.66,1630672.0
2025-03-24,102.28,104.2,101.66,102.86,1114507.0
2025-03-25,102.07,102.97,100.24,102.27,978971.0
2025-03-26,101.49,102.16,96.5,97.37,1332609.0
2025-03-27,95.84,97.94,95.03,95.76,1034632.0
2025-03-28,95.6,96.93,94.47,95.2,1222540.0
2025-03-31,93.22,96.03,92.93,95.46,1319192.0
2025-04-01,95.6,98.59,95.01,98.53,1366579.0
2025-04-02,96.56,103.49,96.46,102.88,1848281.0
2025-04-03,97.0,99.51,92.38,92.77,1985104.0
2025-04-04,91.0,91.25,82.01,83.61,4440681.0
2025-04-07,80.43,90.85,79.57,87.24,2636455.0
2025-04-08,91.35,92.09,84.38,85.9,2044504.0
2025-04-09,86.0,98.6,83.12,97.39,3001013.0
2025-04-10,94.72,95.92,90.9,92.89,1348892.0
2025-04-11,93.35,95.48,91.44,94.47,780300.0
2025-04-14,97.45,97.61,95.0,95.92,848968.0
2025-04-15,96.0,98.5,96.0,97.11,692436.0
2025-04-16,95.49,99.1,95.38,98.09,1001258.0
2025-04-17,99.04,100.67,97.1,97.86,1066297.0
2025-04-21,96.1,96.8,90.84,93.09,1083455.0
2025-04-22,95.09,99.34,95.09,98.8,1241037.0
2025-04-23,103.19,105.61,100.97,102.04,969081.0
2025-04-24,101.81,106.8,101.53,106.11,916305.0
2025-04-25,106.11,109.19,106.11,108.33,897012.0
2025-04-28,108.13,109.66,107.62,109.36,1103701.0
2025-04-29,108.5,110.1,107.18,109.53,876638.0
2025-04-30,106.51,109.84,105.3,109.58,863211.0
2025-05-01,111.29,115.24,111.25,114.14,1667311.0
2025-05-02,115.0,117.9,114.37,116.64,1055839.0
2025-05-05,115.53,116.71,114.0,116.23,814214.0
2025-05-06,115.37,118.47,114.2,117.01,1505733.0
2025-05-07,115.74,119.82,115.48,118.67,1247565.0
2025-05-08,119.53,120.92,117.86,120.34,1346666.0
2025-05-09,120.25,120.73,117.43,119.33,1735700.0
2025-05-12,137.0,150.81,136.95,150.61,6263497.0
2025-05-13,149.63,158.66,147.9,156.71,4509730.0
2025-05-14,154.75,158.37,152.91,153.81,3479773.0
2025-05-15,153.5,157.41,152.84,155.02,2213402.0
2025-05-16,154.96,159.24,154.04,159.2,4934898.0
2025-05-19,156.78,161.78,156.16,161.24,1250302.0
2025-05-20,160.12,161.38,158.83,159.68,1432786.0
2025-05-21,158.42,158.66,154.83,155.47,1757624.0
2025-05-22,154.69,155.97,152.38,155.29,919596.0
2025-05-23,153.72,158.56,153.28,157.82,1228523.0
2025-05-27,159.28,159.79,155.9,156.91,974021.0
2025-05-28,157.81,158.01,155.58,156.06,748891.0
2025-05-29,158.1,158.51,153.09,154.47,1861874.0
2025-05-30,154.55,156.12,153.65,155.9,1567212.0
2025-06-02,156.54,159.74,154.6,158.49,2010593.0
2025-06-03,160.63,162.33,158.17,161.04,2275241.0
2025-06-04,160.67,160.67,156.75,156.97,1800520.0
2025-06-05,157.35,158.2,155.03,156.03,1353155.0
2025-06-06,156.6,157.94,154.27,155.94,951016.0
2025-06-09,156.72,159.08,154.47,155.05,1188544.0
2025-06-10,154.63,155.76,147.69,148.68,1962856.0
2025-06-11,150.51,152.0,148.25,149.07,2462756.0
2025-06-12,148.23,152.12,148.23,151.0,1747809.0
2025-06-13,150.09,152.15,149.0,152.04,1160878.0
2025-06-16,153.47,155.88,153.34,153.94,1334129.0
2025-06-17,153.6,154.59,150.14,152.08,990787.0
2025-06-18,152.06,154.2,151.13,152.64,1135670.0
2025-06-20,153.76,154.1,151.18,151.92,1698637.0
2025-06-23,152.0,155.0,149.91,152.05,956425.0
2025-06-24,154.18,154.7,151.29,153.68,1014514.0
2025-06-25,154.35,156.57,152.63,153.32,1059778.0
2025-06-26,157.72,162.22,156.27,161.54,1228490.0
2025-06-27,163.52,168.57,162.12,162.67,3235678.0
2025-06-30,163.83,164.7,160.18,160.58,1132717.0
2025-07-01,160.26,160.26,153.7,155.96,1750380.0
2025-07-02,155.54,157.53,154.0,155.54,1348796.0
2025-07-03,156.0,158.78,155.65,158.39,994878.0
2025-07-07,158.43,160.63,157.63,158.69,863030.0
2025-07-08,158.5,158.5,149.59,151.27,1504145.0
2025-07-09,152.89,152.89,150.03,150.27,799593.0
2025-07-10,150.38,152.69,149.14,151.36,1034009.0
2025-07-11,150.62,152.13,150.12,150.68,856062.0
2025-07-14,150.58,151.36,148.38,151.06,751612.0
2025-07-15,151.86,152.66,145.0,146.88,1416051.0
2025-07-16,147.07,147.78,143.4,144.96,1141401.0
2025-07-17,146.07,148.03,145.06,147.38,1163179.0
2025-07-18,149.77,154.52,149.65,151.75,1733228.0
2025-07-21,151.9,155.21,148.04,152.31,1412623.0
2025-07-22,152.49,154.42,147.55,153.96,1452711.0
2025-07-23,160.0,165.68,158.2,160.55,2271718.0
2025-07-24,161.01,161.41,157.6,157.97,1206547.0
2025-07-25,158.43,158.88,155.83,156.59,705231.0
2025-07-28,158.01,159.65,157.16,158.54,872331.0
2025-07-29,159.56,160.35,156.88,159.87,803726.0
2025-07-30,161.6,167.0,161.0,166.59,1712971.0
2025-07-31,167.29,169.24,165.49,167.2,1616584.0
2025-08-01,162.17,168.38,160.38,167.63,1217265.0
2025-08-04,169.49,174.45,168.95,173.91,1687365.0
2025-08-05,174.99,175.96,167.46,171.96,2465856.0
2025-08-06,166.07,166.07,145.0,148.56,5420388.0
2025-08-07,151.09,155.0,150.0,153.22,2599081.0
2025-08-08,153.43,155.06,151.5,152.54,1268531.0
2025-08-11,152.0,154.9,151.37,152.03,1346562.0
2025-08-12,152.0,157.0,151.58,156.69,1196087.0
2025-08-13,157.1,158.99,151.91,155.0,1157073.0
2025-08-14,152.6,156.46,151.9,153.78,1140576.0
2025-08-15,155.09,155.39,148.29,148.62,1444990.0
2025-08-18,148.89,150.88,147.81,150.44,771284.0
2025-08-19,149.52,150.12,147.05,148.38,1016103.0
2025-08-20,147.27,148.78,143.55,148.19,1211612.0
2025-08-21,148.55,150.16,144.7,145.89,833908.0
2025-08-22,146.87,148.44,144.38,145.09,1039049.0
2025-08-25,145.74,146.89,144.28,144.77,797818.0
2025-08-26,145.0,146.57,143.82,146.23,681594.0
2025-08-27,146.74,149.23,146.37,148.12,900259.0
2025-08-28,147.93,151.21,147.45,148.66,709029.0
2025-08-29,148.17,148.56,143.96,145.56,697687.0
2025-09-02,142.27,145.22,140.77,145.11,1323084.0
2025-09-03,144.89,148.21,144.19,146.91,686988.0
2025-09-04,148.02,148.62,146.17,147.95,480190.0
2025-09-05,148.95,150.25,142.87,147.66,835130.0
2025-09-08,148.73,149.64,144.78,147.76,1107452.0
2025-09-09,148.5,152.42,147.82,152.26,862813.0
2025-09-10,154.95,162.26,154.9,161.21,1807270.0
2025-09-11,161.46,161.79,157.75,157.92,891927.0
2025-09-12,157.7,165.82,157.02,164.84,1201651.0
2025-09-15,165.11,169.02,165.1,166.08,1155815.0
2025-09-16,166.62,167.24,162.25,164.22,1021574.0
2025-09-17,165.38,167.08,162.3,164.58,1157591.0
2025-09-18,167.08,167.58,161.87,164.19,978542.0
2025-09-19,165.04,165.78,161.89,164.36,1131348.0
2025-09-22,164.95,172.04,163.5,170.97,1297841.0
2025-09-23,171.16,171.57,165.18,167.43,1092001.0
2025-09-24,167.71,169.15,165.5,165.58,894799.0
2025-09-25,160.96,164.96,157.9,162.96,1071084.0
2025-09-26,163.78,169.45,162.9,168.57,1121517.0
2025-09-29,169.31,170.1,164.66,165.34,1279004.0
2025-09-30,165.4,165.83,161.05,161.95,1177695.0
2025-10-01,161.68,165.45,160.57,161.91,1622231.0
2025-10-02,162.97,168.58,162.48,167.3,1433440.0
2025-10-03,168.23,172.21,165.83,166.28,1048789.0
2025-10-06,168.97,169.97,163.1,163.95,1179040.0
2025-10-07,164.32,165.8,162.07,162.61,1574981.0
2025-10-08,164.59,169.33,163.5,167.52,1529666.0
2025-10-09,168.21,169.99,166.92,168.25,1124845.0
2025-10-10,167.72,168.83,160.38,160.43,946470.0
2025-10-13,164.19,168.78,164.16,168.77,1032756.0
2025-10-14,165.57,168.98,163.09,165.61,863412.0
2025-10-15,168.19,173.36,167.86,171.33,1171450.0
2025-10-16,173.09,174.0,165.74,169.93,1079390.0
2025-10-17,168.66,172.4,165.88,168.74,1019959.0
2025-10-20,171.81,172.9,166.31,167.01,828784.0
2025-10-21,166.52,167.91,160.19,163.59,1096346.0
2025-10-22,164.02,165.37,158.31,160.42,1658559.0
2025-10-23,161.66,163.98,160.31,163.81,710477.0
2025-10-24,167.45,170.57,167.08,170.36,714209.0
2025-10-27,172.28,173.35,169.81,172.59,658308.0
2025-10-28,173.5,173.9,165.84,172.76,1455565.0
2025-10-29,173.68,180.54,170.5,178.5,1171386.0
2025-10-30,176.43,180.08,172.87,173.14,849766.0
2025-10-31,175.29,176.98,170.36,171.86,725826.0
2025-11-03,173.58,176.76,171.17,174.48,755913.0
2025-11-04,171.66,172.02,166.9,167.99,805710.0
2025-11-05,167.7,175.27,167.45,173.19,1590770.0
2025-11-06,169.27,177.09,164.94,170.1,1586709.0
2025-11-07,164.98,172.5,162.0,172.5,1325031.0
2025-11-10,175.65,176.73,164.1,166.72,1099413.0
2025-11-11,164.47,167.15,160.76,162.84,820193.0
2025-11-12,164.05,169.46,162.9,168.84,1054687.0
2025-11-13,167.74,169.23,164.93,166.15,1706569.0
2025-11-14,161.25,171.2,160.06,165.19,1062434.0
2025-11-17,165.19,169.25,162.23,163.21,610401.0
2025-11-18,161.36,168.7,161.14,166.45,1137541.0
2025-11-19,166.29,173.52,166.26,168.8,1146034.0
2025-11-20,173.95,174.73,160.35,160.46,1158813.0
2025-11-21,160.53,161.4,155.39,159.2,1122019.0
2025-11-24,160.34,167.97,158.94,166.85,1055183.0
2025-11-25,167.19,168.33,161.0,163.81,712198.0
2025-11-26,165.88,169.91,165.6,168.54,611500.0
2025-11-28,170.0,171.77,168.4,169.49,356345.0
2025-12-01,167.55,167.57,163.76,165.66,512451.0
2025-12-02,166.94,168.08,162.76,164.08,586175.0
2025-12-03,163.76,167.0,160.22,166.77,588336.0
2025-12-04,166.14,170.19,165.99,169.36,636265.0
2025-12-05,168.87,170.25,162.79,163.0,787589.0
2025-12-08,164.19,167.18,162.21,164.11,561415.0
2025-12-09,165.41,171.57,164.31,166.75,739676.0
2025-12-10,167.43,170.06,163.25,168.16,752128.0
2025-12-11,165.02,170.84,164.26,170.64,755297.0
2025-12-12,172.0,172.4,160.57,161.44,1030603.0
2025-12-15,161.89,163.06,159.27,159.99,791703.0
2025-12-16,159.62,162.27,157.45,160.15,682690.0
2025-12-17,160.54,161.08,147.98,149.48,2636179.0
2025-12-18,154.29,158.21,152.09,154.64,1137109.0
2025-12-19,154.86,157.58,154.7,156.2,1291216.0
2025-12-22,158.1,158.1,154.35,156.96,538768.0
2025-12-23,156.93,159.71,156.65,158.11,556518.0
2025-12-24,157.87,161.14,156.94,160.56,247809.0
2025-12-26,160.1,161.52,158.39,160.88,535187.0
2025-12-29,160.61,164.06,160.35,160.96,648242.0
2025-12-30,161.45,162.0,159.56,160.43,307305.0
2025-12-31,160.84,161.2,159.19,159.24,292872.0
2026-01-02,161.58,166.66,160.96,166.16,479657.0
2026-01-05,168.49,170.24,159.0,161.59,866874.0
2026-01-06,161.21,161.21,155.82,159.63,996170.0
2026-01-07,157.51,157.88,148.2,148.91,1433230.0
2026-01-08,148.06,148.99,141.97,143.53,1427574.0
2026-01-09,150.64,151.79,147.62,149.27,1392549.0
2026-01-12,146.56,149.74,146.0,148.89,1091757.0
2026-01-13,149.27,152.35,148.39,150.59,869999.0
2026-01-14,149.26,150.62,147.51,149.83,927064.0
2026-01-15,152.03,159.25,151.39,158.5,1326550.0
2026-01-16,153.75,156.78,148.86,152.05,2082555.0
2026-01-20,146.59,152.59,145.52,148.91,999910.0
2026-01-21,151.26,151.92,147.24,150.68,761352.0
2026-01-22,152.82,153.56,149.56,151.09,905933.0
2026-01-23,150.98,152.24,146.91,149.3,1067715.0
2026-01-26,150.21,151.33,148.99,149.93,630818.0
2026-01-27,149.32,156.42,149.32,156.04,779390.0
2026-01-28,157.0,157.5,153.0,155.11,738186.0
2026-01-29,155.39,157.2,151.18,153.72,832435.0
2026-01-30,153.11,156.98,150.87,152.63,809339.0
2026-02-02,152.11,153.32,148.58,149.11,954297.0
2026-02-03,151.61,154.56,147.72,152.18,1007512.0
2026-02-04,151.91,153.47,140.49,143.99,1831850.0
2026-02-05,142.38,147.46,141.81,144.44,1030220.0
2026-02-06,148.96,153.57,148.01,153.32,1134034.0
2026-02-09,154.17,158.35,152.78,155.72,873890.0
2026-02-10,157.02,158.69,154.01,156.43,923502.0
2026-02-11,158.45,160.96,156.62,160.63,776949.0
2026-02-12,162.21,166.25,158.46,161.8,1330793.0
2026-02-13,161.69,172.68,161.53,172.35,1884004.0
2026-02-17,173.12,177.71,170.86,173.45,1241669.0
2026-02-18,174.5,176.44,170.55,171.06,726105.0
2026-02-19,170.48,175.28,169.66,175.01,825349.0
2026-02-20,175.14,180.11,174.0,179.18,1023037.0
2026-02-23,177.54,182.04,175.11,176.52,993064.0
2026-02-24,173.27,184.84,163.76,184.03,1778782.0
2026-02-25,186.56,189.96,180.89,183.59,1146766.0
