date,open,high,low,close,volume
2025-02-26,229.52,230.7,225.38,229.38,1313922.0
2025-02-27,228.65,229.3,216.46,216.87,1495926.0
2025-02-28,218.43,221.15,213.63,215.59,1943879.0
2025-03-03,220.0,222.79,213.48,216.53,2555247.0
2025-03-04,216.7,218.11,210.72,211.16,1809715.0
2025-03-05,213.33,217.56,208.67,216.77,1015657.0
2025-03-06,212.79,219.45,210.67,214.47,1445102.0
2025-03-07,215.39,223.8,212.5,222.56,1677001.0
2025-03-10,217.47,218.07,206.94,208.84,1425337.0
2025-03-11,209.1,209.76,199.87,205.8,1444254.0
2025-03-12,208.55,209.98,203.63,204.45,1076809.0
2025-03-13,204.17,208.0,200.06,201.02,867182.0
2025-03-14,204.6,206.96,203.48,206.16,627995.0
2025-03-17,205.38,212.12,204.86,209.83,768905.0
2025-03-18,207.85,208.99,205.27,207.1,594499.0
2025-03-19,206.01,211.36,206.01,207.38,654252.0
2025-03-20,204.06,205.66,201.53,202.64,706970.0
2025-03-21,199.63,201.38,196.95,200.64,1150136.0
2025-03-24,206.32,212.42,205.59,211.12,1240909.0
2025-03-25,213.91,216.63,210.75,211.33,768614.0
2025-03-26,210.72,212.61,202.87,205.75,1824103.0
2025-03-27,203.28,203.87,198.72,200.06,1365475.0
2025-03-28,198.6,199.08,188.85,189.99,2110385.0
2025-03-31,187.59,191.11,183.56,190.06,2421192.0
2025-04-01,188.73,190.14,184.3,190.0,1089321.0
2025-04-02,186.4,196.59,186.4,193.67,1108988.0
2025-04-03,183.48,185.31,171.71,171.88,3487683.0
2025-04-04,165.14,167.38,155.87,160.81,3555645.0
2025-04-07,156.59,173.55,152.37,163.29,3326833.0
2025-04-08,164.63,169.0,148.09,153.5,2591711.0
2025-04-09,156.91,187.51,152.2,185.87,4116398.0
2025-04-10,176.12,177.86,159.53,165.59,3464481.0
2025-04-11,164.34,169.81,158.66,168.79,3164305.0
2025-04-14,172.45,173.34,166.76,170.55,1181652.0
2025-04-15,172.72,174.51,169.46,171.63,972285.0
2025-04-16,165.03,170.45,163.16,168.59,2174802.0
2025-04-17,169.91,172.02,166.76,170.74,1113249.0
2025-04-21,166.63,171.95,166.6,171.5,1140588.0
2025-04-22,173.35,176.08,172.17,174.66,1337958.0
2025-04-23,181.72,185.37,179.51,180.87,1434975.0
2025-04-24,187.3,194.43,184.77,193.57,2072019.0
2025-04-25,189.39,194.59,188.41,193.55,1165973.0
2025-04-28,192.87,198.15,190.59,196.24,1885431.0
2025-04-29,181.34,185.54,177.19,182.62,3768814.0
2025-04-30,179.11,184.94,176.26,184.31,1576204.0
2025-05-01,186.11,186.82,181.51,181.84,1731383.0
2025-05-02,184.76,191.61,184.28,188.14,1766735.0
2025-05-05,186.02,186.86,184.15,184.95,833961.0
2025-05-06,182.4,184.64,180.63,182.41,597411.0
2025-05-07,183.63,187.82,182.42,186.87,917274.0
2025-05-08,189.64,193.04,186.9,188.57,1087583.0
2025-05-09,191.56,194.05,189.44,191.88,1144534.0
2025-05-12,204.88,208.93,204.32,207.03,2289661.0
2025-05-13,206.2,213.01,206.2,212.4,1739327.0
2025-05-14,212.58,213.42,209.07,211.33,1036383.0
2025-05-15,209.71,211.67,208.67,210.73,751958.0
2025-05-16,210.61,212.99,209.12,212.56,792214.0
2025-05-19,206.68,211.44,205.51,210.36,700997.0
2025-05-20,207.9,210.95,207.52,210.08,559869.0
2025-05-21,207.21,213.36,204.38,205.35,1269451.0
2025-05-22,209.44,211.0,196.26,196.51,2785591.0
2025-05-23,190.0,194.1,189.32,192.15,1744519.0
2025-05-27,195.3,200.45,193.78,198.9,2001063.0
2025-05-28,199.05,200.28,195.78,196.21,1064569.0
2025-05-29,199.97,200.32,194.6,195.89,837145.0
2025-05-30,194.66,195.05,188.18,191.13,953965.0
2025-06-02,190.36,193.66,189.8,192.81,748851.0
2025-06-03,192.21,199.72,190.33,198.96,1146777.0
2025-06-04,202.53,211.09,201.28,210.02,1762002.0
2025-06-05,210.93,213.5,205.69,206.9,1117909.0
2025-06-06,210.6,211.0,207.39,207.68,692677.0
2025-06-09,209.61,215.23,208.94,213.08,1049306.0
2025-06-10,214.44,220.73,213.5,218.72,1020427.0
2025-06-11,219.8,222.22,215.12,217.41,907133.0
2025-06-12,217.31,220.02,216.2,217.4,646575.0
2025-06-13,212.88,215.18,210.42,210.9,601326.0
2025-06-16,213.94,218.01,213.22,217.53,448009.0
2025-06-17,213.05,217.27,212.58,212.83,843522.0
2025-06-18,213.57,214.45,210.73,211.45,967926.0
2025-06-20,213.42,215.37,207.71,209.0,847451.0
2025-06-23,209.42,211.58,205.86,210.86,709333.0
2025-06-24,215.27,220.68,214.1,218.51,977589.0
2025-06-25,217.52,217.93,213.81,216.28,677943.0
2025-06-26,217.9,219.36,216.58,218.3,842060.0
2025-06-27,218.15,220.89,215.11,217.04,658919.0
2025-06-30,219.71,219.71,216.65,218.49,714478.0
2025-07-01,216.59,225.57,215.45,221.21,1573462.0
2025-07-02,224.17,232.2,223.86,231.15,1167523.0
2025-07-03,231.13,233.18,230.24,232.1,532332.0
2025-07-07,228.85,231.63,225.45,226.0,812060.0
2025-07-08,228.76,234.32,227.13,232.34,860984.0
2025-07-09,232.58,234.53,227.44,230.42,797151.0
2025-07-10,233.06,236.46,230.43,233.19,819206.0
2025-07-11,230.8,232.07,228.0,228.92,777047.0
2025-07-14,227.06,227.06,222.5,224.61,1247781.0
