date,open,high,low,close,volume
2025-02-26,179.4,181.28,175.52,175.69,1313705.0
2025-02-27,175.91,178.19,174.07,174.77,617168.0
2025-02-28,176.01,179.12,175.19,176.5,1006083.0
2025-03-03,178.18,178.77,171.44,172.28,1459464.0
2025-03-04,170.74,177.3,165.82,175.0,1617742.0
2025-03-05,175.42,176.86,171.69,176.52,1232793.0
2025-03-06,175.94,178.71,173.55,177.58,1165678.0
2025-03-07,177.58,181.47,176.64,179.55,1678374.0
2025-03-10,178.48,181.76,177.24,177.97,1025963.0
2025-03-11,177.74,177.8,166.42,167.03,1225827.0
2025-03-12,169.31,169.84,164.06,164.54,1229067.0
2025-03-13,165.77,167.05,159.35,162.98,1018224.0
2025-03-14,163.95,164.46,161.76,162.5,580141.0
2025-03-17,161.01,167.09,159.11,166.12,695968.0
2025-03-18,165.34,166.37,160.49,162.08,485167.0
2025-03-19,162.09,163.42,159.5,162.44,689418.0
2025-03-20,160.91,163.41,160.37,161.13,834060.0
2025-03-21,158.43,165.37,157.67,165.22,1035546.0
2025-03-24,167.61,170.66,167.48,170.05,503927.0
2025-03-25,170.12,170.72,167.09,167.6,633378.0
2025-03-26,167.55,169.48,166.92,168.67,551242.0
2025-03-27,168.77,171.54,168.36,170.23,601177.0
2025-03-28,169.61,169.93,164.71,164.85,633808.0
2025-03-31,162.31,166.62,161.97,165.45,537008.0
2025-04-01,163.78,168.0,163.02,167.09,528309.0
2025-04-02,164.66,170.58,164.47,170.1,339229.0
2025-04-03,162.53,165.62,153.02,155.75,1396053.0
2025-04-04,153.28,155.78,147.05,152.06,1696180.0
2025-04-07,152.84,159.86,145.95,151.41,1228254.0
2025-04-08,157.39,157.45,146.32,148.34,853927.0
2025-04-09,146.84,166.21,145.79,165.49,1615450.0
2025-04-10,162.07,162.07,152.23,156.75,1047978.0
2025-04-11,154.82,154.82,146.14,152.23,1420635.0
2025-04-14,154.28,155.85,151.95,155.11,540029.0
2025-04-15,155.3,156.48,151.46,152.85,399353.0
2025-04-16,151.3,151.89,145.9,147.85,865350.0
2025-04-17,149.39,154.83,149.05,153.75,708249.0
2025-04-21,151.47,152.74,147.05,149.87,962882.0
2025-04-22,150.01,153.17,148.64,152.07,822377.0
2025-04-23,159.12,167.89,151.6,153.23,1647979.0
2025-04-24,151.66,159.18,150.9,158.9,716863.0
2025-04-25,149.28,151.52,144.9,146.74,2343705.0
2025-04-28,147.01,149.53,145.78,149.0,1224032.0
2025-04-29,147.96,150.04,146.57,149.65,971028.0
2025-04-30,149.15,153.66,146.37,153.28,1331429.0
2025-05-01,152.75,154.19,149.61,150.56,842573.0
2025-05-02,153.0,160.82,152.25,158.01,1263673.0
2025-05-05,156.89,158.73,156.06,156.23,562154.0
2025-05-06,154.0,155.64,152.52,153.35,342298.0
2025-05-07,153.96,156.5,153.96,155.59,515091.0
2025-05-08,156.1,161.43,155.54,160.12,869335.0
2025-05-09,159.75,160.29,157.34,158.28,354100.0
2025-05-12,169.86,176.85,168.0,176.07,1840294.0
2025-05-13,175.96,176.37,171.24,171.34,852643.0
2025-05-14,170.47,172.0,168.37,171.65,666599.0
2025-05-15,170.63,171.33,168.8,169.93,656547.0
2025-05-16,171.2,171.54,168.95,171.28,392942.0
2025-05-19,168.99,172.39,167.84,171.61,845109.0
2025-05-20,170.4,171.72,168.81,169.6,696699.0
2025-05-21,166.94,168.65,164.16,164.19,539786.0
2025-05-22,164.13,164.56,162.34,163.6,453330.0
2025-05-23,159.67,162.65,158.57,161.56,374030.0
2025-05-27,164.71,164.71,161.07,164.21,444951.0
2025-05-28,165.0,165.13,162.15,162.43,431627.0
2025-05-29,163.92,164.08,160.9,162.01,607129.0
2025-05-30,161.6,162.45,158.96,160.17,720845.0
2025-06-02,161.95,161.96,157.26,160.0,708395.0
2025-06-03,159.61,163.53,158.28,163.03,638348.0
2025-06-04,162.37,163.19,160.01,161.49,662204.0
2025-06-05,160.14,161.53,157.93,159.68,648730.0
2025-06-06,162.55,163.32,159.74,160.33,505105.0
2025-06-09,161.11,163.89,159.42,162.21,549323.0
2025-06-10,163.87,168.14,162.93,167.89,967941.0
2025-06-11,168.53,170.26,161.57,162.11,828933.0
2025-06-12,161.48,163.05,159.41,162.41,504994.0
2025-06-13,160.16,161.99,159.65,160.18,636636.0
2025-06-16,161.2,161.4,158.25,159.45,920911.0
2025-06-17,160.5,160.5,156.06,156.67,486837.0
2025-06-18,156.91,158.91,155.71,156.03,547028.0
2025-06-20,157.24,159.31,155.55,156.46,649545.0
2025-06-23,155.87,161.45,155.05,161.36,474874.0
2025-06-24,162.22,163.77,161.46,161.97,499362.0
2025-06-25,161.88,162.08,159.13,160.35,698314.0
2025-06-26,160.93,162.16,159.92,160.99,680526.0
2025-06-27,161.57,164.16,161.36,163.68,918538.0
2025-06-30,163.82,164.45,161.32,162.3,854268.0
2025-07-01,162.05,172.24,160.56,168.45,1024513.0
2025-07-02,168.64,171.06,166.94,169.85,697682.0
2025-07-03,170.51,172.62,169.77,171.03,642141.0
2025-07-07,169.75,170.67,163.63,164.31,592527.0
2025-07-08,164.09,169.39,163.85,167.38,961447.0
2025-07-09,167.5,169.12,166.3,168.01,328314.0
2025-07-10,168.0,173.26,167.34,171.12,616219.0
2025-07-11,169.7,170.53,167.27,167.73,523599.0
2025-07-14,166.52,167.6,164.48,165.73,379017.0
2025-07-15,166.64,166.81,161.2,161.35,493527.0
2025-07-16,163.68,164.5,159.2,160.83,638150.0
2025-07-17,161.02,163.89,160.83,162.23,829386.0
2025-07-18,164.55,165.68,160.45,162.09,668571.0
2025-07-21,162.82,165.86,162.25,163.25,452725.0
2025-07-22,164.56,167.3,162.67,166.89,615881.0
2025-07-23,167.76,169.0,165.84,165.99,827966.0
2025-07-24,166.52,168.07,164.49,167.79,573364.0
2025-07-25,173.37,174.79,163.78,167.09,728086.0
2025-07-28,166.48,167.56,164.16,164.32,663864.0
2025-07-29,164.32,165.45,161.55,162.12,1263735.0
2025-07-30,152.94,152.94,144.5,146.46,3305898.0
2025-07-31,148.79,151.53,147.5,149.25,2543708.0
2025-08-01,148.14,148.16,141.73,141.85,1410334.0
2025-08-04,142.04,145.15,141.88,144.36,871694.0
2025-08-05,144.38,147.97,144.08,147.15,877322.0
2025-08-06,147.27,150.91,146.8,149.93,1427011.0
2025-08-07,150.54,152.49,144.71,145.33,788509.0
2025-08-08,145.56,146.69,143.78,144.46,712943.0
2025-08-11,144.53,146.08,140.91,143.02,1147639.0
2025-08-12,143.49,149.68,143.04,149.23,772107.0
2025-08-13,149.1,153.55,148.6,153.46,1110995.0
2025-08-14,151.99,152.72,149.31,151.11,708864.0
2025-08-15,152.12,153.32,151.02,151.14,725878.0
2025-08-18,151.32,152.39,149.96,150.46,505959.0
2025-08-19,151.9,157.63,151.33,154.8,1465189.0
2025-08-20,153.82,154.42,150.13,150.24,792354.0
2025-08-21,149.32,149.98,147.17,149.75,941091.0
2025-08-22,150.21,160.06,149.99,159.13,1009118.0
2025-08-25,158.52,158.87,154.69,155.47,948943.0
2025-08-26,154.44,156.59,153.81,154.48,781858.0
2025-08-27,153.81,155.99,152.55,153.82,646107.0
2025-08-28,154.36,154.4,147.44,149.7,942146.0
2025-08-29,149.62,151.13,148.2,150.97,649323.0
2025-09-02,148.65,151.26,148.03,149.9,940411.0
2025-09-03,149.05,150.54,147.76,148.11,669558.0
2025-09-04,145.93,148.97,140.71,148.81,1644541.0
