date,open,high,low,close,volume
2025-02-26,95.21,96.32,94.4,95.76,1683933.0
2025-02-27,95.98,97.69,95.14,96.64,1704990.0
2025-02-28,97.05,100.44,96.97,100.39,2282708.0
2025-03-03,100.39,101.48,96.0,96.76,1885710.0
2025-03-04,95.16,95.76,92.64,93.79,2225839.0
2025-03-05,92.56,93.5,90.41,91.87,2251742.0
2025-03-06,91.0,91.39,88.79,89.74,2759813.0
2025-03-07,89.69,90.48,87.35,89.57,2155827.0
2025-03-10,89.79,92.59,88.47,91.42,3545487.0
2025-03-11,91.71,93.63,91.54,92.62,3185451.0
2025-03-12,93.8,94.8,92.78,92.97,1512753.0
2025-03-13,93.04,94.72,92.6,93.5,2358243.0
2025-03-14,94.44,96.88,93.9,96.43,1380770.0
2025-03-17,96.3,99.46,96.17,98.44,1519092.0
2025-03-18,99.14,99.72,97.67,98.01,1284922.0
2025-03-19,98.55,100.89,98.34,100.05,1358539.0
2025-03-20,99.61,100.96,99.09,100.65,841557.0
2025-03-21,100.12,100.47,98.67,99.34,2384288.0
2025-03-24,100.21,102.73,99.77,102.3,1286543.0
2025-03-25,102.84,103.64,102.18,102.38,1129382.0
2025-03-26,103.31,103.61,100.89,101.26,1039393.0
2025-03-27,101.27,101.27,98.23,98.68,1147053.0
2025-03-28,98.83,99.12,97.29,98.48,982213.0
2025-03-31,98.15,99.71,97.96,99.22,1534048.0
2025-04-01,98.54,99.7,97.63,99.5,926906.0
2025-04-02,98.28,100.57,98.21,100.37,857892.0
2025-04-03,95.82,97.41,92.52,92.7,3463356.0
2025-04-04,88.45,89.6,80.46,80.86,6677972.0
2025-04-07,77.99,83.85,75.47,80.91,7790456.0
2025-04-08,83.88,84.5,77.27,78.71,4001507.0
2025-04-09,77.44,85.98,75.55,84.86,4848747.0
2025-04-10,82.46,82.9,78.55,81.24,2632315.0
2025-04-11,81.6,82.91,78.82,82.56,1979477.0
2025-04-14,84.5,84.9,82.31,83.38,1771821.0
2025-04-15,83.69,86.07,83.47,84.16,1750657.0
2025-04-16,84.31,86.22,84.16,84.8,1437933.0
2025-04-17,86.02,88.13,85.89,86.23,1465126.0
2025-04-21,84.99,85.73,80.94,81.82,2020709.0
2025-04-22,83.47,84.44,82.3,84.05,1491844.0
2025-04-23,85.21,87.29,84.03,84.66,1651755.0
2025-04-24,85.32,86.89,85.02,86.28,1421872.0
2025-04-25,85.5,86.52,85.5,86.31,843253.0
2025-04-28,86.22,88.15,86.15,87.87,1687498.0
2025-04-29,87.12,88.19,86.58,87.86,1660207.0
2025-04-30,84.25,84.38,80.8,82.16,3939900.0
2025-05-01,81.21,83.52,80.54,80.93,3085535.0
2025-05-02,82.2,83.18,80.94,82.78,3399219.0
2025-05-05,81.21,81.46,79.29,80.15,2214957.0
2025-05-06,80.1,80.45,78.57,79.29,2151613.0
2025-05-07,79.49,80.63,79.06,80.25,1733468.0
2025-05-08,81.25,83.03,80.77,82.25,2612300.0
2025-05-09,83.59,83.94,82.07,82.3,1619981.0
2025-05-12,85.29,86.75,84.17,85.04,1719285.0
2025-05-13,85.3,87.98,84.99,86.51,1910811.0
2025-05-14,86.23,86.73,85.5,86.61,1481826.0
2025-05-15,85.25,86.1,84.7,86.03,1758946.0
2025-05-16,86.19,86.43,84.59,85.67,1427879.0
2025-05-19,84.0,85.07,83.78,84.73,1120301.0
2025-05-20,84.36,84.71,83.46,83.71,1389551.0
2025-05-21,83.15,83.71,81.72,81.83,1393502.0
2025-05-22,81.4,81.85,80.31,81.37,1430044.0
2025-05-23,80.31,81.52,80.31,81.14,1087695.0
2025-05-27,82.0,82.1,80.76,81.74,1674715.0
2025-05-28,82.38,82.38,80.48,80.59,2069188.0
2025-05-29,80.0,80.7,79.24,80.68,2035743.0
2025-05-30,79.87,80.84,79.08,80.84,2400840.0
2025-06-02,82.33,82.75,80.46,82.51,1882198.0
2025-06-03,82.63,83.82,81.67,83.24,2143375.0
2025-06-04,82.89,83.87,80.26,80.52,3593204.0
