date,open,high,low,close,volume
2025-02-26,83.64,84.32,83.38,83.76,2156929.0
2025-02-27,82.14,82.66,81.02,81.76,2107777.0
2025-02-28,82.05,82.87,81.47,82.76,1898818.0
2025-03-03,83.0,83.34,80.08,80.71,2065665.0
2025-03-04,80.3,82.0,79.57,80.83,2066221.0
2025-03-05,80.96,82.35,80.56,82.21,3157006.0
2025-03-06,82.47,83.12,81.4,82.62,2664140.0
2025-03-07,82.34,85.24,82.31,85.0,5248601.0
2025-03-10,84.77,89.27,84.49,85.51,4250588.0
2025-03-11,84.58,85.23,82.17,82.51,2850923.0
2025-03-12,83.02,83.02,79.32,80.01,2354982.0
2025-03-13,79.69,81.28,78.69,79.48,1823445.0
2025-03-14,79.85,81.13,79.25,80.83,2563733.0
2025-03-17,80.57,81.25,79.76,80.3,1600415.0
2025-03-18,79.87,81.67,79.2,81.45,1858574.0
2025-03-19,81.48,82.37,80.97,81.49,1244136.0
2025-03-20,81.42,81.87,80.59,80.69,1430022.0
2025-03-21,80.45,81.79,79.69,81.14,2445032.0
2025-03-24,80.74,81.06,79.36,79.43,2267070.0
2025-03-25,80.0,80.97,79.84,80.39,1741834.0
2025-03-26,79.9,81.67,79.87,81.14,1624619.0
2025-03-27,81.12,81.18,80.17,80.63,1188900.0
2025-03-28,81.44,81.44,79.8,80.24,1105737.0
2025-03-31,80.87,82.96,80.81,82.91,3189080.0
2025-04-01,82.98,82.98,79.1,79.77,3018604.0
2025-04-02,79.5,80.22,78.92,79.42,1468760.0
2025-04-03,78.19,78.65,75.24,75.38,1869457.0
2025-04-04,73.45,75.36,72.54,72.59,2201100.0
2025-04-07,70.37,74.87,69.84,71.55,2091447.0
2025-04-08,73.67,74.0,69.58,70.37,2326362.0
2025-04-09,69.13,76.92,69.13,76.52,2241423.0
2025-04-10,75.31,75.86,71.77,73.98,1692986.0
2025-04-11,73.96,75.87,73.33,75.6,1573768.0
2025-04-14,76.91,77.5,75.82,76.54,1575060.0
2025-04-15,77.68,77.92,76.72,76.83,1549056.0
2025-04-16,75.16,77.1,70.62,71.24,3924644.0
2025-04-17,72.4,73.3,71.76,73.24,2016973.0
2025-04-21,72.72,72.83,71.36,72.09,1488280.0
2025-04-22,72.87,73.42,72.34,73.27,1123236.0
2025-04-23,74.46,75.44,73.1,73.25,2179438.0
2025-04-24,73.91,76.68,73.08,76.37,1755198.0
2025-04-25,75.17,75.34,74.27,74.92,1421179.0
2025-04-28,74.93,75.89,74.76,75.45,1039432.0
2025-04-29,75.04,76.45,74.85,75.86,986539.0
2025-04-30,75.35,76.38,74.08,76.16,1131813.0
2025-05-01,76.2,76.63,75.28,75.75,1711551.0
2025-05-02,76.63,77.35,76.5,77.07,856028.0
2025-05-05,76.28,77.45,76.05,77.06,546672.0
2025-05-06,76.25,76.85,75.59,75.97,820486.0
2025-05-07,76.0,76.56,75.18,75.88,1337745.0
2025-05-08,76.21,77.52,75.71,76.46,715247.0
2025-05-09,77.0,77.0,75.77,75.95,947751.0
2025-05-12,78.0,79.08,77.14,77.6,1098818.0
2025-05-13,77.6,77.98,77.25,77.43,828686.0
2025-05-14,77.18,77.29,75.42,76.02,1195302.0
2025-05-15,75.83,76.43,75.05,76.29,978445.0
2025-05-16,76.48,77.07,75.63,76.97,952974.0
2025-05-19,75.91,76.99,75.51,76.96,607150.0
