date,open,high,low,close,volume
2025-02-26,51.08,51.41,49.64,50.55,6263893.0
2025-02-27,50.12,50.61,46.99,47.38,6748442.0
2025-02-28,48.05,48.52,46.04,47.05,6347112.0
2025-03-03,47.59,48.01,44.67,44.91,7538812.0
2025-03-04,45.15,45.74,43.94,44.49,5306025.0
2025-03-05,45.54,46.57,45.02,46.49,4837609.0
2025-03-06,44.34,45.07,43.33,43.88,7775470.0
2025-03-07,43.87,46.04,43.58,45.4,6175360.0
2025-03-10,44.22,44.96,43.56,44.16,5903231.0
2025-03-11,44.4,44.7,41.85,42.86,5259030.0
2025-03-12,43.26,43.68,42.52,42.85,3447300.0
2025-03-13,42.71,43.78,41.59,42.15,3142214.0
2025-03-14,42.99,43.44,42.34,43.19,3292161.0
2025-03-17,43.06,44.42,42.91,44.05,3148140.0
2025-03-18,43.46,43.96,42.85,43.42,2805757.0
2025-03-19,43.61,44.44,43.29,43.58,2443766.0
2025-03-20,43.01,43.84,42.73,43.2,3010463.0
2025-03-21,42.33,44.0,41.9,43.78,5374324.0
2025-03-24,45.33,46.24,45.13,45.68,4882722.0
2025-03-25,45.43,45.88,44.98,45.31,2552922.0
2025-03-26,45.11,45.64,44.06,45.04,4484179.0
2025-03-27,44.63,45.01,43.73,43.76,3530140.0
2025-03-28,43.24,43.33,40.62,40.94,5729987.0
2025-03-31,40.55,41.54,39.36,40.69,4953449.0
2025-04-01,40.51,40.58,39.1,40.2,4180266.0
2025-04-02,39.59,41.59,39.18,40.76,3211407.0
2025-04-03,38.76,39.23,35.5,35.56,8291436.0
2025-04-04,34.46,35.51,33.21,33.7,7885107.0
2025-04-07,33.58,36.91,32.19,35.08,10908578.0
2025-04-08,35.81,36.65,31.04,31.95,8103350.0
2025-04-09,32.35,39.59,31.68,39.2,16467334.0
2025-04-10,36.58,37.1,33.24,34.88,9999073.0
2025-04-11,33.77,35.18,32.1,35.08,13047943.0
2025-04-14,35.88,36.36,34.81,35.62,5616196.0
2025-04-15,35.81,36.68,35.05,35.85,3937656.0
2025-04-16,34.57,35.52,32.85,34.25,6298458.0
2025-04-17,34.41,34.82,33.65,34.64,3138273.0
2025-04-21,33.7,34.86,33.2,34.74,4115455.0
2025-04-22,35.09,36.1,34.72,35.45,4273417.0
2025-04-23,37.0,37.78,36.27,36.62,4516739.0
2025-04-24,38.55,40.05,38.14,39.96,7816789.0
2025-04-25,39.38,40.23,38.76,39.63,3985311.0
2025-04-28,39.43,40.33,38.69,40.04,3347377.0
2025-04-29,38.91,39.46,38.3,38.86,4375907.0
2025-04-30,37.94,39.83,37.47,39.7,3760919.0
2025-05-01,40.23,40.74,39.5,39.6,5861423.0
2025-05-02,40.69,42.25,40.55,41.91,8089957.0
2025-05-05,40.52,40.76,37.64,38.41,17168896.0
2025-05-06,38.05,39.19,37.19,38.51,9570816.0
2025-05-07,38.9,38.95,37.56,38.8,5303299.0
2025-05-08,39.3,40.39,38.69,39.77,5689837.0
2025-05-09,40.37,42.09,40.32,40.98,7605966.0
2025-05-12,43.45,45.31,43.36,44.62,9462678.0
2025-05-13,44.77,46.59,44.74,45.77,6624128.0
2025-05-14,45.88,46.2,44.82,45.2,3887172.0
2025-05-15,44.7,44.95,43.78,44.52,3729850.0
2025-05-16,44.51,44.96,43.93,44.92,2689325.0
2025-05-19,43.55,44.19,43.51,43.84,2845930.0
2025-05-20,43.47,44.29,43.4,44.26,2949198.0
2025-05-21,44.41,45.48,43.32,43.66,4862031.0
