date,open,high,low,close,volume
2025-02-26,100.25,100.25,97.67,98.73,975220.0
2025-02-27,98.43,99.54,98.0,98.09,933821.0
2025-02-28,98.59,100.08,98.44,99.78,1354308.0
2025-03-03,100.2,102.0,100.14,100.73,1633676.0
2025-03-04,100.01,101.95,99.46,99.61,1692320.0
2025-03-05,99.95,101.64,99.95,101.36,1048405.0
2025-03-06,101.0,102.68,100.1,102.57,1145592.0
2025-03-07,102.02,104.53,101.63,104.01,2560671.0
2025-03-10,104.27,106.83,103.72,103.92,1640018.0
2025-03-11,103.57,103.86,100.78,101.15,1194688.0
2025-03-12,100.89,101.47,99.46,99.91,1481920.0
2025-03-13,99.66,100.74,99.34,99.61,926789.0
2025-03-14,100.41,100.94,99.67,100.62,751177.0
2025-03-17,100.13,101.68,99.71,101.39,803942.0
2025-03-18,101.26,101.9,100.5,101.67,929823.0
2025-03-19,101.67,102.81,101.33,102.77,856597.0
2025-03-20,101.86,102.54,101.09,101.9,780249.0
2025-03-21,101.49,102.32,100.28,101.21,1417839.0
2025-03-24,101.57,102.18,101.09,101.38,944983.0
2025-03-25,101.6,101.67,100.66,101.4,533743.0
2025-03-26,101.36,102.91,101.2,102.69,729702.0
2025-03-27,102.94,103.22,101.91,103.01,653283.0
2025-03-28,103.29,103.33,101.98,102.11,533426.0
2025-03-31,101.66,103.52,100.96,103.2,933685.0
2025-04-01,103.35,104.09,102.51,104.06,853438.0
2025-04-02,103.16,104.04,102.68,103.94,919833.0
2025-04-03,103.64,105.95,103.22,104.3,2674800.0
2025-04-04,102.46,102.9,94.77,94.97,2883798.0
2025-04-07,93.34,95.98,91.35,91.96,2157849.0
2025-04-08,93.29,94.27,89.7,90.88,1887686.0
2025-04-09,90.5,95.79,90.26,94.28,2672591.0
2025-04-10,93.81,95.21,91.39,94.32,1892485.0
2025-04-11,94.17,98.0,93.42,97.09,1465165.0
2025-04-14,97.44,99.18,97.0,98.52,888622.0
2025-04-15,98.87,99.72,98.47,98.79,712271.0
2025-04-16,98.92,99.39,96.41,96.78,1037195.0
2025-04-17,97.26,99.24,97.05,98.52,952181.0
2025-04-21,97.95,98.37,96.12,97.05,1033729.0
2025-04-22,97.9,99.3,97.41,98.95,1634934.0
2025-04-23,95.94,97.38,90.57,92.3,2977787.0
2025-04-24,92.62,93.47,92.11,92.74,3219534.0
2025-04-25,93.31,93.7,91.73,92.93,3469327.0
2025-04-28,92.93,93.92,92.5,93.65,2674743.0
2025-04-29,93.16,95.28,93.13,94.9,1820076.0
2025-04-30,95.35,96.57,94.24,96.27,1754301.0
2025-05-01,95.79,96.81,95.67,96.39,1034249.0
2025-05-02,97.12,97.62,96.68,97.32,1316590.0
2025-05-05,97.41,97.84,96.33,97.41,617225.0
2025-05-06,96.86,97.13,96.0,96.19,2552840.0
2025-05-07,96.57,97.6,96.31,97.32,2107499.0
2025-05-08,98.05,98.24,96.89,97.32,2796594.0
2025-05-09,97.52,97.85,96.94,97.0,1031004.0
2025-05-12,98.59,98.59,97.42,98.0,2309147.0
2025-05-13,97.86,97.89,96.81,96.99,1763857.0
2025-05-14,96.88,97.33,95.84,96.04,2500268.0
2025-05-15,96.48,97.98,96.28,97.86,4085834.0
2025-05-16,97.85,98.91,97.42,98.89,2356787.0
2025-05-19,98.45,98.93,97.94,98.54,1485125.0
2025-05-20,98.58,98.96,98.01,98.21,1622589.0
2025-05-21,97.61,98.51,97.0,97.63,1002171.0
2025-05-22,97.22,97.95,96.73,97.18,834174.0
2025-05-23,96.76,97.15,96.27,96.78,1050071.0
2025-05-27,96.84,97.15,96.32,97.09,977420.0
2025-05-28,97.04,97.17,95.09,95.16,915583.0
2025-05-29,95.7,95.7,94.46,95.16,821335.0
2025-05-30,95.0,95.99,94.68,95.35,1031004.0
2025-06-02,94.76,95.4,93.29,94.21,1083652.0
2025-06-03,94.01,95.01,93.71,94.89,1295780.0
