date,open,high,low,close,volume
2025-02-26,49.02,49.2,48.26,48.55,5127370.0
2025-02-27,48.9,49.43,48.34,48.65,8137270.0
2025-02-28,48.48,48.93,47.75,48.84,6417415.0
2025-03-03,49.15,49.4,45.86,46.45,15511242.0
2025-03-04,46.24,47.42,45.22,46.53,11281810.0
2025-03-05,46.0,46.06,44.7,45.51,12761316.0
2025-03-06,45.15,46.11,44.91,45.71,7627098.0
2025-03-07,46.35,47.49,46.2,47.24,7571969.0
2025-03-10,47.1,47.69,46.65,47.36,9130516.0
2025-03-11,47.49,47.98,46.1,46.28,7221647.0
2025-03-12,46.27,46.59,45.78,46.1,6095932.0
2025-03-13,45.8,46.64,44.96,45.45,8382838.0
2025-03-14,45.75,46.72,45.61,46.53,7432148.0
2025-03-17,46.53,47.51,46.51,47.26,5567128.0
2025-03-18,47.7,47.85,46.93,47.65,4644688.0
2025-03-19,47.56,48.48,47.56,47.96,5052553.0
2025-03-20,47.63,48.16,47.17,47.96,5227199.0
2025-03-21,47.73,48.13,47.51,47.94,6469325.0
2025-03-24,47.62,48.55,47.56,47.92,5470954.0
2025-03-25,48.29,49.29,48.27,49.01,6381639.0
2025-03-26,49.52,50.47,49.27,49.75,7738204.0
2025-03-27,49.6,50.17,49.02,49.51,7722285.0
2025-03-28,49.47,49.49,48.23,48.83,5441585.0
2025-03-31,48.41,49.78,48.41,49.36,5226874.0
2025-04-01,49.12,49.35,48.6,49.19,3957590.0
2025-04-02,48.69,49.36,48.61,49.33,3542509.0
2025-04-03,46.5,47.06,43.78,43.9,18852096.0
2025-04-04,42.57,42.79,39.6,40.54,37934522.0
2025-04-07,39.03,40.81,37.67,38.75,19563147.0
2025-04-08,39.7,39.83,35.35,36.11,17873389.0
2025-04-09,35.54,40.82,34.78,40.23,31564076.0
2025-04-10,38.66,38.68,35.82,36.47,19287076.0
2025-04-11,36.62,37.95,35.66,37.67,13713788.0
2025-04-14,38.7,38.77,37.4,37.9,8495545.0
2025-04-15,37.64,38.63,37.61,37.8,6460738.0
2025-04-16,38.0,39.28,37.97,38.45,7896646.0
2025-04-17,38.95,40.59,38.86,39.71,9820001.0
2025-04-21,39.1,39.1,38.36,39.02,5517392.0
2025-04-22,39.6,40.37,39.23,39.97,4591352.0
2025-04-23,40.7,41.07,39.49,39.83,7938551.0
2025-04-24,40.05,40.63,39.83,40.37,5486890.0
2025-04-25,39.95,40.44,39.78,40.36,4349020.0
2025-04-28,40.24,40.83,40.17,40.51,3904707.0
2025-04-29,39.89,40.55,39.81,40.35,4530343.0
2025-04-30,39.64,39.66,38.87,39.41,7548247.0
2025-05-01,39.32,40.82,39.23,40.44,6929417.0
2025-05-02,40.9,41.16,39.75,40.61,7081979.0
2025-05-05,39.7,39.71,38.75,38.81,10668592.0
2025-05-06,39.31,39.86,38.97,39.28,6252339.0
2025-05-07,39.49,39.53,38.71,39.01,8837806.0
2025-05-08,40.08,41.85,39.65,41.44,16009609.0
2025-05-09,41.97,42.34,41.44,42.16,7852719.0
2025-05-12,44.12,44.93,43.71,43.86,13198951.0
2025-05-13,43.94,44.69,43.67,44.39,9347211.0
2025-05-14,43.88,44.06,43.6,43.82,6063417.0
2025-05-15,43.01,43.41,42.39,43.37,6609414.0
2025-05-16,43.66,43.8,42.65,43.04,5020875.0
2025-05-19,42.53,42.55,41.88,42.31,5301839.0
2025-05-20,42.31,42.36,41.72,41.9,3665789.0
2025-05-21,41.94,41.94,41.1,41.13,8008028.0
2025-05-22,40.83,41.33,40.15,41.08,6082581.0
2025-05-23,40.58,41.42,40.41,41.29,4493556.0
2025-05-27,41.5,41.65,41.06,41.62,4805223.0
2025-05-28,41.83,42.05,41.05,41.12,4453548.0
2025-05-29,41.39,41.51,40.88,41.46,4244087.0
2025-05-30,41.06,41.15,40.5,40.78,4828680.0
2025-06-02,41.79,42.04,41.0,41.44,5669326.0
2025-06-03,41.48,43.03,40.96,42.69,7773608.0
2025-06-04,42.66,43.22,41.71,41.91,8982877.0
2025-06-05,42.27,42.32,41.7,41.82,5200613.0
2025-06-06,42.13,42.84,42.13,42.54,4408762.0
2025-06-09,42.99,43.63,42.71,43.24,6119075.0
2025-06-10,43.44,44.42,43.31,43.91,6681189.0
2025-06-11,44.37,44.97,43.84,44.84,6435293.0
2025-06-12,44.47,44.77,44.05,44.76,6987885.0
2025-06-13,46.56,46.64,45.59,46.45,17467526.0
2025-06-16,46.09,46.58,44.85,45.33,14622934.0
2025-06-17,45.98,46.71,45.42,45.98,10706930.0
2025-06-18,46.26,46.81,45.13,45.35,9972808.0
2025-06-20,45.56,45.9,45.36,45.63,8218190.0
2025-06-23,46.89,47.33,43.6,43.95,19958062.0
