date,open,high,low,close,volume
2025-02-26,106.76,107.26,105.92,106.03,911578.0
2025-02-27,105.85,107.17,105.17,105.5,885583.0
2025-02-28,106.4,107.47,105.55,107.24,1151068.0
2025-03-03,107.82,108.5,104.36,105.02,1073605.0
2025-03-04,104.43,104.77,101.05,101.48,1446023.0
2025-03-05,100.84,103.2,99.82,102.97,1034062.0
2025-03-06,102.56,107.21,102.1,106.89,1451169.0
2025-03-07,106.66,110.4,106.4,110.06,1661280.0
2025-03-10,109.95,115.43,109.44,110.56,2474008.0
2025-03-11,110.22,110.22,104.67,104.72,2045484.0
2025-03-12,104.79,104.9,101.41,102.33,1179404.0
2025-03-13,97.42,100.33,96.8,98.42,3684297.0
2025-03-14,99.39,99.67,98.22,99.21,1747745.0
2025-03-17,98.62,101.82,98.56,101.17,1074886.0
2025-03-18,100.69,101.23,99.52,100.21,721553.0
2025-03-19,99.9,101.43,98.91,99.59,871918.0
2025-03-20,99.3,99.57,98.0,98.32,1089134.0
2025-03-21,96.88,97.85,96.24,97.11,1538680.0
2025-03-24,98.41,99.06,97.94,98.64,916809.0
2025-03-25,98.96,99.39,98.23,99.24,689797.0
2025-03-26,99.41,100.29,98.92,99.53,803124.0
2025-03-27,99.54,99.63,97.92,98.19,959682.0
2025-03-28,98.1,98.69,96.59,96.91,946935.0
2025-03-31,96.9,98.12,95.86,97.37,1300564.0
2025-04-01,97.36,98.58,96.01,98.29,930167.0
2025-04-02,97.6,99.25,96.81,99.09,796481.0
2025-04-03,95.72,96.38,92.21,92.36,2217129.0
2025-04-04,90.81,93.97,89.67,90.88,3201908.0
2025-04-07,88.66,94.0,86.12,88.14,2907171.0
2025-04-08,88.95,90.48,85.1,86.4,2889671.0
2025-04-09,85.68,94.56,85.2,93.93,3821613.0
2025-04-10,91.19,92.1,86.47,88.77,2077298.0
2025-04-11,88.66,90.97,87.0,90.47,1688548.0
2025-04-14,91.01,91.01,88.89,89.55,1863919.0
2025-04-15,89.55,90.39,88.35,88.82,1326129.0
2025-04-16,87.0,88.91,86.25,86.81,1780994.0
2025-04-17,87.08,88.73,87.0,88.17,1376941.0
2025-04-21,87.31,87.72,85.05,87.29,1794461.0
2025-04-22,88.25,89.23,87.47,88.56,1202218.0
2025-04-23,90.61,91.65,88.6,89.08,1192889.0
