date,open,high,low,close,volume
2025-02-26,16.02,16.17,15.87,16.04,9240680.0
2025-02-27,15.99,16.1,15.88,15.88,9517475.0
2025-02-28,16.05,16.47,16.03,16.34,15649954.0
2025-03-03,16.3,16.68,16.26,16.43,15670661.0
2025-03-04,16.42,16.47,16.13,16.14,9905644.0
2025-03-05,16.06,16.5,16.06,16.39,10355270.0
2025-03-06,16.21,16.26,15.89,16.08,9189457.0
2025-03-07,16.05,16.23,15.93,15.97,14192429.0
2025-03-10,16.02,16.08,15.57,15.91,18251186.0
2025-03-11,15.86,16.23,15.84,16.19,13153017.0
2025-03-12,16.13,16.41,15.96,16.22,9197482.0
2025-03-13,16.15,16.44,16.12,16.4,7156253.0
2025-03-14,16.5,16.84,16.42,16.78,9917761.0
2025-03-17,16.8,17.26,16.74,17.11,10652397.0
2025-03-18,17.0,17.22,16.94,17.2,7080878.0
2025-03-19,17.01,17.14,16.82,17.09,9139724.0
2025-03-20,17.06,17.24,16.95,17.2,8597877.0
2025-03-21,17.04,17.24,16.88,16.88,13590302.0
2025-03-24,16.92,17.29,16.89,17.12,6677051.0
2025-03-25,17.12,17.18,16.91,17.06,9951725.0
2025-03-26,17.03,17.38,17.0,17.24,7896743.0
2025-03-27,17.19,17.26,17.08,17.15,5452228.0
2025-03-28,17.15,17.2,16.94,17.0,11173779.0
2025-03-31,16.97,17.24,16.91,17.18,10743345.0
2025-04-01,17.14,17.33,17.0,17.27,8556923.0
2025-04-02,17.13,17.53,17.12,17.43,21563681.0
2025-04-03,17.4,17.51,17.18,17.25,18467997.0
2025-04-04,17.26,17.3,16.27,16.44,23876766.0
2025-04-07,16.06,16.52,15.59,16.08,14108183.0
2025-04-08,16.35,16.72,15.74,15.94,16545488.0
2025-04-09,15.61,16.89,15.47,16.81,22527318.0
2025-04-10,16.62,16.8,16.08,16.47,18131178.0
2025-04-11,16.55,17.07,16.3,16.92,7651318.0
2025-04-14,17.09,17.23,16.93,17.06,7641738.0
2025-04-15,17.12,17.27,17.07,17.16,6629652.0
2025-04-16,17.13,17.46,17.11,17.18,14484604.0
2025-04-17,17.29,17.49,17.22,17.23,11527102.0
2025-04-21,17.13,17.16,16.7,16.84,8054796.0
2025-04-22,17.09,17.48,17.02,17.44,11056750.0
2025-04-23,17.41,17.62,17.3,17.54,11676956.0
2025-04-24,17.71,17.78,17.1,17.39,11378642.0
2025-04-25,17.37,17.43,17.1,17.14,5932611.0
2025-04-28,17.17,17.31,16.99,17.28,7006010.0
2025-04-29,17.2,17.45,17.2,17.35,5382736.0
2025-04-30,17.24,17.34,16.32,16.52,17092149.0
2025-05-01,16.68,16.93,16.58,16.67,14385680.0
2025-05-02,16.69,17.05,16.68,16.93,7604780.0
2025-05-05,16.9,17.11,16.83,16.92,6069755.0
2025-05-06,16.83,17.17,16.77,17.04,8001958.0
2025-05-07,16.99,17.3,16.98,17.2,6339603.0
2025-05-08,17.21,17.47,17.17,17.18,4971491.0
2025-05-09,17.21,17.38,17.08,17.13,8371880.0
