date,open,high,low,close,volume
2025-02-26,82.76,84.89,82.58,82.93,1552130.0
2025-02-27,82.92,83.43,80.6,80.7,2278361.0
2025-02-28,81.79,82.22,79.86,81.15,1685467.0
2025-03-03,81.3,82.72,80.7,81.76,1781279.0
2025-03-04,81.69,82.58,80.44,81.41,1741582.0
2025-03-05,80.97,82.62,80.83,81.66,2592084.0
2025-03-06,80.49,80.78,77.72,78.2,2064238.0
2025-03-07,77.93,79.21,77.55,79.09,2338100.0
2025-03-10,78.12,78.67,76.9,78.59,2989347.0
2025-03-11,78.67,79.84,78.02,78.55,1748387.0
2025-03-12,79.1,80.53,78.43,79.57,1691576.0
2025-03-13,79.56,80.5,78.95,79.74,1381214.0
2025-03-14,80.21,81.64,79.83,81.53,975274.0
2025-03-17,81.36,82.84,80.9,82.23,871265.0
2025-03-18,81.53,82.37,81.42,82.17,1519590.0
2025-03-19,82.03,83.5,81.93,83.13,1502908.0
2025-03-20,82.96,83.69,82.7,83.3,1074074.0
2025-03-21,82.9,83.21,82.31,82.98,1734631.0
2025-03-24,83.47,84.56,83.25,83.33,969189.0
2025-03-25,83.28,83.78,80.73,81.42,1427166.0
2025-03-26,81.44,81.87,81.06,81.53,1074331.0
2025-03-27,81.77,81.77,80.52,80.71,1114355.0
2025-03-28,81.17,82.4,80.76,81.63,964329.0
2025-03-31,81.4,82.71,81.1,82.3,1256219.0
2025-04-01,82.23,83.38,82.08,83.26,1077106.0
2025-04-02,82.59,83.97,82.27,83.79,1372408.0
2025-04-03,82.75,83.53,81.35,81.55,1333955.0
2025-04-04,81.31,82.36,76.91,77.73,2609543.0
2025-04-07,76.61,79.0,74.67,77.13,2666826.0
2025-04-08,79.2,79.93,76.59,77.7,2321450.0
2025-04-09,77.51,82.13,75.17,81.83,3393960.0
2025-04-10,81.16,81.93,79.29,81.23,2265644.0
2025-04-11,81.07,82.47,79.99,82.14,1145958.0
2025-04-14,83.0,84.04,82.5,83.67,1105356.0
2025-04-15,84.16,84.5,83.39,83.53,761659.0
2025-04-16,83.62,84.02,82.56,83.03,956524.0
2025-04-17,83.53,84.77,83.26,83.36,1066846.0
2025-04-21,83.0,83.23,79.27,80.25,997253.0
2025-04-22,81.35,82.62,80.87,82.0,945467.0
2025-04-23,83.24,83.94,81.18,81.84,1623412.0
2025-04-24,81.86,82.53,81.08,81.72,1416533.0
2025-04-25,81.6,81.99,80.47,81.03,1415909.0
