date,open,high,low,close,volume
2025-02-26,155.57,155.61,151.14,151.51,3687389.0
2025-02-27,150.9,152.69,149.93,152.02,3443545.0
2025-02-28,153.7,155.1,152.35,153.47,2960753.0
2025-03-03,151.35,156.15,150.5,155.99,3551341.0
2025-03-04,157.3,160.15,153.96,154.19,5216838.0
2025-03-05,152.93,155.34,152.72,153.88,2390037.0
2025-03-06,154.17,154.97,152.53,154.61,3582537.0
2025-03-07,153.03,157.59,152.77,154.44,4404829.0
2025-03-10,155.88,160.08,155.37,156.25,5296719.0
2025-03-11,155.79,156.05,151.8,152.33,3302991.0
2025-03-12,147.31,149.53,146.51,148.17,4192889.0
2025-03-13,148.37,150.48,148.06,148.34,2285188.0
2025-03-14,147.17,149.16,147.08,148.59,2415093.0
2025-03-17,149.23,151.67,149.13,151.34,2308574.0
2025-03-18,150.0,151.3,148.75,148.99,2973060.0
2025-03-19,148.15,148.88,146.79,148.11,2792945.0
2025-03-20,147.56,148.07,146.64,147.15,2138746.0
2025-03-21,147.0,147.7,144.75,145.45,4144824.0
2025-03-24,145.49,146.72,144.83,146.45,2337734.0
2025-03-25,146.15,146.3,144.83,145.54,2192610.0
2025-03-26,146.0,149.33,145.75,148.64,2370912.0
2025-03-27,149.61,150.41,149.09,149.67,2445546.0
2025-03-28,150.44,151.38,147.11,149.27,4075068.0
2025-03-31,150.29,152.59,149.74,149.94,4264663.0
2025-04-01,150.49,150.8,148.66,149.67,2726997.0
2025-04-02,150.29,150.5,148.07,149.12,2684793.0
2025-04-03,152.51,154.05,150.86,151.37,3624377.0
2025-04-04,153.28,154.92,146.44,146.61,6499769.0
2025-04-07,141.32,146.1,140.67,143.19,6816661.0
2025-04-08,143.94,145.4,139.15,140.3,3977856.0
2025-04-09,140.25,145.95,138.33,145.59,6137078.0
2025-04-10,145.42,147.14,142.92,144.14,5386683.0
2025-04-11,145.06,145.29,142.12,144.43,3953989.0
2025-04-14,144.16,147.18,143.5,146.75,2462947.0
2025-04-15,145.83,145.98,142.62,142.84,2584081.0
2025-04-16,144.14,144.4,139.76,140.09,3619730.0
2025-04-17,140.34,143.57,140.07,142.84,2997609.0
2025-04-21,142.5,142.83,140.57,141.73,2742338.0
2025-04-22,142.55,144.28,141.95,143.46,2807137.0
2025-04-23,143.25,144.02,140.85,142.26,3488810.0
2025-04-24,141.45,141.85,134.53,135.31,8244783.0
2025-04-25,135.47,135.61,131.8,133.38,5475965.0
2025-04-28,133.9,135.41,133.1,133.76,4067990.0
2025-04-29,132.48,134.46,131.52,134.31,3636010.0
2025-04-30,135.63,136.18,133.09,135.58,3319267.0
2025-05-01,134.35,134.81,133.24,133.55,3067054.0
2025-05-02,134.21,134.4,133.14,133.75,3772270.0
2025-05-05,134.05,134.05,131.7,131.99,3744445.0
2025-05-06,131.9,131.9,130.16,130.74,3493598.0
2025-05-07,130.94,132.67,130.27,131.91,3296535.0
2025-05-08,131.8,132.98,131.26,131.43,2829000.0
2025-05-09,131.15,131.65,130.18,130.44,2609994.0
2025-05-12,130.69,132.33,130.06,131.68,4547682.0
2025-05-13,131.17,131.64,129.75,130.31,4518007.0
2025-05-14,130.11,130.17,127.87,128.45,5633696.0
2025-05-15,129.19,131.55,128.81,131.5,4886199.0
2025-05-16,132.09,132.26,130.65,131.98,4030249.0
