date,open,high,low,close,volume
2025-02-26,26.68,26.78,26.35,26.42,21611209.0
2025-02-27,26.29,26.5,26.01,26.1,21857210.0
2025-02-28,26.05,26.49,25.91,26.43,26531498.0
2025-03-03,26.37,26.9,25.97,26.25,36448197.0
2025-03-04,26.25,26.31,25.67,25.75,32796226.0
2025-03-05,25.7,26.18,25.66,25.94,27329105.0
2025-03-06,25.93,26.46,25.9,26.24,32454585.0
2025-03-07,26.4,26.89,26.18,26.73,42355121.0
2025-03-10,26.64,27.24,26.54,26.64,40915423.0
2025-03-11,26.57,26.62,25.87,25.99,30888246.0
2025-03-12,25.94,25.97,25.5,25.71,27524881.0
2025-03-13,25.76,26.07,25.53,25.6,28777654.0
2025-03-14,25.62,25.76,25.49,25.72,22897833.0
2025-03-17,25.74,26.15,25.58,26.05,24541323.0
2025-03-18,26.21,26.4,26.1,26.31,24255285.0
2025-03-19,26.33,26.5,26.08,26.21,29930387.0
2025-03-20,26.25,26.3,26.01,26.19,22162503.0
2025-03-21,26.13,26.52,26.01,26.28,59604552.0
2025-03-24,26.1,26.22,25.89,26.14,28137053.0
2025-03-25,26.16,26.2,25.51,25.55,33604329.0
2025-03-26,25.53,25.65,25.12,25.21,36301383.0
2025-03-27,25.2,25.23,24.83,25.01,37931617.0
2025-03-28,25.03,25.22,24.81,25.21,24197919.0
2025-03-31,24.8,25.43,24.61,25.34,34598848.0
2025-04-01,25.29,25.35,24.52,24.54,42011563.0
2025-04-02,24.5,24.74,24.31,24.7,25744811.0
2025-04-03,24.74,24.87,24.28,24.29,36957471.0
2025-04-04,23.94,24.1,22.95,22.97,62797012.0
2025-04-07,22.14,23.16,21.75,22.63,67950914.0
2025-04-08,22.9,22.99,21.44,21.84,58171534.0
2025-04-09,21.11,22.54,20.91,22.49,77351362.0
2025-04-10,22.26,22.27,21.08,21.59,54780247.0
2025-04-11,21.59,22.0,21.28,21.91,41137370.0
2025-04-14,22.08,22.23,21.87,22.12,47388241.0
2025-04-15,22.17,22.93,22.12,22.44,41507794.0
2025-04-16,22.49,22.68,21.95,22.04,26217202.0
2025-04-17,22.15,22.55,22.1,22.14,42518239.0
2025-04-21,22.13,22.17,21.87,22.04,26445327.0
2025-04-22,22.18,22.55,22.14,22.53,27430339.0
2025-04-23,22.78,23.06,22.23,22.39,39715241.0
2025-04-24,22.4,22.86,22.23,22.78,28268289.0
2025-04-25,22.77,23.11,22.47,22.92,26498714.0
2025-04-28,23.03,23.29,22.9,23.05,33427563.0
2025-04-29,22.83,24.12,22.46,23.79,68100853.0
2025-04-30,24.2,24.44,23.98,24.41,37541459.0
2025-05-01,24.3,24.33,23.8,23.93,32272801.0
2025-05-02,24.28,24.3,23.97,24.2,23200255.0
2025-05-05,24.2,24.25,23.85,23.87,29568984.0
2025-05-06,23.83,23.89,22.84,22.88,45832994.0
2025-05-07,22.99,23.09,22.72,22.79,37741573.0
2025-05-08,22.82,23.09,22.51,22.97,39702129.0
2025-05-09,22.51,22.6,22.26,22.28,31124636.0
2025-05-12,22.23,23.15,22.18,23.09,55249798.0
2025-05-13,22.92,22.98,22.49,22.87,30189382.0
2025-05-14,22.86,22.9,21.97,22.02,47509623.0
2025-05-15,22.2,22.6,22.09,22.6,37679512.0
2025-05-16,22.65,22.85,22.45,22.83,26284445.0
2025-05-19,22.74,23.03,22.64,23.0,23116635.0
2025-05-20,23.17,23.7,23.15,23.52,48528666.0
2025-05-21,23.47,23.48,23.04,23.04,29419094.0
2025-05-22,23.04,23.16,22.81,23.04,30723603.0
2025-05-23,22.95,23.39,22.88,23.32,24727654.0
2025-05-27,23.55,23.66,23.36,23.61,25132378.0
2025-05-28,23.61,23.64,23.11,23.18,25136009.0
2025-05-29,23.33,23.45,23.16,23.45,19920908.0
2025-05-30,23.48,23.62,23.16,23.49,24018755.0
2025-06-02,23.54,23.56,23.22,23.46,22089612.0
2025-06-03,23.38,23.54,23.06,23.35,28439604.0
2025-06-04,23.41,23.54,23.35,23.39,18638409.0
2025-06-05,23.44,23.44,23.08,23.12,26845738.0
2025-06-06,23.27,23.58,23.24,23.35,20641583.0
2025-06-09,23.44,24.14,23.42,23.97,35006711.0
