date,open,high,low,close,volume
2025-02-26,122.95,123.43,121.77,122.16,1287955.0
2025-02-27,122.25,124.0,121.5,122.77,955495.0
2025-02-28,122.84,124.25,121.91,123.92,1707343.0
2025-03-03,124.16,124.99,122.74,123.54,1625087.0
2025-03-04,123.09,124.14,121.58,121.78,1595162.0
2025-03-05,120.86,124.67,120.52,124.04,2582201.0
2025-03-06,122.85,123.48,120.01,120.3,2108944.0
2025-03-07,120.75,121.44,118.04,119.91,1924028.0
2025-03-10,119.45,120.14,117.27,117.87,1923792.0
2025-03-11,118.83,119.1,115.53,117.18,2637198.0
2025-03-12,117.64,118.01,115.66,115.73,1798132.0
2025-03-13,115.72,116.44,110.12,110.36,2478956.0
2025-03-14,111.76,112.29,110.5,111.89,2551319.0
2025-03-17,111.5,114.99,111.49,114.44,1781434.0
2025-03-18,113.86,114.0,111.64,112.38,1618834.0
2025-03-19,112.26,113.74,111.7,112.97,2526247.0
2025-03-20,112.62,113.92,111.7,112.07,1813111.0
2025-03-21,111.27,111.66,107.93,108.42,3494806.0
2025-03-24,109.28,110.43,108.12,110.26,2319048.0
2025-03-25,110.07,110.44,108.42,109.23,1466869.0
2025-03-26,109.6,111.58,109.48,111.13,1370127.0
2025-03-27,111.23,112.33,110.59,110.75,1355555.0
2025-03-28,111.0,111.62,109.93,110.45,1663268.0
2025-03-31,110.31,112.21,110.1,111.79,1911386.0
2025-04-01,112.54,112.74,110.09,111.45,1690807.0
2025-04-02,111.45,112.55,110.15,112.34,1682068.0
2025-04-03,108.11,109.38,101.18,101.59,4867816.0
2025-04-04,99.35,100.32,95.34,98.23,8482512.0
2025-04-07,96.65,99.17,91.67,94.52,8102137.0
2025-04-08,97.65,97.65,88.32,89.76,4598579.0
2025-04-09,87.95,98.81,85.35,98.22,10935809.0
2025-04-10,96.52,97.47,92.83,94.89,9471496.0
2025-04-11,94.03,96.41,92.52,96.23,3862305.0
2025-04-14,97.64,99.38,96.87,98.3,3614960.0
2025-04-15,98.86,99.5,98.1,98.48,3808668.0
2025-04-16,99.7,101.91,97.98,100.29,4588327.0
