date,open,high,low,close,volume
2025-02-26,157.4,158.39,154.28,154.74,4511785.0
2025-02-27,154.88,155.9,153.55,154.02,3889516.0
2025-02-28,155.36,156.04,153.33,155.28,4630491.0
2025-03-03,154.82,158.85,154.0,158.79,2748523.0
2025-03-04,158.48,159.51,153.81,153.95,3138322.0
2025-03-05,153.34,154.95,152.65,153.14,2142094.0
2025-03-06,152.97,154.11,151.64,153.55,2723094.0
2025-03-07,153.12,153.91,150.43,150.95,4459037.0
2025-03-10,151.36,151.66,149.64,150.59,3436749.0
2025-03-11,150.85,153.63,150.14,152.1,3074735.0
2025-03-12,151.84,152.55,150.31,151.32,2386757.0
2025-03-13,151.72,152.76,150.15,150.49,2005475.0
2025-03-14,150.55,152.02,149.8,151.88,2843485.0
2025-03-17,152.85,155.73,152.13,155.71,3586399.0
2025-03-18,155.5,157.0,153.59,153.84,2972051.0
2025-03-19,153.93,154.51,152.22,154.29,1969017.0
2025-03-20,152.71,153.04,151.46,152.47,2546523.0
2025-03-21,152.38,152.68,150.35,151.48,3172660.0
2025-03-24,152.0,152.98,150.74,151.55,2108123.0
2025-03-25,152.0,152.38,150.1,152.21,1686565.0
2025-03-26,152.0,154.77,151.95,154.33,1548362.0
2025-03-27,154.36,155.76,154.01,155.01,1750419.0
2025-03-28,155.09,156.11,153.54,155.16,2356616.0
2025-03-31,156.09,159.35,156.0,158.73,2932047.0
2025-04-01,158.5,158.68,156.74,158.09,2211111.0
2025-04-02,158.09,158.37,154.71,156.17,1784626.0
2025-04-03,159.44,163.08,158.25,162.07,6518100.0
2025-04-04,161.27,162.0,150.09,150.62,7117508.0
2025-04-07,147.17,152.83,145.08,151.23,5802065.0
2025-04-08,152.75,153.29,146.8,149.23,4363982.0
2025-04-09,148.63,152.94,146.15,151.8,6051277.0
2025-04-10,152.8,153.73,149.08,151.17,4893246.0
2025-04-11,151.88,155.28,151.3,153.89,3734469.0
2025-04-14,155.44,158.23,154.35,157.59,3541996.0
2025-04-15,158.54,161.04,156.84,160.09,3690339.0
2025-04-16,161.65,162.16,159.07,160.48,5507371.0
2025-04-17,161.3,165.0,161.3,163.21,4310784.0
2025-04-21,163.76,164.05,159.17,162.18,3295886.0
2025-04-22,163.29,164.69,161.92,164.11,5299048.0
2025-04-23,168.94,171.63,166.08,168.11,5137793.0
2025-04-24,168.33,170.51,166.46,170.07,3831391.0
2025-04-25,170.96,171.36,168.78,170.24,4103533.0
2025-04-28,170.29,170.52,168.14,169.17,3601760.0
2025-04-29,168.11,171.1,167.77,170.26,3156524.0
2025-04-30,171.54,172.03,169.02,171.36,3335468.0
2025-05-01,169.59,171.07,168.89,170.05,2563375.0
2025-05-02,170.4,171.49,169.75,170.86,2506299.0
2025-05-05,171.18,173.72,170.0,173.19,1876514.0
2025-05-06,172.78,174.21,172.16,174.08,2332836.0
2025-05-07,173.51,176.49,173.15,175.36,3485316.0
2025-05-08,174.24,174.96,170.28,172.0,2882777.0
2025-05-09,171.71,171.71,169.38,169.7,2705041.0
2025-05-12,165.64,166.6,162.37,164.83,6109407.0
2025-05-13,164.97,165.29,163.6,163.82,3333641.0
2025-05-14,163.44,165.62,162.93,164.03,2516656.0
2025-05-15,165.26,169.6,164.95,169.14,2877659.0
2025-05-16,169.33,170.6,168.36,170.44,1810205.0
2025-05-19,171.01,173.39,170.51,173.17,1943238.0
2025-05-20,173.0,174.6,172.74,174.12,2281217.0
2025-05-21,174.0,175.34,173.62,174.64,2908693.0
2025-05-22,174.64,176.22,173.16,175.23,2483209.0
2025-05-23,175.68,178.7,175.68,178.19,2919567.0
2025-05-27,178.19,179.83,177.51,179.23,3304929.0
2025-05-28,178.28,179.46,177.88,178.79,1577474.0
2025-05-29,176.51,178.18,174.93,177.87,3326215.0
2025-05-30,178.0,181.36,177.58,180.59,2867563.0
2025-06-02,179.87,182.83,179.51,182.75,2647003.0
2025-06-03,182.2,183.94,179.42,182.37,2634746.0
2025-06-04,182.6,182.61,178.28,180.66,3182304.0
2025-06-05,181.16,182.59,179.91,181.96,1829003.0
2025-06-06,181.67,182.52,181.03,181.73,1223326.0
2025-06-09,181.22,181.22,178.77,180.63,1355747.0
2025-06-10,180.59,181.29,178.8,179.03,1542885.0
2025-06-11,179.11,183.42,178.6,183.37,1932674.0
2025-06-12,183.82,184.1,181.63,184.1,3056761.0
2025-06-13,184.02,185.16,183.26,184.33,2664794.0
2025-06-16,183.91,186.69,181.56,183.29,2749098.0
2025-06-17,182.62,184.54,181.63,183.46,2626498.0
2025-06-18,183.82,184.6,182.34,182.61,1590594.0
2025-06-20,182.22,183.5,181.71,183.29,2684248.0
2025-06-23,183.57,185.47,183.3,184.95,1749595.0
2025-06-24,184.57,184.97,183.7,184.49,1110396.0
2025-06-25,183.31,183.7,179.18,179.6,2543636.0
2025-06-26,180.85,181.19,179.33,180.66,2744468.0
2025-06-27,178.82,181.3,178.2,181.03,2325409.0
2025-06-30,181.0,182.47,180.03,182.13,2043125.0
2025-07-01,182.74,183.83,176.35,177.53,2363946.0
2025-07-02,176.35,178.12,175.13,175.91,2836018.0
2025-07-03,175.95,178.88,175.3,178.88,1141916.0
2025-07-07,179.36,181.47,178.23,181.2,2223756.0
2025-07-08,179.91,181.0,177.15,177.72,2225346.0
2025-07-09,179.57,179.6,176.3,177.98,2230947.0
2025-07-10,178.4,181.14,176.95,180.99,2385871.0
2025-07-11,179.96,180.22,178.09,179.91,1772760.0
2025-07-14,181.0,181.5,179.4,180.75,2595455.0
2025-07-15,180.56,181.38,179.29,180.92,2325892.0
2025-07-16,180.83,183.99,179.25,183.27,2171820.0
2025-07-17,183.03,183.32,178.15,179.17,3422647.0
2025-07-18,179.47,179.65,178.11,178.73,1978947.0
2025-07-21,178.0,181.31,177.54,180.48,2422882.0
2025-07-22,169.62,170.2,162.74,165.27,13439320.0
2025-07-23,163.0,165.45,161.24,164.67,5844185.0
2025-07-24,164.94,164.94,160.52,161.08,4096902.0
2025-07-25,161.36,163.05,160.73,160.92,2130729.0
2025-07-28,159.6,160.6,155.7,157.77,5402509.0
2025-07-29,158.47,162.86,157.83,162.75,4905573.0
2025-07-30,162.47,164.5,162.06,162.17,4552045.0
2025-07-31,161.79,165.07,161.07,164.05,4468788.0
2025-08-01,165.35,167.93,162.89,162.96,4733183.0
2025-08-04,163.69,164.71,162.34,162.99,2391734.0
2025-08-05,162.91,165.12,162.72,164.14,2292372.0
2025-08-06,165.05,168.37,164.26,166.99,3133966.0
2025-08-07,166.94,168.55,166.1,168.17,1784924.0
2025-08-08,168.09,170.8,167.97,170.18,2273054.0
2025-08-11,170.87,171.22,166.39,170.32,3213241.0
2025-08-12,170.28,171.0,167.78,168.6,2669617.0
2025-08-13,168.32,168.35,164.56,165.88,2509494.0
2025-08-14,165.77,167.35,164.64,165.27,1803732.0
2025-08-15,165.26,166.82,164.19,166.19,2145409.0
2025-08-18,165.94,167.3,165.38,166.6,2033010.0
2025-08-19,166.35,169.09,166.3,168.77,1775606.0
2025-08-20,170.0,173.17,169.21,172.85,2993198.0
2025-08-21,173.0,174.88,172.75,174.49,2187160.0
2025-08-22,174.77,175.23,170.05,171.75,2543268.0
2025-08-25,171.76,171.94,166.83,167.37,2354804.0
2025-08-26,167.34,167.58,165.52,166.68,2176743.0
2025-08-27,165.9,166.02,163.93,164.19,2610041.0
2025-08-28,164.06,166.27,161.96,165.77,3640583.0
2025-08-29,166.41,167.29,165.17,167.13,2321062.0
2025-09-02,166.57,168.04,163.38,167.4,2497709.0
2025-09-03,165.6,166.9,161.15,163.22,3569999.0
2025-09-04,162.16,164.5,159.78,161.15,4892293.0
2025-09-05,161.47,162.06,160.07,161.55,2059177.0
2025-09-08,161.66,162.79,159.57,162.72,2477344.0
2025-09-09,162.13,165.04,161.1,164.74,1691196.0
2025-09-10,164.78,165.83,164.02,165.31,1932987.0
2025-09-11,165.9,169.86,165.19,167.9,2159055.0
2025-09-12,167.32,168.8,165.1,166.11,1718765.0
2025-09-15,165.5,165.51,161.47,161.64,2944038.0
2025-09-16,162.03,164.37,161.43,162.96,2925842.0
2025-09-17,163.79,167.08,163.34,166.3,2346669.0
2025-09-18,163.99,164.72,161.12,161.76,2998002.0
2025-09-19,162.42,163.8,161.33,162.95,4259691.0
2025-09-22,162.18,163.46,159.91,161.98,3207655.0
2025-09-23,161.87,164.17,161.01,163.77,2208024.0
2025-09-24,163.54,164.82,162.76,163.0,1882843.0
2025-09-25,164.44,165.26,163.32,164.0,1877585.0
2025-09-26,164.65,164.97,163.0,164.89,1782326.0
2025-09-29,164.53,164.99,162.5,162.99,2385958.0
2025-09-30,162.9,163.6,161.69,162.2,2351902.0
2025-10-01,162.87,164.06,158.45,160.86,5002382.0
2025-10-02,160.54,162.13,157.56,157.91,3974123.0
2025-10-03,155.8,156.4,151.15,153.27,6738859.0
2025-10-06,152.14,153.65,150.88,153.54,3989081.0
2025-10-07,153.5,155.14,152.31,154.55,3513975.0
2025-10-08,154.46,155.34,152.17,155.27,2656847.0
2025-10-09,155.28,156.88,153.5,156.85,2598066.0
2025-10-10,157.37,161.54,156.96,160.47,3062496.0
2025-10-13,158.5,159.53,156.61,159.47,3387185.0
2025-10-14,158.75,161.15,157.94,159.07,3248662.0
2025-10-15,157.84,159.95,157.45,157.73,2409021.0
2025-10-16,158.69,158.69,155.68,155.98,2750146.0
2025-10-17,157.03,158.98,156.87,158.06,2718499.0
2025-10-20,158.16,160.7,157.18,158.06,4570584.0
2025-10-21,154.67,155.93,142.33,152.0,20799361.0
2025-10-22,151.87,156.96,151.0,156.86,8348839.0
2025-10-23,157.94,159.11,156.35,157.7,4549685.0
2025-10-24,158.08,158.62,157.38,157.62,3951169.0
2025-10-27,156.84,156.86,152.93,153.21,6519932.0
2025-10-28,153.0,153.08,148.14,149.81,4696941.0
2025-10-29,149.24,150.14,146.39,146.77,3529856.0
2025-10-30,146.78,147.43,145.04,145.76,2969904.0
2025-10-31,145.31,145.54,143.17,144.33,2626778.0
2025-11-03,143.5,145.12,142.11,144.6,2805544.0
2025-11-04,145.74,147.77,144.22,147.66,3216991.0
2025-11-05,148.19,150.43,147.25,148.4,3051944.0
2025-11-06,148.47,150.88,147.34,149.9,2754699.0
2025-11-07,151.25,153.52,149.37,153.39,3702059.0
