date,open,high,low,close,volume
2025-02-26,187.11,188.89,186.41,187.02,651257.0
2025-02-27,187.78,190.84,187.49,188.56,702208.0
2025-02-28,190.18,192.23,188.68,191.92,969030.0
2025-03-03,192.35,194.27,187.89,189.49,554116.0
2025-03-04,187.05,187.91,178.81,180.45,1397705.0
2025-03-05,180.79,182.11,178.3,180.47,1293125.0
2025-03-06,178.27,179.96,176.48,178.98,1001709.0
2025-03-07,178.83,180.61,175.67,179.77,868807.0
2025-03-10,176.0,177.99,172.26,174.61,1480297.0
2025-03-11,173.94,176.23,169.83,170.06,1212075.0
2025-03-12,172.08,173.08,169.1,171.01,1308259.0
2025-03-13,172.16,172.89,168.44,168.84,981526.0
2025-03-14,171.15,173.15,170.06,172.99,1338037.0
2025-03-17,172.62,174.58,171.55,174.0,1577919.0
2025-03-18,174.28,174.7,171.71,173.35,1956119.0
2025-03-19,173.4,175.73,172.39,173.83,1637428.0
2025-03-20,172.31,175.18,172.0,173.41,1617961.0
2025-03-21,172.0,173.69,170.85,173.61,1925912.0
2025-03-24,175.02,177.05,174.77,176.54,1319215.0
2025-03-25,176.71,177.99,176.29,176.88,821687.0
2025-03-26,177.77,179.68,176.19,176.92,996152.0
2025-03-27,177.07,177.19,174.52,174.97,1196799.0
2025-03-28,174.78,176.05,170.85,171.88,1004868.0
2025-03-31,172.68,176.48,171.14,175.77,1716309.0
2025-04-01,174.16,176.15,172.47,174.64,1000381.0
2025-04-02,173.48,177.42,173.27,177.01,1023338.0
2025-04-03,168.5,170.5,160.82,161.29,1815079.0
2025-04-04,155.27,155.94,149.0,153.1,1998912.0
2025-04-07,150.63,158.32,146.89,152.81,2306672.0
2025-04-08,157.9,159.1,147.04,149.76,2017390.0
2025-04-09,146.83,162.2,145.12,160.23,2377350.0
2025-04-10,156.84,157.73,147.68,152.16,1933797.0
2025-04-11,150.63,153.96,148.21,151.99,2144287.0
2025-04-14,154.09,156.55,153.24,155.32,1789992.0
2025-04-15,152.51,159.58,152.51,155.39,2115607.0
2025-04-16,152.08,154.93,149.75,151.54,1111073.0
2025-04-17,152.31,153.82,151.67,152.33,1767560.0
2025-04-21,150.5,151.98,148.28,150.13,1073488.0
2025-04-22,151.61,154.72,151.1,154.45,925491.0
2025-04-23,157.7,162.06,156.97,157.41,1411553.0
2025-04-24,157.14,160.1,156.15,159.75,571096.0
2025-04-25,158.45,159.62,157.34,158.46,471281.0
2025-04-28,158.88,160.75,158.12,159.65,959962.0
2025-04-29,158.69,161.37,158.36,160.6,836709.0
2025-04-30,157.89,161.08,156.7,160.69,817838.0
2025-05-01,159.93,162.59,158.92,160.99,835169.0
2025-05-02,163.16,165.9,163.11,165.54,827858.0
2025-05-05,163.37,167.36,163.32,165.7,1142822.0
2025-05-06,164.29,165.64,163.45,163.53,906248.0
2025-05-07,164.98,165.79,163.31,163.98,810046.0
2025-05-08,165.32,168.24,165.32,166.73,653517.0
2025-05-09,166.79,167.49,166.02,166.44,647709.0
2025-05-12,173.39,176.24,172.69,175.0,2090953.0
2025-05-13,175.65,178.18,174.54,177.53,1252462.0
2025-05-14,177.04,178.5,176.32,177.85,1035118.0
2025-05-15,177.78,180.07,177.3,179.46,1537584.0
2025-05-16,179.14,180.34,178.65,179.42,1086153.0
2025-05-19,177.68,179.71,177.09,178.64,558681.0
2025-05-20,177.92,178.62,176.87,177.48,453174.0
2025-05-21,175.64,176.28,172.21,172.27,704964.0
2025-05-22,171.92,174.04,171.49,172.99,974230.0
2025-05-23,169.75,172.63,169.32,171.82,498894.0
2025-05-27,174.13,176.26,172.71,176.24,617404.0
2025-05-28,176.19,176.92,173.83,173.97,771761.0
2025-05-29,175.09,175.2,173.56,175.1,612206.0
2025-05-30,174.92,175.27,172.95,173.81,1341580.0
2025-06-02,173.15,174.23,170.49,173.94,1019479.0
2025-06-03,173.39,176.91,172.85,176.31,880773.0
2025-06-04,176.27,177.65,174.84,174.86,523012.0
2025-06-05,174.7,175.41,173.17,174.7,683035.0
2025-06-06,177.63,178.8,176.0,178.63,473962.0
2025-06-09,179.35,180.42,178.47,178.74,479572.0
2025-06-10,178.49,180.68,178.32,179.41,491634.0
2025-06-11,179.82,180.11,177.16,177.74,1465982.0
2025-06-12,177.27,178.39,175.13,177.74,714434.0
