date,open,high,low,close,volume
2025-02-26,114.73,115.79,113.61,115.04,699502.0
2025-02-27,114.7,115.63,113.58,113.68,856524.0
2025-02-28,114.11,115.8,112.12,113.22,1455264.0
2025-03-03,114.95,115.52,111.48,111.72,1016909.0
2025-03-04,111.5,111.75,109.15,109.29,1722834.0
2025-03-05,109.88,114.75,109.8,114.09,1792040.0
2025-03-06,114.12,116.46,113.32,115.37,1417872.0
2025-03-07,114.34,116.46,113.68,115.48,1217109.0
2025-03-10,114.0,117.88,114.0,114.69,1461312.0
2025-03-11,115.29,115.66,111.19,113.43,1305681.0
2025-03-12,113.29,114.06,110.93,110.98,966421.0
2025-03-13,111.04,112.75,110.31,111.36,872450.0
2025-03-14,112.78,113.85,111.62,113.47,1192560.0
2025-03-17,113.43,114.46,112.63,113.84,1319903.0
2025-03-18,113.37,113.93,112.74,113.57,518909.0
2025-03-19,113.81,114.26,112.21,113.1,746335.0
2025-03-20,112.04,112.97,111.16,111.26,564454.0
2025-03-21,110.25,111.49,109.33,110.73,957654.0
2025-03-24,112.26,114.21,111.85,112.98,1030281.0
2025-03-25,113.14,113.26,111.35,111.74,751619.0
2025-03-26,112.04,113.09,110.62,111.93,1118845.0
2025-03-27,111.54,111.54,105.64,108.36,2978154.0
2025-03-28,109.25,109.57,106.98,107.44,2201066.0
2025-03-31,106.8,109.47,105.99,109.35,1477672.0
2025-04-01,109.35,109.6,107.78,108.95,1073859.0
2025-04-02,108.27,110.11,107.88,110.11,2722838.0
2025-04-03,107.35,107.53,103.89,103.99,1208902.0
2025-04-04,102.39,103.11,97.48,99.15,2126875.0
2025-04-07,96.49,101.52,95.01,96.93,1719288.0
2025-04-08,98.91,99.97,90.24,91.66,3079173.0
2025-04-09,91.0,103.63,90.97,103.11,2931894.0
2025-04-10,101.14,101.14,95.61,98.53,1589368.0
2025-04-11,97.86,101.42,96.41,100.73,883483.0
2025-04-14,102.0,102.4,100.58,101.48,691765.0
2025-04-15,100.82,102.12,99.27,99.61,818142.0
2025-04-16,99.55,100.55,97.53,98.42,1586010.0
2025-04-17,99.35,101.0,98.68,100.05,1116280.0
2025-04-21,99.57,100.1,98.34,99.4,962874.0
2025-04-22,100.82,102.34,100.4,101.78,381381.0
2025-04-23,104.39,105.96,101.34,101.83,736717.0
2025-04-24,102.22,104.63,101.16,104.13,433763.0
2025-04-25,103.1,104.0,101.76,102.57,961889.0
2025-04-28,102.63,103.85,101.95,102.96,773530.0
2025-04-29,103.0,104.45,102.99,103.81,775028.0
2025-04-30,110.1,110.1,106.87,108.86,1594857.0
2025-05-01,109.45,110.41,108.34,108.77,1502995.0
2025-05-02,110.49,111.44,109.22,110.49,945727.0
2025-05-05,109.9,111.39,109.65,110.22,742075.0
2025-05-06,109.2,110.37,107.96,108.56,565173.0
2025-05-07,108.41,108.71,105.89,106.76,691436.0
2025-05-08,107.46,109.92,107.15,108.61,806199.0
2025-05-09,108.93,110.0,108.8,109.44,904801.0
2025-05-12,113.99,117.46,113.57,114.21,878115.0
2025-05-13,114.25,114.67,113.3,113.34,798148.0
2025-05-14,113.07,113.47,111.14,111.67,805560.0
2025-05-15,111.06,113.13,110.79,113.06,718713.0
2025-05-16,112.92,114.15,112.09,114.08,1080719.0
2025-05-19,112.59,114.57,112.32,114.26,674478.0
2025-05-20,113.77,114.83,113.25,113.79,615794.0
2025-05-21,112.2,112.98,110.98,111.24,529342.0
2025-05-22,110.79,111.76,110.25,111.21,1601433.0
2025-05-23,109.33,110.33,109.0,110.08,407752.0
2025-05-27,111.79,112.45,110.76,112.26,502146.0
