date,open,high,low,close,volume
2025-02-26,34.93,35.11,34.71,34.87,1775212.0
2025-02-27,34.66,35.01,34.38,34.45,2973478.0
2025-02-28,34.78,35.28,34.57,35.21,2324441.0
2025-03-03,35.15,35.69,35.13,35.67,2075681.0
2025-03-04,35.74,35.91,34.65,34.72,6020448.0
2025-03-05,34.65,34.94,34.31,34.54,3065246.0
2025-03-06,34.44,34.46,33.75,33.89,3111480.0
2025-03-07,33.88,34.4,33.8,34.07,5457608.0
2025-03-10,33.81,34.57,33.76,34.28,3922026.0
2025-03-11,34.23,34.64,34.07,34.28,5185612.0
2025-03-12,34.18,34.36,33.92,33.97,2289275.0
2025-03-13,34.09,34.27,33.91,34.15,2362182.0
2025-03-14,34.06,35.01,34.02,34.89,2535816.0
2025-03-17,34.88,35.42,34.87,35.15,3446544.0
2025-03-18,35.0,35.12,34.59,34.82,1849201.0
2025-03-19,34.79,35.02,34.66,34.99,2305108.0
2025-03-20,35.05,35.14,34.84,34.98,1615318.0
2025-03-21,34.88,35.01,34.44,34.76,2864873.0
2025-03-24,34.79,35.01,34.65,34.78,2369993.0
2025-03-25,34.7,34.71,33.91,34.08,2697607.0
2025-03-26,34.14,34.67,34.1,34.6,2007758.0
2025-03-27,34.75,35.08,34.58,34.98,2984886.0
2025-03-28,35.2,35.97,35.05,35.71,7268074.0
2025-03-31,35.93,36.42,35.79,36.11,5022951.0
2025-04-01,36.04,36.1,35.72,36.06,2147691.0
2025-04-02,36.1,36.31,35.77,36.13,2166999.0
2025-04-03,36.4,36.64,36.0,36.23,3471522.0
2025-04-04,36.4,36.49,34.27,34.46,5426416.0
2025-04-07,34.04,34.31,32.88,33.52,5763000.0
2025-04-08,34.06,34.46,33.12,33.54,3939650.0
2025-04-09,33.19,34.5,32.5,34.16,4023022.0
2025-04-10,34.02,34.62,33.52,34.2,3994420.0
2025-04-11,34.25,34.87,33.75,34.74,2439952.0
2025-04-14,34.96,35.55,34.84,35.45,2308137.0
2025-04-15,35.58,35.72,35.33,35.37,1131741.0
2025-04-16,35.48,35.7,35.15,35.28,2352568.0
2025-04-17,35.48,36.15,35.24,35.72,3322737.0
2025-04-21,35.57,35.64,34.78,35.31,10781864.0
2025-04-22,35.62,36.31,35.55,36.21,5525351.0
2025-04-23,36.0,36.66,35.85,36.24,5165528.0
2025-04-24,36.06,36.62,35.89,36.25,6863103.0
2025-04-25,36.19,36.34,35.87,35.93,3066800.0
2025-04-28,35.91,36.52,35.84,36.46,3179945.0
2025-04-29,36.24,36.57,36.16,36.39,4045230.0
2025-04-30,36.69,36.7,35.91,36.5,5421695.0
2025-05-01,36.46,36.62,36.01,36.08,2725929.0
2025-05-02,36.2,36.35,35.89,36.17,3305849.0
2025-05-05,36.2,36.38,35.83,36.28,2098451.0
2025-05-06,36.24,36.41,36.07,36.12,1528002.0
2025-05-07,36.05,36.58,36.05,36.33,2914856.0
2025-05-08,36.18,36.23,35.54,35.62,2813349.0
2025-05-09,35.73,35.74,35.2,35.51,2838232.0
2025-05-12,35.16,35.16,34.4,34.57,4560936.0
2025-05-13,34.55,34.59,33.75,33.79,4715262.0
2025-05-14,33.68,33.75,33.11,33.52,3243038.0
2025-05-15,33.79,34.51,33.7,34.42,4604906.0
2025-05-16,34.48,34.91,34.33,34.86,2591755.0
2025-05-19,34.73,35.09,34.65,35.02,4278844.0
2025-05-20,34.91,35.09,34.74,34.89,6948058.0
2025-05-21,34.77,34.95,34.43,34.62,2607420.0
2025-05-22,34.51,34.59,34.0,34.38,4445985.0
2025-05-23,34.6,34.76,34.12,34.67,3448018.0
2025-05-27,34.98,35.0,34.63,34.85,2272636.0
2025-05-28,34.73,34.76,34.04,34.18,2072604.0
2025-05-29,34.03,34.46,34.0,34.42,2952540.0
2025-05-30,34.42,34.84,34.22,34.75,1871324.0
2025-06-02,34.49,34.76,34.37,34.72,2254697.0
2025-06-03,34.79,34.79,34.21,34.5,2213469.0
2025-06-04,34.44,34.61,34.15,34.17,2339608.0
2025-06-05,34.21,34.23,33.95,34.1,2053758.0
2025-06-06,34.14,34.24,33.86,34.04,1649919.0
2025-06-09,33.9,34.24,33.72,33.92,2566974.0
2025-06-10,33.69,33.8,33.54,33.72,2329660.0
2025-06-11,33.76,33.94,33.68,33.78,2074043.0
2025-06-12,33.93,34.39,33.84,34.38,2585588.0
2025-06-13,34.41,34.42,33.8,33.89,2401704.0
2025-06-16,34.02,34.21,33.54,33.66,1872687.0
2025-06-17,33.6,33.66,33.29,33.45,1330082.0
2025-06-18,33.56,33.66,33.29,33.59,2435311.0
2025-06-20,33.64,34.08,33.57,33.77,2837638.0
2025-06-23,33.95,34.38,33.68,34.3,2287596.0
2025-06-24,34.3,34.58,34.19,34.21,3364035.0
2025-06-25,34.05,34.16,33.5,33.5,1947153.0
2025-06-26,33.54,33.74,33.31,33.62,3213342.0
2025-06-27,33.64,33.94,33.41,33.56,4756076.0
2025-06-30,33.38,33.9,33.32,33.89,3907781.0
2025-07-01,33.91,34.24,33.65,33.99,3009895.0
2025-07-02,33.82,33.87,33.38,33.54,2169233.0
2025-07-03,33.5,33.94,33.45,33.81,1473495.0
2025-07-07,33.81,33.84,33.56,33.68,1712696.0
2025-07-08,33.57,33.71,33.21,33.58,2128965.0
2025-07-09,33.54,33.88,33.38,33.76,1588841.0
2025-07-10,33.6,34.42,33.57,34.33,2081554.0
2025-07-11,34.07,34.39,33.97,34.27,1981828.0
2025-07-14,34.27,34.81,34.08,34.76,6495531.0
2025-07-15,34.67,35.85,33.93,35.35,19501136.0
2025-07-16,35.29,35.6,34.71,35.16,10307690.0
2025-07-17,35.17,35.77,35.0,35.61,4066599.0
2025-07-18,35.69,36.25,35.68,35.98,5135680.0
2025-07-21,36.22,36.55,35.93,36.2,3630052.0
2025-07-22,36.33,36.82,36.24,36.81,2889532.0
2025-07-23,36.9,36.99,36.36,36.49,2519667.0
2025-07-24,36.61,36.81,36.32,36.58,3222181.0
2025-07-25,36.65,36.73,36.45,36.57,2238312.0
2025-07-28,36.55,36.57,35.66,35.71,3265845.0
2025-07-29,35.77,36.3,35.69,36.2,2849341.0
2025-07-30,36.22,36.49,35.74,36.04,5378615.0
2025-07-31,35.49,35.96,35.31,35.69,4715775.0
2025-08-01,35.82,36.04,35.5,35.66,3266505.0
2025-08-04,35.73,36.27,35.72,36.18,3844793.0
2025-08-05,36.18,36.29,35.57,35.78,3874021.0
2025-08-06,35.85,36.44,35.7,36.15,3251769.0
2025-08-07,36.2,36.52,36.07,36.37,2409760.0
2025-08-08,36.49,36.57,36.22,36.35,2152188.0
2025-08-11,36.4,36.47,36.08,36.28,1549240.0
2025-08-12,36.39,36.91,36.12,36.9,5082626.0
2025-08-13,36.75,37.25,36.74,37.24,2978340.0
2025-08-14,37.2,37.31,37.03,37.08,2569474.0
2025-08-15,37.08,37.08,36.37,36.55,3660024.0
2025-08-18,36.6,36.64,36.2,36.24,2007863.0
2025-08-19,36.28,36.74,36.25,36.73,2377653.0
2025-08-20,36.9,37.38,36.87,37.09,2494229.0
2025-08-21,36.99,37.06,36.69,36.72,2651242.0
2025-08-22,36.93,37.03,36.63,36.9,1852706.0
2025-08-25,36.78,36.9,36.37,36.51,2214460.0
2025-08-26,36.52,36.63,36.25,36.52,1739157.0
2025-08-27,36.56,36.86,36.46,36.62,2257253.0
2025-08-28,36.57,36.6,36.32,36.56,2393775.0
2025-08-29,36.62,36.68,36.4,36.47,3924748.0
2025-09-02,36.33,36.56,36.17,36.42,2545048.0
2025-09-03,36.2,36.43,35.98,36.22,2497232.0
2025-09-04,36.42,36.71,36.28,36.5,2860301.0
2025-09-05,36.62,36.72,35.87,35.96,2568409.0
2025-09-08,35.91,35.96,35.51,35.65,1663614.0
2025-09-09,35.59,35.96,35.48,35.73,1475460.0
2025-09-10,35.42,35.87,35.3,35.79,2098514.0
2025-09-11,35.72,36.04,35.51,35.98,1906541.0
2025-09-12,35.9,36.25,35.88,36.16,1547737.0
2025-09-15,36.13,36.25,35.89,35.97,1822174.0
2025-09-16,36.01,36.01,35.48,35.49,3527343.0
2025-09-17,35.66,35.88,35.49,35.61,2186396.0
2025-09-18,35.38,35.77,35.21,35.58,2241941.0
2025-09-19,35.71,35.83,35.37,35.69,2510587.0
2025-09-22,35.74,35.86,35.52,35.69,1855161.0
