date,open,high,low,close,volume
2025-10-27,70.5,101.52,70.5,95.3,59433.0
2025-10-28,99.01,103.5,93.01,94.74,123911.0
2025-10-29,94.5,96.89,92.12,94.04,71282.0
2025-10-30,94.1,94.98,91.67,93.4,77890.0
2025-10-31,95.0,95.98,91.4,95.0,155106.0
2025-11-03,98.0,100.54,95.0,97.0,3561788.0
2025-11-04,99.5,104.0,97.8,100.91,3632247.0
2025-11-05,105.01,105.4,93.38,99.65,4214676.0
2025-11-06,100.3,101.15,93.33,93.33,2170098.0
2025-11-07,92.16,95.0,88.68,92.31,1784647.0
2025-11-10,94.93,99.39,93.6,96.6,1556530.0
2025-11-11,98.45,102.15,95.5,96.53,1176653.0
2025-11-12,96.67,96.67,91.25,91.96,1678147.0
2025-11-13,91.5,91.75,84.82,85.9,2476116.0
2025-11-14,84.15,87.05,81.62,83.48,1555492.0
2025-11-17,81.63,84.1,79.2,81.46,1423055.0
2025-11-18,79.5,82.03,78.01,78.98,1947165.0
2025-11-19,79.13,80.31,75.72,79.62,1818678.0
2025-11-20,82.01,83.5,74.5,74.9,1643439.0
2025-11-21,74.97,77.94,73.22,75.8,1239162.0
2025-11-24,76.34,76.74,72.81,73.54,1970220.0
2025-11-25,73.0,79.06,72.94,78.01,1971881.0
2025-11-26,77.95,80.74,77.0,79.23,1233070.0
2025-11-28,79.28,81.25,79.28,81.09,429620.0
2025-12-01,79.0,81.09,77.42,77.6,813256.0
2025-12-02,78.17,80.49,77.97,79.75,959355.0
2025-12-03,79.97,81.05,78.9,80.28,654721.0
2025-12-04,80.0,83.57,79.81,83.46,1042603.0
2025-12-05,83.41,83.85,81.82,82.04,1238164.0
2025-12-08,81.95,84.69,81.82,84.3,810649.0
2025-12-09,84.0,85.23,83.71,85.09,713615.0
2025-12-10,83.79,87.95,82.73,86.2,924399.0
2025-12-11,85.76,86.24,83.51,84.8,1810011.0
2025-12-12,84.38,84.59,78.35,78.94,1700398.0
2025-12-15,79.65,80.72,75.65,76.63,1289246.0
2025-12-16,76.5,79.13,76.14,78.5,2011862.0
2025-12-17,78.93,78.98,75.67,76.26,1106433.0
2025-12-18,78.32,80.69,77.76,79.03,1659922.0
2025-12-19,79.37,80.0,77.18,79.7,1577995.0
2025-12-22,80.96,82.73,80.54,81.89,1055017.0
2025-12-23,81.54,83.26,81.13,83.17,616078.0
2025-12-24,83.37,83.64,82.71,83.37,344209.0
2025-12-26,83.63,84.43,83.47,84.21,411034.0
2025-12-29,84.0,84.38,83.0,83.59,715474.0
2025-12-30,84.11,85.0,83.48,84.01,669825.0
2025-12-31,84.09,84.09,81.56,81.65,583792.0
2026-01-02,81.69,86.32,81.61,84.98,659728.0
2026-01-05,85.0,86.87,84.98,85.11,667063.0
2026-01-06,85.21,91.91,85.0,91.14,1120199.0
2026-01-07,92.0,92.94,89.34,90.31,1047751.0
2026-01-08,89.91,90.74,88.33,89.5,1405461.0
2026-01-09,90.17,91.89,88.84,90.31,1481855.0
2026-01-12,89.95,92.95,89.34,90.91,2179358.0
2026-01-13,91.09,92.04,88.93,89.67,1965997.0
2026-01-14,88.45,89.94,85.67,89.88,678136.0
2026-01-15,95.0,97.84,92.89,93.12,2999849.0
2026-01-16,94.17,100.13,93.95,97.25,2749556.0
2026-01-20,94.16,97.63,93.12,95.13,939072.0
2026-01-21,96.62,103.87,95.34,102.7,2833086.0
2026-01-22,106.0,107.84,97.9,98.76,2541560.0
2026-01-23,97.5,98.0,94.96,96.11,1381161.0
2026-01-26,96.32,99.34,95.24,96.74,1204732.0
2026-01-27,97.79,100.61,97.79,99.45,780124.0
2026-01-28,100.94,103.1,99.25,102.43,1549528.0
2026-01-29,102.68,103.0,96.42,99.91,891791.0
2026-01-30,98.89,99.89,96.01,96.18,1614110.0
2026-02-02,96.23,100.83,95.9,100.67,1233552.0
2026-02-03,100.3,102.44,97.51,99.88,1401584.0
2026-02-04,100.05,100.92,92.85,95.51,1380140.0
2026-02-05,94.57,97.0,92.67,92.77,774986.0
2026-02-06,94.98,99.79,94.0,98.22,1035073.0
2026-02-09,98.51,106.29,97.63,105.2,1854063.0
2026-02-10,108.45,112.41,107.35,109.3,2823231.0
2026-02-11,110.62,114.88,109.06,114.51,1985719.0
2026-02-12,115.47,117.69,107.57,108.54,1581948.0
2026-02-13,109.04,113.88,108.07,111.69,1645790.0
2026-02-17,110.93,113.22,108.08,111.94,1314122.0
2026-02-18,111.84,117.15,111.65,115.25,2143855.0
2026-02-19,114.61,115.1,110.54,112.86,925269.0
2026-02-20,111.67,116.2,111.24,113.46,1212232.0
2026-02-23,112.75,113.74,110.1,111.58,985755.0
2026-02-24,112.39,117.91,112.39,116.79,1274782.0
2026-02-25,118.0,120.25,116.75,119.86,2522813.0
