date,open,high,low,close,volume
2025-02-26,23.45,23.71,23.29,23.38,3057846.0
2025-02-27,23.39,23.81,23.32,23.4,6131639.0
2025-02-28,23.57,23.76,23.33,23.71,4457810.0
2025-03-03,23.56,23.78,22.93,23.14,4484930.0
2025-03-04,22.89,22.91,21.87,22.36,7814915.0
2025-03-05,22.34,22.49,21.61,22.09,7064690.0
2025-03-06,21.86,22.09,21.61,21.95,7312629.0
2025-03-07,21.86,22.18,21.46,22.07,8114997.0
2025-03-10,21.69,22.02,21.3,21.53,9680934.0
2025-03-11,21.6,21.74,20.95,20.99,7085450.0
2025-03-12,21.23,21.3,20.68,21.06,8478030.0
2025-03-13,21.24,21.38,20.8,20.84,4731305.0
2025-03-14,21.17,21.46,21.05,21.43,3685695.0
2025-03-17,21.35,21.59,21.14,21.54,5266147.0
2025-03-18,21.53,21.57,21.23,21.48,6673885.0
2025-03-19,21.48,21.96,21.39,21.75,4489514.0
2025-03-20,21.5,21.95,21.46,21.68,5135915.0
2025-03-21,21.51,21.79,21.29,21.71,6828941.0
2025-03-24,21.93,22.37,21.91,22.27,3121278.0
2025-03-25,22.3,22.59,22.16,22.42,5505891.0
2025-03-26,22.51,22.86,22.2,22.24,4614673.0
2025-03-27,22.21,22.26,21.87,21.93,3606107.0
2025-03-28,21.8,22.03,21.28,21.42,3437078.0
2025-03-31,21.21,21.85,21.14,21.73,5586312.0
2025-04-01,21.6,21.76,21.29,21.57,4465037.0
2025-04-02,21.21,22.05,21.17,22.02,5184617.0
2025-04-03,20.82,20.92,19.6,19.61,9546583.0
2025-04-04,18.97,19.03,18.02,18.66,11452628.0
2025-04-07,18.18,19.61,17.78,18.68,17756902.0
2025-04-08,19.27,19.61,18.03,18.34,10438095.0
2025-04-09,18.11,20.31,17.74,20.0,14465705.0
2025-04-10,19.45,19.64,18.27,19.0,12406103.0
2025-04-11,18.89,19.07,18.3,18.97,10442006.0
2025-04-14,19.31,19.45,18.92,19.27,4565941.0
2025-04-15,19.33,19.82,19.28,19.43,7406518.0
2025-04-16,19.4,19.53,19.01,19.17,9672276.0
2025-04-17,20.29,21.4,18.86,19.31,15191784.0
2025-04-21,19.15,19.23,18.83,19.09,6527745.0
2025-04-22,19.39,19.78,19.3,19.78,7506405.0
2025-04-23,20.31,20.82,19.88,20.02,5266919.0
2025-04-24,19.89,20.58,19.83,20.54,5417541.0
2025-04-25,20.37,20.53,20.16,20.28,3882680.0
2025-04-28,20.3,20.56,20.18,20.46,3561445.0
2025-04-29,20.33,20.57,20.18,20.52,4022551.0
2025-04-30,20.07,20.45,19.93,20.41,3769654.0
2025-05-01,20.33,20.72,20.18,20.51,3271158.0
2025-05-02,20.88,21.1,20.76,21.05,3602655.0
2025-05-05,20.82,21.37,20.55,21.11,7319506.0
2025-05-06,20.75,21.03,20.67,20.71,3165263.0
2025-05-07,20.86,21.03,20.67,20.78,3476677.0
2025-05-08,21.01,21.42,20.9,21.3,3660394.0
2025-05-09,21.31,21.37,21.1,21.16,5829063.0
2025-05-12,22.11,22.43,21.93,22.25,7036107.0
2025-05-13,22.29,22.52,22.2,22.44,4675133.0
2025-05-14,22.32,22.54,22.27,22.44,4621495.0
2025-05-15,22.45,22.55,22.23,22.46,3938284.0
2025-05-16,22.45,22.68,22.31,22.59,3085807.0
2025-05-19,22.33,22.55,22.28,22.54,3121492.0
2025-05-20,22.46,22.5,22.16,22.25,3278023.0
2025-05-21,21.96,22.04,21.32,21.32,4341329.0
2025-05-22,21.29,21.56,21.19,21.37,5469267.0
2025-05-23,20.81,21.36,20.81,21.24,4172037.0
2025-05-27,21.57,21.69,21.29,21.67,4042701.0
2025-05-28,21.65,21.78,21.32,21.33,4423802.0
2025-05-29,21.49,21.57,21.34,21.57,5356422.0
2025-05-30,21.45,21.55,21.28,21.44,6390627.0
2025-06-02,21.19,21.2,20.79,21.11,4701056.0
2025-06-03,21.02,21.57,21.0,21.53,4262205.0
2025-06-04,21.5,21.66,21.3,21.3,4091123.0
2025-06-05,21.31,21.4,21.12,21.32,3679168.0
2025-06-06,21.73,22.12,21.43,22.05,8396886.0
2025-06-09,22.14,22.37,22.03,22.09,6594271.0
2025-06-10,22.1,22.51,22.0,22.36,8537587.0
2025-06-11,22.47,22.58,22.21,22.29,12272130.0
2025-06-12,22.09,22.16,21.8,22.08,6398423.0
2025-06-13,21.77,21.85,21.42,21.51,8437953.0
2025-06-16,21.82,21.86,21.56,21.68,8352862.0
2025-06-17,21.47,21.69,21.4,21.54,8859836.0
2025-06-18,21.5,22.09,21.44,21.96,9093573.0
2025-06-20,22.17,22.24,21.99,22.2,7023884.0
2025-06-23,22.06,22.67,22.0,22.64,6930540.0
2025-06-24,22.83,23.12,22.82,22.88,8077114.0
2025-06-25,22.87,22.98,22.69,22.89,6034976.0
2025-06-26,23.04,23.41,22.94,23.35,5853167.0
2025-06-27,23.4,23.56,23.24,23.35,6337330.0
2025-06-30,23.45,23.68,23.42,23.52,5931671.0
2025-07-01,23.35,24.33,23.35,24.17,8692278.0
2025-07-02,24.31,24.62,24.11,24.55,6551746.0
2025-07-03,24.77,24.99,24.59,24.8,3246137.0
2025-07-07,24.76,24.92,24.4,24.57,5520351.0
2025-07-08,24.67,24.84,24.41,24.66,6995118.0
2025-07-09,24.88,24.96,24.59,24.63,5496443.0
2025-07-10,24.66,25.03,24.59,24.84,4601998.0
2025-07-11,24.64,24.82,24.5,24.69,4589523.0
2025-07-14,24.64,24.8,24.51,24.7,5336941.0
2025-07-15,24.64,24.73,23.95,24.03,8390421.0
2025-07-16,24.17,24.21,23.67,24.08,8009272.0
2025-07-17,24.04,24.61,23.96,24.51,7543370.0
2025-07-18,25.5,26.16,25.45,26.01,18997529.0
2025-07-21,26.16,26.42,25.87,26.05,13805327.0
2025-07-22,26.05,26.45,25.96,26.2,14995018.0
2025-07-23,26.38,26.46,26.18,26.37,22307825.0
2025-07-24,26.48,26.66,26.24,26.3,22765304.0
2025-07-25,26.28,26.46,25.86,26.42,16183332.0
2025-07-28,26.44,26.51,26.17,26.3,18248110.0
2025-07-29,26.48,26.48,26.15,26.19,17398549.0
2025-07-30,26.28,26.36,25.54,25.7,13947856.0
2025-07-31,25.61,25.76,25.23,25.33,14560105.0
2025-08-01,24.91,24.98,24.4,24.89,12677679.0
2025-08-04,25.02,25.24,24.89,25.18,11412120.0
2025-08-05,25.26,25.31,24.74,25.18,9207006.0
2025-08-06,25.2,25.27,24.92,24.93,7810790.0
2025-08-07,25.2,25.2,24.59,24.64,6817729.0
2025-08-08,24.82,25.01,24.58,24.92,6323190.0
2025-08-11,24.99,25.12,24.59,24.63,9616746.0
2025-08-12,24.84,25.34,24.75,25.33,19141819.0
2025-08-13,25.51,25.96,25.38,25.84,20445740.0
2025-08-14,25.64,26.05,25.45,26.05,15492602.0
2025-08-15,26.14,26.2,25.6,25.6,14051871.0
2025-08-18,25.53,25.72,25.41,25.69,8635808.0
2025-08-19,25.64,26.01,25.61,25.72,14208665.0
2025-08-20,25.73,25.9,25.56,25.86,12470497.0
2025-08-21,25.69,25.87,25.54,25.74,11964997.0
2025-08-22,25.87,26.85,25.81,26.76,15163133.0
2025-08-25,26.75,26.89,26.65,26.65,19541614.0
2025-08-26,26.58,27.12,26.42,27.08,14674681.0
2025-08-27,26.98,27.54,26.89,27.41,17845079.0
2025-08-28,27.58,27.58,27.17,27.33,15913966.0
2025-08-29,27.35,27.55,27.24,27.39,13667765.0
2025-09-02,26.77,26.92,26.57,26.89,16986729.0
2025-09-03,26.84,27.14,26.56,26.94,16464389.0
2025-09-04,27.07,27.37,26.9,27.36,15361701.0
2025-09-05,27.39,27.61,26.84,27.03,15665055.0
2025-09-08,27.11,27.11,26.67,27.04,17550167.0
2025-09-09,27.0,27.28,26.65,26.82,19229997.0
2025-09-10,26.98,27.24,26.75,27.04,17990515.0
2025-09-11,27.06,27.18,26.86,27.04,16802787.0
2025-09-12,27.02,27.3,26.9,27.16,15672157.0
2025-09-15,27.2,27.23,26.81,26.9,16476927.0
2025-09-16,26.95,26.95,26.24,26.56,14152345.0
2025-09-17,26.63,27.38,26.57,26.93,18477468.0
2025-09-18,26.91,27.46,26.76,27.4,15869706.0
2025-09-19,27.4,27.45,27.1,27.16,19217976.0
2025-09-22,27.0,27.1,26.51,26.56,15519644.0
2025-09-23,26.69,27.17,26.6,26.73,16021979.0
2025-09-24,26.74,26.89,26.4,26.66,15380035.0
2025-09-25,26.54,26.72,26.37,26.6,11299485.0
2025-09-26,26.75,26.98,26.59,26.63,15372182.0
2025-09-29,26.72,26.78,26.2,26.5,16327038.0
2025-09-30,26.62,26.72,25.9,26.37,19762386.0
2025-10-01,26.3,26.45,26.08,26.21,17972679.0
2025-10-02,26.12,26.28,25.89,26.2,18253895.0
2025-10-03,26.31,26.57,26.23,26.39,17946793.0
2025-10-06,26.46,26.87,25.81,25.86,23968102.0
2025-10-07,25.99,26.16,25.72,25.73,21922077.0
2025-10-08,25.81,25.84,25.27,25.29,16735804.0
2025-10-09,25.42,25.61,25.16,25.31,21837452.0
2025-10-10,25.43,25.44,24.14,24.16,14946339.0
2025-10-13,24.58,24.71,24.26,24.56,32574913.0
2025-10-14,24.32,25.3,24.27,25.16,42709546.0
2025-10-15,25.29,25.31,24.58,24.74,33135649.0
2025-10-16,24.7,24.78,23.14,23.35,50464779.0
2025-10-17,23.65,24.04,22.7,23.58,41469034.0
2025-10-20,23.78,24.14,23.65,24.06,42933287.0
2025-10-21,23.89,24.5,23.89,24.36,47948022.0
2025-10-22,24.35,24.46,24.0,24.11,59474519.0
2025-10-23,24.16,24.27,23.96,24.1,40982274.0
2025-10-24,24.4,24.64,24.29,24.57,54642333.0
2025-10-27,24.66,24.7,23.99,24.24,43043365.0
2025-10-28,24.17,24.45,24.03,24.27,48512470.0
2025-10-29,24.06,24.5,23.9,24.07,29483558.0
2025-10-30,24.1,24.65,24.07,24.2,27952415.0
2025-10-31,24.04,24.3,23.86,24.2,20499178.0
2025-11-03,24.08,24.25,23.87,24.24,21370208.0
2025-11-04,24.08,24.3,23.91,24.15,18272199.0
2025-11-05,24.15,24.5,23.89,24.38,21069371.0
2025-11-06,24.34,24.55,24.01,24.31,21163327.0
2025-11-07,24.23,24.86,24.16,24.85,26835487.0
2025-11-10,25.0,25.21,24.73,25.04,20141580.0
2025-11-11,25.09,25.3,24.85,25.06,15768457.0
2025-11-12,25.13,25.69,25.07,25.39,14672507.0
2025-11-13,25.26,25.42,24.94,24.96,13960570.0
2025-11-14,24.86,25.04,24.59,24.96,12653835.0
2025-11-17,24.92,24.98,24.16,24.3,12088623.0
2025-11-18,24.0,24.3,23.59,24.18,20871406.0
2025-11-19,24.17,24.4,24.06,24.22,13356808.0
2025-11-20,24.5,24.75,24.03,24.1,14774969.0
2025-11-21,24.24,25.09,24.23,24.91,11093748.0
2025-11-24,24.88,24.97,24.64,24.85,7289020.0
2025-11-25,25.08,25.55,25.01,25.42,8421528.0
2025-11-26,25.37,25.68,25.31,25.45,8380882.0
2025-11-28,25.46,25.59,25.42,25.45,2708847.0
2025-12-01,25.0,25.69,24.88,25.33,8774110.0
2025-12-02,25.51,25.62,25.3,25.41,7649621.0
2025-12-03,25.49,26.24,25.41,26.2,7116586.0
2025-12-04,26.17,26.63,26.09,26.41,7026563.0
2025-12-05,26.28,26.56,26.18,26.28,7445715.0
2025-12-08,26.36,26.5,26.17,26.34,8073035.0
2025-12-09,26.28,26.79,26.28,26.44,7441391.0
2025-12-10,26.72,27.49,26.53,27.38,12615672.0
2025-12-11,27.35,27.95,27.3,27.84,9020710.0
2025-12-12,27.98,27.98,27.48,27.6,6523749.0
2025-12-15,27.9,27.97,27.37,27.39,8559942.0
2025-12-16,27.49,27.63,27.21,27.51,7070699.0
2025-12-17,27.63,27.87,27.53,27.57,9058406.0
2025-12-18,27.64,27.95,27.28,27.49,10240816.0
2025-12-19,27.49,27.72,27.45,27.66,8481211.0
2025-12-22,27.65,27.98,27.64,27.82,4839189.0
2025-12-23,27.8,27.86,27.52,27.55,4893878.0
2025-12-24,27.63,27.86,27.47,27.73,3619227.0
2025-12-26,27.73,27.84,27.63,27.79,3780794.0
2025-12-29,27.85,27.86,27.52,27.55,4379469.0
2025-12-30,27.63,27.63,27.31,27.32,3782282.0
2025-12-31,27.37,27.37,27.09,27.1,4072189.0
2026-01-02,27.09,27.67,26.81,27.56,8646044.0
2026-01-05,27.55,28.43,27.49,28.27,13487645.0
2026-01-06,28.07,28.76,27.98,28.71,12022104.0
2026-01-07,28.68,28.76,28.3,28.46,10434397.0
2026-01-08,28.39,29.26,28.34,28.84,10906434.0
2026-01-09,28.92,29.08,28.51,28.52,7920749.0
2026-01-12,28.28,28.47,28.06,28.26,9721688.0
2026-01-13,28.32,28.45,27.77,27.84,11410424.0
2026-01-14,27.76,28.33,27.58,28.14,12027951.0
2026-01-15,28.26,28.61,28.17,28.52,12306590.0
2026-01-16,27.65,28.06,27.34,27.77,24123038.0
2026-01-20,27.3,28.1,27.25,27.63,16059864.0
2026-01-21,27.76,28.93,27.7,28.65,13712173.0
2026-01-22,28.73,28.99,28.2,28.29,14600937.0
2026-01-23,28.12,28.22,27.44,27.48,8123323.0
2026-01-26,27.54,27.87,27.25,27.74,11052792.0
2026-01-27,27.81,27.95,27.65,27.87,9690055.0
2026-01-28,27.86,27.99,27.59,27.86,10898978.0
2026-01-29,28.0,28.58,27.96,28.46,15017937.0
2026-01-30,28.39,28.67,28.17,28.5,14051517.0
2026-02-02,28.57,29.14,28.35,29.12,10246461.0
2026-02-03,29.18,29.89,29.13,29.83,14404891.0
2026-02-04,30.0,30.84,29.79,30.44,14727416.0
2026-02-05,30.28,30.53,29.95,30.5,12638838.0
2026-02-06,30.93,31.17,30.67,30.93,8614500.0
2026-02-09,30.81,31.13,30.55,30.76,6834209.0
2026-02-10,30.7,31.07,30.35,30.82,7641326.0
2026-02-11,31.0,31.32,30.43,30.95,12582648.0
2026-02-12,31.22,31.53,29.46,29.78,15166277.0
2026-02-13,29.46,29.92,29.29,29.74,8597077.0
2026-02-17,29.97,30.27,29.64,29.78,7455016.0
2026-02-18,29.87,30.3,29.75,30.06,9061633.0
2026-02-19,29.81,30.02,29.42,29.72,10247367.0
2026-02-20,29.71,30.1,29.33,30.06,10958005.0
2026-02-23,29.86,30.16,28.48,28.71,11515041.0
2026-02-24,28.63,28.85,28.28,28.44,12371610.0
2026-02-25,28.71,29.12,28.59,29.0,9958285.0
