date,open,high,low,close,volume
2025-02-26,51.03,51.79,50.85,51.27,787703.0
2025-02-27,51.17,51.71,51.09,51.4,443022.0
2025-02-28,51.74,52.49,51.54,52.39,599155.0
2025-03-03,52.29,53.19,52.29,53.01,1417838.0
2025-03-04,53.23,53.72,52.38,52.52,778593.0
2025-03-05,52.06,52.86,52.06,52.61,633648.0
2025-03-06,52.15,52.36,51.49,51.7,863886.0
2025-03-07,51.39,51.86,50.81,51.78,926803.0
2025-03-10,51.78,53.55,51.58,52.28,1281231.0
2025-03-11,52.32,52.69,51.84,51.91,1287326.0
2025-03-12,51.91,52.44,50.52,50.56,916250.0
2025-03-13,50.55,50.8,50.15,50.73,752566.0
2025-03-14,50.63,51.46,50.6,51.4,643595.0
2025-03-17,51.25,52.06,51.22,51.8,578193.0
2025-03-18,51.55,51.98,51.4,51.93,644839.0
2025-03-19,51.82,52.35,51.8,52.03,904316.0
2025-03-20,52.08,52.26,51.33,51.68,704459.0
2025-03-21,51.44,51.81,51.17,51.63,1180226.0
2025-03-24,52.28,52.47,51.49,52.32,734312.0
2025-03-25,52.22,52.79,51.94,52.33,891868.0
2025-03-26,52.69,53.69,52.5,53.05,850897.0
2025-03-27,53.19,54.0,53.06,53.78,866127.0
2025-03-28,53.84,53.95,52.97,53.06,847592.0
2025-03-31,53.38,54.22,53.22,54.03,921081.0
2025-04-01,53.87,54.41,53.82,54.36,703542.0
2025-04-02,54.36,54.85,54.12,54.73,1219265.0
2025-04-03,54.66,56.26,54.23,55.9,1985183.0
2025-04-04,55.41,55.92,52.1,52.21,2490224.0
2025-04-07,51.14,52.91,49.72,50.95,2177545.0
2025-04-08,51.91,52.1,50.19,50.65,1311511.0
2025-04-09,50.5,53.57,50.14,53.11,1512899.0
2025-04-10,52.81,54.53,52.4,54.11,1420518.0
2025-04-11,53.85,55.9,53.51,55.22,2044465.0
2025-04-14,55.3,55.96,55.06,55.69,758493.0
2025-04-15,55.78,56.0,55.09,55.36,473593.0
2025-04-16,55.39,55.73,54.73,55.01,776201.0
2025-04-17,55.53,56.08,55.11,55.78,900450.0
2025-04-21,55.63,55.82,54.13,54.73,571921.0
2025-04-22,55.05,55.91,54.98,55.66,859303.0
2025-04-23,55.66,55.81,54.64,54.93,2262673.0
2025-04-24,53.94,56.31,51.77,55.47,1865206.0
2025-04-25,55.53,56.01,54.81,55.31,1313674.0
2025-04-28,55.87,56.15,55.24,56.02,1016753.0
2025-04-29,55.91,56.54,55.73,56.34,716505.0
2025-04-30,56.37,57.2,55.77,57.13,801099.0
2025-05-01,56.54,56.6,55.64,56.07,1268025.0
2025-05-02,56.47,56.95,56.21,56.67,862857.0
2025-05-05,56.63,57.34,56.28,56.98,942867.0
2025-05-06,56.71,57.19,56.46,56.81,603745.0
2025-05-07,56.45,57.17,56.45,56.91,472079.0
2025-05-08,56.87,57.43,56.62,56.69,686387.0
2025-05-09,56.54,56.86,56.35,56.72,564425.0
2025-05-12,56.44,56.83,55.1,55.73,992391.0
2025-05-13,55.57,55.82,54.76,54.85,811537.0
2025-05-14,54.84,55.05,54.58,54.96,757321.0
2025-05-15,55.4,56.38,55.29,56.37,854446.0
2025-05-16,56.42,57.07,56.34,56.96,859047.0
2025-05-19,56.77,57.45,56.7,57.43,641532.0
2025-05-20,57.33,57.63,57.07,57.31,659684.0
2025-05-21,57.02,57.46,56.81,57.0,633952.0
