date,open,high,low,close,volume
2025-02-26,127.52,128.33,126.83,127.31,1468761.0
2025-02-27,128.42,130.99,127.83,130.52,3136069.0
2025-02-28,131.29,133.09,130.61,132.99,3772370.0
2025-03-03,134.34,135.36,132.92,133.83,3003129.0
2025-03-04,133.52,134.73,128.49,128.7,3655457.0
2025-03-05,129.48,130.54,128.23,129.64,2888723.0
2025-03-06,128.61,128.87,125.96,128.28,3356837.0
2025-03-07,127.0,128.9,126.26,128.4,3478191.0
2025-03-10,127.0,129.84,126.41,128.52,2537740.0
2025-03-11,128.69,129.05,127.1,128.11,2237761.0
2025-03-12,128.35,128.55,126.81,127.96,1557697.0
2025-03-13,128.31,129.64,128.0,129.2,1834773.0
2025-03-14,128.94,130.69,128.0,129.99,3006840.0
2025-03-17,130.0,132.71,130.0,132.05,1953962.0
2025-03-18,132.07,133.27,131.7,132.69,2006955.0
2025-03-19,134.01,135.74,133.51,135.32,3084036.0
2025-03-20,134.12,135.32,133.88,134.47,1967148.0
2025-03-21,133.83,134.5,131.7,132.37,3254216.0
2025-03-24,132.66,134.89,131.94,134.69,1898769.0
2025-03-25,134.78,135.94,133.98,135.66,1492979.0
2025-03-26,135.97,136.17,134.05,134.33,1933917.0
2025-03-27,134.91,134.96,133.16,133.43,1794527.0
2025-03-28,132.97,133.64,131.64,131.72,1788919.0
2025-03-31,131.06,133.14,130.58,132.46,2213014.0
2025-04-01,132.28,133.04,131.36,132.85,2538477.0
2025-04-02,131.36,133.68,131.21,133.15,1545967.0
2025-04-03,131.0,133.71,129.94,130.23,2230535.0
2025-04-04,126.0,126.38,117.35,117.45,4221873.0
2025-04-07,113.92,119.92,112.27,117.32,4150854.0
2025-04-08,123.01,123.97,118.7,120.46,4039991.0
2025-04-09,119.02,128.94,118.17,128.43,3404332.0
2025-04-10,126.91,129.29,123.77,127.07,3209864.0
2025-04-11,126.16,129.32,125.0,128.26,1510761.0
2025-04-14,129.25,129.95,128.28,129.14,1765564.0
2025-04-15,128.5,129.95,128.24,128.64,4725058.0
2025-04-16,129.91,130.21,128.44,129.25,3178259.0
2025-04-17,129.36,130.5,127.7,128.89,3049682.0
2025-04-21,128.5,128.73,124.73,126.12,3327511.0
2025-04-22,115.07,117.19,112.63,113.75,11074180.0
2025-04-23,117.38,122.62,117.27,120.28,6343776.0
2025-04-24,120.03,122.06,119.51,121.97,2264692.0
2025-04-25,122.73,125.5,122.41,125.22,3003283.0
2025-04-28,125.93,126.31,123.67,124.8,2356688.0
2025-04-29,124.8,126.04,124.39,125.73,2121191.0
2025-04-30,125.79,126.57,123.6,126.13,2952531.0
2025-05-01,126.4,128.09,125.43,127.41,2581172.0
2025-05-02,129.38,131.0,127.85,130.21,2624171.0
2025-05-05,130.0,130.06,128.28,128.59,1788010.0
2025-05-06,127.58,128.67,126.9,128.16,1281274.0
2025-05-07,127.81,128.81,127.38,127.5,1930518.0
2025-05-08,127.99,130.53,127.49,128.67,1939452.0
2025-05-09,128.85,128.85,126.03,128.67,2591779.0
2025-05-12,129.89,130.8,127.39,130.56,2185315.0
2025-05-13,131.0,132.05,130.46,130.72,2264506.0
2025-05-14,131.49,131.85,129.11,130.79,1786632.0
2025-05-15,131.94,135.65,131.75,135.52,3613737.0
2025-05-16,135.71,136.4,134.48,135.48,1849986.0
2025-05-19,135.88,137.72,135.18,137.2,2871000.0
2025-05-20,136.39,137.75,135.88,137.18,2705719.0
2025-05-21,138.5,138.82,134.88,134.95,2530360.0
2025-05-22,134.6,134.98,133.51,134.07,1674370.0
2025-05-23,131.85,133.39,131.32,132.35,2715617.0
2025-05-27,134.49,134.9,132.15,134.19,2244224.0
