date,open,high,low,close,volume
2025-02-26,114.61,114.79,112.26,113.0,4558425.0
2025-02-27,113.0,115.7,112.8,114.49,5639165.0
2025-02-28,115.12,116.09,114.27,115.81,7094803.0
2025-03-03,116.04,117.46,114.1,115.41,4946840.0
2025-03-04,114.99,115.27,112.0,112.06,7683533.0
2025-03-05,111.57,112.52,110.21,111.69,6141623.0
2025-03-06,110.01,110.43,104.94,105.47,10033816.0
2025-03-07,104.73,106.86,103.43,106.48,6782492.0
2025-03-10,105.84,106.0,99.8,101.13,8867786.0
2025-03-11,101.89,103.0,99.0,99.58,6178777.0
2025-03-12,100.3,100.3,96.97,98.69,5990498.0
2025-03-13,98.71,98.87,95.93,96.04,5199161.0
2025-03-14,96.52,98.25,96.15,98.11,4783074.0
2025-03-17,97.71,99.45,97.0,99.08,6412000.0
2025-03-18,99.23,99.37,97.68,98.28,4540452.0
2025-03-19,98.24,99.53,97.95,99.19,2124129.0
2025-03-20,98.85,99.69,98.67,99.28,3144629.0
2025-03-21,97.86,98.01,96.29,97.07,5825745.0
2025-03-24,98.03,98.2,95.64,95.72,4422127.0
2025-03-25,96.19,96.97,94.77,95.88,3848103.0
2025-03-26,96.0,98.39,96.0,97.97,5522355.0
2025-03-27,97.97,99.92,97.53,98.85,5311311.0
2025-03-28,98.0,98.49,97.06,97.73,4903968.0
2025-03-31,96.62,98.82,94.58,98.09,6323830.0
2025-04-01,97.85,98.9,97.12,98.23,3269338.0
2025-04-02,97.41,99.75,97.41,99.41,3443502.0
2025-04-03,93.35,93.39,87.65,88.26,14139333.0
2025-04-04,84.71,85.43,81.3,82.1,12769027.0
2025-04-07,78.62,83.27,76.15,80.0,17396709.0
2025-04-08,83.07,83.48,78.69,79.69,12885922.0
2025-04-09,79.23,89.13,77.92,88.68,16517215.0
2025-04-10,86.11,86.58,81.67,84.6,8618557.0
2025-04-11,84.43,85.82,82.08,85.43,5877803.0
2025-04-14,86.17,86.77,83.4,85.49,4704552.0
2025-04-15,85.5,86.06,83.46,83.71,3832223.0
2025-04-16,83.14,83.52,79.89,80.76,7018789.0
2025-04-17,81.25,82.55,81.2,81.5,5358941.0
2025-04-21,80.36,80.82,78.13,80.68,6607038.0
2025-04-22,81.91,83.49,81.62,81.75,5475731.0
2025-04-23,84.01,85.74,82.65,82.81,5137729.0
2025-04-24,82.39,84.14,81.58,83.86,3751946.0
2025-04-25,83.63,83.99,82.46,83.81,3163104.0
2025-04-28,84.33,85.06,83.27,83.9,3856686.0
2025-04-29,83.64,85.07,83.2,84.85,7578717.0
2025-04-30,76.37,80.28,75.5,80.05,29586372.0
2025-05-01,80.66,82.71,80.27,82.01,10457469.0
2025-05-02,82.59,84.83,82.05,84.69,8563014.0
2025-05-05,83.95,84.08,81.59,81.66,8639818.0
2025-05-06,81.0,83.37,80.61,82.78,6575450.0
2025-05-07,82.97,83.23,82.14,82.71,4536064.0
2025-05-08,83.34,83.6,81.69,82.19,5364456.0
2025-05-09,82.41,82.67,80.2,80.3,5239491.0
2025-05-12,83.48,86.54,83.48,85.67,11550932.0
2025-05-13,85.84,87.14,85.1,86.88,6964813.0
2025-05-14,86.71,87.63,85.74,86.53,7756316.0
2025-05-15,86.54,87.78,85.82,87.26,9780611.0
2025-05-16,86.62,86.91,84.27,85.57,8884259.0
2025-05-19,84.35,85.14,84.11,84.61,6379514.0
2025-05-20,84.51,86.15,84.45,85.59,5729492.0
2025-05-21,84.41,85.51,82.51,82.98,7009921.0
2025-05-22,83.22,84.48,82.72,83.97,5908170.0
2025-05-23,82.58,84.83,82.57,84.4,3836679.0
2025-05-27,85.43,87.09,85.22,87.01,7233204.0
2025-05-28,87.43,87.6,84.54,86.0,8012669.0
2025-05-29,84.96,85.71,83.69,84.05,6119997.0
2025-05-30,83.94,84.27,83.19,83.95,3746260.0
2025-06-02,83.28,85.3,83.19,85.19,4381002.0
2025-06-03,85.06,87.49,84.4,86.6,4805421.0
2025-06-04,86.63,88.54,86.02,88.11,4677015.0
2025-06-05,88.18,88.41,86.86,86.99,4894532.0
2025-06-06,88.4,89.89,88.24,89.64,4980786.0
2025-06-09,89.08,91.14,89.08,90.67,4540537.0
2025-06-10,90.04,91.89,89.53,91.43,3829775.0
2025-06-11,92.11,95.91,92.0,95.39,9364896.0
2025-06-12,94.68,95.07,93.96,94.32,3970934.0
2025-06-13,93.42,94.61,93.16,93.26,3279850.0
2025-06-16,93.98,94.43,92.94,93.48,3139782.0
2025-06-17,93.16,93.21,90.78,91.59,3231156.0
2025-06-18,91.88,92.58,91.23,92.28,3329624.0
2025-06-20,92.95,93.8,92.4,93.12,3861116.0
2025-06-23,93.2,93.21,90.74,92.34,4406400.0
2025-06-24,92.91,93.84,90.31,91.5,5430752.0
2025-06-25,91.76,92.0,90.61,91.1,3353486.0
2025-06-26,92.08,92.2,90.42,91.84,3720015.0
2025-06-27,91.89,92.72,90.33,92.11,4428690.0
2025-06-30,92.42,94.16,91.08,91.63,4974219.0
2025-07-01,91.54,95.86,91.54,94.92,5905966.0
2025-07-02,95.28,95.3,93.35,94.18,4676078.0
2025-07-03,94.2,94.65,93.76,94.44,1949635.0
2025-07-07,94.01,94.95,92.97,93.64,2905465.0
2025-07-08,94.07,95.75,93.78,94.94,3801856.0
2025-07-09,97.56,97.89,94.65,95.25,4594372.0
2025-07-10,94.88,95.74,93.55,95.15,4621535.0
2025-07-11,94.37,95.32,94.14,94.94,4009375.0
2025-07-14,93.68,93.97,92.27,93.42,3796498.0
2025-07-15,93.62,94.3,92.15,92.48,5597551.0
2025-07-16,92.66,93.28,91.56,92.51,4536992.0
2025-07-17,90.72,93.29,90.57,93.19,5010697.0
2025-07-18,94.04,94.46,93.25,93.8,2885716.0
2025-07-21,94.3,95.29,92.61,92.66,3984348.0
2025-07-22,92.95,97.16,92.85,96.94,6638615.0
2025-07-23,97.37,98.18,95.53,95.92,5049421.0
2025-07-24,95.51,95.58,93.42,93.7,4663092.0
2025-07-25,93.34,94.48,92.31,94.42,4294092.0
2025-07-28,94.93,95.74,93.46,93.67,6878071.0
2025-07-29,93.25,94.39,91.77,92.96,9789803.0
2025-07-30,97.84,98.89,90.07,92.76,33999792.0
2025-07-31,91.69,93.07,88.43,89.16,10875526.0
2025-08-01,88.41,88.5,85.49,86.86,10750889.0
2025-08-04,87.08,90.11,86.94,89.78,7411685.0
2025-08-05,89.68,90.56,89.31,90.2,3921933.0
2025-08-06,90.21,90.36,88.82,88.99,4427507.0
2025-08-07,89.73,91.36,89.49,91.02,5638433.0
2025-08-08,90.77,92.21,90.75,92.12,4869475.0
2025-08-11,92.12,92.44,90.49,91.74,5582299.0
2025-08-12,93.42,94.85,93.08,93.37,5478951.0
2025-08-13,93.18,94.69,92.74,94.18,2952580.0
2025-08-14,93.4,93.61,92.08,93.06,4477199.0
2025-08-15,92.46,92.73,90.37,90.6,4688211.0
2025-08-18,90.31,93.58,89.9,92.54,3809770.0
2025-08-19,92.59,92.97,90.73,90.93,3291509.0
2025-08-20,90.96,91.32,89.45,89.51,3370680.0
2025-08-21,89.03,89.19,88.11,88.56,3173152.0
2025-08-22,89.13,89.85,88.3,88.38,4686424.0
2025-08-25,88.22,88.32,85.71,85.81,7460806.0
2025-08-26,85.89,87.2,85.57,86.63,4981410.0
2025-08-27,86.63,88.31,86.5,87.66,3908438.0
2025-08-28,88.22,88.46,87.6,88.02,4768200.0
2025-08-29,88.0,88.57,87.4,88.19,3817352.0
2025-09-02,87.84,89.99,87.18,89.78,6078423.0
2025-09-03,89.35,89.48,86.29,87.25,6740305.0
2025-09-04,87.17,87.77,86.39,87.01,4139705.0
2025-09-05,86.86,87.35,85.06,85.43,5647562.0
2025-09-08,85.55,85.55,83.68,84.17,5278693.0
2025-09-09,84.2,84.68,83.27,83.81,5315277.0
2025-09-10,83.87,84.0,82.77,82.88,5103342.0
2025-09-11,83.29,83.93,82.13,82.36,8027374.0
2025-09-12,82.37,82.55,81.2,81.9,6277837.0
2025-09-15,82.02,83.87,81.98,82.68,5552666.0
2025-09-16,83.03,84.73,83.0,84.37,6169477.0
2025-09-17,84.48,84.86,82.96,83.22,3902844.0
2025-09-18,83.22,83.6,82.63,83.42,4237786.0
2025-09-19,83.99,85.22,83.38,84.56,6912417.0
2025-09-22,84.23,85.4,83.69,85.29,4172799.0
2025-09-23,85.15,86.18,84.85,85.69,5530103.0
2025-09-24,85.58,85.65,84.13,84.27,4815849.0
2025-09-25,84.54,84.67,82.89,83.83,5456586.0
2025-09-26,83.82,84.62,82.9,83.39,4041016.0
2025-09-29,83.65,85.84,83.55,85.64,5960935.0
2025-09-30,85.23,85.25,84.17,84.6,4066472.0
2025-10-01,84.41,85.14,83.96,84.4,4358555.0
2025-10-02,84.25,87.26,84.03,86.72,5209858.0
2025-10-03,86.5,86.91,85.96,86.42,4365184.0
2025-10-06,86.29,86.29,82.06,82.11,9504011.0
2025-10-07,82.18,82.46,80.79,81.29,6058597.0
2025-10-08,81.13,81.13,79.93,80.04,7539674.0
2025-10-09,79.98,80.46,79.43,79.78,5927153.0
2025-10-10,79.66,81.21,78.41,78.46,6898406.0
2025-10-13,78.85,80.44,78.51,80.03,4848819.0
2025-10-14,79.25,81.48,79.03,81.15,4474276.0
2025-10-15,81.7,83.32,81.57,82.86,7098301.0
2025-10-16,83.15,84.89,83.04,84.34,7515459.0
2025-10-17,84.38,85.94,84.02,85.36,4660331.0
2025-10-20,85.69,86.34,84.43,84.53,4353295.0
2025-10-21,84.14,86.51,83.65,85.9,5090477.0
2025-10-22,85.66,86.0,84.9,85.5,2776871.0
2025-10-23,85.44,85.9,84.98,85.44,2563065.0
2025-10-24,86.09,86.84,85.86,86.09,3187218.0
2025-10-27,86.18,87.44,86.11,87.22,3696180.0
2025-10-28,86.9,87.54,85.31,85.43,6159812.0
2025-10-29,84.25,84.89,83.28,84.17,7832603.0
2025-10-30,82.23,86.05,81.25,83.15,11812501.0
2025-10-31,82.77,82.79,80.22,80.87,8203052.0
2025-11-03,80.92,81.92,80.6,80.96,5281056.0
2025-11-04,81.17,81.2,78.0,79.6,11817069.0
2025-11-05,79.58,83.11,79.04,82.88,12378847.0
2025-11-06,82.56,83.85,81.86,82.22,6367182.0
2025-11-07,82.34,85.95,81.76,85.57,8509388.0
2025-11-10,86.21,86.21,84.03,84.6,5700877.0
2025-11-11,84.98,87.04,84.9,86.42,5887319.0
2025-11-12,87.73,89.06,87.13,87.26,7217221.0
2025-11-13,86.76,87.29,86.18,86.44,6155353.0
2025-11-14,85.74,86.5,84.0,84.78,8377588.0
2025-11-17,85.19,86.85,83.45,83.69,4699991.0
2025-11-18,83.61,83.84,82.34,83.33,3684276.0
2025-11-19,83.26,84.39,83.03,83.68,3213617.0
2025-11-20,84.03,85.23,82.54,82.62,5434003.0
2025-11-21,82.87,86.58,82.52,85.35,5667811.0
2025-11-24,85.26,85.59,82.83,83.34,6096822.0
2025-11-25,82.75,86.02,82.74,85.91,5758006.0
2025-11-26,85.53,87.29,85.5,86.7,4575427.0
2025-11-28,87.03,87.28,86.4,87.11,2117116.0
2025-12-01,86.21,86.51,84.77,84.91,5425776.0
2025-12-02,85.03,86.0,84.22,85.2,4649264.0
2025-12-03,85.03,87.5,84.97,87.11,6077119.0
