date,open,high,low,close,volume
2025-02-26,79.39,80.12,78.38,78.7,4736078.0
2025-02-27,79.0,79.54,78.19,78.43,4326027.0
2025-02-28,78.81,80.13,77.96,79.53,4930081.0
2025-03-03,79.9,79.95,77.65,78.12,6060368.0
2025-03-04,77.64,77.67,73.97,75.15,8303558.0
2025-03-05,75.12,77.1,74.97,76.74,6215661.0
2025-03-06,75.69,76.98,75.0,75.56,6443966.0
2025-03-07,75.09,75.9,72.48,74.63,7574676.0
2025-03-10,72.89,73.0,69.46,71.24,12046593.0
2025-03-11,70.74,73.06,70.72,72.47,6936650.0
2025-03-12,73.91,74.96,72.93,74.22,6968343.0
2025-03-13,74.59,74.72,72.93,73.51,4341887.0
2025-03-14,76.15,78.22,75.6,77.11,8816199.0
2025-03-17,76.47,78.32,76.24,77.77,3416635.0
2025-03-18,77.9,77.99,77.06,77.56,3229243.0
2025-03-19,78.09,79.41,77.37,78.73,3360470.0
2025-03-20,78.11,79.55,78.05,78.57,4048816.0
2025-03-21,78.03,78.77,77.72,78.39,5403718.0
2025-03-24,79.22,80.41,79.06,79.96,3583828.0
2025-03-25,80.33,81.03,79.92,80.75,3383819.0
2025-03-26,80.97,81.24,79.68,80.14,5264945.0
2025-03-27,79.65,80.61,79.16,79.6,3555989.0
2025-03-28,79.27,79.69,77.41,77.81,3734699.0
2025-03-31,77.37,78.78,76.97,78.28,4231267.0
2025-04-01,77.71,78.03,76.07,77.67,5022022.0
2025-04-02,77.88,79.18,77.27,78.59,5661769.0
2025-04-03,74.71,76.74,74.05,74.87,8799207.0
2025-04-04,72.01,72.88,68.59,69.06,14747038.0
2025-04-07,67.04,71.36,65.88,70.04,13806785.0
2025-04-08,72.25,74.55,69.08,69.93,13018039.0
2025-04-09,67.98,76.52,67.6,75.25,15725631.0
2025-04-10,74.19,74.41,71.23,73.85,7509879.0
2025-04-11,73.21,77.33,72.79,76.96,9904307.0
2025-04-14,78.34,78.49,76.3,76.92,4898163.0
2025-04-15,77.55,78.12,77.03,77.19,4027784.0
2025-04-16,76.32,76.75,74.59,75.7,7524941.0
2025-04-17,77.67,79.1,76.15,76.15,12195486.0
2025-04-21,75.64,75.97,73.76,74.95,4549387.0
2025-04-22,75.48,77.06,75.43,76.58,5329325.0
2025-04-23,78.28,80.02,77.65,77.85,5537990.0
2025-04-24,77.94,79.5,77.51,79.38,4171187.0
2025-04-25,80.23,81.14,79.29,79.94,3911749.0
2025-04-28,80.45,80.48,79.3,80.18,2904453.0
2025-04-29,80.21,81.47,79.61,81.26,3976583.0
2025-04-30,79.95,81.66,79.47,81.4,3494446.0
2025-05-01,81.13,82.07,80.98,81.51,3462684.0
2025-05-02,83.07,83.68,82.63,83.11,5248436.0
2025-05-05,82.67,83.86,82.03,83.37,2607446.0
2025-05-06,82.71,83.58,82.39,82.83,2708344.0
2025-05-07,83.21,84.26,83.18,84.01,5797757.0
2025-05-08,84.56,85.19,83.8,84.37,4965877.0
2025-05-09,84.56,84.74,83.62,84.47,3450175.0
2025-05-12,86.99,87.0,84.06,85.37,5646668.0
2025-05-13,85.51,86.87,85.11,86.22,5324987.0
2025-05-14,85.81,87.29,85.78,87.16,5653848.0
2025-05-15,87.21,88.37,86.95,88.11,3917047.0
2025-05-16,88.42,88.87,87.72,88.69,3132598.0
2025-05-19,88.56,89.39,88.24,89.23,3210841.0
2025-05-20,89.11,89.85,88.8,89.18,3427632.0
2025-05-21,88.92,88.92,87.32,87.58,4135568.0
2025-05-22,87.22,87.67,86.95,87.31,3671159.0
2025-05-23,86.25,87.77,86.03,87.4,2817570.0
2025-05-27,88.14,88.95,87.61,88.63,3406544.0
2025-05-28,88.44,88.6,87.98,88.05,2489898.0
2025-05-29,88.34,88.5,87.16,87.76,4050230.0
2025-05-30,87.57,88.52,86.94,88.34,4406281.0
2025-06-02,87.76,88.17,86.91,88.11,3378135.0
2025-06-03,87.97,88.52,87.45,88.0,3577758.0
2025-06-04,88.02,88.23,87.32,87.48,3151892.0
