date,open,high,low,close,volume
2025-02-26,356.44,364.94,355.0,359.59,1410462.0
2025-02-27,358.65,362.2,355.2,355.51,956492.0
2025-02-28,359.21,362.87,357.09,362.27,1424786.0
2025-03-03,364.27,364.27,354.72,356.73,1182703.0
2025-03-04,355.56,360.54,353.13,355.28,1319534.0
2025-03-05,356.56,363.17,355.28,362.32,875891.0
2025-03-06,358.19,364.99,356.96,360.08,1074817.0
2025-03-07,361.98,365.11,355.46,363.62,926193.0
2025-03-10,355.9,364.23,354.89,357.78,1331649.0
2025-03-11,358.0,359.75,351.12,353.02,1003966.0
2025-03-12,357.19,357.25,348.68,349.83,580642.0
2025-03-13,350.61,354.62,341.53,342.1,1006481.0
2025-03-14,343.95,345.3,339.19,341.78,952727.0
2025-03-17,339.6,344.23,337.62,342.25,845403.0
2025-03-18,339.22,341.5,334.89,335.53,657375.0
2025-03-19,334.62,336.93,330.15,334.92,1037864.0
2025-03-20,332.73,341.98,332.73,336.03,752677.0
2025-03-21,332.93,336.27,327.86,334.41,1377717.0
2025-03-24,339.72,343.35,336.11,342.71,983625.0
2025-03-25,341.86,343.72,338.99,341.16,489429.0
2025-03-26,342.0,345.78,340.05,344.42,685255.0
2025-03-27,346.0,347.35,342.89,345.65,751924.0
2025-03-28,347.23,348.11,339.11,339.75,602421.0
2025-03-31,339.1,351.15,338.57,349.19,834069.0
2025-04-01,349.23,351.84,345.56,350.57,561464.0
2025-04-02,347.82,353.94,346.06,353.66,714171.0
2025-04-03,345.12,347.22,339.19,340.65,1038145.0
2025-04-04,339.62,348.75,330.98,332.06,2377571.0
2025-04-07,324.84,336.69,316.75,322.81,1280069.0
2025-04-08,327.46,331.99,308.84,313.51,1449529.0
2025-04-09,312.23,339.11,309.72,336.25,1527727.0
2025-04-10,332.95,334.4,318.33,329.91,1154457.0
2025-04-11,320.42,337.76,320.42,336.77,1079374.0
2025-04-14,339.02,342.73,336.0,341.02,686803.0
2025-04-15,339.3,341.92,336.32,336.88,545161.0
2025-04-16,334.56,337.69,329.29,331.28,656015.0
2025-04-17,338.14,338.14,330.61,333.38,1187937.0
2025-04-21,331.87,331.87,319.41,322.3,622709.0
2025-04-22,326.19,332.65,325.17,331.96,541670.0
2025-04-23,337.44,340.34,330.19,331.25,583070.0
2025-04-24,332.3,335.34,328.8,334.44,458693.0
2025-04-25,334.16,334.49,328.69,331.62,647964.0
2025-04-28,332.61,335.62,328.88,332.2,878745.0
2025-04-29,345.3,352.5,339.42,348.13,1292260.0
2025-04-30,346.49,354.76,346.01,352.92,903619.0
2025-05-01,353.39,357.0,351.71,353.64,642619.0
2025-05-02,357.15,361.45,357.15,359.64,629200.0
2025-05-05,358.74,365.57,358.18,359.82,742834.0
2025-05-06,356.38,358.62,352.29,352.52,535436.0
2025-05-07,352.52,353.99,349.96,351.58,449449.0
2025-05-08,353.21,357.1,350.81,353.57,441329.0
2025-05-09,352.48,353.78,350.21,351.86,332781.0
2025-05-12,359.0,363.44,356.06,357.15,572300.0
2025-05-13,358.3,358.78,355.33,356.04,560789.0
2025-05-14,356.57,356.57,350.81,351.37,342942.0
2025-05-15,352.69,362.17,352.27,361.45,626566.0
2025-05-16,360.52,363.55,359.09,363.51,360018.0
2025-05-19,359.2,362.31,358.06,362.0,503077.0
2025-05-20,362.93,362.93,357.53,359.1,479467.0
2025-05-21,355.89,357.87,352.2,353.94,582340.0
2025-05-22,353.09,355.11,351.39,352.94,397166.0
2025-05-23,350.8,353.58,348.08,352.51,319514.0
2025-05-27,355.01,360.08,354.14,359.32,480546.0
2025-05-28,358.8,359.21,354.63,354.73,307374.0
2025-05-29,356.62,357.6,352.9,355.75,246998.0
2025-05-30,354.91,359.12,352.46,358.81,686927.0
2025-06-02,355.8,355.8,351.18,355.44,817290.0
