date,open,high,low,close,volume
2025-02-26,70.03,74.25,68.19,72.85,11494844.0
2025-02-27,72.45,73.16,71.68,71.9,6854051.0
2025-02-28,72.63,73.04,70.57,71.57,5142416.0
2025-03-03,71.01,72.58,70.79,71.44,2394289.0
2025-03-04,71.35,71.61,70.08,70.63,4091047.0
2025-03-05,70.75,72.14,69.33,71.9,3692915.0
2025-03-06,71.5,71.9,69.06,69.62,3421539.0
2025-03-07,69.47,69.64,67.82,69.3,3691949.0
2025-03-10,69.1,69.72,67.45,69.47,6193606.0
2025-03-11,69.69,70.7,68.47,68.79,4392163.0
2025-03-12,69.11,69.86,68.48,68.95,2331728.0
2025-03-13,68.48,69.38,67.6,67.85,2697505.0
2025-03-14,68.5,70.35,67.88,70.21,3594281.0
2025-03-17,70.21,71.81,70.0,71.06,2345503.0
2025-03-18,70.45,71.33,70.11,70.75,2060687.0
2025-03-19,70.91,71.2,70.33,71.09,3589582.0
2025-03-20,70.19,70.89,69.69,70.0,2642966.0
2025-03-21,69.72,70.22,69.16,69.54,2518986.0
2025-03-24,70.01,70.76,69.71,70.26,1592709.0
2025-03-25,70.26,70.26,68.77,69.11,1739355.0
2025-03-26,69.35,70.98,69.3,70.77,2093948.0
2025-03-27,70.5,70.72,69.92,70.06,1813699.0
2025-03-28,70.48,70.5,69.62,69.73,1675103.0
2025-03-31,69.95,71.64,69.74,71.36,2453727.0
2025-04-01,71.09,71.68,70.35,71.56,1902019.0
2025-04-02,71.12,73.11,71.12,72.84,2320811.0
2025-04-03,72.16,73.42,70.65,70.73,3603752.0
2025-04-04,70.23,70.45,65.36,65.88,3781855.0
2025-04-07,64.6,66.42,61.9,63.91,6643442.0
2025-04-08,65.85,66.5,62.66,63.78,3212093.0
2025-04-09,63.39,68.31,62.38,68.06,3706237.0
2025-04-10,67.15,67.87,65.07,66.9,2720378.0
2025-04-11,67.03,68.62,65.65,68.31,2269429.0
2025-04-14,69.19,70.14,68.58,69.73,1990977.0
2025-04-15,69.87,70.53,69.66,70.22,1382684.0
2025-04-16,69.98,71.26,69.7,70.39,1715001.0
2025-04-17,70.76,71.96,70.22,71.12,2229581.0
2025-04-21,70.53,71.07,69.08,70.46,3302036.0
2025-04-22,71.35,72.46,70.95,72.31,2909014.0
2025-04-23,73.06,74.25,72.56,73.31,2464129.0
2025-04-24,73.21,74.76,72.7,74.52,2583523.0
2025-04-25,74.54,75.23,74.21,74.68,2487828.0
2025-04-28,74.79,75.92,74.31,75.6,2973461.0
2025-04-29,75.31,76.06,75.14,75.35,1932848.0
2025-04-30,74.94,75.08,72.99,74.27,1768873.0
2025-05-01,74.38,75.22,73.44,74.7,1430465.0
2025-05-02,75.1,76.04,74.81,75.47,1579252.0
2025-05-05,75.1,75.74,74.55,75.36,1915761.0
2025-05-06,75.04,76.05,74.45,75.07,1288905.0
2025-05-07,74.86,76.3,74.52,75.86,1967653.0
2025-05-08,75.9,77.59,75.56,75.77,1911491.0
2025-05-09,75.26,76.34,74.84,75.42,1243247.0
2025-05-12,76.14,76.14,74.81,75.67,2104081.0
2025-05-13,75.47,76.6,75.04,75.13,2303703.0
2025-05-14,75.08,75.09,73.33,74.86,2736371.0
2025-05-15,75.0,76.68,75.0,76.47,1536968.0
2025-05-16,76.67,77.68,76.01,77.61,1713123.0
2025-05-19,77.39,78.47,77.12,78.43,2084174.0
2025-05-20,78.76,78.98,78.1,78.23,1763493.0
2025-05-21,78.0,78.57,76.8,76.83,1767271.0
2025-05-22,76.41,77.17,75.72,76.75,1371517.0
2025-05-23,76.79,77.78,76.14,77.69,1263099.0
2025-05-27,78.79,79.25,78.0,78.91,1254035.0
2025-05-28,78.78,79.24,77.02,77.5,1567542.0
2025-05-29,77.55,77.97,77.11,77.95,1050240.0
2025-05-30,77.51,78.81,77.37,78.59,2430851.0
2025-06-02,77.88,78.59,77.5,78.02,1232066.0
2025-06-03,78.0,78.01,76.71,77.79,1795165.0
2025-06-04,77.64,77.75,76.36,76.43,1483527.0
2025-06-05,76.45,76.72,75.75,75.95,1302179.0
2025-06-06,76.61,76.9,75.84,76.85,1339401.0
2025-06-09,76.74,77.09,74.43,74.69,3535288.0
2025-06-10,74.93,76.17,74.84,75.97,1734594.0
2025-06-11,76.07,76.45,75.59,75.98,1437833.0
2025-06-12,75.68,76.31,75.55,76.23,1082582.0
2025-06-13,76.06,76.28,73.59,74.08,1820641.0
2025-06-16,74.83,75.05,73.39,73.78,1514043.0
2025-06-17,73.49,74.28,73.06,74.08,1063154.0
2025-06-18,74.2,75.07,73.83,74.39,1204331.0
2025-06-20,74.6,75.36,73.92,74.06,2129842.0
2025-06-23,74.4,75.87,74.18,75.79,2505184.0
2025-06-24,75.79,76.37,75.39,76.09,1412090.0
2025-06-25,75.58,75.9,74.77,75.02,1014721.0
2025-06-26,74.46,74.95,73.61,74.94,2542893.0
2025-06-27,75.08,75.9,74.75,75.36,1807867.0
2025-06-30,75.3,75.83,74.95,75.77,1231718.0
2025-07-01,75.53,76.92,75.19,76.18,2274404.0
2025-07-02,75.9,76.07,74.55,74.82,1896210.0
2025-07-03,74.73,75.34,74.3,75.12,921582.0
2025-07-07,74.89,75.31,74.1,74.39,1154824.0
2025-07-08,74.02,74.7,73.34,74.32,1979489.0
2025-07-09,74.57,74.84,73.18,74.49,2812636.0
2025-07-10,73.84,75.05,73.83,74.9,1047284.0
2025-07-11,74.07,75.02,73.84,74.56,1361419.0
2025-07-14,74.5,75.08,73.97,74.55,1162964.0
2025-07-15,74.59,74.75,73.84,74.14,1206461.0
2025-07-16,74.14,75.46,73.99,75.24,1298960.0
2025-07-17,74.99,76.4,74.82,76.29,1187432.0
2025-07-18,76.5,78.46,76.43,78.25,1903297.0
2025-07-21,78.28,78.83,77.87,78.57,1589334.0
2025-07-22,78.3,79.83,78.21,79.8,1804124.0
2025-07-23,80.0,80.49,78.71,79.38,1153371.0
2025-07-24,79.42,80.84,79.2,80.46,1469637.0
2025-07-25,80.52,80.97,79.9,80.82,1085016.0
2025-07-28,80.72,80.74,79.82,80.31,1086976.0
2025-07-29,80.75,81.43,80.54,81.15,1710869.0
2025-07-30,81.45,81.95,80.66,81.18,1900800.0
2025-07-31,80.77,82.15,80.77,81.68,1638097.0
2025-08-01,81.66,81.78,80.45,80.97,1075616.0
2025-08-04,81.54,83.49,81.4,82.98,2081278.0
2025-08-05,83.25,83.26,80.65,82.37,2367109.0
2025-08-06,82.43,82.92,80.89,81.15,2496612.0
2025-08-07,81.49,83.24,81.0,82.59,3550913.0
2025-08-08,82.47,83.5,81.04,81.71,1953185.0
2025-08-11,81.75,81.99,80.39,80.9,1998977.0
2025-08-12,81.04,82.12,80.71,82.09,1412186.0
2025-08-13,82.29,82.65,81.58,82.22,802409.0
2025-08-14,81.89,82.52,81.36,81.88,1177916.0
2025-08-15,81.75,81.95,80.98,81.23,1936925.0
2025-08-18,81.13,81.45,80.54,80.99,940833.0
2025-08-19,81.16,82.81,81.16,82.65,1419323.0
2025-08-20,82.89,83.44,82.14,82.4,1169885.0
2025-08-21,82.34,82.71,81.11,81.13,1491912.0
2025-08-22,81.89,83.02,81.2,82.9,1017673.0
2025-08-25,82.16,82.46,81.5,81.69,1064854.0
2025-08-26,81.44,82.53,81.15,81.78,1503511.0
2025-08-27,81.89,82.47,81.83,82.26,1140791.0
2025-08-28,82.26,82.33,81.31,81.44,1059743.0
2025-08-29,81.11,83.36,81.03,82.56,1595183.0
2025-09-02,82.0,83.24,81.58,82.89,2086208.0
