date,open,high,low,close,volume
2025-02-26,100.32,101.35,99.7,100.27,1157033.0
2025-02-27,102.57,103.84,100.59,100.67,3052559.0
2025-02-28,100.25,102.29,99.68,101.91,2458660.0
2025-03-03,102.95,103.87,99.78,100.06,1997218.0
2025-03-04,98.8,99.62,94.01,94.08,4848220.0
2025-03-05,93.75,93.77,90.19,92.43,3342079.0
2025-03-06,90.55,90.67,86.39,86.64,3285739.0
2025-03-07,87.1,89.77,86.3,88.0,2948866.0
2025-03-10,87.21,87.95,84.36,86.41,2515424.0
2025-03-11,86.41,87.96,85.4,86.97,2031495.0
2025-03-12,87.9,89.47,86.26,86.73,1388248.0
2025-03-13,86.79,87.45,85.0,85.62,783778.0
2025-03-14,86.95,88.63,86.93,87.9,1287282.0
2025-03-17,87.64,91.06,87.64,90.51,1370542.0
2025-03-18,90.48,90.57,88.44,88.64,1000014.0
2025-03-19,88.27,89.64,88.18,88.93,1171933.0
2025-03-20,88.31,89.78,88.29,88.38,682484.0
2025-03-21,87.9,88.69,86.6,88.27,1060604.0
2025-03-24,89.41,90.07,88.48,88.79,906860.0
2025-03-25,88.32,88.44,85.73,87.96,1659343.0
2025-03-26,87.6,88.19,85.94,87.63,1702967.0
2025-03-27,87.24,89.25,86.3,87.5,1788852.0
2025-03-28,87.07,87.36,84.33,84.92,862439.0
2025-03-31,84.49,85.31,82.87,84.95,1401311.0
2025-04-01,84.6,85.33,83.31,84.54,1117298.0
2025-04-02,83.74,86.34,83.52,85.52,1008922.0
2025-04-03,80.18,81.16,71.28,71.53,7595957.0
2025-04-04,68.66,68.68,63.95,66.73,6342130.0
2025-04-07,65.0,72.56,64.18,68.66,4587116.0
2025-04-08,70.99,72.43,65.4,66.54,3744522.0
2025-04-09,65.74,76.02,63.19,74.29,7185555.0
2025-04-10,71.76,72.48,68.65,69.74,3411873.0
2025-04-11,69.28,71.21,67.63,70.15,2285426.0
2025-04-14,74.93,75.23,71.6,72.67,2014485.0
2025-04-15,72.26,73.5,71.85,72.0,1428779.0
2025-04-16,71.52,73.12,71.29,72.82,3024749.0
2025-04-17,73.49,76.44,72.89,75.78,2892376.0
2025-04-21,74.45,74.65,72.62,73.93,1442245.0
2025-04-22,74.7,75.91,74.6,75.36,1033354.0
2025-04-23,79.15,81.18,77.56,78.09,2528371.0
2025-04-24,79.16,83.27,79.13,83.04,2692499.0
2025-04-25,83.38,83.81,82.0,82.7,2472087.0
2025-04-28,82.21,82.89,80.56,82.16,1557736.0
2025-04-29,81.59,82.68,81.22,81.6,3743233.0
2025-04-30,87.14,91.51,85.47,91.03,7458615.0
2025-05-01,92.0,93.17,89.89,90.01,3149861.0
2025-05-02,91.55,93.29,91.29,93.07,1748821.0
2025-05-05,92.01,94.33,91.98,93.58,1453761.0
