date,open,high,low,close,volume
2025-02-26,179.47,180.25,176.44,178.35,3344802.0
2025-02-27,172.42,174.3,170.7,173.24,1903150.0
2025-02-28,174.97,176.7,173.03,175.5,1510504.0
2025-03-03,176.01,178.19,173.88,175.28,1492545.0
2025-03-04,174.24,175.86,170.73,172.56,2154381.0
2025-03-05,172.96,176.0,171.81,174.18,1537157.0
2025-03-06,172.97,179.53,171.51,178.95,2024084.0
2025-03-07,178.48,188.7,178.22,186.25,2557219.0
2025-03-10,185.94,192.43,185.38,189.47,2042439.0
2025-03-11,188.22,189.09,182.66,185.26,1215503.0
2025-03-12,182.83,184.25,181.45,183.85,1302665.0
2025-03-13,182.97,186.29,180.45,181.59,1559051.0
2025-03-14,182.49,183.89,180.34,181.33,789778.0
2025-03-17,183.29,186.5,182.2,183.61,833775.0
2025-03-18,182.0,182.0,179.11,179.35,755013.0
2025-03-19,178.94,179.78,176.46,179.0,858651.0
2025-03-20,177.39,182.01,177.33,178.88,826065.0
2025-03-21,178.02,180.47,177.29,177.42,1360036.0
2025-03-24,178.5,180.75,177.18,180.28,704816.0
2025-03-25,179.92,180.48,177.41,178.36,516886.0
2025-03-26,178.46,184.34,178.0,184.11,706906.0
2025-03-27,183.5,185.17,182.08,184.31,692008.0
2025-03-28,184.84,186.74,182.26,183.74,574033.0
2025-03-31,181.86,185.35,180.9,183.52,842557.0
2025-04-01,184.6,185.21,182.85,184.81,606594.0
2025-04-02,184.92,187.15,181.65,182.73,1144888.0
2025-04-03,182.64,186.43,180.22,181.49,1345821.0
2025-04-04,181.42,181.48,173.49,173.86,1593248.0
2025-04-07,170.0,179.94,169.51,172.59,1862496.0
2025-04-08,176.16,179.55,168.5,170.96,2345531.0
2025-04-09,168.47,184.11,168.0,183.4,2506665.0
2025-04-10,175.93,186.73,175.1,184.75,4102634.0
2025-04-11,180.88,187.34,179.08,185.63,2169686.0
2025-04-14,186.77,189.78,184.01,187.27,1088873.0
2025-04-15,187.2,187.65,183.56,183.86,793904.0
2025-04-16,184.13,185.44,181.92,183.03,602193.0
2025-04-17,184.04,187.17,183.04,186.63,572080.0
2025-04-21,186.45,187.77,183.1,187.26,1117933.0
2025-04-22,188.62,190.77,186.91,187.0,1159746.0
2025-04-23,187.27,189.73,184.91,187.28,940627.0
2025-04-24,186.83,187.99,185.02,187.5,915905.0
2025-04-25,186.54,188.0,183.73,185.35,481636.0
2025-04-28,186.0,187.4,184.82,185.75,715145.0
2025-04-29,184.0,186.9,182.62,186.28,642549.0
2025-04-30,187.56,188.61,184.99,187.54,462955.0
2025-05-01,187.56,188.45,185.25,185.44,632898.0
2025-05-02,187.09,188.17,185.33,186.97,532605.0
2025-05-05,187.09,188.47,186.2,187.44,582228.0
2025-05-06,187.32,187.76,185.57,187.07,565445.0
2025-05-07,188.2,190.53,187.82,189.79,647966.0
2025-05-08,188.91,192.61,188.64,191.39,610327.0
2025-05-09,190.91,191.95,189.61,190.07,579149.0
2025-05-12,190.2,191.65,187.08,189.9,714208.0
2025-05-13,189.35,190.58,187.56,187.67,632269.0
2025-05-14,187.0,187.53,183.36,186.76,1004051.0
2025-05-15,187.51,190.87,186.73,190.65,699527.0
