date,open,high,low,close,volume
2025-02-26,52.7,53.79,52.43,53.52,2087864.0
2025-02-27,53.62,53.7,51.67,51.69,1253739.0
2025-02-28,51.06,52.16,50.88,52.07,1745399.0
2025-03-03,53.05,53.25,50.0,50.1,1839515.0
2025-03-04,48.94,49.11,46.46,46.69,3306567.0
2025-03-05,48.7,49.5,48.03,48.29,2757387.0
2025-03-06,47.26,48.16,46.52,46.74,2373899.0
2025-03-07,46.78,46.87,45.1,46.53,2636060.0
2025-03-10,45.61,45.67,43.0,43.19,2925000.0
2025-03-11,44.1,44.21,42.82,43.56,2282451.0
2025-03-12,44.86,45.18,44.12,44.25,2404359.0
2025-03-13,43.97,44.47,43.23,43.43,1695646.0
2025-03-14,44.09,44.62,43.89,44.27,1400747.0
2025-03-17,45.13,45.69,45.08,45.24,1925712.0
2025-03-18,45.08,45.33,44.62,45.07,2070206.0
2025-03-19,44.85,46.3,44.78,46.0,2462343.0
2025-03-20,45.92,46.01,45.5,45.71,1119859.0
2025-03-21,44.98,45.21,44.05,44.21,2871964.0
2025-03-24,44.52,45.15,44.37,45.02,1732225.0
2025-03-25,45.25,46.24,44.63,45.57,2794158.0
2025-03-26,45.17,45.56,44.7,45.28,2307374.0
2025-03-27,44.15,45.65,43.98,45.4,2513705.0
2025-03-28,45.57,46.07,44.21,44.51,2698758.0
2025-03-31,43.95,45.23,43.53,45.06,2282986.0
2025-04-01,45.28,45.63,44.3,45.62,2018351.0
2025-04-02,45.1,47.12,45.05,47.06,2135717.0
2025-04-03,44.2,44.6,42.58,42.71,4192605.0
2025-04-04,40.86,42.24,39.22,41.06,3706212.0
2025-04-07,38.36,41.51,37.76,39.41,4304196.0
2025-04-08,40.72,40.89,37.48,38.19,3160289.0
2025-04-09,37.85,42.95,37.01,42.68,4044799.0
2025-04-10,41.24,41.45,39.21,40.27,2823068.0
2025-04-11,39.2,41.03,38.41,40.8,2799676.0
2025-04-14,41.93,41.95,40.81,41.44,1613431.0
2025-04-15,41.41,42.13,40.95,41.11,1937818.0
2025-04-16,41.12,41.34,40.31,40.77,1897675.0
2025-04-17,40.88,41.77,40.78,41.35,2350335.0
2025-04-21,41.1,41.35,40.35,40.78,1688724.0
2025-04-22,40.9,42.03,40.57,41.54,1683777.0
2025-04-23,41.95,43.54,41.58,41.92,3070443.0
2025-04-24,41.28,42.69,41.24,42.45,2980284.0
2025-04-25,42.69,42.69,41.82,42.23,1199053.0
2025-04-28,42.39,43.39,42.08,42.55,1621216.0
2025-04-29,42.37,42.82,41.94,42.35,1368273.0
2025-04-30,41.23,42.22,40.57,42.02,2568756.0
2025-05-01,41.44,42.18,40.41,40.47,1723499.0
2025-05-02,41.22,41.78,40.73,41.28,1347376.0
