date,open,high,low,close,volume
2025-02-26,88.48,88.6,87.36,87.42,510278.0
2025-02-27,86.89,87.13,85.54,85.61,663356.0
2025-02-28,86.01,87.19,85.34,86.53,1291809.0
2025-03-03,87.38,87.79,83.8,84.08,1438254.0
2025-03-04,81.91,83.52,80.99,81.45,1898969.0
2025-03-05,82.17,84.77,82.15,83.63,997481.0
2025-03-06,83.47,85.44,82.82,85.11,1024982.0
2025-03-07,85.05,89.33,84.58,88.97,1372218.0
2025-03-10,88.19,90.25,86.56,86.71,1197252.0
2025-03-11,86.26,86.74,82.82,82.86,1247548.0
2025-03-12,83.76,83.76,81.07,81.16,776040.0
2025-03-13,80.77,82.06,79.34,79.4,743975.0
2025-03-14,80.65,81.35,79.87,80.97,517998.0
2025-03-17,81.0,81.91,80.78,81.55,465490.0
2025-03-18,81.12,81.99,80.68,81.32,532879.0
2025-03-19,81.08,82.43,80.36,82.16,524015.0
2025-03-20,81.33,81.78,80.22,80.52,738169.0
2025-03-21,79.8,80.11,78.89,79.56,853891.0
2025-03-24,80.56,82.2,80.53,82.0,726201.0
2025-03-25,81.0,81.56,79.7,80.47,857475.0
2025-03-26,79.27,80.43,77.34,78.44,877111.0
2025-03-27,78.38,79.06,77.29,77.71,895710.0
2025-03-28,78.31,78.65,76.25,76.43,1026369.0
2025-03-31,75.61,77.49,74.31,76.88,846257.0
2025-04-01,76.8,76.82,75.45,76.14,990491.0
2025-04-02,75.1,77.14,75.0,76.98,1134321.0
2025-04-03,71.2,71.3,64.65,64.66,3879363.0
2025-04-04,63.0,63.56,57.77,62.88,4804494.0
2025-04-07,60.74,63.98,58.3,59.27,4307069.0
2025-04-08,61.6,61.6,54.89,55.86,4784844.0
2025-04-09,54.68,64.56,53.91,64.22,5604929.0
2025-04-10,61.71,61.73,55.87,58.68,3135395.0
2025-04-11,58.44,59.39,56.38,59.01,2306673.0
2025-04-14,60.79,60.79,58.92,60.1,1563770.0
2025-04-15,59.64,60.84,58.83,58.86,1079449.0
2025-04-16,58.21,59.1,56.34,56.81,1133011.0
2025-04-17,56.75,58.18,56.72,57.21,1796772.0
2025-04-21,56.13,57.16,55.38,56.37,1789741.0
2025-04-22,57.16,59.13,57.16,58.38,1192858.0
2025-04-23,60.69,63.75,59.13,59.14,1725510.0
2025-04-24,59.91,62.01,59.14,61.92,998465.0
2025-04-25,61.61,62.37,61.17,61.58,1149109.0
2025-04-28,61.62,63.35,61.13,61.28,1296227.0
2025-04-29,61.0,61.96,60.59,61.26,1841264.0
2025-04-30,61.28,62.27,58.43,60.02,2723332.0
2025-05-01,60.32,60.69,58.53,58.94,2454404.0
2025-05-02,60.23,62.73,59.95,61.39,2227914.0
2025-05-05,61.3,61.3,59.92,60.08,1445030.0
2025-05-06,59.07,59.76,58.68,58.98,1058916.0
2025-05-07,59.19,60.19,58.23,58.93,1874080.0
2025-05-08,60.05,63.06,59.54,61.85,2538946.0
2025-05-09,62.32,63.42,62.2,62.67,1909993.0
2025-05-12,70.5,73.23,70.5,72.53,4618445.0
2025-05-13,73.8,74.67,72.5,73.82,2036276.0
2025-05-14,73.16,74.17,71.32,71.86,1302586.0
2025-05-15,71.28,71.48,70.21,70.7,1088784.0
2025-05-16,70.95,71.71,70.69,71.46,1051908.0
2025-05-19,69.59,70.69,68.54,70.62,1005835.0
2025-05-20,70.17,72.36,69.9,70.54,1780850.0
2025-05-21,69.25,69.72,66.21,66.48,1412272.0
2025-05-22,66.14,66.75,65.39,66.34,1209770.0
2025-05-23,64.25,65.89,64.12,65.52,1001423.0
2025-05-27,66.9,67.57,65.68,67.23,1094064.0
2025-05-28,67.22,67.4,65.96,66.14,797778.0
2025-05-29,68.1,68.59,65.6,66.53,1161870.0
2025-05-30,65.2,65.9,64.37,65.43,1625000.0
2025-06-02,64.9,65.01,63.15,63.95,1360047.0
2025-06-03,63.11,64.75,62.39,64.31,960327.0
2025-06-04,64.5,66.38,64.1,65.62,895392.0
2025-06-05,65.48,66.71,64.79,65.45,1159275.0
2025-06-06,66.53,67.21,65.5,66.14,992007.0
2025-06-09,67.34,68.12,66.87,67.21,1063386.0
2025-06-10,68.16,69.77,67.28,69.17,1432275.0
2025-06-11,69.89,70.0,67.51,68.13,1201395.0
2025-06-12,67.15,68.03,66.6,67.42,1021280.0
2025-06-13,65.82,66.81,64.77,65.26,1008446.0
2025-06-16,66.45,66.56,65.21,65.75,1074941.0
2025-06-17,65.38,65.86,63.84,64.14,1319659.0
2025-06-18,64.02,65.63,63.93,64.59,1166784.0
2025-06-20,64.9,65.6,64.36,64.55,1001346.0
2025-06-23,64.23,65.77,63.31,65.66,877567.0
2025-06-24,66.41,66.79,65.75,66.36,591490.0
2025-06-25,66.74,66.87,65.85,66.25,734113.0
2025-06-26,66.99,67.81,66.55,67.59,955577.0
2025-06-27,68.15,68.82,67.09,67.65,782180.0
2025-06-30,67.74,68.18,67.06,67.75,1283596.0
2025-07-01,67.44,72.25,67.05,70.41,1641071.0
2025-07-02,70.53,71.93,69.74,71.56,1172619.0
2025-07-03,71.93,72.06,70.89,71.1,469224.0
2025-07-07,70.31,71.49,69.02,69.3,1193978.0
2025-07-08,70.56,73.1,70.24,71.69,1369477.0
2025-07-09,72.35,73.01,71.48,72.91,926712.0
2025-07-10,73.02,75.28,72.83,73.85,1692852.0
2025-07-11,72.71,73.36,72.1,72.87,927582.0
2025-07-14,72.39,72.46,70.93,71.58,799409.0
2025-07-15,72.6,72.73,69.72,69.8,902550.0
2025-07-16,69.79,70.3,68.22,69.51,763998.0
2025-07-17,69.74,70.97,69.51,70.82,1177617.0
2025-07-18,71.44,71.52,69.42,70.11,903889.0
2025-07-21,70.9,70.94,69.53,69.57,720909.0
2025-07-22,70.28,73.09,69.86,72.8,1072818.0
2025-07-23,74.08,75.0,73.65,74.09,941427.0
2025-07-24,73.49,73.86,72.22,72.69,671290.0
2025-07-25,72.95,74.09,72.12,73.9,901932.0
2025-07-28,73.85,74.93,73.1,73.93,1829540.0
2025-07-29,68.22,69.77,66.51,68.61,3105278.0
2025-07-30,68.5,69.55,67.09,67.77,2116447.0
2025-07-31,67.39,68.9,66.86,67.65,1384897.0
2025-08-01,66.73,67.17,65.4,66.98,1070285.0
2025-08-04,67.31,68.43,66.66,67.93,788834.0
2025-08-05,68.66,69.61,67.36,69.36,784833.0
2025-08-06,69.7,69.79,68.12,68.27,546534.0
2025-08-07,69.28,69.99,68.02,68.74,437214.0
2025-08-08,68.77,69.49,68.37,69.32,458683.0
2025-08-11,69.96,70.25,68.0,68.84,995979.0
2025-08-12,69.84,71.6,69.15,71.43,793485.0
2025-08-13,71.89,76.21,71.53,75.98,1175201.0
2025-08-14,74.21,74.9,73.52,74.42,976184.0
2025-08-15,75.0,75.0,73.73,74.06,669427.0
2025-08-18,74.33,75.68,74.12,74.54,1200912.0
2025-08-19,74.8,77.31,74.77,76.21,1091076.0
2025-08-20,75.92,75.92,73.92,73.92,993404.0
2025-08-21,73.27,73.77,72.63,73.13,991008.0
2025-08-22,73.81,77.94,73.42,77.53,2052003.0
2025-08-25,77.04,77.62,76.42,76.47,1213131.0
2025-08-26,76.46,76.94,74.93,75.19,1205781.0
2025-08-27,74.76,76.04,74.48,75.74,951948.0
2025-08-28,76.2,76.44,74.33,75.3,851843.0
2025-08-29,75.13,76.11,73.85,74.29,1226536.0
2025-09-02,72.08,72.64,71.28,71.72,732584.0
2025-09-03,72.45,73.77,72.08,72.85,1006967.0
2025-09-04,73.29,74.82,72.75,74.74,788058.0
2025-09-05,75.61,78.43,75.61,78.42,1863019.0
2025-09-08,78.51,78.98,77.16,78.42,1984714.0
2025-09-09,77.84,78.11,76.34,76.74,1423024.0
2025-09-10,76.68,77.59,76.06,76.97,893546.0
2025-09-11,77.34,80.06,76.61,79.52,1012556.0
2025-09-12,78.92,79.27,76.68,77.57,1625422.0
2025-09-15,77.96,78.86,77.35,78.56,785827.0
2025-09-16,78.8,79.42,77.35,77.81,800470.0
2025-09-17,78.29,81.44,77.52,78.18,1134198.0
2025-09-18,78.53,79.55,77.86,79.37,885343.0
2025-09-19,79.18,79.41,76.62,76.67,1390963.0
2025-09-22,76.67,76.67,74.7,75.02,846400.0
2025-09-23,75.63,76.76,75.07,75.27,444930.0
2025-09-24,75.02,75.97,74.89,75.09,529335.0
2025-09-25,74.11,74.53,73.08,73.45,589044.0
2025-09-26,73.45,73.88,72.81,73.85,911242.0
2025-09-29,74.52,74.52,73.07,73.9,530382.0
2025-09-30,74.19,74.41,73.05,74.33,513254.0
2025-10-01,73.9,75.11,72.55,73.62,812089.0
2025-10-02,74.05,75.94,73.68,74.04,645530.0
2025-10-03,74.26,75.98,74.26,75.42,974907.0
2025-10-06,75.94,75.94,73.57,74.35,521458.0
2025-10-07,74.58,74.98,73.04,73.19,507466.0
2025-10-08,73.38,74.01,72.63,72.74,632441.0
2025-10-09,72.35,72.35,69.25,69.72,1284102.0
2025-10-10,70.32,70.34,64.24,64.43,2910927.0
2025-10-13,65.53,66.36,64.44,64.49,1168433.0
2025-10-14,63.24,67.38,63.2,67.02,1550966.0
2025-10-15,68.5,68.8,67.2,67.72,806859.0
2025-10-16,68.24,68.5,67.01,67.91,745785.0
2025-10-17,67.51,68.32,67.04,67.85,533488.0
2025-10-20,68.25,69.62,67.68,69.09,523627.0
2025-10-21,68.73,71.73,68.52,70.86,887589.0
2025-10-22,70.49,71.05,68.97,69.23,618289.0
2025-10-23,69.23,70.75,69.17,70.4,557297.0
2025-10-24,71.51,71.56,70.12,70.21,473097.0
2025-10-27,71.13,72.83,71.06,72.08,906328.0
2025-10-28,71.9,73.43,71.04,71.88,930103.0
2025-10-29,71.26,72.4,69.44,69.96,858598.0
2025-10-30,68.79,70.47,68.34,68.58,938133.0
2025-10-31,68.31,68.79,66.89,67.72,1274696.0
2025-11-03,66.59,67.07,65.57,66.36,1752982.0
2025-11-04,65.77,68.79,65.24,66.63,2053990.0
2025-11-05,65.71,71.8,65.67,69.62,2183452.0
2025-11-06,69.98,70.73,67.33,67.47,890945.0
2025-11-07,66.75,68.65,66.5,68.27,573727.0
2025-11-10,68.61,68.98,67.1,67.94,622655.0
2025-11-11,68.4,68.56,67.43,67.62,407431.0
2025-11-12,67.95,68.82,67.78,68.24,490659.0
2025-11-13,67.75,69.21,67.06,67.4,406251.0
2025-11-14,66.65,67.22,65.59,65.65,650524.0
2025-11-17,65.46,65.92,63.6,63.67,553753.0
2025-11-18,62.87,63.46,62.13,62.83,640271.0
2025-11-19,62.97,63.44,61.9,62.12,739327.0
2025-11-20,63.2,64.41,62.28,62.44,876031.0
2025-11-21,62.99,66.92,62.7,66.15,1130348.0
2025-11-24,66.15,67.85,65.5,67.19,836141.0
2025-11-25,68.23,71.1,68.22,70.73,1018047.0
2025-11-26,69.93,72.2,69.58,71.83,683599.0
2025-11-28,71.83,71.92,71.21,71.52,290177.0
2025-12-01,69.74,72.2,69.27,70.56,671274.0
2025-12-02,71.01,71.65,69.8,71.24,634479.0
2025-12-03,71.42,72.81,71.06,72.53,905669.0
2025-12-04,72.8,73.01,71.1,72.21,1246169.0
2025-12-05,72.12,73.35,71.88,72.47,751455.0
2025-12-08,72.6,72.97,71.96,72.36,697374.0
2025-12-09,71.61,72.89,71.49,71.88,576006.0
2025-12-10,72.22,76.38,71.49,75.86,1081124.0
2025-12-11,76.0,77.0,75.52,76.54,650826.0
2025-12-12,76.87,77.0,75.12,75.68,665152.0
2025-12-15,75.93,76.1,74.11,74.15,862709.0
2025-12-16,74.49,74.72,72.06,72.8,759700.0
2025-12-17,71.75,73.89,71.16,71.92,1001209.0
2025-12-18,72.88,74.11,72.42,72.94,870507.0
2025-12-19,72.81,73.25,72.22,72.75,861018.0
2025-12-22,76.29,77.69,74.4,75.24,1206399.0
2025-12-23,74.74,75.09,73.68,74.65,626426.0
2025-12-24,74.6,75.03,74.13,74.87,219394.0
2025-12-26,74.9,75.42,74.63,75.38,323746.0
2025-12-29,75.21,75.69,74.47,75.14,434213.0
2025-12-30,74.89,75.42,74.62,75.19,319512.0
2025-12-31,75.04,75.36,74.23,74.28,420573.0
2026-01-02,74.81,76.88,74.02,76.47,633468.0
2026-01-05,75.75,77.83,75.32,77.21,685418.0
2026-01-06,75.73,80.82,74.16,80.76,1733029.0
2026-01-07,80.75,81.49,78.09,78.69,1250626.0
2026-01-08,77.78,82.61,77.78,81.49,1651573.0
2026-01-09,82.26,83.13,78.86,82.35,957042.0
2026-01-12,81.84,82.8,81.3,82.41,610557.0
2026-01-13,82.73,83.8,82.04,82.9,565296.0
2026-01-14,82.84,84.9,81.81,83.79,819849.0
2026-01-15,84.53,84.89,83.29,84.4,573667.0
2026-01-16,84.43,85.16,83.75,84.61,726097.0
