date,open,high,low,close,volume
2025-02-26,391.55,396.67,389.33,391.74,346384.0
2025-02-27,390.4,393.84,388.5,388.9,474062.0
2025-02-28,391.05,393.82,379.61,386.19,1283018.0
2025-03-03,390.4,397.32,388.35,394.88,475101.0
2025-03-04,395.07,396.44,388.77,389.92,825883.0
2025-03-05,387.75,398.0,387.01,395.69,480173.0
2025-03-06,392.04,393.47,381.11,382.31,475862.0
2025-03-07,379.94,381.0,367.45,379.3,784958.0
2025-03-10,375.45,377.09,367.29,370.12,808796.0
2025-03-11,369.52,369.52,363.1,365.29,639743.0
2025-03-12,368.35,371.11,361.33,363.84,767301.0
2025-03-13,365.14,367.28,361.03,363.66,627095.0
2025-03-14,364.58,371.76,362.61,369.53,610414.0
2025-03-17,368.09,376.69,368.0,373.49,478200.0
2025-03-18,374.0,376.72,372.77,375.91,620400.0
2025-03-19,376.88,380.89,374.61,378.05,599458.0
2025-03-20,377.5,378.27,373.31,374.22,488728.0
2025-03-21,371.33,374.79,366.49,371.11,709890.0
2025-03-24,373.53,377.23,372.66,374.27,402386.0
2025-03-25,375.74,379.04,370.22,372.87,337767.0
2025-03-26,371.43,372.61,359.99,367.77,698086.0
2025-03-27,367.61,370.0,365.49,367.54,482538.0
2025-03-28,365.51,368.51,363.27,364.5,458227.0
2025-03-31,361.53,374.2,361.02,372.25,583560.0
2025-04-01,369.29,374.04,366.61,373.3,498339.0
2025-04-02,369.57,378.35,366.69,377.46,1034845.0
2025-04-03,367.97,374.56,361.59,368.15,1994109.0
2025-04-04,361.07,362.07,344.81,345.8,2305723.0
2025-04-07,335.25,357.59,329.16,345.34,2413647.0
2025-04-08,355.47,357.47,332.32,337.37,847614.0
2025-04-09,335.0,364.4,330.0,362.97,1666372.0
2025-04-10,358.33,359.46,337.45,348.39,1413727.0
2025-04-11,351.15,353.11,341.74,350.28,789593.0
2025-04-14,354.75,358.0,349.14,353.42,551616.0
2025-04-15,354.85,355.39,345.99,346.8,509488.0
2025-04-16,348.24,352.58,343.58,346.67,518061.0
2025-04-17,346.17,351.04,343.19,346.5,612595.0
2025-04-21,344.71,345.64,335.12,339.59,518786.0
2025-04-22,342.12,349.45,341.51,348.12,506924.0
2025-04-23,355.11,368.37,355.1,357.11,680561.0
2025-04-24,358.65,361.33,354.47,361.05,526424.0
2025-04-25,360.6,366.24,359.38,365.06,570591.0
2025-04-28,366.99,368.95,363.91,366.49,499282.0
2025-04-29,366.98,372.32,365.81,370.92,479229.0
2025-04-30,370.0,375.16,366.56,373.92,698949.0
2025-05-01,372.42,376.18,368.53,373.99,624079.0
2025-05-02,373.89,379.33,363.08,378.22,2088682.0
2025-05-05,377.85,383.99,373.05,381.36,648025.0
2025-05-06,379.13,381.57,373.98,377.52,762151.0
2025-05-07,377.47,384.58,376.3,384.06,467532.0
2025-05-08,383.96,388.32,382.36,382.46,313607.0
2025-05-09,382.2,384.55,380.28,380.92,254181.0
2025-05-12,389.07,392.42,386.5,388.08,491990.0
2025-05-13,388.67,390.46,385.78,387.53,280326.0
2025-05-14,386.96,388.02,384.76,386.32,377971.0
2025-05-15,388.5,392.63,384.58,392.2,479816.0
2025-05-16,393.1,394.49,389.6,394.21,408156.0
2025-05-19,392.35,394.92,390.0,394.69,338256.0
2025-05-20,392.34,393.32,387.99,389.55,413243.0
2025-05-21,387.55,388.62,379.16,379.75,534189.0
