date,open,high,low,close,volume
2025-02-26,74.74,74.74,73.67,74.23,1767325.0
2025-02-27,74.09,75.11,73.94,74.72,1334728.0
2025-02-28,75.15,76.06,74.8,75.54,2416082.0
2025-03-03,75.7,76.55,75.37,75.69,1593289.0
2025-03-04,75.86,77.37,74.83,74.92,3165708.0
2025-03-05,74.66,75.63,74.13,74.44,1424012.0
2025-03-06,73.88,75.5,73.88,75.09,1882095.0
2025-03-07,74.75,76.94,74.35,76.55,3433409.0
2025-03-10,76.88,78.82,76.39,77.13,2159822.0
2025-03-11,76.88,76.97,74.31,74.52,1938467.0
2025-03-12,73.78,74.31,73.03,73.64,1459000.0
2025-03-13,73.83,73.83,72.44,72.66,1400874.0
2025-03-14,72.46,73.38,72.04,73.27,1144282.0
2025-03-17,73.35,75.03,73.09,74.73,1004385.0
2025-03-18,74.48,75.09,74.24,74.36,860499.0
2025-03-19,73.77,74.34,71.24,72.39,3745791.0
2025-03-20,72.25,72.33,70.88,71.19,2847947.0
2025-03-21,70.96,71.3,70.25,71.11,2181548.0
2025-03-24,71.28,71.84,71.16,71.43,1415454.0
2025-03-25,70.93,71.26,70.0,70.39,1942198.0
2025-03-26,71.05,72.8,70.8,72.75,1791247.0
2025-03-27,73.16,74.13,72.75,74.04,1568292.0
2025-03-28,74.3,74.35,73.61,74.1,1060849.0
2025-03-31,74.33,75.31,74.3,75.04,1601109.0
2025-04-01,75.2,75.57,74.61,75.42,1406945.0
2025-04-02,75.51,75.88,74.81,75.3,1936680.0
2025-04-03,75.47,76.24,74.94,75.41,3088562.0
2025-04-04,74.66,74.74,71.26,71.44,2770383.0
2025-04-07,70.38,71.12,68.65,69.46,2394793.0
2025-04-08,71.11,71.11,67.38,68.0,2465612.0
2025-04-09,67.63,71.34,67.12,71.07,2887588.0
2025-04-10,70.56,70.87,68.25,69.68,1954580.0
2025-04-11,69.93,71.04,69.25,70.43,1135294.0
2025-04-14,70.75,71.99,70.37,71.84,1227657.0
2025-04-15,71.52,72.3,71.2,71.28,1173142.0
2025-04-16,71.69,71.91,70.39,70.69,1305138.0
2025-04-17,70.88,72.51,70.88,71.74,1589678.0
2025-04-21,71.73,71.81,70.79,71.44,1278510.0
2025-04-22,71.97,73.52,71.89,73.29,1877241.0
2025-04-23,73.5,74.31,72.28,72.89,2626552.0
2025-04-24,72.52,73.13,72.06,72.54,1380636.0
2025-04-25,71.95,72.44,70.44,70.93,1785345.0
2025-04-28,70.83,71.49,70.01,70.42,2930020.0
2025-04-29,68.36,71.2,68.0,70.24,3373811.0
2025-04-30,70.62,71.55,69.61,71.4,1904623.0
2025-05-01,70.84,71.04,70.06,70.15,1532934.0
2025-05-02,70.87,71.41,70.26,70.75,1349624.0
2025-05-05,70.74,70.95,70.09,70.63,1270792.0
2025-05-06,70.24,70.55,69.74,70.01,1385007.0
2025-05-07,69.93,70.98,69.93,70.51,1151101.0
2025-05-08,70.64,72.6,70.56,71.6,1613818.0
2025-05-09,71.58,71.75,70.7,70.75,1020580.0
2025-05-12,71.15,71.98,70.65,71.93,1492568.0
2025-05-13,71.95,72.02,70.78,70.8,1451137.0
2025-05-14,70.78,71.52,70.35,71.13,1811144.0
2025-05-15,70.88,72.35,70.88,72.35,1312220.0
2025-05-16,72.46,72.77,72.08,72.44,1727754.0
2025-05-19,72.18,73.0,71.98,73.0,952750.0
2025-05-20,73.05,74.04,72.76,73.72,1223800.0
2025-05-21,73.22,73.63,72.17,72.23,1312070.0
2025-05-22,72.16,72.37,71.38,71.98,1032301.0
2025-05-23,71.0,71.74,71.0,71.47,1358018.0
2025-05-27,72.0,72.54,71.71,72.28,1791700.0
2025-05-28,72.22,73.06,71.44,71.51,973247.0
2025-05-29,71.49,72.19,71.3,72.07,1562950.0
2025-05-30,72.0,73.79,71.67,73.0,2322050.0
2025-06-02,72.63,73.21,72.35,73.06,1363747.0
2025-06-03,72.77,73.69,72.7,73.63,1380700.0
2025-06-04,73.61,73.72,72.88,72.9,1000141.0
2025-06-05,72.61,73.9,72.34,73.77,1560677.0
2025-06-06,74.36,75.25,74.12,74.5,1374623.0
2025-06-09,74.55,75.71,74.43,75.23,1658184.0
2025-06-10,75.31,76.08,75.24,75.51,1180307.0
2025-06-11,75.28,75.6,74.47,74.74,1038787.0
2025-06-12,74.51,75.47,74.2,75.39,1311816.0
2025-06-13,75.08,75.49,74.01,74.29,1142909.0
2025-06-16,74.78,75.4,74.14,74.75,1033173.0
2025-06-17,74.51,74.8,74.11,74.25,832342.0
2025-06-18,74.33,74.78,73.91,73.97,1458179.0
2025-06-20,74.15,75.08,74.0,74.68,1736529.0
2025-06-23,74.88,76.0,74.68,75.91,1291257.0
2025-06-24,76.18,76.38,75.51,75.87,1068777.0
2025-06-25,75.61,75.98,74.94,75.05,1252277.0
2025-06-26,75.06,75.35,74.27,74.53,1153287.0
2025-06-27,74.61,75.24,74.5,75.01,956238.0
2025-06-30,75.22,75.94,75.03,75.74,2154717.0
2025-07-01,75.97,77.7,75.3,77.36,1574560.0
2025-07-02,77.35,77.78,76.79,77.68,1337530.0
2025-07-03,76.9,77.29,76.28,77.18,1017038.0
2025-07-07,77.02,77.33,76.22,76.71,1496577.0
2025-07-08,76.96,77.16,76.41,76.53,859399.0
2025-07-09,76.45,76.55,75.91,76.33,841015.0
2025-07-10,76.19,78.16,76.08,77.46,1149520.0
2025-07-11,77.37,77.73,76.35,76.84,1647302.0
2025-07-14,76.77,77.75,76.62,77.7,1169790.0
2025-07-15,77.58,78.2,76.32,76.37,1439598.0
2025-07-16,76.79,77.5,76.3,77.3,1361246.0
2025-07-17,77.33,78.06,76.57,77.91,2046012.0
2025-07-18,78.04,78.81,77.97,78.41,1093802.0
2025-07-21,78.5,79.21,78.37,78.72,1170653.0
2025-07-22,78.9,80.23,78.9,80.2,1146317.0
2025-07-23,80.35,81.45,80.2,80.76,1434577.0
2025-07-24,81.01,81.01,79.86,79.86,1473850.0
2025-07-25,79.93,80.64,79.74,80.3,1505214.0
