date,open,high,low,close,volume
2025-02-26,26.56,26.83,26.43,26.57,32485290.0
2025-02-27,26.64,26.97,26.57,26.9,26454443.0
2025-02-28,27.02,27.49,27.0,27.41,34242960.0
2025-03-03,27.27,27.86,27.19,27.72,33462827.0
2025-03-04,27.8,27.97,26.12,26.22,72896078.0
2025-03-05,26.07,26.39,25.83,26.18,31082806.0
2025-03-06,26.22,26.79,26.05,26.73,24811063.0
2025-03-07,26.67,27.21,26.6,27.12,26921339.0
2025-03-10,27.11,27.46,26.68,27.28,46661976.0
2025-03-11,26.47,26.83,25.59,26.01,53654778.0
2025-03-12,25.63,25.86,24.89,25.72,49500132.0
2025-03-13,25.79,26.46,25.76,26.09,28661728.0
2025-03-14,25.8,26.65,25.75,26.58,25978925.0
2025-03-17,26.57,26.93,26.25,26.83,25453232.0
2025-03-18,26.8,26.98,26.56,26.61,22450465.0
2025-03-19,26.65,26.94,26.45,26.84,18589365.0
2025-03-20,26.9,26.93,26.68,26.79,19418186.0
2025-03-21,26.81,27.21,26.64,27.02,34016404.0
2025-03-24,26.86,27.22,26.83,26.96,18270255.0
2025-03-25,26.97,27.56,26.97,27.31,33271394.0
2025-03-26,27.41,27.84,27.36,27.65,28597483.0
2025-03-27,27.77,28.42,27.64,28.2,34188488.0
2025-03-28,28.35,28.51,28.06,28.18,26051578.0
2025-03-31,28.26,28.56,28.21,28.28,29815571.0
2025-04-01,28.4,28.61,28.22,28.48,34250206.0
2025-04-02,28.41,28.59,28.01,28.14,25495232.0
2025-04-03,28.54,29.03,28.45,28.6,40207137.0
2025-04-04,28.0,28.43,26.53,26.64,49077194.0
2025-04-07,25.18,27.23,25.1,26.83,58151817.0
2025-04-08,27.02,27.19,26.03,26.39,44037914.0
2025-04-09,26.09,26.86,25.2,26.47,60474678.0
2025-04-10,26.24,26.76,25.9,26.39,40091993.0
2025-04-11,26.58,26.9,26.36,26.79,23462333.0
2025-04-14,26.63,27.35,26.57,27.2,20663151.0
2025-04-15,27.5,27.63,27.26,27.5,17604188.0
2025-04-16,27.74,27.78,26.94,27.02,19144112.0
2025-04-17,27.18,27.49,27.01,27.15,16713927.0
2025-04-21,27.16,27.27,26.16,26.33,36215953.0
2025-04-22,26.0,27.36,25.98,26.96,37536671.0
2025-04-23,26.47,27.32,26.12,27.19,29904395.0
2025-04-24,27.17,27.83,27.14,27.53,30391157.0
2025-04-25,27.46,27.52,26.62,26.81,28596539.0
2025-04-28,26.9,27.27,26.79,27.26,15943449.0
2025-04-29,27.1,27.44,27.05,27.3,16058948.0
2025-04-30,27.6,27.89,27.32,27.7,21509631.0
