date,open,high,low,close,volume
2025-02-26,61.07,62.13,60.83,62.06,1857375.0
2025-02-27,61.77,62.03,60.96,61.54,1292284.0
2025-02-28,61.96,62.24,60.51,61.29,1144044.0
2025-03-03,61.3,61.83,60.88,61.29,844749.0
2025-03-04,61.13,61.37,59.48,59.58,1330136.0
2025-03-05,59.67,60.02,58.57,59.3,1045168.0
2025-03-06,59.4,59.71,58.65,59.4,690843.0
2025-03-07,59.16,62.59,59.16,61.86,1680122.0
2025-03-10,62.14,64.66,62.14,62.91,2054575.0
2025-03-11,63.0,63.25,60.08,60.4,1396472.0
2025-03-12,59.95,60.27,59.07,59.38,869018.0
2025-03-13,59.52,59.85,58.72,58.76,1021944.0
2025-03-14,58.79,59.92,58.79,59.62,725671.0
2025-03-17,59.82,60.33,59.08,59.37,1072829.0
2025-03-18,59.25,59.5,58.77,58.94,954135.0
2025-03-19,58.74,58.74,57.72,58.29,1109153.0
2025-03-20,58.25,59.69,58.25,58.99,1493282.0
2025-03-21,59.15,60.04,58.43,58.89,1639434.0
2025-03-24,59.39,59.47,58.46,59.27,862947.0
2025-03-25,59.2,59.33,58.32,58.76,544006.0
2025-03-26,58.92,60.72,58.82,60.56,893595.0
2025-03-27,60.65,61.04,60.32,60.96,676332.0
2025-03-28,61.13,61.33,60.25,60.53,867056.0
2025-03-31,60.31,61.68,60.31,60.87,923179.0
2025-04-01,61.08,61.36,60.15,61.24,925143.0
2025-04-02,61.96,62.24,60.8,61.95,827645.0
2025-04-03,61.92,63.5,61.45,62.46,3088355.0
2025-04-04,61.85,63.08,60.94,61.15,2294646.0
2025-04-07,59.58,62.16,59.16,60.36,1882112.0
2025-04-08,61.48,62.14,57.83,58.51,1796715.0
2025-04-09,57.77,61.61,57.75,60.58,2295434.0
2025-04-10,60.09,61.19,58.75,59.95,904354.0
2025-04-11,59.78,60.93,58.76,60.69,1577304.0
2025-04-14,61.04,61.41,60.21,60.66,672602.0
2025-04-15,60.78,60.91,59.15,59.51,1008501.0
2025-04-16,60.03,60.84,58.61,58.71,940952.0
2025-04-17,59.28,59.7,58.68,58.75,810803.0
2025-04-21,58.7,58.7,56.72,57.93,975182.0
2025-04-22,58.41,59.36,58.22,59.0,776217.0
2025-04-23,59.31,59.54,57.93,58.7,951733.0
2025-04-24,58.43,58.65,57.95,58.35,486472.0
2025-04-25,58.35,58.4,56.31,56.8,1122867.0
2025-04-28,56.96,57.51,56.44,56.7,621547.0
2025-04-29,56.45,57.09,56.07,57.06,885843.0
2025-04-30,57.39,57.73,56.46,57.53,913030.0
2025-05-01,57.55,57.82,56.96,57.25,761116.0
2025-05-02,57.94,58.01,57.37,57.56,889257.0
2025-05-05,57.46,57.8,56.99,57.44,886330.0
2025-05-06,57.03,57.24,56.49,56.9,953170.0
2025-05-07,57.46,57.46,56.53,56.84,1880327.0
2025-05-08,52.35,55.12,51.1,54.26,4780403.0
2025-05-09,54.0,55.43,54.0,54.63,2095609.0
2025-05-12,55.22,55.63,54.22,54.95,2649069.0
2025-05-13,54.95,55.58,54.69,55.18,1777733.0
2025-05-14,55.02,55.74,54.93,55.49,1550499.0
2025-05-15,55.72,56.54,55.46,56.27,1670709.0
2025-05-16,56.58,56.88,56.2,56.85,1177679.0
2025-05-19,56.65,56.95,55.97,56.61,1546993.0
2025-05-20,56.49,57.57,56.45,56.95,1457625.0
2025-05-21,56.67,56.82,55.41,55.64,1893210.0
2025-05-22,55.48,55.69,54.2,54.31,1959781.0
2025-05-23,54.03,54.58,53.77,54.01,1282828.0
2025-05-27,54.45,54.48,53.84,54.19,1526449.0
2025-05-28,53.95,54.18,52.9,52.96,1955519.0
2025-05-29,53.06,53.81,52.35,53.7,1645168.0
2025-05-30,53.67,53.87,53.2,53.59,1138797.0
2025-06-02,53.15,53.73,52.25,52.87,1115030.0
2025-06-03,52.73,52.98,51.66,52.77,1382375.0
2025-06-04,52.73,53.27,52.39,52.77,1007922.0
2025-06-05,52.7,52.71,51.56,51.86,1837911.0
2025-06-06,51.8,52.09,51.49,52.0,935580.0
2025-06-09,52.09,52.28,51.73,52.1,1364494.0
2025-06-10,52.11,52.54,51.79,52.21,840828.0
2025-06-11,52.24,52.3,51.54,51.76,1182923.0
2025-06-12,51.55,51.73,51.17,51.52,921931.0
2025-06-13,51.22,51.49,50.4,50.59,1205244.0
2025-06-16,51.0,51.0,49.36,49.62,1715024.0
2025-06-17,49.36,50.05,49.29,49.34,1890705.0
2025-06-18,49.48,49.87,48.75,48.81,1805441.0
2025-06-20,48.97,49.05,47.83,48.05,1996586.0
2025-06-23,47.9,48.34,47.41,48.05,1734209.0
2025-06-24,48.18,48.74,47.95,48.22,1658597.0
2025-06-25,48.13,48.19,47.05,47.24,1576136.0
2025-06-26,47.42,48.15,47.19,47.24,1664177.0
2025-06-27,46.94,47.58,46.93,47.44,1684330.0
2025-06-30,47.31,48.23,47.3,48.09,1908144.0
2025-07-01,48.19,49.84,48.02,49.07,1756688.0
2025-07-02,49.38,49.86,49.03,49.54,1571474.0
2025-07-03,49.67,50.0,49.32,49.44,760781.0
2025-07-07,49.2,49.49,48.66,49.0,1288558.0
2025-07-08,48.72,49.72,48.49,49.38,1301178.0
2025-07-09,49.36,49.81,48.93,49.55,1255965.0
2025-07-10,49.07,50.38,48.98,49.81,1067542.0
2025-07-11,49.3,50.19,49.04,50.0,933426.0
2025-07-14,49.79,49.84,48.91,49.47,866992.0
2025-07-15,49.47,49.61,48.92,49.05,1008172.0
2025-07-16,49.0,49.81,48.92,49.68,885124.0
2025-07-17,49.64,50.41,49.56,50.34,1031005.0
2025-07-18,50.63,50.84,49.95,50.06,820041.0
2025-07-21,50.24,50.47,49.85,49.96,886690.0
2025-07-22,50.08,51.64,50.08,51.64,1466582.0
2025-07-23,51.94,52.15,51.62,52.08,1595634.0
2025-07-24,51.86,52.06,50.83,50.87,1204837.0
2025-07-25,51.07,51.27,50.77,51.19,947848.0
2025-07-28,50.65,50.89,49.63,49.92,1050374.0
2025-07-29,49.98,50.66,49.75,50.62,1138350.0
2025-07-30,50.53,50.75,49.13,49.32,1323737.0
2025-07-31,48.48,49.26,48.03,48.72,1434271.0
2025-08-01,49.31,49.39,48.09,48.21,1615579.0
2025-08-04,48.28,49.1,48.11,48.61,2149341.0
2025-08-05,49.04,51.09,47.95,49.22,3323870.0
2025-08-06,49.21,50.4,48.68,50.21,2197028.0
2025-08-07,50.46,50.49,49.33,49.5,1988392.0
2025-08-08,49.78,51.04,49.75,50.69,1479970.0
2025-08-11,50.67,51.08,49.7,50.31,1921236.0
2025-08-12,50.55,51.65,50.35,51.04,1481067.0
2025-08-13,50.77,51.95,50.66,51.71,1246389.0
2025-08-14,51.4,51.62,50.56,51.23,807473.0
2025-08-15,51.41,51.74,51.17,51.42,742058.0
2025-08-18,51.31,51.61,50.98,51.12,1143197.0
2025-08-19,51.14,52.15,51.14,51.55,947145.0
