date,open,high,low,close,volume
2025-02-26,113.0,116.74,112.35,114.81,2160283.0
2025-02-27,115.55,116.42,108.73,108.81,1190805.0
2025-02-28,109.39,111.36,107.42,109.86,1197716.0
2025-03-03,110.96,111.69,104.92,105.78,1421414.0
2025-03-04,106.13,109.66,103.22,107.23,1395975.0
2025-03-05,108.0,110.69,106.65,110.21,850773.0
2025-03-06,106.97,109.67,105.13,105.39,1566961.0
2025-03-07,106.14,108.84,104.35,108.54,992203.0
2025-03-10,105.95,106.05,102.43,104.97,1272358.0
2025-03-11,91.89,94.37,82.98,87.07,7693607.0
2025-03-12,89.03,89.04,86.22,86.74,4655450.0
2025-03-13,86.35,87.67,83.93,85.33,2406460.0
2025-03-14,86.01,86.91,84.01,86.74,3394264.0
2025-03-17,87.15,90.86,87.15,90.17,1758413.0
2025-03-18,88.94,89.66,87.84,88.87,1373662.0
2025-03-19,88.69,90.46,87.46,88.51,1384161.0
2025-03-20,87.63,89.37,87.57,88.18,1244572.0
2025-03-21,86.96,88.39,85.36,87.51,2039620.0
2025-03-24,89.76,91.21,89.57,91.0,1893289.0
2025-03-25,90.4,91.29,89.47,89.95,944502.0
2025-03-26,89.68,90.34,87.32,88.01,961109.0
2025-03-27,87.18,87.94,85.24,85.68,966437.0
2025-03-28,85.77,86.29,82.47,82.78,926966.0
2025-03-31,81.78,83.0,79.6,82.6,1311850.0
2025-04-01,81.88,82.77,80.47,82.61,1625034.0
2025-04-02,81.75,84.89,81.1,83.62,856188.0
2025-04-03,78.69,79.73,74.39,75.09,2315121.0
2025-04-04,71.67,72.43,67.12,68.72,3739713.0
2025-04-07,67.46,76.15,65.77,72.87,3909051.0
2025-04-08,75.58,76.16,66.39,67.96,2524192.0
2025-04-09,69.4,80.4,68.13,79.44,4355313.0
2025-04-10,75.33,76.42,70.28,72.29,3569935.0
2025-04-11,72.43,74.3,70.5,73.65,1983304.0
2025-04-14,75.63,76.02,72.28,73.86,1680303.0
2025-04-15,74.08,75.37,73.69,74.06,1105216.0
2025-04-16,70.83,72.65,68.46,71.16,2399635.0
2025-04-17,71.3,71.79,70.49,71.25,1679771.0
2025-04-21,69.76,70.52,68.24,69.81,1638073.0
2025-04-22,70.74,72.05,70.41,71.29,1158026.0
2025-04-23,75.07,75.91,73.03,73.18,1644314.0
2025-04-24,75.18,77.59,74.43,77.3,1845659.0
2025-04-25,76.09,77.7,73.5,77.12,1270791.0
2025-04-28,76.46,78.64,75.34,76.83,2770888.0
2025-04-29,75.04,76.65,72.76,74.89,2429601.0
2025-04-30,73.68,74.47,71.27,74.21,2265204.0
2025-05-01,75.16,75.7,73.63,73.78,1191660.0
2025-05-02,75.73,77.1,75.44,75.88,1020236.0
2025-05-05,75.46,76.38,75.27,75.44,803826.0
2025-05-06,74.35,75.03,73.74,74.07,1019339.0
2025-05-07,74.07,75.48,73.11,75.09,1313315.0
2025-05-08,76.21,78.03,75.6,76.84,1373965.0
2025-05-09,77.28,78.38,76.71,77.42,1061753.0
2025-05-12,83.07,83.77,81.65,83.06,2099830.0
2025-05-13,83.01,85.63,82.95,84.9,1290873.0
2025-05-14,85.16,85.85,83.54,84.27,1303708.0
2025-05-15,83.25,83.78,82.34,82.99,994712.0
2025-05-16,82.87,82.87,81.75,82.73,929966.0
2025-05-19,80.58,81.99,80.44,81.47,714144.0
2025-05-20,80.83,81.46,80.6,81.42,591629.0
2025-05-21,80.43,81.91,78.76,78.98,932217.0
2025-05-22,78.89,79.5,78.22,78.49,830802.0
2025-05-23,76.47,77.46,75.99,76.98,764235.0
2025-05-27,79.06,82.39,78.38,81.74,1507036.0
2025-05-28,82.0,82.48,79.91,80.25,1113759.0
2025-05-29,82.01,82.41,80.25,80.98,977530.0
2025-05-30,80.18,80.29,77.02,78.6,1671392.0
2025-06-02,77.95,79.96,77.78,79.49,962946.0
2025-06-03,79.48,81.64,78.41,81.45,844604.0
2025-06-04,82.26,83.17,81.35,82.06,1028830.0
2025-06-05,82.71,83.68,81.07,81.74,1126820.0
2025-06-06,83.08,85.77,82.9,85.23,1257372.0
2025-06-09,86.23,88.0,86.11,86.8,1403832.0
2025-06-10,87.34,88.89,86.77,88.7,1287580.0
2025-06-11,89.18,89.58,85.75,86.79,1139288.0
2025-06-12,85.9,86.57,85.44,85.91,835640.0
2025-06-13,83.8,85.0,83.0,83.08,951116.0
2025-06-16,84.55,88.55,84.12,87.68,1703283.0
2025-06-17,86.82,88.18,86.01,86.43,1241450.0
2025-06-18,86.64,87.16,85.42,86.26,1564090.0
2025-06-20,87.47,87.83,84.24,86.29,1495162.0
2025-06-23,85.94,88.35,85.58,87.36,1732020.0
2025-06-24,89.84,90.9,89.09,90.39,2712201.0
2025-06-25,90.66,90.97,88.73,90.2,1790459.0
2025-06-26,91.05,91.74,90.03,91.05,1215216.0
2025-06-27,91.05,91.7,89.27,90.35,1104578.0
2025-06-30,90.79,90.79,89.66,89.92,633746.0
2025-07-01,89.52,92.66,89.2,91.92,1377070.0
2025-07-02,92.25,94.82,92.25,94.18,1920525.0
2025-07-03,95.2,95.21,92.16,93.06,939246.0
2025-07-07,92.82,93.36,90.23,90.59,1431710.0
2025-07-08,91.15,93.8,90.8,92.22,1139931.0
2025-07-09,92.14,93.51,91.11,92.78,884460.0
2025-07-10,95.38,99.22,94.2,98.62,3856578.0
2025-07-11,97.32,98.0,95.97,97.05,1979301.0
2025-07-14,97.12,97.12,93.59,95.22,1833554.0
2025-07-15,96.61,98.1,92.98,93.03,1984780.0
2025-07-16,92.53,92.73,88.6,91.98,2122203.0
2025-07-17,90.4,93.32,90.31,92.8,1327655.0
2025-07-18,93.39,94.11,92.29,93.92,1118887.0
2025-07-21,95.69,97.25,94.79,94.82,1276564.0
2025-07-22,94.51,95.54,92.26,93.7,1293685.0
2025-07-23,94.71,94.71,91.78,93.03,1238202.0
2025-07-24,92.37,92.63,90.07,91.33,1802512.0
2025-07-25,91.23,91.77,89.65,90.15,1547589.0
2025-07-28,91.78,92.44,90.79,91.14,1759576.0
2025-07-29,91.61,92.37,89.18,90.55,3818111.0
2025-07-30,105.73,110.5,102.48,107.65,12090585.0
2025-07-31,108.36,113.43,107.09,107.43,4547128.0
2025-08-01,104.43,105.8,102.41,104.16,2240292.0
2025-08-04,104.57,105.85,103.0,105.72,1838321.0
2025-08-05,106.16,108.16,104.55,106.93,2641913.0
2025-08-06,106.7,107.1,103.33,104.88,1538216.0
2025-08-07,107.41,108.16,105.25,106.46,1346770.0
2025-08-08,106.25,108.39,105.0,107.47,1679719.0
2025-08-11,107.57,109.02,104.58,104.68,1008376.0
2025-08-12,106.0,111.91,104.89,111.63,1750910.0
2025-08-13,112.38,114.32,110.65,114.01,1709929.0
2025-08-14,112.5,113.75,110.58,111.82,1034807.0
2025-08-15,111.65,111.65,109.37,109.42,1282130.0
2025-08-18,110.0,111.1,109.52,110.41,905280.0
2025-08-19,110.37,112.68,109.5,110.62,1530645.0
2025-08-20,109.98,111.19,106.3,109.52,1803433.0
2025-08-21,108.48,109.99,107.82,109.3,1048855.0
2025-08-22,109.65,117.17,109.62,115.3,2112210.0
2025-08-25,114.98,117.67,114.5,117.07,1756613.0
2025-08-26,116.7,119.82,116.66,118.61,1542816.0
2025-08-27,118.71,118.71,116.96,116.99,1410951.0
2025-08-28,117.2,118.73,117.0,117.89,937929.0
2025-08-29,119.43,120.19,117.43,118.24,1756223.0
2025-09-02,116.19,121.04,114.5,120.61,1613638.0
2025-09-03,120.57,122.12,118.38,119.63,1494215.0
2025-09-04,117.86,120.02,116.0,119.39,1403621.0
2025-09-05,120.02,123.44,119.37,120.2,1456622.0
2025-09-08,120.21,121.26,117.59,118.9,1681201.0
2025-09-09,119.0,120.0,114.65,115.07,2148229.0
2025-09-10,114.96,118.12,113.11,117.82,2147684.0
2025-09-11,117.74,118.78,114.43,115.56,1597138.0
