date,open,high,low,close,volume
2025-02-26,127.72,127.89,123.64,124.04,4301444.0
2025-02-27,123.74,125.05,122.37,122.5,3897652.0
2025-02-28,122.8,124.53,122.36,124.24,4193612.0
2025-03-03,125.27,127.06,119.92,120.76,6774339.0
2025-03-04,117.5,118.22,112.53,117.14,8493140.0
2025-03-05,116.37,116.78,114.1,116.56,3684365.0
2025-03-06,114.98,115.9,113.26,114.05,4904922.0
2025-03-07,113.52,115.32,112.1,115.08,4371563.0
2025-03-10,114.69,115.63,111.84,113.85,4977157.0
2025-03-11,113.92,115.01,112.21,112.76,4830367.0
2025-03-12,112.99,113.48,107.02,107.28,6317919.0
2025-03-13,107.78,108.02,104.01,104.5,5430917.0
2025-03-14,105.23,105.28,103.46,104.7,4843295.0
2025-03-17,105.66,106.96,105.26,105.67,3176821.0
2025-03-18,105.46,106.25,104.49,104.59,2578424.0
2025-03-19,104.0,105.76,103.75,104.94,3778690.0
2025-03-20,104.4,106.67,103.92,104.2,3247251.0
2025-03-21,103.36,105.12,101.76,104.06,5971025.0
2025-03-24,104.99,108.48,104.94,108.35,4496743.0
2025-03-25,108.16,108.76,104.57,105.4,4129222.0
2025-03-26,105.76,106.67,104.97,106.09,2992130.0
2025-03-27,105.8,107.98,105.72,106.51,2871158.0
2025-03-28,104.5,105.39,102.37,103.65,5786009.0
2025-03-31,102.0,104.66,100.5,104.36,4252890.0
2025-04-01,104.98,105.59,103.53,104.43,4036633.0
2025-04-02,104.02,107.09,103.92,105.77,3347269.0
2025-04-03,97.75,98.45,93.0,94.28,13244043.0
2025-04-04,91.8,96.88,90.62,95.72,11057977.0
2025-04-07,91.27,97.86,90.25,94.38,9404216.0
2025-04-08,96.54,97.5,87.35,88.76,9766314.0
2025-04-09,88.0,98.48,87.88,97.69,9514983.0
2025-04-10,95.69,96.0,89.8,92.71,8459455.0
2025-04-11,92.41,92.96,88.63,92.78,7042822.0
2025-04-14,94.42,95.41,92.72,94.65,5276151.0
2025-04-15,94.04,94.98,91.96,92.08,4246268.0
2025-04-16,91.0,92.63,89.53,90.46,5111797.0
2025-04-17,90.23,93.54,90.23,93.11,3004661.0
2025-04-21,92.64,93.91,90.85,93.78,4547511.0
2025-04-22,93.95,95.94,92.75,94.1,3846823.0
2025-04-23,96.85,97.62,91.69,92.15,5725472.0
2025-04-24,92.3,95.56,91.88,95.31,4061250.0
2025-04-25,95.01,96.85,94.69,96.58,3031526.0
2025-04-28,96.49,97.99,95.17,96.37,2637374.0
2025-04-29,95.95,97.09,95.3,96.91,2212716.0
2025-04-30,95.51,96.99,94.23,96.7,2605993.0
2025-05-01,97.11,97.53,95.55,95.97,2982099.0
2025-05-02,97.3,98.51,96.69,97.37,3006443.0
2025-05-05,96.84,96.84,93.71,94.02,3955970.0
2025-05-06,93.9,94.59,93.01,93.65,3150091.0
2025-05-07,94.12,96.13,93.95,95.49,2733473.0
2025-05-08,96.95,98.38,96.23,96.93,2922345.0
2025-05-09,96.94,97.85,96.08,96.4,2520929.0
2025-05-12,100.93,103.0,99.03,101.08,5830088.0
2025-05-13,100.88,100.88,98.47,99.09,4859045.0
2025-05-14,97.05,97.25,94.81,95.26,6525015.0
2025-05-15,94.3,97.5,93.71,97.07,4827633.0
2025-05-16,97.76,99.14,97.4,98.58,3728861.0
2025-05-19,96.76,98.44,96.05,97.99,4521650.0
2025-05-20,98.0,99.33,97.35,98.12,5799026.0
2025-05-21,91.5,95.31,90.6,93.01,17894237.0
2025-05-22,92.17,95.82,92.05,95.06,7464974.0
2025-05-23,93.14,95.18,93.14,94.29,3423265.0
2025-05-27,95.56,97.13,94.88,96.99,3570157.0
2025-05-28,96.99,97.09,95.77,95.94,2196411.0
2025-05-29,97.77,97.77,94.24,94.87,3185331.0
2025-05-30,94.04,94.76,93.25,94.01,2896711.0
2025-06-02,93.41,93.46,92.06,93.32,3350760.0
2025-06-03,93.63,96.43,93.06,95.78,3850516.0
2025-06-04,95.63,96.05,93.93,93.94,2430474.0
2025-06-05,94.24,94.96,93.09,93.52,2817657.0
2025-06-06,94.52,97.36,94.45,97.32,4235433.0
2025-06-09,98.18,99.36,97.31,97.35,3515774.0
2025-06-10,97.72,102.37,97.65,100.77,5973443.0
2025-06-11,100.81,101.09,97.75,98.11,3806356.0
2025-06-12,97.65,99.49,97.03,99.29,3043066.0
2025-06-13,98.0,99.25,94.77,95.37,4070197.0
2025-06-16,96.19,97.53,95.47,97.37,4870269.0
2025-06-17,96.67,96.84,94.86,95.02,3249736.0
2025-06-18,95.22,96.71,94.83,95.12,2652986.0
2025-06-20,95.69,96.58,94.4,95.54,3683393.0
2025-06-23,94.62,96.64,94.17,96.53,3006403.0
2025-06-24,97.25,98.14,96.54,97.53,2804010.0
2025-06-25,97.5,97.82,95.99,96.7,2538369.0
2025-06-26,96.98,97.83,96.39,97.6,2887385.0
2025-06-27,98.26,100.26,98.11,99.23,2984722.0
2025-06-30,99.6,99.66,98.14,98.65,2519442.0
2025-07-01,98.33,105.34,98.32,103.85,6190652.0
2025-07-02,104.29,105.71,103.32,105.45,3692008.0
2025-07-03,105.95,105.97,104.05,104.06,2001836.0
2025-07-07,103.0,103.41,100.74,101.6,3159736.0
2025-07-08,101.72,102.47,100.58,102.01,3161742.0
2025-07-09,102.51,103.33,101.79,102.43,1933196.0
2025-07-10,102.92,106.37,102.62,104.74,2865231.0
2025-07-11,104.31,105.04,103.19,104.24,2033451.0
2025-07-14,104.0,105.0,103.19,104.87,2431059.0
2025-07-15,105.0,105.51,102.19,102.21,2523824.0
2025-07-16,102.67,103.41,100.36,101.34,2057954.0
2025-07-17,101.59,103.94,101.59,103.65,2397044.0
2025-07-18,103.96,104.28,102.14,103.46,2449937.0
2025-07-21,102.11,103.66,101.67,101.71,2389516.0
2025-07-22,102.75,106.91,102.45,106.54,3533169.0
2025-07-23,107.5,108.9,106.8,107.43,2706148.0
2025-07-24,107.22,108.43,105.44,105.82,1922943.0
2025-07-25,106.76,107.02,105.15,106.05,1722843.0
2025-07-28,106.16,106.8,105.25,106.43,1904249.0
2025-07-29,106.12,106.29,103.92,104.18,2123950.0
2025-07-30,104.71,105.0,102.34,103.14,2103591.0
