date,open,high,low,close,volume
2025-02-26,266.8,267.5,261.96,263.58,2247227.0
2025-02-27,263.23,266.29,262.14,264.17,1489620.0
2025-02-28,265.76,269.99,263.89,269.69,2005366.0
2025-03-03,269.29,276.49,269.29,272.83,1916295.0
2025-03-04,273.12,274.95,264.45,264.65,2190565.0
2025-03-05,261.01,263.54,257.48,262.74,2110882.0
2025-03-06,261.48,263.97,259.33,262.95,1253076.0
2025-03-07,262.43,266.61,261.33,265.24,1711551.0
2025-03-10,263.99,271.59,263.34,266.63,2671159.0
2025-03-11,259.0,259.92,252.51,256.67,2436005.0
2025-03-12,254.51,256.96,248.26,255.61,1752374.0
2025-03-13,256.73,263.28,256.26,259.1,1679534.0
2025-03-14,253.49,257.46,252.49,255.98,1636897.0
2025-03-17,254.29,261.77,252.93,260.17,1844995.0
2025-03-18,261.4,261.98,257.82,260.73,1140283.0
2025-03-19,262.29,262.49,258.76,259.25,1035710.0
2025-03-20,258.33,259.0,256.41,257.03,1584470.0
2025-03-21,254.34,258.44,254.33,255.84,2697174.0
2025-03-24,258.81,260.83,257.6,258.96,1172781.0
2025-03-25,257.12,261.11,256.42,258.75,1366857.0
2025-03-26,260.53,264.95,260.45,262.51,2151060.0
2025-03-27,262.92,268.74,262.92,268.28,1591967.0
2025-03-28,270.34,270.83,264.28,264.93,1205298.0
2025-03-31,264.71,268.1,264.6,266.71,1604096.0
2025-04-01,266.22,268.7,262.63,268.54,1321150.0
2025-04-02,268.5,268.51,262.42,264.56,1253857.0
2025-04-03,265.2,272.6,264.94,267.89,2930414.0
2025-04-04,268.08,269.65,247.37,248.11,3476237.0
2025-04-07,243.33,256.96,242.81,246.67,4062809.0
2025-04-08,252.31,253.8,243.86,246.3,2695888.0
2025-04-09,243.0,255.56,238.65,254.9,3835195.0
2025-04-10,256.38,260.24,251.43,256.12,2463258.0
2025-04-11,257.61,260.12,255.63,258.67,1776957.0
2025-04-14,259.5,265.17,258.52,262.64,1555929.0
2025-04-15,264.47,267.96,263.18,266.71,1420682.0
2025-04-16,266.23,267.27,258.95,259.64,1411022.0
2025-04-17,260.03,265.4,259.09,262.04,1665314.0
2025-04-21,260.39,261.74,250.87,253.48,1758454.0
2025-04-22,253.14,259.32,253.0,258.3,2475123.0
2025-04-23,254.25,262.61,252.67,259.35,2294713.0
2025-04-24,259.75,263.79,258.07,262.18,1887943.0
2025-04-25,243.67,243.81,230.64,232.77,8450523.0
2025-04-28,231.71,237.32,231.54,236.77,3101586.0
2025-04-29,236.71,241.91,235.42,241.59,1757612.0
2025-04-30,244.73,247.55,241.72,246.95,1730566.0
2025-05-01,245.27,247.1,242.4,247.0,1534251.0
