date,open,high,low,close,volume
2025-02-26,84.64,87.46,84.59,86.56,2253100.0
2025-02-27,85.7,86.51,83.99,84.31,2438659.0
2025-02-28,84.02,85.68,83.48,85.42,1914505.0
2025-03-03,86.71,87.15,83.39,84.09,1991716.0
2025-03-04,83.13,83.35,79.0,81.27,4488769.0
2025-03-05,80.63,82.16,79.67,81.28,2953928.0
2025-03-06,79.98,80.71,77.03,77.72,2485348.0
2025-03-07,77.09,77.41,72.27,74.92,4531349.0
2025-03-10,72.64,73.2,69.54,70.7,5660247.0
2025-03-11,71.32,72.75,71.06,71.97,3423509.0
2025-03-12,73.48,74.31,70.87,71.69,4153060.0
2025-03-13,71.33,71.66,68.07,69.71,2906994.0
2025-03-14,70.95,71.31,69.18,70.46,2723467.0
2025-03-17,70.39,71.69,69.62,71.22,2437233.0
2025-03-18,71.07,71.92,69.69,70.97,2382179.0
2025-03-19,71.5,74.36,70.83,73.5,3296863.0
2025-03-20,72.0,73.3,72.0,72.91,2566738.0
2025-03-21,71.57,73.33,70.4,73.12,4160551.0
2025-03-24,74.17,75.82,73.94,75.72,2535057.0
2025-03-25,75.49,75.68,74.14,74.72,1456837.0
2025-03-26,74.75,75.17,73.2,73.68,1325331.0
2025-03-27,72.91,73.8,72.26,72.75,1263173.0
2025-03-28,72.05,72.51,69.43,70.25,3177450.0
2025-03-31,68.58,70.67,67.13,70.41,2449207.0
2025-04-01,69.68,73.14,69.5,72.89,3166412.0
2025-04-02,72.3,75.15,71.85,74.74,2133985.0
2025-04-03,67.63,68.25,63.1,65.09,8598440.0
2025-04-04,61.45,67.41,60.13,62.94,7984493.0
2025-04-07,60.07,65.2,59.05,62.99,5200823.0
2025-04-08,65.25,67.06,59.22,60.6,5278867.0
2025-04-09,59.8,68.44,58.39,67.28,8092782.0
2025-04-10,65.03,66.0,62.04,63.92,3673962.0
2025-04-11,63.31,64.38,62.21,63.4,3674389.0
2025-04-14,64.66,66.21,62.63,63.78,3181077.0
2025-04-15,63.36,64.58,63.22,63.94,1524335.0
