date,open,high,low,close,volume
2025-02-26,61.15,61.15,59.93,60.3,942886.0
2025-02-27,60.18,61.09,59.67,60.99,947674.0
2025-02-28,61.1,61.48,60.52,61.34,966945.0
2025-03-03,61.31,62.36,61.22,61.83,1160865.0
2025-03-04,62.23,62.9,60.42,60.5,1192603.0
2025-03-05,60.22,61.26,60.14,60.74,855881.0
2025-03-06,61.14,61.45,60.31,60.53,678795.0
2025-03-07,60.51,61.98,60.44,61.24,790991.0
2025-03-10,61.73,62.26,61.25,61.93,2135023.0
2025-03-11,61.72,62.04,61.26,61.31,2364576.0
2025-03-12,60.79,61.36,60.0,60.14,1538836.0
2025-03-13,60.23,60.66,59.68,60.0,882674.0
2025-03-14,60.02,60.25,59.5,59.88,1181448.0
2025-03-17,59.87,60.83,59.8,60.59,697379.0
2025-03-18,60.58,60.83,60.23,60.51,1499793.0
2025-03-19,60.3,61.03,59.89,60.79,945300.0
2025-03-20,60.9,60.9,60.25,60.42,849927.0
2025-03-21,60.4,60.95,60.17,60.43,1344465.0
2025-03-24,60.28,60.92,60.05,60.37,963941.0
2025-03-25,60.37,60.38,59.72,59.95,734567.0
2025-03-26,60.04,61.78,60.04,61.59,936131.0
2025-03-27,61.97,62.68,61.87,62.38,913573.0
2025-03-28,62.55,62.77,62.16,62.37,556558.0
2025-03-31,62.39,64.15,62.35,63.81,1110185.0
2025-04-01,63.87,64.0,62.81,63.11,1246620.0
2025-04-02,63.28,63.72,62.51,62.75,648125.0
2025-04-03,63.37,64.36,63.02,63.56,1327212.0
2025-04-04,62.02,63.0,59.73,59.81,1686751.0
2025-04-07,58.18,59.5,57.47,58.23,1575550.0
2025-04-08,59.29,59.6,57.29,57.65,1098356.0
2025-04-09,56.8,59.86,56.79,59.76,1287370.0
2025-04-10,59.94,60.48,58.75,60.13,1710043.0
2025-04-11,60.46,60.9,59.1,60.54,1094439.0
2025-04-14,60.5,61.89,60.3,61.57,1334502.0
2025-04-15,61.74,61.74,60.85,60.99,604059.0
2025-04-16,61.5,61.5,60.48,60.66,873211.0
2025-04-17,61.09,61.85,60.88,61.21,985532.0
2025-04-21,61.05,61.15,60.18,60.79,774237.0
2025-04-22,60.9,61.71,60.76,61.39,1012154.0
2025-04-23,61.46,62.19,61.12,62.03,1241190.0
2025-04-24,61.73,61.99,61.15,61.42,1215131.0
2025-04-25,61.41,61.57,60.28,60.62,636878.0
2025-04-28,60.56,60.88,59.9,60.11,1002654.0
2025-04-29,59.92,60.66,59.37,60.58,1209229.0
2025-04-30,61.17,61.36,60.25,61.24,1253159.0
2025-05-01,60.59,60.92,60.03,60.61,1619037.0
2025-05-02,61.01,61.53,60.62,60.79,2179413.0
2025-05-05,57.6,58.42,54.49,56.08,8133833.0
2025-05-06,55.94,56.15,54.94,55.75,4620959.0
2025-05-07,55.82,55.9,55.04,55.18,2156409.0
2025-05-08,55.29,56.77,55.23,56.34,3324435.0
2025-05-09,56.27,56.66,55.13,55.3,1572514.0
2025-05-12,55.74,56.08,55.21,55.99,1793343.0
2025-05-13,56.03,56.23,55.34,55.36,1488193.0
2025-05-14,55.26,55.29,54.4,54.5,1538708.0
2025-05-15,54.59,55.69,54.57,55.65,1282210.0
2025-05-16,55.6,56.1,55.52,55.94,1611155.0
2025-05-19,56.0,56.33,55.62,56.05,1305710.0
2025-05-20,56.18,56.83,56.18,56.75,1598482.0
2025-05-21,56.79,57.05,56.29,56.31,1384642.0
2025-05-22,56.2,56.55,55.39,55.48,1160357.0
2025-05-23,55.38,55.69,54.68,55.55,1457511.0
2025-05-27,55.9,55.9,54.96,55.82,1205548.0
2025-05-28,55.9,55.95,55.18,55.36,1149806.0
2025-05-29,55.37,56.13,55.16,56.12,1780234.0
2025-05-30,55.5,56.44,55.2,56.16,2230969.0
2025-06-02,55.94,56.18,55.4,56.16,804722.0
2025-06-03,55.74,55.99,55.22,55.79,1289960.0
2025-06-04,55.73,56.01,55.33,55.62,1575900.0
2025-06-05,55.59,55.61,54.9,55.24,1464709.0
2025-06-06,55.5,55.77,55.19,55.31,941788.0
2025-06-09,55.28,55.64,54.99,55.26,2408447.0
2025-06-10,55.45,56.09,55.26,55.68,1136118.0
2025-06-11,55.64,55.65,55.15,55.37,1337640.0
2025-06-12,55.27,55.69,54.8,55.67,1024826.0
2025-06-13,55.59,55.88,54.62,54.81,1800047.0
2025-06-16,54.95,55.2,54.41,54.9,1995031.0
2025-06-17,54.85,55.37,54.68,54.73,1249913.0
2025-06-18,54.81,55.0,54.26,54.33,1069964.0
2025-06-20,54.35,54.82,54.29,54.41,1155491.0
2025-06-23,54.71,55.35,54.54,55.11,1140171.0
2025-06-24,55.11,55.9,55.03,55.51,1222698.0
2025-06-25,55.21,55.29,54.64,54.64,834058.0
2025-06-26,54.8,55.21,54.69,55.02,1399895.0
2025-06-27,55.06,55.5,54.7,55.24,1364155.0
2025-06-30,55.09,56.04,55.06,55.94,1073225.0
2025-07-01,55.88,57.72,55.82,57.35,1500290.0
2025-07-02,57.32,57.58,57.01,57.45,957394.0
2025-07-03,57.46,57.64,57.17,57.36,704263.0
2025-07-07,56.92,57.24,55.42,55.75,2075305.0
2025-07-08,55.53,56.2,55.18,55.71,1106142.0
2025-07-09,55.87,55.87,54.66,55.08,1598011.0
2025-07-10,54.65,55.19,54.39,54.64,1728906.0
2025-07-11,54.64,54.64,53.57,54.22,1806546.0
2025-07-14,54.3,54.61,53.9,54.32,1209374.0
2025-07-15,54.22,54.34,52.71,52.75,1286338.0
2025-07-16,52.77,53.69,52.75,53.63,1503172.0
2025-07-17,53.6,54.14,53.37,53.98,1606389.0
2025-07-18,54.1,54.12,53.29,53.41,862584.0
2025-07-21,53.43,53.8,53.16,53.31,1307206.0
2025-07-22,53.44,54.51,53.44,54.47,1100017.0
2025-07-23,54.37,54.85,54.06,54.39,1244825.0
2025-07-24,54.37,54.61,53.91,54.0,796976.0
2025-07-25,54.0,54.13,53.58,53.94,805052.0
2025-07-28,53.63,53.92,53.06,53.45,1250157.0
2025-07-29,53.47,54.33,53.26,53.65,1683324.0
2025-07-30,53.49,53.74,52.73,52.92,1456912.0
2025-07-31,52.72,52.96,52.22,52.3,1295942.0
