date,open,high,low,close,volume
2025-02-26,353.03,356.76,350.04,350.71,982119.0
2025-02-27,352.27,355.04,344.15,344.28,639077.0
2025-02-28,345.31,354.43,341.79,353.7,940804.0
2025-03-03,356.38,356.5,342.98,346.24,779713.0
2025-03-04,342.4,348.61,335.09,343.2,1068394.0
2025-03-05,346.64,350.82,343.58,348.65,1085421.0
2025-03-06,344.73,347.29,336.77,341.73,805441.0
2025-03-07,340.62,345.7,334.1,344.76,864725.0
2025-03-10,338.85,342.59,334.94,338.36,1074941.0
2025-03-11,337.35,343.21,333.66,333.96,652328.0
2025-03-12,339.63,342.69,333.28,339.37,748060.0
2025-03-13,337.95,340.11,334.82,338.9,1003942.0
2025-03-14,343.8,348.59,340.45,347.8,726788.0
2025-03-17,347.42,352.99,346.3,350.94,548575.0
2025-03-18,348.42,349.45,342.34,344.06,523962.0
2025-03-19,344.43,352.54,343.34,350.06,441953.0
2025-03-20,345.5,352.59,342.76,349.33,738468.0
2025-03-21,345.92,348.52,342.46,347.14,657472.0
2025-03-24,352.64,359.13,349.0,357.6,559140.0
2025-03-25,358.68,364.35,358.11,364.0,793650.0
2025-03-26,363.3,366.52,349.08,352.06,1543307.0
2025-03-27,352.24,353.05,345.27,346.6,1035564.0
2025-03-28,345.06,345.76,331.0,332.0,1160274.0
2025-03-31,330.1,339.03,327.67,336.92,723365.0
2025-04-01,336.35,342.35,334.3,341.65,617112.0
2025-04-02,335.64,350.24,335.64,347.94,509654.0
2025-04-03,333.07,338.41,329.36,331.04,822661.0
2025-04-04,319.18,326.0,313.62,318.11,1030113.0
2025-04-07,309.01,330.88,298.15,316.17,897081.0
2025-04-08,324.96,329.53,311.04,315.21,778605.0
2025-04-09,315.25,344.86,310.8,342.8,884521.0
2025-04-10,334.66,342.35,325.98,338.33,815160.0
2025-04-11,335.06,347.87,333.23,345.81,574218.0
2025-04-14,350.53,351.52,343.84,347.49,512584.0
2025-04-15,349.03,349.98,342.62,343.96,458325.0
2025-04-16,340.72,341.49,326.68,330.64,748992.0
2025-04-17,332.99,336.51,327.05,333.16,863685.0
2025-04-21,330.1,332.0,318.08,322.37,870300.0
2025-04-22,330.17,335.61,324.78,332.62,475567.0
2025-04-23,344.6,348.29,334.99,335.87,697643.0
2025-04-24,337.31,344.82,334.37,343.04,573291.0
2025-04-25,343.09,351.78,343.09,347.97,893461.0
2025-04-28,348.14,354.95,346.68,351.32,1210566.0
2025-04-29,350.12,355.0,346.45,353.44,761008.0
2025-04-30,374.01,384.33,370.04,383.31,1101416.0
2025-05-01,387.24,396.86,386.41,392.62,902061.0
2025-05-02,395.9,402.17,394.39,399.59,561922.0
2025-05-05,397.24,406.21,395.86,402.9,405534.0
2025-05-06,400.0,408.42,397.72,406.68,936032.0
2025-05-07,406.64,409.14,402.87,407.24,786943.0
