date,open,high,low,close,volume
2025-02-26,199.98,200.03,195.78,198.24,2718105.0
2025-02-27,197.67,198.13,191.15,191.3,3263444.0
2025-02-28,193.29,196.25,191.49,195.99,2919216.0
2025-03-03,199.01,200.25,193.59,194.39,2347996.0
2025-03-04,196.37,198.93,193.02,194.84,2675602.0
2025-03-05,195.3,197.0,190.75,195.57,2107958.0
2025-03-06,191.76,193.92,188.61,189.34,2762255.0
2025-03-07,189.26,191.27,185.71,190.52,3746169.0
2025-03-10,187.62,189.47,183.41,186.49,4475455.0
2025-03-11,188.11,188.33,176.91,177.34,3444323.0
2025-03-12,178.25,179.62,174.75,175.7,2611672.0
2025-03-13,175.08,176.97,172.09,173.6,2573997.0
2025-03-14,175.59,176.86,175.07,176.42,2088042.0
2025-03-17,176.1,181.29,175.97,179.99,2302200.0
2025-03-18,179.7,179.77,177.61,179.45,1818697.0
2025-03-19,179.53,183.66,178.71,181.74,2386255.0
2025-03-20,179.28,181.81,178.5,180.68,2024788.0
2025-03-21,178.53,179.84,177.04,179.0,2918967.0
2025-03-24,182.95,187.48,182.53,185.51,2570367.0
2025-03-25,184.49,186.84,183.55,183.97,1922348.0
2025-03-26,184.12,186.01,183.28,184.49,2881756.0
2025-03-27,183.02,183.02,177.52,180.76,2430738.0
2025-03-28,179.66,180.73,175.58,176.33,2279446.0
2025-03-31,175.42,180.2,173.96,179.7,3910566.0
2025-04-01,179.29,179.56,174.27,177.99,3167646.0
2025-04-02,175.82,179.93,175.19,178.19,1541623.0
2025-04-03,171.64,174.19,164.0,164.2,5314097.0
2025-04-04,160.32,161.07,150.95,151.39,7280191.0
2025-04-07,151.1,162.9,145.2,154.0,9751546.0
2025-04-08,156.62,159.03,143.31,146.01,7293915.0
2025-04-09,145.3,172.82,144.25,169.5,10508009.0
2025-04-10,160.68,162.93,150.02,156.6,9232771.0
2025-04-11,143.94,149.88,139.95,147.6,13110542.0
2025-04-14,151.04,153.59,149.14,150.98,6458643.0
2025-04-15,151.76,152.71,149.85,151.18,3054835.0
2025-04-16,147.22,149.74,142.56,146.55,5044986.0
2025-04-17,147.32,150.19,145.92,148.44,3170634.0
2025-04-21,145.46,146.74,142.64,145.61,3901329.0
2025-04-22,145.87,148.24,145.08,146.76,3847235.0
2025-04-23,153.23,155.34,151.27,152.15,5975844.0
2025-04-24,164.31,165.0,158.42,162.13,10012285.0
2025-04-25,161.73,163.7,160.52,162.86,3990552.0
2025-04-28,163.35,163.55,159.72,162.44,2568998.0
2025-04-29,159.49,162.35,158.75,160.77,2888488.0
2025-04-30,156.37,160.63,154.9,160.05,2429484.0
2025-05-01,160.84,162.07,158.06,158.26,2781159.0
2025-05-02,161.78,166.36,161.08,164.51,3130459.0
2025-05-05,162.62,164.1,161.11,162.42,2198505.0
2025-05-06,160.21,162.01,159.11,161.09,1869426.0
2025-05-07,162.33,165.52,161.9,164.79,2219987.0
2025-05-08,166.85,168.43,164.64,165.64,2038381.0
2025-05-09,170.26,172.6,169.61,172.27,4590110.0
2025-05-12,185.65,189.36,185.11,187.28,8954681.0
2025-05-13,186.63,189.51,186.34,188.2,4599082.0
2025-05-14,187.68,187.73,185.05,187.34,3488433.0
2025-05-15,186.17,189.76,185.51,187.83,2636695.0
2025-05-16,189.31,189.31,186.81,188.5,1981153.0
2025-05-19,185.01,188.48,184.25,188.34,2808163.0
2025-05-20,188.09,189.0,186.92,188.71,2018410.0
2025-05-21,186.51,189.9,184.73,185.42,3704618.0
2025-05-22,186.4,186.91,179.98,180.21,4089267.0
2025-05-23,177.0,177.29,173.75,176.3,3400504.0
2025-05-27,179.27,183.33,177.84,183.24,3004007.0
2025-05-28,183.35,185.92,183.09,184.15,2633583.0
2025-05-29,186.34,186.49,182.93,184.99,2166396.0
2025-05-30,184.82,185.14,179.76,182.85,2978434.0
2025-06-02,181.85,184.71,181.61,184.21,1582613.0
2025-06-03,183.24,188.5,182.61,188.08,2205761.0
2025-06-04,189.17,192.1,188.48,190.72,2781183.0
2025-06-05,192.77,194.29,189.32,190.49,2363458.0
2025-06-06,193.62,194.84,192.26,192.42,1972436.0
2025-06-09,193.88,200.43,193.46,199.21,3013366.0
2025-06-10,199.98,203.17,199.48,202.29,2351790.0
2025-06-11,202.99,203.35,198.15,199.69,1891382.0
2025-06-12,198.25,200.32,198.11,199.66,1264240.0
2025-06-13,196.09,199.04,194.46,195.0,2113967.0
2025-06-16,197.5,199.86,196.6,199.22,1631197.0
2025-06-17,198.14,200.62,196.87,197.69,2054346.0
2025-06-18,198.62,200.57,197.29,198.35,1312685.0
2025-06-20,200.5,200.93,196.57,198.2,3471202.0
2025-06-23,198.89,201.83,198.36,201.39,1925439.0
2025-06-24,203.23,206.2,203.0,205.81,2713987.0
2025-06-25,206.26,206.42,203.31,205.38,1753505.0
2025-06-26,206.22,207.32,205.77,206.31,1776950.0
2025-06-27,205.5,207.69,205.29,207.08,1655993.0
2025-06-30,206.84,208.38,206.44,207.62,1709426.0
2025-07-01,206.27,211.68,206.27,210.45,2449665.0
2025-07-02,210.08,216.18,209.48,215.59,2523400.0
2025-07-03,215.6,216.94,214.72,216.02,956964.0
2025-07-07,215.05,215.63,212.2,213.41,2054131.0
2025-07-08,214.99,219.37,214.02,216.63,2676962.0
2025-07-09,216.92,218.9,215.19,216.39,1813227.0
2025-07-10,219.28,220.78,217.56,219.66,1715113.0
2025-07-11,219.73,221.69,218.22,221.25,1765984.0
2025-07-14,219.37,220.26,217.3,220.05,1815683.0
2025-07-15,220.76,221.4,217.97,218.36,2123803.0
2025-07-16,218.66,218.66,211.71,216.64,3148423.0
2025-07-17,216.02,217.0,215.49,216.59,2434578.0
2025-07-18,218.25,218.65,215.91,216.62,2021394.0
2025-07-21,217.56,219.0,214.21,214.57,2193675.0
2025-07-22,214.17,216.0,212.16,214.92,3767860.0
2025-07-23,194.81,195.0,185.29,186.25,19762124.0
2025-07-24,186.33,187.89,185.02,185.69,4849167.0
2025-07-25,185.56,185.88,183.2,184.99,3756207.0
2025-07-28,187.88,190.54,187.75,189.25,4502613.0
2025-07-29,189.71,192.89,188.9,191.38,3375248.0
2025-07-30,192.15,192.58,188.3,189.52,3073130.0
2025-07-31,186.14,186.91,179.81,181.06,4264119.0
2025-08-01,179.63,181.59,177.92,180.86,3182195.0
2025-08-04,181.75,183.45,180.63,182.73,2080147.0
2025-08-05,184.82,186.49,183.59,185.4,2778069.0
2025-08-06,184.69,186.9,184.0,185.91,4389703.0
2025-08-07,190.75,191.49,184.73,185.91,3444167.0
2025-08-08,185.55,187.64,184.66,187.22,2761347.0
2025-08-11,187.44,188.87,183.4,183.71,3059180.0
2025-08-12,185.22,193.84,185.22,192.97,5570223.0
2025-08-13,193.14,194.12,190.95,193.29,2431377.0
2025-08-14,191.18,194.24,190.03,193.71,1953315.0
2025-08-15,193.6,195.37,192.49,194.57,2831483.0
2025-08-18,194.42,195.52,193.5,194.33,873034.0
2025-08-19,194.67,197.65,193.79,195.94,2247441.0
2025-08-20,197.51,201.23,193.45,200.77,4125814.0
2025-08-21,199.58,202.18,199.45,200.71,2018327.0
2025-08-22,202.08,209.09,201.89,206.06,2554713.0
2025-08-25,206.0,207.0,204.54,205.97,1149144.0
2025-08-26,205.78,207.41,205.23,205.98,1092032.0
2025-08-27,204.96,205.7,203.25,205.47,1485304.0
2025-08-28,205.94,207.14,203.61,204.09,1997126.0
2025-08-29,203.51,204.05,201.56,202.48,1727734.0
2025-09-02,199.45,200.17,196.76,199.81,2355157.0
2025-09-03,199.67,200.08,191.37,195.74,3071945.0
2025-09-04,183.64,188.68,181.69,187.29,5909035.0
2025-09-05,187.08,189.28,185.29,187.93,4591831.0
2025-09-08,188.15,188.37,183.07,185.82,4695540.0
2025-09-09,184.12,185.66,183.66,185.03,2895591.0
2025-09-10,185.1,185.51,182.94,184.01,2446937.0
2025-09-11,184.73,184.82,182.26,184.35,2583646.0
2025-09-12,183.94,184.34,182.34,182.6,3360773.0
2025-09-15,175.81,179.22,174.01,178.2,5828579.0
2025-09-16,178.55,181.14,177.28,177.63,3737924.0
2025-09-17,177.84,182.57,177.61,180.3,3465514.0
2025-09-18,182.87,183.72,180.31,181.62,3211267.0
2025-09-19,182.24,183.25,178.16,179.37,5336761.0
2025-09-22,179.4,181.41,179.3,179.62,2899294.0
2025-09-23,179.87,182.67,179.68,182.04,2051816.0
2025-09-24,181.72,185.16,181.1,184.44,2347059.0
2025-09-25,183.65,183.66,180.11,182.04,1789925.0
2025-09-26,185.96,187.29,183.07,184.55,3086921.0
2025-09-29,185.47,186.1,183.0,183.23,1689101.0
2025-09-30,182.75,183.97,181.31,183.73,1441654.0
2025-10-01,181.95,184.51,178.33,180.39,3400803.0
2025-10-02,180.43,184.62,179.84,182.32,3085388.0
2025-10-03,182.78,185.46,180.15,180.32,2582246.0
2025-10-06,181.0,183.23,179.3,181.81,2419882.0
2025-10-07,181.82,182.02,176.96,177.05,2147346.0
2025-10-08,176.83,181.93,176.83,181.6,2610771.0
2025-10-09,180.62,180.96,177.62,178.96,1562523.0
2025-10-10,179.46,181.57,171.5,171.7,3950451.0
2025-10-13,172.83,176.1,172.4,175.11,4039297.0
2025-10-14,171.97,176.28,171.45,173.94,4819535.0
2025-10-15,174.02,176.16,171.13,175.27,5392017.0
2025-10-16,175.39,177.5,174.06,175.48,3341178.0
2025-10-17,174.88,177.63,174.56,176.58,2570048.0
2025-10-20,172.56,181.11,172.51,179.59,3126655.0
2025-10-21,179.47,181.84,178.84,180.84,4721668.0
2025-10-22,163.96,173.08,163.04,170.71,12777897.0
2025-10-23,170.0,173.76,169.75,172.19,3845650.0
2025-10-24,174.01,174.15,168.78,169.13,3950947.0
2025-10-27,169.82,170.37,168.68,169.41,3515065.0
2025-10-28,169.14,169.51,166.49,166.91,4081385.0
2025-10-29,166.07,166.72,159.83,160.26,5864279.0
2025-10-30,160.15,162.64,159.97,160.51,4111435.0
2025-10-31,158.21,162.0,157.8,161.46,3372940.0
2025-11-03,162.36,163.45,160.07,161.46,2430096.0
2025-11-04,161.18,162.31,158.13,159.36,3858472.0
2025-11-05,159.39,165.62,159.39,163.57,4144474.0
2025-11-06,162.64,163.81,161.09,161.38,2003165.0
2025-11-07,160.38,160.6,156.89,160.55,3429210.0
2025-11-10,162.0,163.37,158.49,160.58,3467510.0
2025-11-11,160.31,162.18,159.24,159.73,3163827.0
2025-11-12,161.09,164.53,160.4,163.09,2953610.0
2025-11-13,162.53,165.44,161.48,162.23,2918196.0
2025-11-14,160.5,160.88,158.3,159.33,3170012.0
2025-11-17,158.61,159.75,153.54,154.99,3516604.0
2025-11-18,154.57,158.09,153.54,157.32,3783897.0
2025-11-19,156.71,159.18,155.13,157.09,2303473.0
2025-11-20,158.22,159.25,152.73,153.33,2888070.0
2025-11-21,153.74,161.16,153.41,159.4,6125754.0
2025-11-24,159.93,162.7,158.97,161.26,2972971.0
2025-11-25,159.72,161.95,158.69,161.77,3165636.0
2025-11-26,162.32,167.04,162.05,165.35,3155945.0
2025-11-28,166.16,169.25,165.42,168.27,2005913.0
2025-12-01,166.84,169.67,166.53,168.16,2429565.0
2025-12-02,168.9,177.88,168.01,175.26,4560289.0
2025-12-03,176.82,183.0,175.58,182.6,4617435.0
2025-12-04,183.24,183.91,178.94,180.12,2736020.0
2025-12-05,180.87,184.76,180.62,182.54,2648844.0
2025-12-08,183.51,183.7,179.53,180.94,2663584.0
2025-12-09,179.91,181.89,179.4,179.52,1711942.0
2025-12-10,178.03,182.72,177.5,181.67,1922805.0
2025-12-11,180.28,182.02,179.18,181.67,1613053.0
2025-12-12,181.79,183.23,178.65,179.42,2000785.0
2025-12-15,175.35,179.36,174.0,177.97,3565986.0
2025-12-16,178.09,179.03,176.0,177.56,2041230.0
2025-12-17,177.86,179.64,173.69,174.49,3906388.0
2025-12-18,177.04,178.9,175.9,176.19,2921698.0
2025-12-19,175.47,178.24,175.47,176.29,4583710.0
2025-12-22,179.49,179.9,177.97,178.82,2229678.0
2025-12-23,178.27,178.61,176.68,177.08,1343371.0
2025-12-24,177.12,178.02,176.79,177.13,552660.0
2025-12-26,177.72,178.52,176.43,176.88,1318327.0
2025-12-29,176.51,177.65,175.1,175.69,1506389.0
2025-12-30,175.8,176.48,175.25,175.42,1943644.0
2025-12-31,175.8,176.19,173.44,173.49,1317617.0
2026-01-02,175.44,178.89,174.91,177.52,2597317.0
2026-01-05,178.02,182.89,176.89,177.17,3061050.0
2026-01-06,180.09,192.92,180.09,192.1,6607725.0
2026-01-07,188.55,190.72,184.49,185.71,3753183.0
2026-01-08,182.83,189.08,182.55,188.45,3368775.0
2026-01-09,188.8,191.4,187.51,190.31,2450780.0
2026-01-12,188.84,190.82,188.0,189.07,2738612.0
2026-01-13,189.17,189.75,187.65,188.53,1557825.0
2026-01-14,187.5,193.61,187.44,193.45,3549501.0
2026-01-15,194.93,196.64,188.77,189.12,3455569.0
2026-01-16,190.19,192.47,190.07,191.58,2437149.0
2026-01-20,190.24,192.43,187.95,189.59,2833321.0
2026-01-21,191.45,196.13,191.25,194.41,3453542.0
2026-01-22,197.3,199.43,193.68,194.99,4053738.0
2026-01-23,195.76,196.41,191.13,193.31,3509717.0
2026-01-26,193.31,196.84,192.44,196.59,3571512.0
2026-01-27,194.69,198.41,194.34,196.63,4252298.0
2026-01-28,203.82,216.59,203.72,216.17,9999131.0
2026-01-29,216.4,222.0,214.82,218.97,6969123.0
2026-01-30,216.06,216.46,213.05,215.55,3981692.0
2026-02-02,215.36,225.26,214.84,225.01,5970342.0
2026-02-03,224.61,228.83,222.7,225.21,8121952.0
2026-02-04,222.34,228.29,218.66,222.92,8303770.0
2026-02-05,222.15,225.82,218.89,223.98,5969876.0
2026-02-06,225.63,226.76,218.58,221.44,4995068.0
2026-02-09,221.26,222.16,218.24,218.77,3184939.0
2026-02-10,216.93,222.08,216.13,220.92,2298862.0
2026-02-11,223.13,231.32,223.12,226.56,5082824.0
2026-02-12,226.77,229.5,221.87,223.0,4007428.0
2026-02-13,221.73,226.89,221.54,226.16,2588521.0
2026-02-17,226.6,228.46,222.81,225.69,2426460.0
2026-02-18,229.88,230.0,221.36,223.32,2841574.0
2026-02-19,221.15,222.04,217.42,218.05,2293786.0
2026-02-20,216.72,220.2,216.53,219.73,2904197.0
2026-02-23,218.72,222.79,218.72,219.86,3569347.0
2026-02-24,220.72,224.17,209.59,213.35,5612063.0
2026-02-25,214.4,215.9,210.23,213.9,3392455.0
