date,open,high,low,close,volume
2025-02-26,73.19,73.63,72.68,73.07,466994.0
2025-02-27,73.18,73.73,72.81,73.25,424732.0
2025-02-28,73.72,74.87,73.44,74.73,580040.0
2025-03-03,75.49,75.91,73.67,74.02,673030.0
2025-03-04,73.36,73.47,70.14,70.19,1287671.0
2025-03-05,70.68,72.5,70.68,72.37,888308.0
2025-03-06,72.0,73.65,71.6,73.37,865177.0
2025-03-07,73.4,75.9,72.76,75.42,1415134.0
2025-03-10,74.99,77.1,74.7,75.44,727075.0
2025-03-11,75.35,75.63,73.07,73.65,812043.0
2025-03-12,73.51,74.34,72.42,72.72,497712.0
2025-03-13,72.39,73.11,71.35,71.99,654467.0
2025-03-14,73.08,73.67,72.66,73.19,561595.0
2025-03-17,73.0,75.17,72.46,74.62,640472.0
2025-03-18,74.5,74.94,73.88,74.25,459738.0
2025-03-19,74.2,75.01,74.14,74.44,513133.0
2025-03-20,73.88,74.51,73.3,73.49,1146686.0
2025-03-21,73.0,73.72,72.53,73.08,926981.0
2025-03-24,73.78,74.78,73.43,74.28,857625.0
2025-03-25,74.68,75.21,74.29,74.64,685884.0
2025-03-26,74.92,75.49,74.67,75.17,471190.0
2025-03-27,75.3,75.59,74.73,75.28,519152.0
2025-03-28,74.92,75.27,72.88,73.0,455835.0
2025-03-31,72.65,73.1,71.8,72.25,631205.0
2025-04-01,72.03,73.18,71.32,72.16,634861.0
2025-04-02,71.25,73.02,71.23,72.48,506364.0
2025-04-03,70.29,71.09,66.83,66.87,987262.0
2025-04-04,64.84,64.84,60.38,60.72,1747543.0
2025-04-07,60.27,62.91,57.7,61.09,1168929.0
2025-04-08,63.91,64.01,59.94,60.93,822525.0
2025-04-09,60.2,67.19,60.01,66.78,1013576.0
2025-04-10,65.0,65.83,62.75,64.52,755331.0
2025-04-11,64.51,65.77,63.19,65.68,582895.0
2025-04-14,66.0,66.72,65.23,65.99,666623.0
2025-04-15,65.54,66.55,65.3,65.42,286234.0
2025-04-16,65.22,66.07,64.56,64.98,562405.0
2025-04-17,64.72,66.83,64.72,66.04,817355.0
2025-04-21,65.46,65.51,63.79,64.58,889870.0
2025-04-22,65.15,65.57,63.93,65.45,925488.0
2025-04-23,67.04,68.06,65.73,66.23,1011751.0
2025-04-24,66.19,68.49,64.05,67.93,1024937.0
2025-04-25,67.86,68.65,67.44,68.42,852897.0
2025-04-28,68.86,69.84,68.64,69.38,738530.0
2025-04-29,68.98,70.39,68.98,69.98,595535.0
2025-04-30,69.42,70.62,68.83,70.37,534698.0
2025-05-01,70.47,71.17,69.65,70.27,454069.0
2025-05-02,71.41,72.06,69.81,71.02,1218332.0
2025-05-05,70.66,71.15,70.19,70.49,494559.0
2025-05-06,69.7,70.67,69.46,69.49,583731.0
2025-05-07,69.7,70.72,69.59,70.0,670402.0
2025-05-08,70.62,73.08,70.51,72.22,707427.0
2025-05-09,72.63,72.96,71.95,72.41,521351.0
2025-05-12,74.93,76.93,74.19,76.8,1164176.0
2025-05-13,76.86,77.57,76.5,76.52,1853181.0
2025-05-14,76.22,76.22,74.77,75.21,786652.0
2025-05-15,75.21,76.22,75.16,76.0,402351.0
2025-05-16,76.28,76.77,75.39,76.68,522892.0
2025-05-19,76.04,76.71,75.63,76.42,344985.0
2025-05-20,76.09,76.77,75.74,76.05,565279.0
2025-05-21,75.45,75.65,73.36,73.38,608384.0
2025-05-22,72.98,74.1,72.64,73.48,341413.0
2025-05-23,72.23,73.17,72.0,72.92,310660.0
2025-05-27,74.02,75.21,73.89,74.71,668719.0
2025-05-28,74.8,75.04,73.87,73.99,406160.0
2025-05-29,74.19,74.57,73.79,74.0,632009.0
2025-05-30,73.58,74.33,73.0,74.03,547587.0
2025-06-02,73.77,74.0,72.76,73.53,499622.0
2025-06-03,73.38,74.63,72.98,74.49,469217.0
2025-06-04,74.49,74.87,74.4,74.49,376304.0
2025-06-05,74.77,75.0,73.97,74.5,418431.0
2025-06-06,75.23,75.82,75.04,75.57,319115.0
2025-06-09,76.08,77.47,75.94,77.08,498243.0
2025-06-10,77.1,78.17,76.51,77.85,623270.0
2025-06-11,77.96,77.96,76.1,76.8,540513.0
2025-06-12,76.21,77.86,75.75,77.8,716134.0
2025-06-13,77.58,79.55,77.17,77.38,736922.0
2025-06-16,78.05,78.14,76.83,77.24,424276.0
2025-06-17,76.88,77.52,76.51,76.86,821309.0
2025-06-18,76.96,78.09,76.55,76.61,563872.0
2025-06-20,77.13,77.54,76.27,76.98,602939.0
2025-06-23,76.92,78.05,76.67,77.5,607124.0
2025-06-24,77.92,79.06,77.0,78.76,693879.0
2025-06-25,78.8,79.72,78.31,79.28,807607.0
2025-06-26,79.9,81.16,79.62,80.26,864484.0
2025-06-27,80.35,80.74,79.57,80.34,606752.0
2025-06-30,80.21,80.89,80.04,80.29,637206.0
2025-07-01,78.86,81.23,78.37,80.98,702980.0
2025-07-02,80.89,81.97,80.18,81.94,412520.0
2025-07-03,82.0,82.38,81.65,82.23,258773.0
2025-07-07,82.31,83.04,81.01,81.37,700988.0
2025-07-08,81.44,82.83,81.16,82.12,682408.0
2025-07-09,82.55,82.78,81.5,82.47,343782.0
2025-07-10,83.93,85.28,83.38,85.23,1230055.0
2025-07-11,84.53,85.28,84.18,85.02,564720.0
2025-07-14,84.66,85.44,84.12,85.39,585395.0
2025-07-15,85.5,86.18,84.33,84.45,1591050.0
2025-07-16,84.56,84.92,82.8,84.14,586324.0
2025-07-17,84.14,85.57,84.14,85.36,812672.0
2025-07-18,85.5,85.7,84.22,85.0,703611.0
2025-07-21,85.0,85.57,84.52,84.75,817585.0
2025-07-22,84.73,86.23,84.53,86.04,626075.0
2025-07-23,87.0,87.75,86.62,87.21,1239042.0
2025-07-24,86.75,87.8,80.34,80.93,2299964.0
2025-07-25,80.45,80.62,77.62,79.5,2697755.0
2025-07-28,80.02,80.24,78.35,78.56,1229176.0
2025-07-29,79.36,79.51,77.91,78.14,829213.0
2025-07-30,78.49,78.69,77.33,78.05,1287459.0
2025-07-31,77.71,78.47,77.16,77.77,924113.0
2025-08-01,76.72,77.46,75.8,77.23,634897.0
2025-08-04,77.37,77.82,76.92,77.81,559652.0
2025-08-05,78.04,78.27,77.17,78.22,484777.0
2025-08-06,78.3,78.6,77.35,77.47,569019.0
2025-08-07,78.01,78.19,76.45,77.38,407205.0
2025-08-08,77.45,77.66,76.93,77.02,368413.0
2025-08-11,77.12,77.93,77.12,77.58,663742.0
2025-08-12,77.88,78.94,77.63,78.54,674630.0
2025-08-13,78.71,81.65,78.59,81.35,1057789.0
2025-08-14,80.86,80.86,80.09,80.32,474215.0
2025-08-15,80.58,80.58,78.86,78.89,687589.0
2025-08-18,79.0,79.89,78.85,79.07,806702.0
2025-08-19,79.0,80.48,78.79,79.68,529004.0
2025-08-20,79.53,80.04,79.24,79.29,561855.0
2025-08-21,79.12,79.78,78.88,79.48,540382.0
