date,open,high,low,close,volume
2025-02-26,98.41,99.99,96.91,97.4,2549778.0
2025-02-27,97.0,97.8,91.57,92.17,4761184.0
2025-02-28,92.62,94.85,92.19,93.81,3985006.0
2025-03-03,93.91,96.44,90.13,91.67,4658414.0
2025-03-04,88.29,88.98,83.67,86.21,8847090.0
2025-03-05,86.96,91.76,86.1,91.27,5943553.0
2025-03-06,89.17,91.12,85.74,86.27,6387109.0
2025-03-07,84.51,85.0,78.08,82.88,10705319.0
2025-03-10,80.1,80.17,75.45,77.62,11074516.0
2025-03-11,79.51,80.25,72.85,76.06,11158593.0
2025-03-12,76.8,78.36,70.51,72.46,8786722.0
2025-03-13,73.15,73.31,67.7,69.9,7893350.0
2025-03-14,71.06,74.28,69.86,73.67,5035799.0
2025-03-17,73.56,74.76,72.8,73.92,3788304.0
2025-03-18,73.0,73.6,70.62,71.34,3972491.0
2025-03-19,71.34,75.91,71.11,74.43,4438625.0
2025-03-20,73.29,74.58,72.75,74.04,3071109.0
2025-03-21,72.74,75.45,71.56,74.87,5202923.0
2025-03-24,76.65,80.34,76.65,80.22,5651154.0
2025-03-25,81.0,82.54,78.79,78.9,5126112.0
2025-03-26,79.09,80.05,76.97,77.87,2295488.0
2025-03-27,77.2,77.41,73.24,73.53,3980899.0
2025-03-28,73.51,73.57,69.64,70.23,5202515.0
2025-03-31,67.05,69.73,64.11,69.05,6590895.0
2025-04-01,67.48,68.33,64.69,68.2,5626948.0
2025-04-02,66.33,71.43,66.15,71.37,5356009.0
2025-04-03,65.43,65.64,60.03,60.23,10438618.0
2025-04-04,55.89,58.87,52.0,57.67,12745013.0
2025-04-07,55.03,63.0,53.36,58.77,9081571.0
2025-04-08,62.08,62.28,55.18,56.15,9505890.0
2025-04-09,56.24,72.47,56.0,70.83,24184955.0
2025-04-10,67.39,67.71,61.02,62.75,9300829.0
2025-04-11,62.77,65.87,61.52,65.6,6090139.0
2025-04-14,67.47,67.54,64.28,65.69,5563258.0
2025-04-15,65.65,68.25,65.64,67.0,7252441.0
2025-04-16,69.66,70.74,65.33,66.99,19669320.0
2025-04-17,66.95,68.28,64.75,66.3,7708562.0
2025-04-21,65.09,65.6,63.23,65.3,4766392.0
