date,open,high,low,close,volume
2025-02-26,245.93,247.96,244.78,245.48,1058293.0
2025-02-27,244.99,247.3,243.77,245.07,1339727.0
2025-02-28,244.92,247.11,242.49,246.69,1023611.0
2025-03-03,248.34,249.7,243.77,245.81,1022481.0
2025-03-04,243.67,244.02,240.85,241.52,1601115.0
2025-03-05,241.82,245.05,241.19,243.61,963001.0
2025-03-06,243.3,245.48,241.85,245.27,1080143.0
2025-03-07,246.09,250.33,244.96,249.31,1313205.0
2025-03-10,247.62,251.26,246.12,248.29,1161806.0
2025-03-11,247.45,248.09,237.43,237.78,1545637.0
2025-03-12,236.69,238.4,234.02,237.49,800476.0
2025-03-13,237.15,238.09,233.52,234.29,1202163.0
2025-03-14,235.64,237.75,234.91,237.53,1109800.0
2025-03-17,237.46,239.51,235.97,237.86,1025692.0
2025-03-18,238.48,240.0,235.53,237.09,1051792.0
2025-03-19,237.01,238.13,234.89,236.39,854940.0
2025-03-20,235.09,235.94,233.26,234.79,1386888.0
2025-03-21,233.08,234.25,231.34,233.88,1325613.0
2025-03-24,236.96,237.83,233.87,235.2,1445774.0
2025-03-25,235.2,236.54,234.34,235.79,789014.0
2025-03-26,235.86,238.75,235.69,238.03,742008.0
2025-03-27,238.33,238.33,234.66,235.97,748236.0
2025-03-28,235.61,236.7,232.01,232.15,781055.0
2025-03-31,230.56,238.1,230.28,236.24,1237217.0
2025-04-01,234.66,237.67,233.84,237.17,870148.0
2025-04-02,235.14,238.51,234.61,238.46,941278.0
2025-04-03,231.35,232.98,223.08,223.97,3334644.0
2025-04-04,220.0,221.75,212.55,213.26,3251157.0
2025-04-07,211.11,216.24,204.79,209.97,2631983.0
2025-04-08,217.53,217.73,204.66,208.27,2516172.0
2025-04-09,206.62,224.7,206.37,223.53,2709005.0
2025-04-10,221.38,221.69,214.2,219.32,2769185.0
2025-04-11,218.76,220.27,215.1,218.59,1355537.0
2025-04-14,220.51,223.28,219.29,222.27,1820717.0
2025-04-15,222.79,224.31,219.58,220.08,1544652.0
2025-04-16,219.7,220.54,215.41,216.6,1399902.0
2025-04-17,217.5,222.24,217.3,220.26,1919332.0
2025-04-21,218.16,218.98,213.36,216.05,1736402.0
2025-04-22,218.03,218.62,214.96,216.9,1428267.0
2025-04-23,221.31,224.58,218.33,219.78,1785345.0
2025-04-24,208.25,215.83,206.63,215.45,2518145.0
2025-04-25,214.0,214.76,211.57,213.29,1708613.0
2025-04-28,213.06,214.7,210.79,212.61,1427646.0
2025-04-29,211.29,214.96,211.29,214.54,1249802.0
2025-04-30,213.47,215.98,210.53,215.66,1320385.0
2025-05-01,215.5,215.5,212.56,214.08,1425824.0
2025-05-02,216.82,219.61,215.84,218.29,1434071.0
2025-05-05,216.8,218.79,216.26,216.53,760130.0
2025-05-06,214.76,216.22,213.0,213.2,1190855.0
2025-05-07,213.74,214.91,212.7,213.85,1583741.0
2025-05-08,214.91,218.92,213.87,216.84,1535692.0
2025-05-09,216.74,217.72,215.12,216.32,1148332.0
2025-05-12,227.06,231.54,226.52,230.87,2566556.0
2025-05-13,231.01,231.99,228.04,228.25,1636506.0
2025-05-14,227.34,228.76,223.14,228.34,1679474.0
