date,open,high,low,close,volume
2025-02-26,118.1,118.58,116.72,116.89,2137515.0
2025-02-27,117.0,118.73,116.99,117.63,2969999.0
2025-02-28,117.8,119.63,117.8,119.03,3519015.0
2025-03-03,119.83,120.98,118.77,119.26,3047803.0
2025-03-04,118.49,118.66,116.59,116.79,2976815.0
2025-03-05,117.48,119.59,117.31,119.02,4161388.0
2025-03-06,118.94,120.58,118.17,120.5,3476116.0
2025-03-07,119.6,121.66,119.32,121.62,3467512.0
2025-03-10,121.04,123.7,120.04,120.62,3885408.0
2025-03-11,120.27,120.58,115.94,116.36,3796531.0
2025-03-12,115.9,116.07,114.95,115.26,2751231.0
2025-03-13,115.77,117.47,114.96,115.23,2630593.0
2025-03-14,115.79,116.92,115.09,116.76,2300622.0
2025-03-17,117.0,118.78,116.92,118.06,2190104.0
2025-03-18,118.04,119.0,117.86,118.86,1942448.0
2025-03-19,118.37,118.87,116.26,117.47,2765325.0
2025-03-20,116.27,118.21,116.25,116.98,1704186.0
2025-03-21,114.36,115.42,112.46,115.1,6047812.0
2025-03-24,115.72,117.19,115.25,115.8,3321851.0
2025-03-25,115.83,116.0,109.89,109.95,7133483.0
2025-03-26,110.7,112.35,110.36,111.01,4020300.0
2025-03-27,110.82,111.78,110.42,111.01,2419828.0
2025-03-28,111.26,111.34,109.62,109.66,1830233.0
2025-03-31,109.01,110.86,108.3,109.99,3065514.0
2025-04-01,110.01,110.1,108.18,109.26,3420374.0
2025-04-02,108.84,110.5,108.59,110.2,2308226.0
2025-04-03,106.74,107.39,99.97,100.12,6238703.0
2025-04-04,98.33,100.59,96.57,97.71,5601411.0
2025-04-07,95.0,99.2,93.23,95.56,5294651.0
2025-04-08,97.8,97.8,90.71,91.92,5258096.0
2025-04-09,91.18,100.19,90.55,99.66,5783268.0
2025-04-10,98.12,98.13,93.98,96.56,4187454.0
2025-04-11,95.75,97.53,93.61,97.08,3219528.0
2025-04-14,98.47,100.94,97.99,98.67,2561285.0
2025-04-15,98.49,98.57,96.22,96.5,3558001.0
2025-04-16,96.45,96.65,93.52,94.2,2625711.0
2025-04-17,94.94,97.32,94.66,96.43,2778921.0
2025-04-21,95.57,96.34,94.62,96.25,2244130.0
2025-04-22,96.27,97.8,96.06,96.84,2344867.0
2025-04-23,98.58,99.82,96.97,97.21,3271450.0
2025-04-24,97.0,98.98,96.29,98.92,3959305.0
2025-04-25,98.04,98.65,97.11,97.91,2319374.0
2025-04-28,97.9,98.96,96.52,97.09,5145281.0
2025-04-29,96.0,98.8,95.52,96.73,6323788.0
2025-04-30,96.47,96.54,94.07,95.3,4247888.0
2025-05-01,94.84,96.09,93.57,94.6,3721469.0
