date,open,high,low,close,volume
2025-02-26,46.19,46.54,45.6,45.75,6157726.0
2025-02-27,45.82,46.77,45.82,46.28,3954636.0
2025-02-28,46.45,46.94,46.08,46.9,3964749.0
2025-03-03,47.11,47.37,45.77,46.24,5915604.0
2025-03-04,45.5,45.75,44.18,44.61,6783966.0
2025-03-05,44.58,45.0,43.87,44.67,5232746.0
2025-03-06,44.21,44.82,43.84,44.38,6861889.0
2025-03-07,44.38,44.79,43.58,44.72,7085464.0
2025-03-10,43.8,44.31,41.97,42.37,12177503.0
2025-03-11,42.4,42.71,41.4,41.56,11482629.0
2025-03-12,42.12,42.21,41.02,41.68,9886305.0
2025-03-13,41.93,41.97,40.81,40.92,6689391.0
2025-03-14,41.32,42.1,41.13,42.02,7421428.0
2025-03-17,41.98,42.5,41.67,42.18,6183268.0
2025-03-18,42.36,42.54,42.07,42.28,7486949.0
2025-03-19,42.28,42.92,42.17,42.68,7616354.0
2025-03-20,42.26,43.09,42.2,42.61,5499950.0
2025-03-21,42.35,43.01,42.12,42.84,11847749.0
2025-03-24,43.22,43.86,43.11,43.76,4191444.0
2025-03-25,43.78,44.03,43.48,43.7,4518989.0
2025-03-26,43.92,44.46,43.57,43.77,4498015.0
2025-03-27,43.73,43.9,43.13,43.23,5082566.0
2025-03-28,43.16,43.43,42.14,42.26,3964713.0
2025-03-31,41.39,42.34,41.16,42.22,5714858.0
2025-04-01,41.86,42.01,41.33,41.77,6177907.0
2025-04-02,41.27,43.07,41.27,43.01,6580526.0
2025-04-03,41.15,41.22,38.71,38.79,11574564.0
2025-04-04,37.37,37.69,35.74,36.83,13476907.0
2025-04-07,35.8,38.33,35.18,36.8,15442516.0
2025-04-08,37.94,38.61,35.72,36.4,13086003.0
2025-04-09,35.82,39.85,35.49,39.3,15927052.0
2025-04-10,38.46,38.48,36.36,37.25,14363497.0
2025-04-11,37.0,37.97,36.48,37.86,14085478.0
2025-04-14,38.51,38.78,37.77,38.2,9342330.0
2025-04-15,38.24,39.38,38.24,38.63,8240058.0
2025-04-16,38.22,39.15,37.43,37.82,12750549.0
2025-04-17,37.94,38.69,37.8,38.2,8568808.0
2025-04-21,37.91,38.08,37.24,37.81,7051123.0
2025-04-22,38.26,39.07,38.16,39.0,5922869.0
2025-04-23,40.0,41.15,39.31,39.51,8984586.0
2025-04-24,39.3,40.2,39.25,40.05,4724498.0
2025-04-25,39.76,40.13,39.65,39.92,4390361.0
2025-04-28,40.05,40.39,39.77,40.18,3316992.0
2025-04-29,39.95,40.57,39.76,40.5,5741190.0
2025-04-30,39.73,40.47,39.28,40.34,6036543.0
2025-05-01,40.16,40.91,39.99,40.5,4969439.0
2025-05-02,40.83,41.6,40.75,41.47,3729473.0
2025-05-05,41.0,42.02,40.94,41.46,3079279.0
2025-05-06,41.05,41.4,40.88,40.98,2992085.0
2025-05-07,41.25,41.68,41.13,41.3,4842034.0
2025-05-08,41.78,42.35,41.5,42.14,4780133.0
2025-05-09,42.14,42.28,41.81,42.02,4219192.0
2025-05-12,43.91,44.36,43.71,44.01,7994260.0
2025-05-13,44.0,44.5,43.81,44.37,6921971.0
2025-05-14,44.22,44.35,44.0,44.23,3498225.0
2025-05-15,44.23,44.69,44.22,44.58,3763407.0
2025-05-16,44.61,45.0,44.29,44.92,4782872.0
2025-05-19,44.4,44.87,44.31,44.79,2935729.0
2025-05-20,44.67,44.72,44.26,44.41,2752463.0
2025-05-21,44.07,44.13,42.86,42.89,3922950.0
2025-05-22,42.89,43.46,42.62,43.12,4448839.0
2025-05-23,42.22,43.11,42.21,42.94,3708822.0
2025-05-27,43.55,43.75,43.02,43.74,4217957.0
