date,open,high,low,close,volume
2025-02-26,133.63,133.85,128.55,130.16,2749573.0
2025-02-27,130.99,132.1,129.44,129.63,1103798.0
2025-02-28,129.03,131.25,127.66,130.73,1349024.0
2025-03-03,131.76,132.8,126.25,128.4,2183817.0
2025-03-04,126.87,129.97,124.89,127.61,2317005.0
2025-03-05,125.96,126.43,119.66,121.76,3596489.0
2025-03-06,121.5,126.1,120.69,126.0,2284906.0
2025-03-07,125.08,129.71,125.0,126.85,1579362.0
2025-03-10,128.61,131.12,126.01,126.8,2087888.0
2025-03-11,128.46,128.47,122.68,123.03,1915684.0
2025-03-12,122.46,126.67,122.01,125.18,1902809.0
2025-03-13,125.49,127.99,124.47,125.8,1846670.0
2025-03-14,125.12,130.04,124.81,129.14,1432162.0
2025-03-17,129.78,133.68,129.17,132.95,1458356.0
2025-03-18,134.08,135.92,130.93,132.03,1586080.0
2025-03-19,132.13,134.97,131.76,133.84,1433305.0
2025-03-20,132.16,135.64,131.54,134.83,990207.0
2025-03-21,134.09,134.69,130.93,131.51,1559235.0
2025-03-24,131.29,134.27,130.54,131.95,1807286.0
2025-03-25,132.67,134.0,131.0,132.0,1092441.0
2025-03-26,133.76,137.46,133.11,134.52,1248071.0
2025-03-27,133.15,134.79,130.73,133.23,1051968.0
2025-03-28,132.9,134.82,130.84,131.48,901754.0
2025-03-31,131.21,133.69,130.0,132.07,1247145.0
2025-04-01,132.07,134.01,129.03,133.74,1168519.0
2025-04-02,132.13,134.02,131.56,133.62,1109066.0
2025-04-03,126.41,127.11,114.01,114.29,5800092.0
2025-04-04,109.72,111.3,102.6,104.69,4318163.0
2025-04-07,100.9,110.65,99.0,106.67,3948735.0
2025-04-08,109.52,109.92,103.66,105.18,2953431.0
2025-04-09,103.78,117.39,101.66,115.9,4981580.0
2025-04-10,111.81,112.48,105.87,109.01,3037086.0
2025-04-11,109.0,112.07,106.11,110.7,2049718.0
2025-04-14,114.01,114.1,108.08,110.33,1757576.0
2025-04-15,109.59,110.77,107.39,107.55,1721883.0
2025-04-16,107.47,110.58,106.25,107.13,2118493.0
2025-04-17,108.49,111.17,108.41,110.06,1411220.0
2025-04-21,108.17,108.98,106.83,108.84,1114805.0
2025-04-22,111.24,113.76,109.83,112.46,1689349.0
2025-04-23,113.99,116.56,113.52,114.5,1620901.0
2025-04-24,116.0,116.0,110.0,113.36,2716240.0
2025-04-25,112.35,114.32,112.0,113.87,1465118.0
2025-04-28,114.0,116.18,113.67,114.75,1338411.0
2025-04-29,113.25,116.14,113.25,115.52,601749.0
2025-04-30,113.19,116.69,112.23,116.09,1713851.0
2025-05-01,116.61,118.94,114.3,114.88,2110933.0
2025-05-02,116.54,119.42,114.76,118.93,1178658.0
2025-05-05,118.07,120.97,117.25,119.34,2169877.0
2025-05-06,120.18,120.75,116.97,117.0,1521734.0
2025-05-07,117.0,117.98,115.65,116.95,1089953.0
2025-05-08,118.03,122.95,117.71,121.73,1498623.0
2025-05-09,123.24,123.72,121.4,122.93,1093738.0
2025-05-12,128.49,131.79,128.49,130.49,2285246.0
2025-05-13,132.7,136.72,131.71,135.11,1604972.0
2025-05-14,133.6,135.83,132.91,134.32,1278328.0
2025-05-15,132.46,135.52,132.0,135.37,1056592.0
2025-05-16,135.71,136.07,134.09,135.74,897402.0
2025-05-19,134.02,134.99,132.9,134.33,878401.0
2025-05-20,132.52,133.51,131.78,132.21,1006203.0
2025-05-21,130.93,131.19,127.7,127.8,2119167.0
2025-05-22,127.67,129.8,125.63,128.72,1422520.0
2025-05-23,126.74,129.13,126.5,128.55,959083.0
2025-05-27,129.09,131.56,128.35,130.71,1163474.0
2025-05-28,131.68,131.79,126.5,126.93,1609701.0
2025-05-29,126.89,129.38,125.6,129.16,1377615.0
2025-05-30,129.11,130.36,128.15,128.97,1308807.0
2025-06-02,131.21,131.21,125.1,128.3,1355007.0
2025-06-03,128.38,132.06,127.08,130.95,1050454.0
2025-06-04,130.39,131.83,125.5,126.54,2538860.0
2025-06-05,127.26,128.1,125.77,126.88,877958.0
2025-06-06,128.11,130.44,127.83,128.35,1309544.0
2025-06-09,129.4,130.23,128.02,128.26,1156778.0
2025-06-10,129.96,133.36,129.65,131.93,994209.0
2025-06-11,132.91,134.59,131.0,134.06,1077596.0
2025-06-12,132.76,133.58,131.28,133.5,1060444.0
2025-06-13,132.03,134.14,131.96,134.11,2281454.0
2025-06-16,135.0,138.45,133.98,137.76,1528051.0
2025-06-17,139.39,142.93,137.82,141.77,2171118.0
2025-06-18,141.27,142.53,139.28,139.42,1365060.0
2025-06-20,140.09,141.98,139.0,141.1,1638372.0
2025-06-23,142.23,142.48,136.11,137.06,1732563.0
2025-06-24,135.93,137.44,134.75,135.85,1119453.0
2025-06-25,135.58,137.5,134.65,135.72,1063911.0
2025-06-26,136.08,137.9,134.54,136.97,1319408.0
2025-06-27,136.14,136.46,133.27,134.69,1641925.0
2025-06-30,134.07,135.69,133.75,134.42,1042751.0
2025-07-01,134.86,139.63,134.25,138.01,1578791.0
2025-07-02,139.71,142.48,137.91,142.06,1643757.0
2025-07-03,141.59,145.84,141.05,144.58,1120486.0
2025-07-07,143.64,145.26,142.73,143.74,1302902.0
2025-07-08,144.87,148.97,143.78,148.67,4231729.0
2025-07-09,148.82,150.36,147.86,149.07,1689361.0
2025-07-10,149.14,155.12,147.82,154.81,1937540.0
2025-07-11,153.26,154.5,152.19,153.05,1614042.0
2025-07-14,151.91,151.91,148.5,148.87,1121606.0
2025-07-15,149.13,150.44,147.82,148.8,1142816.0
2025-07-16,147.8,149.03,142.92,143.19,2101053.0
2025-07-17,144.0,145.33,143.6,144.67,915392.0
2025-07-18,147.44,148.75,145.49,146.15,1557125.0
2025-07-21,145.43,147.5,144.77,146.28,979597.0
2025-07-22,144.63,147.46,144.63,145.11,1033938.0
2025-07-23,145.67,147.7,144.97,147.54,1241634.0
2025-07-24,144.6,145.02,139.61,140.34,3222831.0
2025-07-25,141.88,143.29,140.08,141.97,1267644.0
2025-07-28,142.87,144.97,142.72,144.75,1019000.0
2025-07-29,144.94,145.33,141.53,144.73,1893398.0
2025-07-30,142.91,143.58,138.07,139.37,2447597.0
2025-07-31,137.31,138.72,136.48,137.31,1608572.0
2025-08-01,135.16,136.28,132.49,133.18,1045593.0
2025-08-04,133.6,135.66,132.66,135.04,1397498.0
2025-08-05,135.0,137.25,133.93,136.83,1035793.0
2025-08-06,138.06,138.16,132.86,133.46,1291618.0
2025-08-07,135.0,135.75,132.09,132.59,1018293.0
2025-08-08,133.56,134.87,132.5,133.29,1030436.0
2025-08-11,133.97,134.61,130.78,131.77,880465.0
2025-08-12,132.65,135.23,131.52,133.38,863273.0
2025-08-13,133.39,136.28,133.06,136.15,887194.0
2025-08-14,134.88,136.45,133.33,135.82,601960.0
2025-08-15,135.47,137.35,135.01,136.8,848051.0
2025-08-18,135.67,137.05,135.02,136.81,732917.0
2025-08-19,137.27,139.89,136.86,137.93,660096.0
2025-08-20,138.31,141.22,138.0,140.51,851472.0
2025-08-21,139.99,140.48,137.88,140.29,1106391.0
2025-08-22,140.97,145.7,140.13,145.37,1038617.0
2025-08-25,145.0,147.89,144.3,147.11,980653.0
2025-08-26,146.64,147.21,145.14,146.95,864798.0
2025-08-27,147.3,151.47,146.76,150.77,865434.0
2025-08-28,150.84,151.85,149.52,151.16,845282.0
2025-08-29,151.83,153.25,150.1,152.01,949580.0
2025-09-02,152.34,154.3,151.25,154.28,1570889.0
2025-09-03,155.83,159.26,154.19,155.38,1481343.0
2025-09-04,155.57,157.15,154.75,155.39,1257817.0
2025-09-05,154.36,157.52,153.2,156.77,1211583.0
2025-09-08,156.87,157.55,153.62,157.36,1055804.0
2025-09-09,158.6,163.02,157.14,161.83,1855498.0
2025-09-10,161.23,162.71,153.6,158.5,2160474.0
2025-09-11,158.08,160.4,157.05,157.59,1237221.0
2025-09-12,158.63,159.28,156.35,156.72,707649.0
2025-09-15,157.1,159.42,155.8,157.57,900091.0
2025-09-16,159.37,163.34,158.65,162.64,1314555.0
2025-09-17,162.02,165.65,161.7,163.67,1234086.0
2025-09-18,164.35,164.35,160.35,163.85,1182498.0
2025-09-19,163.43,163.73,161.1,162.62,1885482.0
2025-09-22,162.63,167.08,161.93,166.44,1276141.0
2025-09-23,166.7,172.03,166.7,170.39,1953241.0
2025-09-24,170.99,173.76,170.8,170.83,1564080.0
2025-09-25,171.09,176.02,170.36,174.42,1904919.0
2025-09-26,174.83,178.43,174.08,175.63,1447536.0
2025-09-29,175.0,175.0,170.14,172.14,1033985.0
2025-09-30,170.31,172.08,168.75,170.26,819098.0
2025-10-01,170.01,170.01,166.45,167.67,1051857.0
2025-10-02,166.86,167.61,162.36,164.7,1877279.0
2025-10-03,165.95,168.5,159.91,160.4,2241078.0
2025-10-06,161.82,165.07,160.79,163.42,896144.0
2025-10-07,163.16,163.78,158.87,163.17,882735.0
2025-10-08,162.68,163.91,160.65,162.44,675071.0
2025-10-09,163.74,164.43,161.24,162.01,635018.0
2025-10-10,160.74,161.8,157.64,158.02,928109.0
2025-10-13,159.84,162.55,159.84,161.41,498776.0
2025-10-14,159.11,163.66,159.11,162.19,677475.0
2025-10-15,163.69,164.13,159.13,160.98,762868.0
2025-10-16,161.83,161.96,155.29,156.39,915053.0
2025-10-17,157.6,160.26,156.16,157.77,799699.0
2025-10-20,158.17,161.26,157.79,160.17,584829.0
2025-10-21,159.61,160.87,157.3,157.69,572711.0
2025-10-22,158.75,162.56,156.26,161.87,1508505.0
2025-10-23,163.74,174.14,163.7,173.13,2085485.0
2025-10-24,174.22,176.22,170.8,171.05,1033565.0
2025-10-27,171.47,174.42,169.78,174.35,1124421.0
2025-10-28,172.97,173.16,169.3,169.34,723770.0
2025-10-29,168.83,172.06,167.18,170.66,588729.0
2025-10-30,170.24,173.8,169.02,170.1,761791.0
2025-10-31,169.85,171.01,167.02,169.56,572759.0
2025-11-03,170.51,171.96,167.8,171.6,655380.0
2025-11-04,169.0,169.87,165.05,169.11,891405.0
2025-11-05,169.71,172.69,168.61,170.14,757302.0
2025-11-06,172.03,179.1,172.03,176.01,1403458.0
2025-11-07,176.76,179.0,174.26,175.62,1099374.0
2025-11-10,175.53,180.15,172.97,179.18,946591.0
2025-11-11,180.1,182.99,179.95,180.86,847785.0
2025-11-12,180.0,181.5,177.17,177.54,712691.0
2025-11-13,178.11,179.54,175.08,175.78,727933.0
2025-11-14,176.5,183.93,176.3,181.76,1518222.0
2025-11-17,181.73,182.72,178.09,178.4,1640953.0
2025-11-18,177.71,185.62,176.8,185.43,1660136.0
2025-11-19,179.35,181.16,175.68,180.33,1949827.0
2025-11-20,180.11,182.94,170.63,170.82,2201228.0
2025-11-21,170.42,175.78,168.58,173.45,1683319.0
2025-11-24,172.95,175.02,168.5,174.37,1234006.0
2025-11-25,174.22,175.39,170.41,174.1,1244971.0
2025-11-26,174.0,176.45,174.0,174.47,760503.0
2025-11-28,175.01,177.8,174.5,176.76,374423.0
2025-12-01,177.32,182.05,177.1,180.54,1314197.0
2025-12-02,179.44,179.82,173.65,178.53,1633050.0
2025-12-03,179.02,181.16,176.2,177.05,1468505.0
2025-12-04,177.38,177.84,171.65,174.95,1680253.0
2025-12-05,174.95,178.1,174.0,174.14,991898.0
2025-12-08,173.56,175.58,170.73,173.56,870233.0
2025-12-09,173.19,176.44,172.37,175.32,981763.0
2025-12-10,173.98,177.99,171.7,176.0,1064682.0
2025-12-11,172.28,173.97,169.82,171.91,1503090.0
2025-12-12,170.35,171.1,166.78,168.3,1557630.0
2025-12-15,168.3,168.32,166.03,167.9,1521767.0
2025-12-16,166.28,166.45,161.54,162.82,1884861.0
2025-12-17,163.38,163.39,159.9,162.91,1290727.0
2025-12-18,163.85,163.85,160.72,161.94,1141437.0
2025-12-19,161.85,164.44,161.54,162.71,1784130.0
2025-12-22,164.49,165.49,162.8,163.55,1142006.0
2025-12-23,164.16,165.19,162.98,164.77,802641.0
2025-12-24,164.13,164.56,162.75,164.47,348936.0
2025-12-26,164.02,164.81,162.22,164.01,1302674.0
2025-12-29,165.0,166.68,162.89,165.66,1346876.0
2025-12-30,166.65,166.73,163.65,164.86,1474232.0
2025-12-31,164.86,165.02,160.97,162.79,1014353.0
2026-01-02,163.25,165.67,162.08,165.31,773525.0
2026-01-05,179.69,184.98,177.51,180.57,5470390.0
2026-01-06,182.7,184.07,177.24,178.27,2480950.0
2026-01-07,184.36,187.65,183.07,183.86,4297624.0
2026-01-08,184.11,192.0,181.01,191.32,3476717.0
2026-01-09,191.49,191.85,182.61,185.28,3298783.0
2026-01-12,185.36,185.59,178.34,179.62,1589456.0
2026-01-13,182.32,185.0,179.88,181.74,1570799.0
2026-01-14,183.26,189.95,181.69,186.51,2316064.0
2026-01-15,184.5,186.56,183.26,184.58,1121211.0
2026-01-16,185.0,186.3,182.85,183.46,1153033.0
2026-01-20,184.55,186.99,183.1,184.73,1327851.0
2026-01-21,187.98,193.34,187.33,188.19,1483042.0
2026-01-22,187.58,189.31,185.36,186.89,1790168.0
2026-01-23,189.49,194.35,186.87,187.09,1326779.0
2026-01-26,188.67,189.87,181.53,183.28,1685498.0
2026-01-27,184.73,185.8,181.14,182.91,1235308.0
2026-01-28,184.95,186.77,182.55,184.02,1481957.0
2026-01-29,191.77,194.5,182.0,182.49,3342049.0
