date,open,high,low,close,volume
2025-02-26,68.15,68.98,68.02,68.28,1824048.0
2025-02-27,68.03,68.99,67.94,68.66,1536449.0
2025-02-28,68.88,69.25,68.2,69.18,1558080.0
2025-03-03,69.35,71.0,69.27,70.36,1434254.0
2025-03-04,70.73,71.04,69.6,69.81,1237768.0
2025-03-05,68.87,70.56,68.76,70.47,928703.0
2025-03-06,69.89,70.06,67.66,67.69,1026325.0
2025-03-07,68.25,68.47,67.27,67.87,1043696.0
2025-03-10,67.83,68.82,67.05,67.51,1731949.0
2025-03-11,67.71,68.63,66.46,66.7,1668772.0
2025-03-12,66.93,67.43,65.77,66.35,1848358.0
2025-03-13,66.56,67.28,65.78,66.36,1750829.0
2025-03-14,66.29,67.37,66.27,66.89,1709737.0
2025-03-17,67.4,68.96,67.04,68.75,1298455.0
2025-03-18,68.47,68.99,67.91,68.19,1615533.0
2025-03-19,67.85,68.3,67.21,67.58,1080995.0
2025-03-20,68.16,68.3,67.43,67.71,1866547.0
2025-03-21,67.41,68.06,66.64,66.85,2537662.0
2025-03-24,66.83,68.54,66.59,68.21,1396430.0
2025-03-25,67.91,68.24,67.14,67.63,1271506.0
2025-03-26,68.21,68.23,67.6,68.18,1021765.0
2025-03-27,68.07,68.79,67.72,67.97,969436.0
2025-03-28,68.7,68.91,67.86,68.76,2131880.0
2025-03-31,68.73,69.36,68.04,68.76,1638361.0
2025-04-01,69.01,69.63,68.21,69.27,2535294.0
2025-04-02,69.15,69.97,68.99,69.39,2153626.0
2025-04-03,69.18,71.36,69.17,69.6,3434234.0
2025-04-04,69.29,69.34,65.21,65.51,2069594.0
2025-04-07,63.09,66.05,62.0,64.16,2137059.0
2025-04-08,65.84,65.91,62.81,63.34,1995291.0
2025-04-09,62.22,66.02,60.15,65.59,2988731.0
2025-04-10,65.25,66.29,63.92,65.6,1400407.0
2025-04-11,65.18,66.36,64.11,66.11,1058099.0
2025-04-14,66.56,67.84,66.32,67.4,1027283.0
2025-04-15,67.46,68.16,67.08,67.78,988465.0
2025-04-16,67.9,68.52,67.24,67.63,1175444.0
2025-04-17,67.93,68.62,67.44,67.93,1450738.0
2025-04-21,67.44,68.19,65.86,66.81,1061525.0
2025-04-22,67.66,68.81,67.42,68.29,889551.0
2025-04-23,68.22,69.0,67.93,68.64,796127.0
2025-04-24,68.77,68.99,68.32,68.41,908165.0
2025-04-25,68.48,68.96,67.93,68.16,429647.0
2025-04-28,68.23,68.67,67.65,68.5,900268.0
2025-04-29,68.5,69.69,68.47,69.14,1321790.0
2025-04-30,68.92,70.13,68.5,70.08,1205665.0
2025-05-01,68.65,69.0,65.06,65.54,5229682.0
2025-05-02,66.0,67.12,64.94,66.56,1333735.0
2025-05-05,66.53,67.2,65.75,66.62,870166.0
2025-05-06,66.26,66.7,65.73,65.83,1577695.0
2025-05-07,65.55,66.94,65.55,66.07,1285244.0
2025-05-08,66.07,66.48,65.39,65.58,1022168.0
2025-05-09,65.59,66.3,65.37,66.01,742566.0
2025-05-12,65.64,65.64,64.09,65.13,1781544.0
2025-05-13,65.22,65.29,63.73,64.18,1546872.0
2025-05-14,63.86,64.13,63.41,63.74,1804385.0
2025-05-15,64.17,64.88,63.75,64.83,1691687.0
2025-05-16,64.98,65.81,64.63,65.63,1339729.0
2025-05-19,65.58,65.64,65.08,65.49,898383.0
2025-05-20,65.04,65.47,64.91,64.97,962242.0
2025-05-21,64.84,65.19,63.54,63.62,1174261.0
2025-05-22,63.62,64.02,63.07,63.65,1374032.0
2025-05-23,63.97,64.48,63.68,64.12,834361.0
2025-05-27,64.52,65.23,64.42,65.05,1444231.0
2025-05-28,64.85,65.0,63.88,64.38,1523356.0
2025-05-29,64.24,64.54,63.85,64.15,1644744.0
2025-05-30,63.99,64.56,63.73,64.28,1333707.0
2025-06-02,63.89,64.12,63.02,64.09,1000324.0
2025-06-03,63.79,63.85,62.75,63.25,1485331.0
2025-06-04,62.93,63.7,62.67,63.18,1096780.0
2025-06-05,63.48,63.56,62.49,63.3,2121715.0
2025-06-06,63.41,63.8,62.98,63.64,1984423.0
2025-06-09,63.62,63.68,62.58,62.65,1369552.0
2025-06-10,62.78,63.76,62.65,63.45,2625341.0
2025-06-11,63.23,64.03,63.02,63.41,1307799.0
2025-06-12,63.58,64.16,63.27,63.72,1085629.0
2025-06-13,63.48,64.25,63.18,63.86,1409809.0
2025-06-16,63.97,64.32,62.55,62.82,1878661.0
2025-06-17,63.01,63.07,62.39,62.76,1796809.0
2025-06-18,62.76,63.06,62.29,62.7,2265527.0
2025-06-20,62.91,63.04,62.27,62.45,3021410.0
2025-06-23,63.11,63.97,63.04,63.53,2774526.0
2025-06-24,63.6,63.68,63.01,63.35,1452952.0
2025-06-25,62.97,64.07,62.3,63.51,2203732.0
2025-06-26,63.85,63.98,62.58,63.33,1490136.0
2025-06-27,63.3,63.74,62.7,62.88,1936822.0
2025-06-30,62.39,63.19,61.76,63.15,1678106.0
2025-07-01,63.15,63.46,62.54,62.87,1822299.0
2025-07-02,62.78,63.05,61.93,62.93,1282683.0
2025-07-03,62.74,63.22,62.46,62.93,602166.0
2025-07-07,63.24,63.5,62.58,63.01,1144908.0
2025-07-08,62.6,62.91,62.06,62.76,1248050.0
2025-07-09,62.75,63.13,62.57,62.76,1137362.0
2025-07-10,62.47,63.55,62.47,63.28,1275186.0
2025-07-11,62.99,65.16,62.82,64.77,2017299.0
2025-07-14,64.78,65.68,64.71,65.6,1223119.0
2025-07-15,65.5,65.88,64.74,65.19,1207604.0
2025-07-16,65.45,65.87,64.8,65.5,1494828.0
2025-07-17,65.69,65.71,65.12,65.37,844633.0
2025-07-18,65.37,66.26,65.21,65.8,1138596.0
2025-07-21,65.79,66.48,65.38,66.44,808998.0
2025-07-22,66.61,67.17,66.39,67.11,1280214.0
2025-07-23,67.06,67.55,66.65,67.46,798354.0
2025-07-24,67.41,67.47,66.65,67.11,774658.0
2025-07-25,67.32,67.46,66.17,66.46,952421.0
2025-07-28,66.29,66.48,65.15,65.23,816149.0
2025-07-29,65.8,67.02,65.59,66.83,1583826.0
2025-07-30,67.01,67.63,66.12,66.48,1584037.0
2025-07-31,65.82,68.47,65.82,67.18,2517859.0
2025-08-01,67.75,67.95,66.61,67.5,1188353.0
2025-08-04,67.65,68.56,67.55,68.28,2012195.0
2025-08-05,68.29,68.81,68.11,68.73,1370686.0
2025-08-06,68.89,69.29,68.34,68.5,914569.0
2025-08-07,68.5,69.09,68.29,68.71,1123239.0
2025-08-08,68.71,68.86,68.32,68.57,792546.0
2025-08-11,68.36,68.95,68.24,68.51,912662.0
2025-08-12,68.4,68.87,66.69,68.51,1296400.0
2025-08-13,68.5,68.57,67.18,68.01,1434335.0
2025-08-14,67.9,67.99,67.19,67.53,841715.0
2025-08-15,67.51,67.9,67.41,67.77,1341622.0
2025-08-18,67.8,68.22,67.21,67.21,888905.0
2025-08-19,67.32,68.0,67.17,67.96,1316364.0
2025-08-20,68.17,69.48,68.12,69.18,1659392.0
2025-08-21,69.01,69.52,68.85,69.12,769964.0
2025-08-22,69.15,69.73,67.63,67.79,1421075.0
2025-08-25,67.8,68.1,67.32,67.72,1078066.0
2025-08-26,67.7,68.0,67.02,67.6,1111464.0
2025-08-27,67.94,68.18,67.67,67.87,1267016.0
2025-08-28,67.8,67.8,67.14,67.54,718578.0
2025-08-29,67.58,68.14,67.45,68.08,958176.0
2025-09-02,67.84,68.16,67.38,67.92,1160955.0
2025-09-03,67.69,68.01,67.29,67.45,898067.0
2025-09-04,67.64,68.31,67.37,67.72,691706.0
2025-09-05,68.0,68.27,66.37,67.91,1471338.0
2025-09-08,67.45,68.39,67.43,68.08,1091758.0
2025-09-09,68.05,68.69,67.74,68.26,1247225.0
2025-09-10,68.32,69.73,68.09,69.25,1658153.0
2025-09-11,69.26,69.74,69.18,69.45,725588.0
2025-09-12,69.44,69.84,68.83,69.73,801600.0
2025-09-15,69.77,70.01,69.56,69.85,967523.0
2025-09-16,69.8,69.95,68.02,68.07,1235145.0
2025-09-17,68.1,68.71,67.27,67.34,1303404.0
2025-09-18,67.03,68.65,67.03,67.97,1125026.0
2025-09-19,67.66,67.71,66.54,67.13,1763222.0
2025-09-22,67.06,67.6,66.62,67.13,1250867.0
2025-09-23,67.51,69.01,67.15,68.54,2064731.0
2025-09-24,68.51,68.7,67.96,68.48,1107916.0
2025-09-25,68.73,68.92,68.11,68.18,1514986.0
2025-09-26,68.37,69.21,68.21,69.0,1450677.0
2025-09-29,68.93,69.68,68.62,69.2,1406656.0
2025-09-30,69.13,70.0,68.8,69.99,793101.0
2025-10-01,70.0,70.52,69.78,70.32,1090160.0
2025-10-02,70.05,70.13,69.31,69.59,1624485.0
2025-10-03,69.59,70.49,69.56,69.76,1086563.0
2025-10-06,69.47,69.7,68.77,69.25,1222618.0
2025-10-07,69.25,69.45,68.42,68.85,587087.0
2025-10-08,68.72,68.72,67.75,68.0,947945.0
2025-10-09,68.08,68.46,67.58,67.69,678508.0
2025-10-10,67.7,68.16,67.5,67.73,893908.0
2025-10-13,67.25,67.7,66.92,67.45,1192870.0
2025-10-14,67.62,68.16,67.36,67.96,807936.0
2025-10-15,67.8,69.03,67.8,68.89,966822.0
2025-10-16,69.06,69.74,68.89,69.55,989014.0
2025-10-17,69.55,70.84,69.49,70.62,992496.0
2025-10-20,70.9,71.5,70.55,71.5,760098.0
2025-10-21,71.81,72.02,70.13,70.24,1246533.0
2025-10-22,70.32,70.96,69.81,70.46,808052.0
