date,open,high,low,close,volume
2025-02-26,11.49,11.53,11.18,11.24,9078880.0
2025-02-27,9.26,9.81,8.77,9.53,41740547.0
2025-02-28,9.64,9.72,9.1,9.23,20837640.0
2025-03-03,9.29,9.69,9.28,9.33,18646212.0
2025-03-04,9.25,9.56,9.25,9.37,18142417.0
2025-03-05,9.35,9.63,9.32,9.48,16920736.0
2025-03-06,9.5,9.65,9.36,9.51,12631733.0
2025-03-07,9.48,9.74,9.42,9.65,9894953.0
2025-03-10,9.49,9.73,9.46,9.5,9017732.0
2025-03-11,9.51,9.51,9.23,9.34,9998628.0
2025-03-12,9.32,9.47,9.23,9.24,8048722.0
2025-03-13,9.27,9.36,8.95,8.98,13945339.0
2025-03-14,9.0,9.12,8.98,9.1,8713204.0
2025-03-17,9.13,9.33,9.13,9.25,6581064.0
2025-03-18,9.25,9.57,9.25,9.52,11757653.0
2025-03-19,9.55,9.7,9.32,9.42,6601611.0
2025-03-20,9.37,9.51,9.35,9.44,5901505.0
2025-03-21,9.34,9.37,9.01,9.15,18105571.0
2025-03-24,9.21,9.32,9.11,9.3,9769592.0
2025-03-25,9.3,9.35,8.93,8.95,10400837.0
2025-03-26,8.97,9.12,8.9,8.96,6956852.0
2025-03-27,8.95,8.96,8.75,8.84,9166375.0
2025-03-28,8.89,8.9,8.62,8.68,8975436.0
2025-03-31,8.66,8.8,8.55,8.71,11253857.0
2025-04-01,8.72,8.72,8.56,8.6,6562601.0
2025-04-02,8.53,8.72,8.53,8.66,6139118.0
2025-04-03,8.51,8.57,8.14,8.16,8062961.0
2025-04-04,8.04,8.12,7.58,7.62,15046568.0
2025-04-07,7.56,7.78,7.14,7.61,16079450.0
2025-04-08,7.84,7.99,7.21,7.36,11512013.0
2025-04-09,7.2,7.87,7.03,7.79,16761962.0
2025-04-10,7.59,7.61,6.85,7.26,17191670.0
2025-04-11,7.31,7.56,7.21,7.54,13038376.0
2025-04-14,7.67,7.7,7.42,7.63,9772859.0
2025-04-15,7.6,7.67,7.39,7.48,8318425.0
2025-04-16,7.55,7.63,7.33,7.39,6822296.0
2025-04-17,7.42,7.62,7.39,7.56,8383206.0
2025-04-21,7.5,7.63,7.46,7.57,7172771.0
2025-04-22,7.64,7.76,7.6,7.69,5865574.0
2025-04-23,7.84,8.1,7.8,7.81,6914711.0
2025-04-24,7.87,8.13,7.82,8.03,10414116.0
2025-04-25,8.01,8.14,7.93,8.13,6769048.0
2025-04-28,8.13,8.35,8.12,8.25,8483183.0
2025-04-29,8.15,8.44,8.12,8.34,10745844.0
2025-04-30,8.33,8.45,8.26,8.42,6990965.0
2025-05-01,8.39,8.65,8.23,8.47,12785521.0
2025-05-02,8.66,8.74,8.52,8.65,8483024.0
2025-05-05,8.63,8.76,8.57,8.59,7379521.0
2025-05-06,8.6,8.72,8.47,8.48,9350646.0
2025-05-07,8.49,8.71,8.49,8.6,13864235.0
2025-05-08,9.0,9.58,8.91,9.09,24369360.0
2025-05-09,9.02,9.32,8.74,8.77,14825711.0
2025-05-12,8.96,9.11,8.91,8.96,8311173.0
2025-05-13,8.91,8.92,8.72,8.79,6378251.0
2025-05-14,8.77,8.78,8.4,8.42,9101000.0
2025-05-15,8.49,8.82,8.42,8.79,11707302.0
2025-05-16,8.79,8.89,8.74,8.84,5604379.0
2025-05-19,8.77,8.81,8.64,8.76,5286928.0
2025-05-20,8.79,8.95,8.75,8.88,7521160.0
2025-05-21,8.84,8.87,8.47,8.48,8580158.0
2025-05-22,8.44,8.54,8.26,8.5,12107006.0
2025-05-23,8.27,8.31,8.19,8.29,7210727.0
2025-05-27,8.35,8.63,8.32,8.6,8186114.0
2025-05-28,8.61,8.63,8.5,8.59,6958510.0
2025-05-29,8.62,8.85,8.57,8.83,10033297.0
2025-05-30,8.76,8.85,8.56,8.79,13327793.0
2025-06-02,8.68,8.77,8.58,8.69,8876904.0
2025-06-03,8.6,8.84,8.4,8.71,12145022.0
2025-06-04,8.7,8.8,8.58,8.59,21088476.0
2025-06-05,8.64,8.64,8.44,8.46,9375279.0
2025-06-06,8.54,8.73,8.52,8.71,7211201.0
2025-06-09,8.77,8.9,8.69,8.81,6167460.0
2025-06-10,8.85,9.07,8.77,9.04,10869056.0
2025-06-11,9.03,9.12,8.91,8.98,6270368.0
2025-06-12,8.97,9.19,8.91,9.09,11043572.0
2025-06-13,8.98,9.09,8.9,8.92,6908350.0
2025-06-16,9.01,9.07,8.92,8.99,8062868.0
2025-06-17,8.9,8.97,8.71,8.76,6169637.0
2025-06-18,8.73,8.85,8.66,8.77,5752672.0
2025-06-20,8.83,8.91,8.68,8.87,6767069.0
2025-06-23,8.84,8.9,8.66,8.85,5533999.0
2025-06-24,8.9,9.0,8.86,8.95,5894926.0
2025-06-25,8.94,8.96,8.84,8.89,5957164.0
2025-06-26,8.94,9.14,8.9,9.12,8361478.0
2025-06-27,9.12,9.17,8.91,9.01,6355198.0
2025-06-30,9.04,9.07,8.9,8.93,6239052.0
2025-07-01,8.92,9.34,8.88,9.18,13259384.0
2025-07-02,9.2,9.41,9.12,9.34,8805146.0
2025-07-03,9.33,9.37,9.22,9.32,3217002.0
2025-07-07,9.28,9.37,9.17,9.2,7759525.0
2025-07-08,9.21,9.42,9.17,9.26,6027694.0
2025-07-09,9.3,9.36,9.2,9.23,4049125.0
2025-07-10,9.2,9.39,9.18,9.25,4808051.0
2025-07-11,9.13,9.19,9.03,9.12,5055786.0
2025-07-14,9.07,9.15,9.04,9.14,3609156.0
2025-07-15,9.15,9.25,8.93,8.93,3978004.0
2025-07-16,8.97,9.1,8.89,9.08,4746400.0
2025-07-17,9.09,9.29,9.05,9.27,6997086.0
2025-07-18,9.24,9.27,8.83,8.88,7233102.0
2025-07-21,8.9,9.05,8.87,8.9,4810798.0
2025-07-22,8.92,9.25,8.89,9.24,9071572.0
2025-07-23,9.29,9.44,9.26,9.37,3657387.0
2025-07-24,9.33,9.42,9.29,9.35,2903795.0
2025-07-25,9.38,9.42,9.29,9.41,3495513.0
2025-07-28,9.41,9.41,9.22,9.26,2926502.0
2025-07-29,9.24,9.24,9.12,9.19,3569634.0
2025-07-30,9.23,9.27,8.97,9.0,3571900.0
2025-07-31,8.97,9.02,8.68,8.74,5847489.0
2025-08-01,8.73,8.87,8.62,8.81,4763935.0
2025-08-04,8.82,8.99,8.8,8.94,4260910.0
2025-08-05,8.96,9.03,8.88,8.98,5118246.0
2025-08-06,8.92,8.92,8.73,8.75,6450564.0
2025-08-07,9.0,9.45,8.8,9.39,9934985.0
2025-08-08,9.38,9.73,9.25,9.7,14382179.0
2025-08-11,9.68,10.12,9.68,9.86,14954088.0
2025-08-12,9.91,10.18,9.87,10.12,9219237.0
2025-08-13,10.16,10.44,10.09,10.41,5744799.0
2025-08-14,10.35,10.74,10.29,10.69,7234638.0
2025-08-15,10.75,10.81,10.55,10.61,4942056.0
2025-08-18,10.63,10.81,10.6,10.63,5433607.0
2025-08-19,10.67,10.79,10.58,10.68,5680357.0
2025-08-20,10.7,10.82,10.55,10.65,4913869.0
2025-08-21,10.65,10.78,10.61,10.69,5300289.0
2025-08-22,10.62,10.82,10.6,10.65,4556390.0
2025-08-25,10.58,10.65,10.5,10.55,4149866.0
2025-08-26,10.52,10.55,10.36,10.41,6097622.0
2025-08-27,10.4,10.49,10.31,10.42,4642506.0
2025-08-28,10.39,10.44,10.23,10.41,4548104.0
2025-08-29,10.41,10.57,10.4,10.55,6138202.0
2025-09-02,10.5,10.59,10.43,10.56,4776288.0
2025-09-03,10.51,10.61,10.46,10.55,4022175.0
2025-09-04,10.51,10.54,10.29,10.33,5349821.0
2025-09-05,10.39,10.56,10.36,10.5,5104990.0
2025-09-08,10.46,10.51,10.33,10.48,5104008.0
2025-09-09,10.42,10.55,10.36,10.45,4405265.0
2025-09-10,10.39,10.41,10.2,10.24,5316593.0
2025-09-11,10.25,10.38,10.08,10.17,12914177.0
2025-09-12,10.09,10.19,9.94,9.96,9556839.0
2025-09-15,9.96,9.98,9.58,9.6,10700089.0
2025-09-16,9.6,9.65,9.49,9.56,7550841.0
2025-09-17,9.55,9.86,9.52,9.62,6889191.0
2025-09-18,9.55,9.89,9.5,9.86,8947422.0
2025-09-19,9.88,10.09,9.85,9.9,12881187.0
2025-09-22,9.91,9.92,9.72,9.79,5891396.0
2025-09-23,9.79,9.8,9.57,9.6,5974484.0
2025-09-24,9.65,9.72,9.53,9.71,4970604.0
2025-09-25,9.71,9.71,9.42,9.49,6046629.0
2025-09-26,9.54,9.6,9.48,9.52,5175909.0
2025-09-29,9.55,9.65,9.46,9.62,5083114.0
2025-09-30,9.61,9.92,9.55,9.9,6319867.0
2025-10-01,9.92,10.17,9.92,10.09,5819153.0
2025-10-02,10.08,10.19,9.94,10.11,4759166.0
2025-10-03,10.18,10.38,10.06,10.19,4434663.0
2025-10-06,10.18,10.21,10.09,10.13,4521701.0
2025-10-07,10.12,10.26,10.06,10.14,3741072.0
2025-10-08,10.12,10.17,9.92,9.97,4942348.0
2025-10-09,10.01,10.15,9.95,9.99,4882478.0
2025-10-10,10.0,10.08,9.69,9.74,5196426.0
2025-10-13,9.78,9.97,9.74,9.86,5097983.0
2025-10-14,9.75,9.97,9.73,9.93,4664024.0
2025-10-15,10.02,10.17,9.85,9.98,4809226.0
2025-10-16,10.08,10.2,10.01,10.1,4091350.0
2025-10-17,10.06,10.2,10.06,10.17,3088939.0
2025-10-20,10.18,10.32,10.13,10.31,4139675.0
2025-10-21,10.31,10.44,10.3,10.39,4167951.0
2025-10-22,10.4,10.52,10.31,10.41,4944877.0
2025-10-23,10.39,10.5,10.29,10.31,3660362.0
2025-10-24,10.36,10.5,10.33,10.35,3527784.0
2025-10-27,10.35,10.44,10.18,10.42,4106628.0
2025-10-28,10.39,10.46,10.27,10.29,5102142.0
2025-10-29,10.24,10.42,10.22,10.27,7971894.0
2025-10-30,10.27,10.47,10.26,10.36,5268586.0
2025-10-31,10.31,10.43,10.24,10.36,5233772.0
2025-11-03,10.34,10.57,10.29,10.53,6901402.0
2025-11-04,10.44,10.61,10.36,10.49,6714668.0
2025-11-05,10.45,10.81,10.41,10.75,13661173.0
2025-11-06,10.58,10.95,10.03,10.11,13872346.0
2025-11-07,10.09,10.16,9.92,10.12,9533525.0
2025-11-10,10.14,10.19,9.98,10.17,6289832.0
2025-11-11,10.22,11.28,10.22,11.2,9213277.0
2025-11-12,11.17,11.19,10.93,11.01,5947669.0
2025-11-13,11.0,11.14,10.88,10.91,4193454.0
2025-11-14,10.86,10.9,10.66,10.72,4191094.0
2025-11-17,10.73,10.88,10.62,10.66,3882257.0
2025-11-18,10.64,10.87,10.57,10.71,4628012.0
2025-11-19,10.68,10.69,10.44,10.46,5102240.0
2025-11-20,10.48,10.56,10.16,10.19,4985572.0
2025-11-21,10.25,10.6,10.15,10.46,5221577.0
2025-11-24,10.48,10.61,10.39,10.57,5537191.0
2025-11-25,10.57,10.73,10.52,10.56,4679978.0
2025-11-26,10.58,10.71,10.48,10.64,4394964.0
2025-11-28,10.65,10.71,10.59,10.69,1756240.0
2025-12-01,10.63,10.76,10.63,10.7,4214888.0
2025-12-02,10.73,10.87,10.64,10.71,4418809.0
2025-12-03,10.75,10.93,10.73,10.84,3755350.0
2025-12-04,10.86,10.89,10.67,10.76,3299009.0
2025-12-05,10.8,11.02,10.8,10.93,3711948.0
2025-12-08,10.99,11.29,10.94,11.09,6402530.0
2025-12-09,11.12,11.33,10.99,11.19,7619263.0
2025-12-10,11.2,11.63,11.1,11.6,5405155.0
2025-12-11,11.58,11.62,11.31,11.59,4226144.0
2025-12-12,11.65,11.72,11.5,11.65,3472424.0
2025-12-15,11.75,11.83,11.63,11.66,4221957.0
2025-12-16,11.65,11.68,11.42,11.46,3502128.0
2025-12-17,11.49,11.83,11.42,11.7,3917957.0
2025-12-18,11.68,12.03,11.56,11.94,9411423.0
2025-12-19,11.9,12.13,11.77,11.93,11202641.0
2025-12-22,11.88,12.04,11.82,12.01,5357009.0
2025-12-23,12.0,12.03,11.9,12.02,5778719.0
2025-12-24,12.05,12.49,12.0,12.24,3037371.0
2025-12-26,12.22,12.36,12.2,12.32,2856284.0
2025-12-29,12.28,12.45,12.25,12.37,3580558.0
2025-12-30,12.38,12.58,12.34,12.54,4459698.0
2025-12-31,12.52,12.62,12.44,12.45,4464132.0
2026-01-02,12.51,12.54,12.27,12.46,4669030.0
2026-01-05,12.43,12.43,12.19,12.37,7434897.0
2026-01-06,12.37,12.68,12.37,12.4,6030267.0
2026-01-07,12.51,12.59,12.37,12.46,5735751.0
2026-01-08,12.39,12.73,12.37,12.6,6138174.0
2026-01-09,12.66,12.79,12.58,12.76,6697755.0
2026-01-12,12.79,12.85,12.6,12.68,3574000.0
2026-01-13,12.68,13.4,12.53,13.37,11513808.0
2026-01-14,13.37,13.49,13.08,13.15,6601415.0
2026-01-15,13.07,13.11,12.67,12.84,5469932.0
