date,open,high,low,close,volume
2025-02-26,105.37,106.12,105.07,105.71,911608.0
2025-02-27,105.0,106.14,104.79,105.6,1201688.0
2025-02-28,106.71,107.14,105.54,106.69,1106711.0
2025-03-03,106.16,108.43,105.95,108.36,888541.0
2025-03-04,108.87,108.87,105.09,105.5,1885979.0
2025-03-05,105.05,106.15,104.05,104.47,1142365.0
2025-03-06,104.38,104.5,103.17,103.8,1083706.0
2025-03-07,103.68,107.57,103.59,106.84,2351073.0
2025-03-10,107.36,110.19,107.12,108.98,2656236.0
2025-03-11,108.69,109.01,105.51,105.77,1689287.0
2025-03-12,104.86,105.56,104.49,104.74,1064044.0
2025-03-13,105.18,105.93,104.24,105.11,950855.0
2025-03-14,104.68,106.93,104.64,106.75,938441.0
2025-03-17,106.89,108.24,106.6,107.12,786362.0
2025-03-18,106.5,107.93,106.42,107.81,1001345.0
2025-03-19,107.52,107.96,106.68,107.55,782661.0
2025-03-20,107.77,108.0,106.7,107.81,918364.0
2025-03-21,107.49,108.45,106.24,106.81,1486431.0
2025-03-24,106.93,107.47,105.74,105.78,665610.0
2025-03-25,105.46,106.22,103.61,104.31,748117.0
2025-03-26,104.59,106.32,104.52,105.8,793518.0
2025-03-27,106.45,106.78,105.82,106.22,535019.0
2025-03-28,107.25,108.28,106.74,107.55,846570.0
2025-03-31,108.2,109.54,107.76,108.98,1083568.0
2025-04-01,108.68,109.27,108.0,108.89,1149633.0
2025-04-02,109.28,109.6,108.2,108.84,450541.0
2025-04-03,110.0,111.0,108.16,108.53,1506377.0
2025-04-04,109.59,109.59,103.51,104.36,1849593.0
2025-04-07,103.0,104.89,101.29,103.21,2042032.0
2025-04-08,105.0,105.45,101.82,102.95,1131560.0
2025-04-09,102.55,106.37,100.64,104.36,1519349.0
2025-04-10,104.65,106.81,103.32,105.51,1418870.0
2025-04-11,105.28,107.34,104.21,106.96,951783.0
2025-04-14,106.83,108.9,106.3,108.48,835568.0
2025-04-15,108.77,109.0,108.08,108.26,755152.0
2025-04-16,109.0,109.05,107.06,107.36,671866.0
2025-04-17,107.85,109.9,107.6,108.39,889846.0
2025-04-21,108.3,108.3,106.0,106.96,585334.0
2025-04-22,107.86,109.32,107.45,109.13,560387.0
2025-04-23,108.43,109.16,107.4,108.76,747343.0
2025-04-24,108.55,109.54,108.25,108.91,678569.0
2025-04-25,108.84,108.92,107.22,107.73,748787.0
2025-04-28,107.76,108.76,107.06,108.54,623954.0
2025-04-29,108.13,109.38,107.98,109.15,818840.0
2025-04-30,109.62,109.89,107.5,109.52,584464.0
2025-05-01,109.08,110.27,108.55,108.79,770980.0
2025-05-02,108.82,109.31,107.86,108.62,695965.0
2025-05-05,109.09,109.09,107.23,108.7,1199860.0
2025-05-06,109.43,110.65,108.66,109.76,1015745.0
2025-05-07,109.31,110.14,108.76,109.62,1119341.0
2025-05-08,109.72,109.72,107.55,107.96,1057545.0
2025-05-09,108.0,108.08,106.56,107.62,1257319.0
2025-05-12,105.99,106.7,104.62,104.97,1336348.0
2025-05-13,105.0,105.39,103.25,103.56,1253454.0
2025-05-14,102.66,102.74,100.6,102.24,1024674.0
2025-05-15,103.0,105.0,102.76,104.91,1120551.0
