date,open,high,low,close,volume
2025-02-26,152.31,152.43,149.81,150.65,1135190.0
2025-02-27,150.57,152.19,149.98,151.52,1122050.0
2025-02-28,152.91,153.9,150.7,153.51,2074137.0
2025-03-03,153.49,157.17,152.51,156.86,1692286.0
2025-03-04,157.31,158.55,153.36,153.9,1297428.0
2025-03-05,152.28,155.52,152.28,154.85,1233826.0
2025-03-06,153.72,154.0,148.79,148.97,1968411.0
2025-03-07,149.21,149.82,146.23,147.45,1739473.0
2025-03-10,145.44,146.87,143.58,146.2,1608366.0
2025-03-11,147.22,149.33,145.72,147.29,1076752.0
2025-03-12,148.18,148.42,146.07,147.38,1067227.0
2025-03-13,147.75,148.25,144.75,145.89,1011751.0
2025-03-14,146.04,148.29,145.38,147.84,1534226.0
2025-03-17,148.17,151.74,147.21,151.26,1029873.0
2025-03-18,151.0,152.6,149.71,149.97,948802.0
2025-03-19,149.97,150.49,148.12,148.76,1419028.0
2025-03-20,148.76,149.15,147.33,147.89,1713828.0
2025-03-21,146.62,148.39,145.78,146.52,2886475.0
2025-03-24,147.77,150.84,146.91,149.84,1473868.0
2025-03-25,149.71,150.68,147.35,148.17,1377800.0
2025-03-26,148.42,150.12,147.98,149.85,691067.0
2025-03-27,149.79,151.36,149.04,149.92,1654580.0
2025-03-28,150.92,153.74,150.82,153.42,1513768.0
2025-03-31,153.87,154.47,152.04,153.21,1184521.0
2025-04-01,154.05,154.47,151.87,154.15,1488182.0
2025-04-02,154.0,154.99,152.18,153.08,1091036.0
2025-04-03,153.26,157.4,151.88,152.43,2222610.0
2025-04-04,152.3,152.91,142.98,143.29,2290332.0
2025-04-07,140.25,145.13,136.63,138.81,2755295.0
2025-04-08,142.98,143.31,135.27,136.49,2336395.0
2025-04-09,134.73,142.12,130.29,141.49,2371218.0
2025-04-10,141.21,143.88,138.05,141.81,1693585.0
2025-04-11,141.4,143.12,139.09,142.67,1237051.0
2025-04-14,143.9,146.52,142.74,145.59,1334007.0
2025-04-15,146.39,147.91,144.8,146.59,940243.0
2025-04-16,146.52,147.87,144.94,145.63,666918.0
2025-04-17,146.43,148.38,146.26,147.27,765502.0
2025-04-21,146.76,147.27,141.55,143.65,907105.0
2025-04-22,144.95,148.0,144.55,147.25,1925474.0
2025-04-23,147.38,148.9,146.34,147.65,976532.0
2025-04-24,147.03,148.97,146.62,147.75,681042.0
2025-04-25,148.08,148.95,145.9,146.96,624844.0
2025-04-28,147.82,149.35,146.88,149.05,1214075.0
2025-04-29,152.63,152.82,149.89,151.48,2119852.0
2025-04-30,151.04,153.79,150.13,152.59,1980271.0
2025-05-01,151.5,151.71,148.9,150.33,1109360.0
2025-05-02,152.04,153.19,149.81,150.72,1006890.0
2025-05-05,151.07,151.61,149.45,150.93,735305.0
