date,open,high,low,close,volume
2025-02-26,228.96,230.96,227.74,228.69,530641.0
2025-02-27,228.11,230.92,227.52,229.61,620222.0
2025-02-28,230.0,233.04,229.7,232.78,803102.0
2025-03-03,233.59,235.81,232.26,233.78,1007197.0
2025-03-04,234.31,235.37,229.53,229.96,1056057.0
2025-03-05,228.11,231.06,227.69,230.39,572697.0
2025-03-06,229.03,229.95,224.88,225.96,963311.0
2025-03-07,224.17,229.9,224.14,229.55,721097.0
2025-03-10,227.95,232.24,226.29,227.77,830875.0
2025-03-11,228.0,228.21,223.63,224.21,760309.0
2025-03-12,225.0,225.37,222.68,222.86,518189.0
2025-03-13,222.21,224.07,221.17,223.2,797412.0
2025-03-14,222.39,225.12,221.1,224.86,568636.0
2025-03-17,224.88,228.71,224.25,228.19,681134.0
2025-03-18,227.34,228.35,224.84,225.87,602642.0
2025-03-19,225.87,228.02,225.0,227.36,447000.0
2025-03-20,227.08,228.47,225.17,226.9,428895.0
2025-03-21,226.15,226.4,223.87,224.91,691394.0
2025-03-24,225.94,227.29,224.66,226.24,663221.0
2025-03-25,226.88,227.57,225.09,227.07,601204.0
2025-03-26,228.63,229.54,227.6,228.93,574119.0
2025-03-27,229.97,231.47,227.78,229.02,690552.0
2025-03-28,228.65,230.31,227.69,227.92,606382.0
2025-03-31,228.56,232.48,228.39,231.51,713523.0
2025-04-01,231.19,234.06,230.68,233.79,811377.0
2025-04-02,232.93,234.88,230.48,234.56,681228.0
2025-04-03,233.96,239.32,233.1,236.83,994700.0
2025-04-04,235.08,236.47,225.06,225.2,2219194.0
2025-04-07,219.14,226.75,215.01,220.56,1424870.0
2025-04-08,225.79,225.79,213.65,216.47,1037265.0
2025-04-09,214.0,226.32,213.5,224.42,1783115.0
2025-04-10,222.61,228.32,220.72,226.45,884085.0
2025-04-11,224.19,230.4,223.64,229.38,863812.0
2025-04-14,231.27,233.15,229.95,232.3,532889.0
2025-04-15,233.38,233.89,231.1,231.48,418399.0
2025-04-16,232.62,233.13,228.46,229.57,819915.0
2025-04-17,229.86,232.56,229.29,230.91,599358.0
2025-04-21,230.78,231.23,224.29,227.57,605831.0
2025-04-22,228.25,231.9,227.59,229.96,579306.0
2025-04-23,230.45,231.0,226.5,228.63,756904.0
2025-04-24,229.65,229.65,225.32,227.47,843797.0
2025-04-25,229.47,229.67,225.0,228.31,778102.0
2025-04-28,229.22,229.41,226.46,229.08,986697.0
2025-04-29,224.0,229.93,220.7,228.8,955041.0
2025-04-30,229.0,233.86,226.85,233.36,588874.0
2025-05-01,232.01,234.6,229.66,233.4,588312.0
2025-05-02,235.83,235.99,232.5,233.94,495760.0
2025-05-05,233.84,235.64,232.05,234.79,372982.0
2025-05-06,232.67,235.74,232.67,234.07,434149.0
2025-05-07,233.65,236.3,233.62,235.51,636380.0
2025-05-08,236.38,237.38,232.84,233.13,745908.0
2025-05-09,232.51,233.97,231.24,232.75,739160.0
2025-05-12,232.01,232.09,222.02,225.57,1466325.0
2025-05-13,225.0,225.42,221.66,222.38,1331558.0
2025-05-14,223.19,223.19,219.76,222.47,955273.0
2025-05-15,224.22,228.17,223.72,228.02,782746.0
2025-05-16,228.03,229.91,227.36,229.87,625159.0
2025-05-19,229.41,232.22,229.41,231.95,472337.0
2025-05-20,232.21,234.31,232.21,233.89,841648.0
2025-05-21,234.09,235.46,233.36,234.11,852535.0
2025-05-22,233.5,234.83,231.71,233.32,791550.0
2025-05-23,236.0,237.34,233.01,236.81,576451.0
2025-05-27,236.81,238.19,236.5,238.03,818813.0
2025-05-28,237.89,238.35,236.8,237.15,691855.0
2025-05-29,235.9,237.99,235.21,237.76,496802.0
2025-05-30,238.36,241.68,237.56,240.97,847595.0
2025-06-02,239.08,242.1,238.5,242.1,809388.0
2025-06-03,241.14,242.58,238.92,240.19,782926.0
2025-06-04,240.0,240.45,238.6,238.89,472730.0
2025-06-05,238.89,239.32,237.47,238.64,479057.0
2025-06-06,237.99,239.11,236.07,236.33,538176.0
2025-06-09,236.03,236.03,230.5,233.99,565933.0
2025-06-10,234.07,235.03,232.7,233.99,555230.0
2025-06-11,233.96,234.91,231.34,234.29,559199.0
2025-06-12,234.82,237.15,234.36,237.15,493516.0
2025-06-13,236.95,239.6,235.88,236.5,683550.0
2025-06-16,236.78,237.92,234.28,234.66,358162.0
2025-06-17,234.3,235.27,232.86,234.3,322008.0
2025-06-18,235.0,235.0,232.58,233.22,495074.0
2025-06-20,233.5,234.91,231.14,231.94,759432.0
2025-06-23,231.9,234.84,231.73,234.71,731631.0
2025-06-24,236.02,236.02,232.22,234.14,528250.0
2025-06-25,234.0,234.28,227.71,228.58,957700.0
2025-06-26,229.87,229.87,226.04,226.72,858078.0
2025-06-27,227.02,229.48,226.44,228.26,668282.0
2025-06-30,228.36,229.29,226.96,228.82,599098.0
2025-07-01,228.52,230.21,226.91,228.8,691217.0
2025-07-02,227.58,228.75,222.15,223.39,1089238.0
2025-07-03,224.15,227.31,223.07,227.1,567109.0
2025-07-07,227.05,227.79,225.32,226.92,646776.0
2025-07-08,225.8,226.83,224.43,224.87,903129.0
2025-07-09,224.55,226.66,223.21,225.75,837825.0
2025-07-10,225.82,227.08,224.15,225.65,839424.0
2025-07-11,225.44,226.5,223.95,226.01,782487.0
