date,open,high,low,close,volume
2025-02-26,56.3,57.24,56.05,56.9,4827393.0
2025-02-27,57.02,57.1,55.87,56.26,4559062.0
2025-02-28,56.0,58.3,55.79,58.18,4519100.0
2025-03-03,58.49,59.04,57.17,57.6,3466259.0
2025-03-04,57.07,57.73,55.7,56.8,5702506.0
2025-03-05,56.59,56.61,54.97,56.22,4944552.0
2025-03-06,55.53,55.86,54.39,54.61,5905615.0
2025-03-07,54.75,55.08,52.79,54.38,4665504.0
2025-03-10,54.01,54.84,53.28,54.02,4504536.0
2025-03-11,53.98,55.78,53.93,54.95,3807549.0
2025-03-12,55.71,56.99,55.25,56.3,4462688.0
2025-03-13,56.26,56.46,55.55,56.18,4518145.0
2025-03-14,56.02,57.76,55.87,57.27,3427294.0
2025-03-17,57.27,58.95,57.05,58.39,3865242.0
2025-03-18,58.37,58.99,57.97,58.4,3017691.0
2025-03-19,58.72,59.57,58.47,59.32,2092310.0
2025-03-20,59.0,59.81,58.9,59.75,3369243.0
2025-03-21,59.68,59.88,59.18,59.6,5413549.0
2025-03-24,60.06,61.55,60.0,61.09,3208595.0
2025-03-25,61.25,61.67,60.69,60.91,3941429.0
2025-03-26,61.29,61.43,59.64,59.95,4953551.0
2025-03-27,59.75,59.96,59.0,59.43,2930983.0
2025-03-28,59.36,59.48,58.67,59.19,3406224.0
2025-03-31,58.7,59.99,58.6,59.76,4174173.0
2025-04-01,59.53,60.61,59.16,60.57,3329989.0
2025-04-02,59.91,61.65,59.91,61.6,3833794.0
2025-04-03,59.09,60.97,58.48,59.03,7042861.0
2025-04-04,57.06,58.54,53.54,54.57,12363972.0
2025-04-07,52.64,56.91,51.58,54.85,8010559.0
2025-04-08,56.8,57.43,53.49,54.33,5831715.0
2025-04-09,53.55,57.16,51.89,56.42,9325341.0
2025-04-10,55.35,56.09,53.63,55.07,5814776.0
2025-04-11,55.16,56.57,54.19,56.39,4173574.0
2025-04-14,57.21,57.64,56.74,57.36,2805745.0
2025-04-15,57.64,59.06,57.49,58.54,2965144.0
2025-04-16,58.34,59.2,57.99,58.26,2009051.0
2025-04-17,58.66,60.01,58.41,58.62,4024091.0
2025-04-21,58.25,58.37,55.56,56.44,2867599.0
2025-04-22,57.08,58.61,56.92,58.2,3646973.0
2025-04-23,58.77,59.66,57.93,58.48,3113788.0
2025-04-24,58.86,60.11,58.3,59.61,3105849.0
2025-04-25,59.2,59.71,58.39,59.03,2248613.0
2025-04-28,58.85,59.87,58.38,59.66,2839974.0
2025-04-29,59.08,59.99,59.05,59.67,2903463.0
2025-04-30,58.77,59.0,57.6,58.57,3269968.0
2025-05-01,58.21,59.79,58.12,58.8,3391950.0
2025-05-02,59.59,60.09,59.07,60.0,2026461.0
2025-05-05,59.54,60.41,58.91,60.17,2767127.0
2025-05-06,59.19,59.41,56.85,58.7,8527582.0
2025-05-07,59.15,59.4,58.33,58.94,4717473.0
2025-05-08,59.42,59.74,57.04,57.06,4548556.0
2025-05-09,57.86,58.02,57.18,57.66,1720787.0
2025-05-12,58.81,58.93,56.42,57.13,3718414.0
2025-05-13,57.55,58.38,57.29,58.07,4012022.0
2025-05-14,57.98,58.35,57.7,58.2,2952495.0
2025-05-15,57.7,58.87,57.64,58.77,2349269.0
2025-05-16,58.82,59.15,58.13,58.79,2860468.0
2025-05-19,58.31,58.67,57.97,58.54,2216217.0
2025-05-20,58.58,59.17,58.36,58.77,2726726.0
2025-05-21,58.6,58.75,57.83,57.93,2978127.0
2025-05-22,57.82,58.1,57.22,57.75,2788441.0
2025-05-23,57.7,59.09,57.62,58.99,3602457.0
2025-05-27,59.98,60.41,59.49,60.1,11678148.0
2025-05-28,60.4,60.87,60.12,60.62,5097384.0
2025-05-29,60.11,60.43,59.58,60.27,4211716.0
2025-05-30,59.97,60.7,59.65,60.51,4076335.0
2025-06-02,61.16,61.39,60.18,61.27,6601990.0
2025-06-03,61.29,61.45,60.66,61.11,5221188.0
2025-06-04,61.0,61.22,59.88,60.12,4067737.0
