date,open,high,low,close,volume
2025-02-26,97.7,98.73,96.07,96.2,12243801.0
2025-02-27,95.86,98.04,95.8,96.79,10175591.0
2025-02-28,97.79,98.86,97.17,98.61,11775244.0
2025-03-03,97.98,99.49,96.82,97.59,11078288.0
2025-03-04,95.76,97.05,94.46,94.97,15836413.0
2025-03-05,94.97,96.39,94.75,95.98,11236352.0
2025-03-06,94.8,96.19,94.42,94.64,12161815.0
2025-03-07,93.94,93.95,90.76,91.72,22154930.0
2025-03-10,89.76,90.23,86.61,87.82,23427093.0
2025-03-11,87.29,89.35,87.14,87.44,18669589.0
2025-03-12,87.88,89.1,84.88,85.2,22626892.0
2025-03-13,84.94,85.45,83.87,84.5,17533356.0
2025-03-14,84.96,85.37,84.06,85.35,21194510.0
2025-03-17,85.13,87.99,84.98,87.46,16930891.0
2025-03-18,87.44,87.68,85.5,85.59,10072546.0
2025-03-19,85.95,86.79,85.62,86.33,9274504.0
2025-03-20,85.81,87.08,85.51,85.81,10285873.0
2025-03-21,85.28,86.23,84.78,85.98,13143507.0
2025-03-24,86.47,87.65,86.35,87.49,9397028.0
2025-03-25,86.76,87.31,84.62,84.76,16071844.0
2025-03-26,85.19,85.56,84.57,85.21,14567056.0
2025-03-27,84.78,86.11,84.77,85.63,10358866.0
2025-03-28,85.43,85.83,84.7,85.15,9000195.0
2025-03-31,84.76,88.2,84.37,87.79,17383302.0
2025-04-01,87.5,89.11,87.37,88.83,14768246.0
2025-04-02,88.2,90.15,88.11,89.76,11549668.0
2025-04-03,86.28,89.88,86.28,87.26,22900820.0
2025-04-04,85.64,87.39,82.65,83.19,23956459.0
2025-04-07,80.24,86.26,79.81,83.83,24045970.0
2025-04-08,85.95,86.97,81.03,81.79,21605392.0
2025-04-09,83.33,90.8,83.02,89.6,31684302.0
2025-04-10,88.73,91.87,88.16,90.61,22994827.0
2025-04-11,90.68,93.35,90.01,92.8,16010345.0
2025-04-14,93.27,95.44,92.9,94.73,18509382.0
2025-04-15,94.82,96.03,93.87,93.97,12706331.0
2025-04-16,94.0,94.3,90.61,91.19,14001383.0
2025-04-17,91.83,93.87,91.62,93.22,11498537.0
2025-04-21,93.02,94.08,91.34,92.41,11614503.0
2025-04-22,92.88,95.29,92.88,94.85,9281273.0
2025-04-23,95.02,96.6,94.16,94.96,10452200.0
2025-04-24,94.71,96.22,93.66,95.84,8507526.0
2025-04-25,95.75,96.47,94.36,95.09,9004158.0
2025-04-28,95.1,96.0,94.34,95.22,8208403.0
2025-04-29,94.84,96.18,94.42,96.04,6536867.0
2025-04-30,95.94,97.78,94.93,97.25,10617968.0
2025-05-01,97.02,97.9,96.59,97.41,7865366.0
2025-05-02,97.95,99.22,97.85,98.75,7713183.0
2025-05-05,98.94,99.74,98.53,99.33,6961556.0
2025-05-06,98.74,99.47,98.41,98.55,6338380.0
2025-05-07,98.55,99.24,98.31,98.83,6582219.0
2025-05-08,98.75,99.33,97.35,97.43,8989603.0
2025-05-09,96.75,97.2,96.29,96.72,8099298.0
2025-05-12,97.67,97.97,95.62,96.75,16205803.0
2025-05-13,96.5,97.32,95.22,95.88,12158013.0
2025-05-14,96.03,97.33,95.83,96.83,16635627.0
2025-05-15,94.3,96.72,91.89,96.35,28670108.0
2025-05-16,96.14,99.2,95.99,98.24,19477650.0
