date,open,high,low,close,volume
2025-02-26,62.56,62.82,61.29,61.39,1337999.0
2025-02-27,61.6,62.69,61.46,62.12,811812.0
2025-02-28,62.63,63.18,62.06,63.08,734122.0
2025-03-03,63.03,63.88,63.02,63.73,629202.0
2025-03-04,63.79,63.98,62.15,62.23,586283.0
2025-03-05,62.16,62.93,62.09,62.53,484729.0
2025-03-06,62.28,62.34,61.63,62.17,592752.0
2025-03-07,61.95,63.01,61.75,62.56,702414.0
2025-03-10,62.25,63.95,62.25,62.96,727487.0
2025-03-11,63.01,63.16,61.91,61.96,1122763.0
2025-03-12,61.75,61.94,60.68,61.55,697147.0
2025-03-13,61.78,62.7,61.56,61.87,819142.0
2025-03-14,62.09,63.34,61.97,63.23,701360.0
2025-03-17,63.0,64.32,62.97,64.08,866613.0
2025-03-18,63.99,64.26,63.17,63.4,635230.0
2025-03-19,63.4,63.98,63.14,63.69,525285.0
2025-03-20,63.51,64.0,63.28,63.59,305262.0
2025-03-21,63.42,63.97,63.03,63.24,1039342.0
2025-03-24,63.78,64.18,63.4,64.1,518064.0
2025-03-25,64.5,64.84,63.79,64.42,516346.0
2025-03-26,64.76,65.47,64.54,65.24,619012.0
2025-03-27,65.65,66.54,65.07,66.28,773176.0
2025-03-28,70.83,76.38,70.65,71.27,5731190.0
2025-03-31,71.36,72.09,70.46,71.16,2113830.0
2025-04-01,70.81,71.53,69.94,70.25,1856030.0
2025-04-02,70.0,70.35,69.15,69.75,1137965.0
2025-04-03,68.86,70.89,68.86,70.29,1156380.0
2025-04-04,68.63,69.67,65.24,65.43,1336833.0
2025-04-07,64.55,65.79,62.63,64.28,1653462.0
2025-04-08,66.06,66.98,64.4,65.32,1347665.0
2025-04-09,63.65,67.23,63.65,66.93,1563976.0
2025-04-10,66.45,67.87,65.28,67.11,1283923.0
2025-04-11,66.89,68.76,66.08,68.45,1269601.0
2025-04-14,68.87,69.81,68.56,69.34,845820.0
2025-04-15,69.46,69.66,68.25,68.36,680040.0
2025-04-16,69.23,69.83,68.09,68.45,672530.0
2025-04-17,68.65,69.44,68.13,68.8,707242.0
2025-04-21,68.9,69.05,66.59,67.33,856048.0
2025-04-22,67.6,71.09,66.2,70.85,1444344.0
2025-04-23,71.0,71.33,69.63,71.24,1194264.0
2025-04-24,71.02,72.0,70.03,71.75,925382.0
2025-04-25,71.35,71.49,70.0,70.48,900021.0
2025-04-28,70.68,71.13,70.25,70.69,719409.0
2025-04-29,70.59,71.39,70.25,71.28,804054.0
2025-04-30,71.51,71.9,69.93,71.69,705515.0
2025-05-01,71.03,71.83,70.16,71.18,743766.0
2025-05-02,71.91,72.9,71.67,72.61,962589.0
2025-05-05,72.45,72.8,71.52,72.49,500968.0
2025-05-06,72.18,73.11,72.18,72.66,621477.0
2025-05-07,72.61,73.42,72.33,73.08,1181634.0
2025-05-08,72.92,73.4,72.67,72.72,619902.0
2025-05-09,72.6,72.93,72.28,72.49,479349.0
2025-05-12,72.77,72.77,70.29,72.2,710835.0
2025-05-13,72.44,72.73,71.64,71.68,510028.0
2025-05-14,71.83,71.83,70.51,71.02,513590.0
2025-05-15,71.55,72.7,71.25,72.7,484717.0
2025-05-16,72.81,73.3,72.47,73.28,582495.0
2025-05-19,73.67,73.97,73.22,73.82,376984.0
2025-05-20,73.54,73.85,73.28,73.55,320386.0
2025-05-21,73.29,73.77,72.89,73.2,516663.0
2025-05-22,72.78,73.08,71.67,72.19,549067.0
