date,open,high,low,close,volume
2025-02-26,30.19,30.32,29.78,29.83,1269665.0
2025-02-27,29.69,30.13,29.63,30.06,2172351.0
2025-02-28,30.32,30.46,29.88,30.1,1781891.0
2025-03-03,30.23,31.64,30.2,31.39,3802513.0
2025-03-04,31.4,31.66,30.71,30.79,2369744.0
2025-03-05,30.65,31.29,30.54,30.93,1945095.0
2025-03-06,30.78,30.84,30.17,30.22,2251699.0
2025-03-07,30.1,30.79,30.0,30.65,2764669.0
2025-03-10,30.45,31.12,30.04,30.07,1982822.0
2025-03-11,30.26,30.32,29.49,29.58,1801674.0
2025-03-12,29.5,29.68,29.02,29.27,2288846.0
2025-03-13,29.23,29.53,28.86,28.95,1669031.0
2025-03-14,29.2,29.59,28.97,29.47,1056069.0
2025-03-17,29.49,30.28,29.48,29.96,2051762.0
2025-03-18,30.04,30.17,29.6,29.86,1365359.0
2025-03-19,29.76,30.05,29.56,29.91,1506198.0
2025-03-20,29.87,30.2,29.81,30.11,1638762.0
2025-03-21,29.97,30.06,28.95,29.18,2892089.0
2025-03-24,29.06,29.63,29.06,29.56,1433776.0
2025-03-25,29.53,29.53,28.97,29.2,874436.0
2025-03-26,29.31,29.52,29.2,29.42,828623.0
2025-03-27,29.5,30.06,29.25,29.59,1736043.0
2025-03-28,29.5,29.62,29.13,29.36,1432090.0
2025-03-31,29.36,29.5,28.92,29.28,1782834.0
2025-04-01,29.27,29.44,28.69,29.14,2023056.0
2025-04-02,29.24,29.59,29.0,29.48,2093395.0
2025-04-03,29.07,29.14,27.39,27.43,3068052.0
2025-04-04,27.56,27.67,26.07,26.26,4206162.0
2025-04-07,25.9,26.76,24.88,25.48,3516915.0
2025-04-08,26.51,26.65,24.5,24.82,2377993.0
2025-04-09,24.35,26.74,24.1,26.56,3624100.0
2025-04-10,26.27,26.35,25.05,25.82,2192668.0
2025-04-11,25.66,25.94,24.92,25.8,2165017.0
2025-04-14,26.04,26.36,25.84,26.12,1464515.0
2025-04-15,26.06,26.27,25.76,25.85,1622056.0
2025-04-16,25.93,26.0,25.42,25.59,2688288.0
2025-04-17,25.63,26.07,25.63,25.81,1667362.0
2025-04-21,25.43,25.56,24.45,24.69,1721270.0
2025-04-22,25.01,25.45,24.94,25.26,1712378.0
2025-04-23,25.66,26.21,25.23,25.31,1356694.0
2025-04-24,25.42,25.74,25.22,25.5,2178964.0
2025-04-25,25.22,25.48,24.74,24.81,2748824.0
2025-04-28,24.76,25.64,24.75,25.57,4477117.0
2025-04-29,25.36,25.86,25.36,25.79,3598640.0
2025-04-30,25.59,25.99,25.23,25.91,2686860.0
2025-05-01,25.91,26.05,25.55,25.82,2225111.0
2025-05-02,26.03,26.35,25.93,26.16,1737780.0
2025-05-05,26.15,26.25,25.78,25.83,1586517.0
2025-05-06,25.66,25.77,25.18,25.54,2918429.0
2025-05-07,25.59,25.92,25.49,25.82,2378682.0
2025-05-08,26.0,26.28,25.79,25.94,2051727.0
2025-05-09,26.26,26.5,26.06,26.21,2365395.0
2025-05-12,26.85,27.27,26.67,26.97,2217852.0
2025-05-13,27.02,27.09,26.61,26.69,1923531.0
2025-05-14,26.58,26.59,25.97,26.02,2172111.0
2025-05-15,26.07,26.51,26.05,26.47,1478479.0
2025-05-16,26.57,26.75,26.3,26.72,1155956.0
2025-05-19,26.32,26.65,26.3,26.5,1259565.0
2025-05-20,26.35,26.6,26.15,26.21,1613100.0
2025-05-21,26.0,26.06,25.11,25.18,2506773.0
2025-05-22,25.21,25.4,24.96,25.25,1811766.0
2025-05-23,24.95,25.29,24.92,25.23,1730494.0
2025-05-27,25.57,25.87,25.25,25.83,1961415.0
2025-05-28,25.9,25.91,25.63,25.89,2274854.0
2025-05-29,25.92,26.24,25.78,26.04,2159885.0
2025-05-30,25.8,25.98,25.63,25.91,3006318.0
2025-06-02,25.65,25.69,25.43,25.67,1929415.0
2025-06-03,25.42,25.93,25.32,25.86,1475862.0
2025-06-04,25.86,26.37,25.8,26.29,2270064.0
2025-06-05,26.31,26.85,26.01,26.7,4027995.0
2025-06-06,26.97,27.35,26.67,26.73,3364612.0
2025-06-09,26.85,27.27,26.73,27.01,2116584.0
2025-06-10,27.13,27.68,27.01,27.58,2092977.0
2025-06-11,27.69,27.86,27.25,27.36,1798063.0
2025-06-12,27.24,27.38,26.97,27.3,1316663.0
2025-06-13,27.09,27.32,26.63,26.8,1672956.0
2025-06-16,27.07,27.2,26.68,26.7,1596892.0
2025-06-17,26.7,26.7,25.79,25.87,1556781.0
2025-06-18,25.93,26.31,25.79,25.97,1234916.0
2025-06-20,26.13,26.43,26.02,26.18,2445525.0
2025-06-23,26.19,26.61,26.12,26.58,1204706.0
2025-06-24,26.69,26.8,26.51,26.65,1308151.0
2025-06-25,26.39,26.55,26.05,26.07,3224436.0
2025-06-26,26.22,26.37,26.01,26.32,2058272.0
2025-06-27,25.97,26.28,25.77,25.85,6831895.0
