date,open,high,low,close,volume
2025-02-26,70.07,70.48,69.48,69.97,1476966.0
2025-02-27,69.75,70.97,69.57,70.76,2680698.0
2025-02-28,71.6,72.39,71.1,72.1,3986823.0
2025-03-03,71.94,72.64,71.36,71.9,2834282.0
2025-03-04,72.08,72.7,69.98,70.03,2455528.0
2025-03-05,69.57,70.22,68.6,68.73,1370480.0
2025-03-06,68.36,68.58,67.25,67.66,2104235.0
2025-03-07,67.7,68.61,67.52,68.0,2040873.0
2025-03-10,68.05,69.89,68.04,69.35,2235597.0
2025-03-11,69.42,69.64,68.11,68.73,1664598.0
2025-03-12,68.36,69.7,68.17,68.85,1667896.0
2025-03-13,69.27,69.76,68.15,68.67,1150135.0
2025-03-14,68.1,69.91,67.88,69.75,1895708.0
2025-03-17,69.7,70.7,69.54,69.96,1506324.0
2025-03-18,69.76,70.33,69.4,70.28,1354612.0
2025-03-19,70.17,70.5,69.84,70.24,1174101.0
2025-03-20,70.24,70.58,69.79,70.09,1497545.0
2025-03-21,69.77,70.36,68.82,69.11,2243423.0
2025-03-24,69.52,69.65,68.7,68.86,1289867.0
2025-03-25,68.71,68.79,67.5,67.93,1545257.0
2025-03-26,68.11,69.44,67.98,68.92,1404195.0
2025-03-27,69.11,69.8,68.92,69.32,1533731.0
2025-03-28,69.88,70.49,69.64,69.72,1830080.0
2025-03-31,70.42,71.36,69.9,70.79,1605137.0
2025-04-01,70.61,70.82,69.97,70.72,1056403.0
2025-04-02,70.91,71.3,70.06,70.9,920300.0
2025-04-03,71.99,72.64,71.15,72.14,1905399.0
2025-04-04,73.0,73.0,67.77,67.89,2873850.0
2025-04-07,67.89,68.38,65.75,67.06,3251718.0
2025-04-08,67.33,69.2,66.35,67.04,3407196.0
2025-04-09,66.52,69.17,65.43,68.58,3327308.0
2025-04-10,68.27,69.31,67.0,68.41,1681172.0
2025-04-11,68.36,69.93,67.52,69.56,1629106.0
2025-04-14,69.49,70.87,68.28,70.73,1251473.0
2025-04-15,71.16,71.48,70.21,70.27,1269488.0
2025-04-16,70.48,70.82,68.86,69.1,1269438.0
2025-04-17,69.7,71.03,69.49,70.13,1525072.0
2025-04-21,69.88,70.3,68.19,68.97,3128806.0
2025-04-22,69.66,71.71,69.38,71.39,3054676.0
2025-04-23,71.07,72.1,70.58,71.55,3310078.0
2025-04-24,70.34,71.48,69.01,70.29,3766278.0
2025-04-25,70.5,70.55,68.41,69.0,2317818.0
2025-04-28,69.11,69.68,68.46,69.58,1556604.0
2025-04-29,69.56,70.77,69.22,70.67,1219203.0
2025-04-30,70.69,70.88,69.6,70.7,2099566.0
2025-05-01,70.57,71.39,70.0,70.4,1794330.0
2025-05-02,70.71,71.04,69.98,70.77,2250540.0
2025-05-05,70.56,71.14,69.96,70.89,4129939.0
2025-05-06,70.7,71.4,70.45,71.06,1318245.0
2025-05-07,71.03,71.97,70.96,71.36,1778561.0
2025-05-08,71.31,71.57,70.08,70.17,1706703.0
2025-05-09,70.25,70.88,69.99,70.61,1377413.0
2025-05-12,70.3,70.41,67.43,67.78,2242783.0
2025-05-13,67.78,68.73,66.75,68.31,2544712.0
2025-05-14,67.91,68.94,67.37,68.8,2143996.0
2025-05-15,69.13,71.31,69.13,71.26,3329546.0
2025-05-16,71.04,72.56,70.95,72.38,2724379.0
2025-05-19,71.9,72.37,71.58,72.21,2697400.0
2025-05-20,72.26,72.78,71.9,72.31,2000425.0
2025-05-21,71.9,72.05,69.86,69.92,2285874.0
2025-05-22,69.84,69.95,68.49,69.21,2217050.0
2025-05-23,69.43,69.82,68.56,69.73,1630464.0
2025-05-27,70.21,70.39,69.5,69.81,1021912.0
2025-05-28,69.78,69.87,68.62,68.93,878898.0
2025-05-29,68.98,69.71,68.63,69.47,936785.0
2025-05-30,69.53,70.41,69.36,70.1,1327537.0
2025-06-02,69.81,69.85,69.14,69.73,1354118.0
2025-06-03,69.76,69.95,68.72,69.33,1341477.0
2025-06-04,69.12,69.42,68.43,68.5,732672.0
2025-06-05,68.48,68.74,68.09,68.57,907521.0
2025-06-06,68.93,69.14,68.12,68.51,801133.0
2025-06-09,68.25,69.24,68.09,68.38,1180030.0
2025-06-10,68.48,69.11,68.24,68.96,1507226.0
2025-06-11,68.85,68.98,68.01,68.25,1461219.0
2025-06-12,68.53,69.08,68.19,69.07,1168024.0
2025-06-13,68.5,68.72,67.48,67.62,1428188.0
2025-06-16,67.76,68.07,66.42,66.79,1836593.0
2025-06-17,66.8,66.8,65.46,65.65,1669677.0
2025-06-18,65.85,66.49,65.21,66.28,1482413.0
2025-06-20,66.6,67.1,66.32,66.64,2169024.0
2025-06-23,67.1,67.95,66.92,67.91,1681479.0
2025-06-24,67.91,68.64,67.78,68.23,1312353.0
2025-06-25,68.0,68.18,67.15,67.32,997662.0
2025-06-26,67.71,67.85,67.19,67.75,875162.0
2025-06-27,67.68,68.38,67.55,67.78,1239810.0
2025-06-30,67.5,68.21,67.07,68.1,2032442.0
2025-07-01,68.37,69.0,66.87,68.71,2103752.0
2025-07-02,68.36,68.64,67.01,67.56,1462414.0
2025-07-03,67.43,68.43,67.3,68.19,820116.0
2025-07-07,68.19,68.29,67.47,67.88,1077526.0
2025-07-08,67.44,67.83,66.56,67.56,949692.0
2025-07-09,67.64,68.05,67.11,67.84,1090498.0
2025-07-10,67.28,68.47,67.02,68.45,1134735.0
2025-07-11,68.19,69.0,67.81,68.62,1150687.0
2025-07-14,68.64,69.21,68.38,69.17,952091.0
2025-07-15,68.87,69.17,68.01,68.33,841201.0
2025-07-16,68.39,69.4,68.32,69.17,1604291.0
2025-07-17,69.03,69.79,68.97,69.65,930809.0
2025-07-18,70.0,70.88,69.66,70.38,1500125.0
2025-07-21,70.39,71.8,70.37,71.57,1291980.0
2025-07-22,71.83,73.11,71.61,73.06,1581162.0
2025-07-23,73.22,73.56,72.07,72.5,1491648.0
2025-07-24,72.52,72.99,72.09,72.78,974695.0
2025-07-25,72.9,73.06,72.45,72.66,1464135.0
2025-07-28,72.6,72.78,71.01,71.14,1780626.0
2025-07-29,71.46,72.37,71.06,72.34,1364142.0
2025-07-30,72.34,73.24,72.21,72.39,2702599.0
2025-07-31,72.9,73.87,72.67,73.44,1812939.0
2025-08-01,73.87,74.13,72.9,73.47,2233298.0
2025-08-04,73.82,74.45,73.63,74.24,3269251.0
2025-08-05,74.08,74.57,73.43,73.73,2435757.0
2025-08-06,74.03,74.04,73.23,73.3,1119695.0
2025-08-07,73.34,73.74,73.09,73.23,1349433.0
2025-08-08,73.3,73.78,73.02,73.33,1585491.0
2025-08-11,73.37,73.49,72.37,72.67,1084166.0
2025-08-12,72.85,72.85,71.4,72.39,1463193.0
2025-08-13,72.42,72.95,72.23,72.92,1169089.0
2025-08-14,72.8,73.33,72.28,72.39,1379374.0
2025-08-15,72.53,73.17,69.16,71.93,4624293.0
2025-08-18,72.03,72.43,71.84,72.21,1328603.0
2025-08-19,72.24,73.27,72.1,73.22,1493941.0
2025-08-20,73.64,74.34,72.87,73.17,2002588.0
2025-08-21,72.8,73.68,72.79,73.16,1548204.0
2025-08-22,73.67,74.38,73.27,74.26,1625439.0
2025-08-25,74.02,74.2,72.89,73.03,1030294.0
2025-08-26,72.84,72.89,72.29,72.54,1105427.0
2025-08-27,72.3,72.99,72.23,72.87,1667410.0
2025-08-28,73.0,73.2,72.26,72.34,1784381.0
2025-08-29,72.5,72.91,72.18,72.39,1392193.0
2025-09-02,72.04,72.36,71.53,72.14,1713525.0
2025-09-03,72.03,72.48,71.54,72.43,1433588.0
2025-09-04,72.81,73.21,71.52,72.24,3385650.0
2025-09-05,72.67,72.89,71.98,72.68,3007543.0
2025-09-08,72.94,73.02,71.32,71.75,1612768.0
2025-09-09,71.46,72.2,71.29,72.02,2716312.0
2025-09-10,72.05,72.63,71.74,72.31,2362570.0
2025-09-11,72.28,73.06,71.92,72.85,3634799.0
2025-09-12,72.96,73.72,72.6,73.35,3840665.0
2025-09-15,72.96,73.2,72.53,73.05,1258093.0
2025-09-16,72.8,73.05,72.04,72.11,1356770.0
2025-09-17,72.35,72.9,71.95,72.05,1452885.0
2025-09-18,71.6,72.64,71.35,72.17,1007263.0
2025-09-19,72.32,72.8,71.88,72.11,3137607.0
2025-09-22,72.59,72.7,71.79,72.35,2357718.0
2025-09-23,72.11,73.04,71.84,73.04,1163213.0
2025-09-24,73.18,78.13,72.55,77.93,8827213.0
2025-09-25,78.16,78.8,76.94,77.25,6136367.0
2025-09-26,77.52,79.41,76.97,79.28,3882036.0
2025-09-29,79.46,80.07,78.41,80.05,2686167.0
2025-09-30,79.65,80.96,79.59,80.65,1809518.0
2025-10-01,80.89,81.15,80.29,80.31,1933903.0
2025-10-02,79.87,80.58,79.22,79.6,2155345.0
2025-10-03,79.63,80.84,79.62,80.26,1476862.0
2025-10-06,80.41,81.28,79.89,81.0,1649732.0
2025-10-07,81.48,82.09,81.04,81.85,1632037.0
2025-10-08,82.18,82.22,81.26,81.85,1388390.0
2025-10-09,82.14,82.54,81.19,81.26,1387088.0
2025-10-10,81.6,82.22,80.81,80.93,2110667.0
2025-10-13,80.87,81.55,80.05,80.16,1748876.0
2025-10-14,80.41,81.46,80.35,80.85,1673690.0
2025-10-15,80.95,81.82,80.38,81.8,2554410.0
2025-10-16,82.29,83.01,81.01,81.1,2177028.0
2025-10-17,81.39,81.58,80.52,81.16,2071806.0
2025-10-20,81.77,81.97,80.36,81.28,1406632.0
2025-10-21,81.35,81.56,80.22,80.64,781427.0
2025-10-22,80.89,81.35,80.57,80.69,1276054.0
2025-10-23,81.27,81.3,79.64,80.41,1318236.0
2025-10-24,80.85,81.44,80.2,80.39,1339814.0
2025-10-27,80.33,81.1,79.96,80.69,1245102.0
2025-10-28,80.75,80.75,79.55,79.82,1521295.0
2025-10-29,79.32,80.36,78.94,79.69,1864083.0
2025-10-30,81.09,82.69,78.43,81.59,5332706.0
2025-10-31,81.18,81.81,79.8,81.17,1947300.0
2025-11-03,81.22,81.46,79.54,81.26,2425825.0
2025-11-04,81.59,81.89,80.18,81.59,2968082.0
2025-11-05,80.75,81.79,80.34,81.19,3205023.0
