date,open,high,low,close,volume
2025-02-26,109.74,109.87,108.52,109.46,6292547.0
2025-02-27,110.01,111.29,109.28,110.15,6890218.0
2025-02-28,110.11,111.58,109.34,111.33,7285165.0
2025-03-03,111.75,112.16,106.51,107.76,9852494.0
2025-03-04,106.36,108.96,105.94,107.54,9422082.0
2025-03-05,105.84,106.33,103.67,105.44,12204915.0
2025-03-06,105.43,108.11,104.36,107.62,10642210.0
2025-03-07,108.41,110.4,108.3,109.02,11094480.0
2025-03-10,109.28,112.57,109.08,111.8,14251250.0
2025-03-11,111.92,112.1,108.78,109.16,11203346.0
2025-03-12,109.05,110.13,108.42,109.13,6941481.0
2025-03-13,108.33,110.82,107.62,108.67,11499235.0
2025-03-14,108.94,112.18,108.31,111.9,9659622.0
2025-03-17,111.8,114.5,111.73,113.76,9637457.0
2025-03-18,114.09,114.54,112.57,113.64,7068893.0
2025-03-19,114.2,115.82,113.83,115.41,8987753.0
2025-03-20,114.72,116.47,114.21,115.9,7002821.0
2025-03-21,115.5,115.99,114.35,115.5,11366254.0
2025-03-24,115.68,116.91,115.58,115.8,7823878.0
2025-03-25,116.43,117.64,115.96,116.59,6245799.0
2025-03-26,117.68,119.18,117.68,118.27,8444525.0
2025-03-27,118.1,119.07,117.25,117.89,6110590.0
2025-03-28,118.13,118.46,117.23,117.73,5605560.0
2025-03-31,117.77,119.91,117.77,118.93,10162743.0
2025-04-01,119.22,119.28,117.93,119.04,6661579.0
2025-04-02,118.39,118.84,117.66,118.67,6699649.0
2025-04-03,114.37,115.45,112.23,112.43,12878295.0
2025-04-04,109.87,110.83,103.83,104.34,18744981.0
2025-04-07,100.39,105.8,98.46,102.94,21480625.0
2025-04-08,105.45,105.6,99.01,100.77,16316681.0
2025-04-09,99.37,106.58,98.13,105.8,17970411.0
2025-04-10,103.76,103.78,97.8,99.93,21040283.0
2025-04-11,100.07,103.93,98.79,103.14,13549617.0
2025-04-14,105.03,105.09,102.72,103.39,9235620.0
2025-04-15,103.64,105.41,103.0,103.1,6883913.0
2025-04-16,103.95,105.59,103.69,104.19,7944077.0
2025-04-17,104.69,108.55,104.46,106.92,10628635.0
2025-04-21,105.61,105.63,104.12,105.35,6965293.0
2025-04-22,106.14,108.94,106.14,108.3,6285681.0
2025-04-23,108.81,109.3,106.47,107.37,8467049.0
2025-04-24,107.97,108.88,106.96,108.63,5156453.0
2025-04-25,108.14,108.76,107.42,108.57,4718570.0
2025-04-28,108.75,109.25,107.68,108.63,5194300.0
2025-04-29,107.74,108.83,107.52,108.36,4882385.0
2025-04-30,107.42,107.42,104.15,105.63,10740511.0
2025-05-01,105.09,106.92,104.98,105.78,10799419.0
2025-05-02,107.72,109.0,104.55,106.21,10016428.0
2025-05-05,104.65,104.66,103.07,103.27,9989918.0
2025-05-06,103.89,105.98,103.48,104.71,9293103.0
2025-05-07,104.99,105.29,104.07,104.61,6770011.0
2025-05-08,105.34,107.39,105.34,106.07,8569992.0
2025-05-09,107.14,107.75,106.38,107.31,5304242.0
2025-05-12,110.29,110.44,108.32,109.16,8109411.0
2025-05-13,109.32,110.51,109.02,109.46,7796659.0
2025-05-14,108.86,108.86,107.93,108.48,7433200.0
2025-05-15,106.49,108.65,105.97,108.58,7423971.0
2025-05-16,108.65,108.89,107.45,108.19,7798804.0
2025-05-19,107.57,107.57,105.72,106.47,9859860.0
2025-05-20,106.39,106.72,104.77,104.95,7654250.0
2025-05-21,104.53,104.97,103.65,103.66,7253691.0
2025-05-22,103.06,103.47,101.89,102.97,7402916.0
2025-05-23,102.59,103.47,102.07,103.03,6245021.0
2025-05-27,103.49,103.86,102.95,103.52,7089326.0
2025-05-28,104.29,104.43,101.79,102.11,8710600.0
2025-05-29,102.28,102.85,101.75,102.69,7167476.0
2025-05-30,102.16,102.39,101.18,102.3,10472154.0
2025-06-02,103.75,103.85,102.22,103.05,10067957.0
2025-06-03,102.9,104.66,102.21,103.8,10873085.0
2025-06-04,103.92,104.92,102.3,102.3,9392796.0
2025-06-05,102.98,103.05,101.73,101.83,8702872.0
2025-06-06,102.76,104.5,102.67,104.27,9702078.0
2025-06-09,104.33,105.85,103.83,104.97,9612762.0
2025-06-10,106.08,107.65,105.92,107.22,10079420.0
2025-06-11,107.76,109.39,106.46,109.31,13866153.0
2025-06-12,108.92,110.19,108.22,109.73,9536982.0
2025-06-13,112.35,112.53,110.68,112.12,18615395.0
2025-06-16,111.82,113.16,111.13,112.48,14161344.0
2025-06-17,113.95,114.93,113.11,114.0,11280306.0
2025-06-18,114.61,115.24,112.94,113.19,10341361.0
2025-06-20,113.45,115.04,113.18,114.7,14112280.0
2025-06-23,116.7,116.95,111.16,111.74,16216741.0
2025-06-24,109.25,110.94,107.91,108.34,14139055.0
2025-06-25,108.11,109.24,107.7,108.37,8885538.0
2025-06-26,108.94,110.44,108.55,109.99,9953479.0
2025-06-27,109.94,110.1,108.37,109.38,8725366.0
2025-06-30,108.64,108.84,107.72,107.8,9304416.0
2025-07-01,108.13,109.64,107.15,109.24,8856819.0
2025-07-02,110.0,111.36,108.82,111.05,6928859.0
2025-07-03,110.86,112.47,110.61,112.2,5401730.0
2025-07-07,111.54,112.05,110.22,111.11,7379276.0
2025-07-08,110.89,114.46,110.85,114.19,10561525.0
2025-07-09,113.92,114.27,113.27,113.8,6133153.0
2025-07-10,113.71,115.27,113.07,114.93,8055842.0
2025-07-11,114.85,115.76,114.5,115.43,6592170.0
2025-07-14,115.23,115.23,113.22,113.92,6815766.0
2025-07-15,113.66,114.06,112.59,112.91,5695477.0
2025-07-16,112.88,113.5,112.1,112.23,5559899.0
2025-07-17,111.49,112.23,111.09,111.66,7053428.0
2025-07-18,111.11,111.73,107.34,107.77,20840220.0
2025-07-21,107.6,108.77,107.44,108.05,9780612.0
2025-07-22,107.98,109.44,107.61,108.54,7911155.0
2025-07-23,108.93,110.0,108.85,109.93,7285223.0
2025-07-24,109.66,110.95,109.12,110.79,7231805.0
2025-07-25,110.73,110.98,109.7,110.4,5867884.0
2025-07-28,111.0,112.11,110.84,111.44,6424208.0
2025-07-29,111.9,113.0,111.41,112.88,9732048.0
2025-07-30,112.41,112.61,111.26,111.9,7094290.0
2025-07-31,110.36,112.5,110.36,111.64,8727946.0
2025-08-01,112.0,112.54,108.86,109.64,11612095.0
2025-08-04,109.22,109.92,107.08,107.37,10479086.0
2025-08-05,107.22,107.82,106.07,107.24,10794944.0
2025-08-06,108.31,109.05,106.37,106.51,8695513.0
2025-08-07,107.14,108.06,105.89,105.95,8310560.0
2025-08-08,106.5,107.51,105.95,106.8,8339318.0
2025-08-11,107.11,107.54,105.52,105.83,7601721.0
2025-08-12,106.34,107.28,105.78,106.13,7023367.0
2025-08-13,106.0,107.6,105.74,107.6,8274416.0
2025-08-14,107.55,107.59,106.44,107.38,7181489.0
2025-08-15,106.19,107.56,105.95,106.49,11420292.0
2025-08-18,106.1,107.23,105.67,106.72,6187517.0
2025-08-19,106.2,107.46,106.15,107.42,8589633.0
2025-08-20,107.88,109.33,107.68,108.53,10120501.0
2025-08-21,108.42,109.57,107.96,109.23,6780027.0
2025-08-22,109.6,111.41,109.6,111.28,7194875.0
2025-08-25,110.9,111.92,110.54,111.74,4869001.0
2025-08-26,111.37,111.81,110.35,111.49,5671658.0
2025-08-27,111.42,112.98,111.42,112.75,6391950.0
2025-08-28,112.83,113.65,112.07,113.35,6699571.0
2025-08-29,113.72,114.79,113.58,114.29,7027817.0
2025-09-02,114.18,115.24,113.33,114.69,6746582.0
2025-09-03,113.97,114.43,111.46,111.91,7944411.0
2025-09-04,112.11,113.13,111.38,112.4,5190889.0
2025-09-05,111.6,111.78,109.02,109.23,9800490.0
2025-09-08,109.73,110.05,108.35,109.85,7763300.0
2025-09-09,110.53,112.51,110.52,110.65,8549856.0
2025-09-10,111.16,112.56,110.84,112.5,7645261.0
2025-09-11,111.4,112.77,110.87,112.14,5901781.0
2025-09-12,112.86,113.22,111.87,112.16,5204059.0
2025-09-15,112.18,112.46,111.31,112.35,7088792.0
2025-09-16,112.96,115.32,112.77,114.68,9813067.0
2025-09-17,114.53,115.49,114.05,115.29,6127665.0
2025-09-18,115.17,115.35,113.4,113.93,7235909.0
2025-09-19,113.9,113.98,112.64,112.82,12558616.0
2025-09-22,112.45,112.8,111.56,112.02,8585029.0
2025-09-23,112.72,114.75,112.47,113.95,15489516.0
2025-09-24,114.57,115.76,114.47,114.56,6492655.0
2025-09-25,114.64,115.9,114.41,115.59,7109816.0
2025-09-26,115.96,118.36,115.92,117.22,10339688.0
2025-09-29,116.06,116.5,113.66,114.22,9596214.0
2025-09-30,113.35,113.49,111.93,112.75,9508401.0
2025-10-01,112.56,113.02,111.29,111.99,8630017.0
2025-10-02,111.97,113.09,111.02,111.29,7830533.0
2025-10-03,111.9,113.75,111.9,113.26,6961747.0
2025-10-06,113.29,114.77,113.18,114.2,5597050.0
2025-10-07,114.07,114.51,111.74,114.26,6426464.0
2025-10-08,114.38,115.01,113.41,114.02,6151614.0
2025-10-09,114.43,115.51,112.73,112.91,6463129.0
2025-10-10,112.26,112.62,110.71,110.73,7602349.0
2025-10-13,111.54,112.3,111.31,112.24,5549511.0
2025-10-14,110.76,112.97,110.71,112.29,5167190.0
2025-10-15,112.8,113.57,110.97,111.61,5495629.0
2025-10-16,111.88,112.19,110.38,110.64,6507909.0
2025-10-17,111.63,112.91,111.18,112.24,6087834.0
2025-10-20,112.0,113.15,111.98,112.7,4591264.0
2025-10-21,112.89,113.37,111.99,112.71,4557834.0
2025-10-22,113.45,115.18,113.08,114.71,6928443.0
2025-10-23,116.63,116.85,115.36,115.98,8688059.0
2025-10-24,116.35,116.47,115.18,115.39,4988896.0
2025-10-27,115.7,115.99,115.1,115.94,4897156.0
2025-10-28,115.49,116.18,114.99,115.03,4532659.0
2025-10-29,114.92,117.05,114.81,116.45,5975097.0
2025-10-30,116.43,116.52,114.53,114.69,8401669.0
2025-10-31,113.98,115.23,112.62,114.36,10454061.0
2025-11-03,114.5,114.99,113.64,113.76,6331695.0
2025-11-04,113.38,114.36,112.51,114.14,5420948.0
2025-11-05,114.09,115.18,113.67,113.68,5036563.0
2025-11-06,113.64,114.94,113.64,114.5,6655871.0
2025-11-07,115.21,117.51,114.9,117.22,7962746.0
2025-11-10,117.44,118.45,115.45,118.22,6723631.0
2025-11-11,118.83,120.81,118.83,119.78,9437003.0
2025-11-12,119.24,119.28,117.79,118.12,7198620.0
2025-11-13,118.63,119.76,118.28,118.79,8683693.0
2025-11-14,118.45,119.48,116.65,119.29,7538994.0
2025-11-17,118.97,119.5,117.11,117.68,7229201.0
2025-11-18,117.26,119.48,116.48,119.03,7538383.0
2025-11-19,116.85,118.18,115.93,117.35,7663746.0
2025-11-20,117.98,119.01,116.74,117.02,7109604.0
2025-11-21,116.99,117.38,115.65,117.08,7490470.0
2025-11-24,117.2,117.2,114.74,115.97,6735017.0
2025-11-25,115.18,115.9,114.19,114.51,6942049.0
2025-11-26,114.41,115.74,114.31,114.77,5949353.0
2025-11-28,114.95,118.74,114.82,115.92,3644161.0
2025-12-01,116.1,117.41,116.1,116.63,6511441.0
2025-12-02,116.44,116.6,114.69,115.38,8036202.0
2025-12-03,115.95,117.98,115.87,117.8,6822276.0
2025-12-04,117.5,118.34,116.66,117.14,6885145.0
2025-12-05,116.75,118.78,116.41,116.54,6090030.0
2025-12-08,115.83,117.0,115.04,115.98,6971612.0
2025-12-09,116.9,120.47,116.89,118.25,15481053.0
