date,open,high,low,close,volume
2025-02-26,154.9,155.18,151.17,151.5,1186043.0
2025-02-27,151.56,154.33,151.35,153.71,690055.0
2025-02-28,154.17,156.56,153.94,156.37,1257364.0
2025-03-03,157.52,158.27,156.14,156.93,986906.0
2025-03-04,158.25,161.28,157.63,158.41,1946275.0
2025-03-05,158.4,160.37,157.56,159.37,1160141.0
2025-03-06,159.07,160.56,157.84,159.26,973415.0
2025-03-07,159.55,163.3,159.54,162.53,2007233.0
2025-03-10,161.31,162.44,156.73,158.09,1515995.0
2025-03-11,158.4,159.0,155.95,156.7,1136749.0
2025-03-12,155.73,156.7,152.66,154.4,617350.0
2025-03-13,154.36,155.77,153.35,153.42,588876.0
2025-03-14,153.42,156.3,152.76,155.05,544957.0
2025-03-17,154.34,157.32,154.24,157.13,526214.0
2025-03-18,156.71,157.94,156.16,157.3,520994.0
2025-03-19,157.39,158.36,156.52,157.51,655505.0
2025-03-20,157.82,158.5,156.89,157.89,645365.0
2025-03-21,156.95,158.19,156.08,156.75,1164247.0
2025-03-24,157.07,157.72,155.02,155.82,831587.0
2025-03-25,156.15,156.51,154.75,155.8,842835.0
2025-03-26,156.39,158.93,156.21,158.68,851865.0
2025-03-27,158.99,159.04,156.34,157.65,1197897.0
2025-03-28,157.61,158.1,155.27,155.76,682614.0
2025-03-31,154.18,158.14,153.61,157.36,1810381.0
2025-04-01,157.54,158.99,156.71,158.92,635277.0
2025-04-02,158.54,159.0,157.33,158.23,726969.0
2025-04-03,158.19,161.81,157.89,161.45,1405222.0
2025-04-04,157.21,159.32,147.29,147.83,2364535.0
2025-04-07,144.64,147.75,141.0,144.93,2482465.0
2025-04-08,148.44,148.58,140.07,141.38,2027956.0
2025-04-09,140.3,147.63,138.72,145.45,2332977.0
2025-04-10,143.96,147.13,141.47,145.5,2554168.0
2025-04-11,145.34,145.97,142.46,145.0,1589843.0
2025-04-14,147.0,147.0,144.52,146.0,1877124.0
2025-04-15,146.7,147.09,144.29,144.69,1342710.0
2025-04-16,145.0,145.47,141.79,142.57,835737.0
2025-04-17,142.73,144.9,141.88,143.31,836161.0
2025-04-21,143.14,143.14,139.03,140.51,756459.0
2025-04-22,142.03,145.12,141.3,145.05,688319.0
2025-04-23,145.55,148.37,145.28,146.16,882627.0
2025-04-24,146.41,147.84,144.8,147.58,856262.0
2025-04-25,147.36,148.8,146.32,147.3,688915.0
2025-04-28,147.31,148.07,146.42,147.75,1064429.0
2025-04-29,146.6,148.03,145.37,147.69,1034443.0
2025-04-30,147.49,151.56,144.88,150.44,1530377.0
2025-05-01,149.07,149.46,147.08,148.6,1095800.0
2025-05-02,149.44,150.51,147.43,149.14,868833.0
2025-05-05,149.51,149.57,146.39,146.58,1168941.0
2025-05-06,146.39,148.47,145.55,148.28,1118019.0
2025-05-07,148.15,150.77,147.74,149.48,553488.0
2025-05-08,149.72,149.88,147.76,147.98,534200.0
2025-05-09,148.26,148.97,146.49,147.13,427076.0
2025-05-12,147.35,148.31,146.07,146.8,555952.0
2025-05-13,147.0,147.01,144.81,145.72,666377.0
2025-05-14,145.7,145.97,144.81,145.16,533152.0
2025-05-15,145.57,147.55,145.22,147.05,654299.0
2025-05-16,147.9,148.07,146.29,148.07,673683.0
2025-05-19,147.71,149.84,147.65,149.65,901694.0
2025-05-20,149.0,150.03,148.64,149.03,1091267.0
2025-05-21,147.91,148.93,145.34,146.43,972892.0
2025-05-22,145.49,146.24,144.51,145.5,771959.0
2025-05-23,145.22,145.9,144.66,145.45,426981.0
2025-05-27,145.29,145.55,142.76,144.09,1165699.0
2025-05-28,144.45,144.97,142.84,143.15,663297.0
2025-05-29,143.2,144.89,142.62,144.04,634706.0
2025-05-30,144.36,144.48,143.09,143.94,1106793.0
2025-06-02,142.9,144.89,142.06,144.63,540677.0
2025-06-03,143.98,144.59,141.43,143.97,1259547.0
2025-06-04,146.0,146.0,142.81,144.01,1034375.0
2025-06-05,144.13,144.18,142.25,142.88,500534.0
2025-06-06,142.96,145.03,142.73,144.83,619031.0
2025-06-09,144.16,144.64,142.41,143.14,678628.0
2025-06-10,145.15,145.47,142.95,143.92,969376.0
2025-06-11,143.92,144.59,142.95,143.41,624171.0
2025-06-12,143.21,143.97,142.46,143.97,407466.0
2025-06-13,143.57,145.43,142.21,144.0,510145.0
2025-06-16,144.0,144.88,141.52,141.94,536064.0
2025-06-17,141.3,142.15,139.28,139.99,823357.0
2025-06-18,140.13,140.74,137.97,138.36,655219.0
2025-06-20,138.76,139.76,138.55,139.06,1249104.0
2025-06-23,140.07,141.5,138.58,141.39,852598.0
2025-06-24,141.63,143.08,140.6,142.7,690697.0
2025-06-25,144.96,149.29,144.54,147.18,1779563.0
2025-06-26,146.9,149.01,145.64,147.05,1933441.0
2025-06-27,147.04,148.85,146.88,148.41,1163390.0
2025-06-30,147.86,148.41,146.29,148.18,1396197.0
2025-07-01,148.28,150.8,148.1,150.37,770666.0
2025-07-02,149.71,151.16,148.86,150.18,1229851.0
2025-07-03,150.07,150.18,148.73,150.0,579215.0
2025-07-07,150.33,150.97,149.33,150.36,812072.0
2025-07-08,149.49,150.74,148.37,150.53,582894.0
2025-07-09,150.47,151.18,149.97,150.85,697194.0
2025-07-10,151.05,153.22,150.58,152.35,512501.0
