date,open,high,low,close,volume
2025-02-26,106.8,107.58,103.94,104.92,644310.0
2025-02-27,104.07,105.24,103.89,104.05,584973.0
2025-02-28,104.81,105.56,102.42,104.32,667812.0
2025-03-03,105.0,106.93,104.99,105.38,952453.0
2025-03-04,105.48,105.7,103.65,103.99,604788.0
2025-03-05,103.85,105.72,103.21,104.75,591627.0
2025-03-06,104.32,105.84,103.88,105.32,540372.0
2025-03-07,104.57,108.58,104.35,107.99,974345.0
2025-03-10,107.69,111.95,107.39,110.65,2152474.0
2025-03-11,110.01,110.17,107.03,107.34,1083491.0
2025-03-12,106.4,106.52,103.43,104.03,942221.0
2025-03-13,104.43,107.74,104.1,107.57,1048848.0
2025-03-14,107.12,110.32,106.4,109.97,1142234.0
2025-03-17,109.95,112.94,109.05,111.79,1127343.0
2025-03-18,111.66,113.94,111.34,112.88,780822.0
2025-03-19,112.47,113.91,111.69,112.91,897925.0
2025-03-20,112.65,112.84,111.63,111.78,728909.0
2025-03-21,111.0,111.67,109.84,110.73,1050338.0
2025-03-24,110.93,112.28,110.68,111.24,490796.0
2025-03-25,111.58,112.31,109.33,110.38,558691.0
2025-03-26,110.49,112.0,109.86,110.64,587667.0
2025-03-27,110.77,112.56,110.44,112.15,489363.0
2025-03-28,112.08,113.08,111.92,112.26,499853.0
2025-03-31,111.37,113.64,111.37,113.18,486133.0
2025-04-01,112.05,113.32,111.76,112.37,506475.0
2025-04-02,111.86,112.97,110.85,112.5,548109.0
2025-04-03,111.83,114.44,111.41,112.66,1905018.0
2025-04-04,110.61,113.53,107.27,107.34,2279429.0
2025-04-07,105.36,108.51,101.77,104.84,1134612.0
2025-04-08,106.53,107.0,101.18,102.79,925827.0
2025-04-09,100.69,104.68,98.91,103.44,3677248.0
2025-04-10,103.58,103.58,99.69,102.26,1812175.0
2025-04-11,102.65,102.94,99.0,102.35,1227563.0
2025-04-14,102.79,103.34,100.97,101.97,1093988.0
2025-04-15,102.13,102.14,97.19,97.27,1322517.0
2025-04-16,97.83,98.71,96.58,96.94,852540.0
2025-04-17,97.0,98.42,96.82,97.92,2202031.0
2025-04-21,97.5,97.75,93.1,96.17,1297931.0
2025-04-22,96.95,97.65,95.84,97.44,682070.0
2025-04-23,98.14,101.0,98.14,99.45,843261.0
2025-04-24,99.89,101.55,99.15,101.5,1117297.0
2025-04-25,101.43,102.63,100.38,101.51,875331.0
2025-04-28,101.69,102.18,100.88,101.76,703513.0
2025-04-29,101.63,103.28,101.1,102.79,431201.0
2025-04-30,102.73,103.2,101.25,103.05,482711.0
2025-05-01,102.66,103.27,100.68,101.82,604668.0
2025-05-02,102.78,103.03,101.07,102.38,1984734.0
2025-05-05,99.59,99.82,89.92,90.48,4852417.0
2025-05-06,90.48,92.91,90.09,92.27,2710191.0
2025-05-07,92.85,94.45,92.34,94.13,1440899.0
2025-05-08,94.38,95.96,93.58,95.11,1674734.0
2025-05-09,95.08,96.58,94.36,95.21,2183724.0
2025-05-12,96.64,99.88,96.64,98.22,1953120.0
2025-05-13,97.99,98.24,96.36,97.49,1418118.0
2025-05-14,96.88,97.51,95.0,95.33,2391955.0
2025-05-15,95.59,96.87,95.14,96.73,1672405.0
2025-05-16,97.1,97.56,96.36,96.95,1338307.0
2025-05-19,95.96,96.18,94.41,95.77,1267996.0
2025-05-20,95.5,96.27,94.92,95.35,1481701.0
2025-05-21,94.68,95.12,92.49,92.74,2873416.0
2025-05-22,92.16,93.05,91.0,91.67,1118780.0
2025-05-23,90.82,94.0,90.2,92.64,1814576.0
2025-05-27,93.6,94.64,93.34,94.21,2798111.0
2025-05-28,94.05,94.5,92.09,92.29,691344.0
2025-05-29,92.37,93.34,91.72,93.34,885816.0
2025-05-30,92.94,93.04,91.44,92.17,1054230.0
2025-06-02,91.54,92.03,90.6,91.11,857003.0
2025-06-03,90.53,92.4,89.24,91.85,731092.0
2025-06-04,92.01,92.27,91.27,91.46,798291.0
2025-06-05,91.79,92.7,91.4,91.92,623462.0
2025-06-06,92.58,92.98,91.96,92.38,495358.0
2025-06-09,92.54,94.1,91.62,92.83,1071345.0
2025-06-10,93.44,94.95,92.71,94.92,641099.0
2025-06-11,95.0,95.35,93.84,94.24,664330.0
2025-06-12,94.01,94.31,92.96,93.26,566730.0
2025-06-13,92.25,93.3,91.13,91.28,672634.0
2025-06-16,91.42,92.37,90.36,92.16,1320263.0
2025-06-17,91.23,91.99,90.09,90.21,831717.0
2025-06-18,90.26,91.1,89.66,90.55,1050172.0
2025-06-20,90.94,91.49,90.55,91.22,1125668.0
2025-06-23,90.79,91.66,89.85,91.5,912176.0
2025-06-24,91.72,92.65,90.91,92.34,1029679.0
2025-06-25,91.88,92.99,91.75,92.79,1617846.0
2025-06-26,92.67,92.83,90.61,91.74,2005565.0
2025-06-27,91.79,92.64,90.8,91.46,3843220.0
2025-06-30,91.32,91.61,90.6,91.21,582382.0
2025-07-01,90.87,94.78,90.76,94.06,1151128.0
2025-07-02,94.18,94.46,92.96,93.5,942912.0
2025-07-03,93.55,94.05,93.24,93.67,486699.0
2025-07-07,93.31,93.76,92.13,92.57,1296268.0
2025-07-08,92.34,94.13,92.23,93.47,805205.0
2025-07-09,93.56,95.38,92.7,95.2,1875018.0
2025-07-10,94.74,96.92,93.95,95.15,1440325.0
2025-07-11,94.21,94.61,93.03,93.79,905980.0
2025-07-14,94.14,94.82,93.15,93.86,1215901.0
2025-07-15,95.95,95.95,93.25,94.03,1246623.0
2025-07-16,94.61,94.86,93.15,94.22,743649.0
2025-07-17,93.6,95.01,92.97,94.9,1554614.0
2025-07-18,95.39,95.6,93.13,93.19,747823.0
2025-07-21,93.32,94.57,92.59,92.59,557528.0
2025-07-22,92.95,96.79,92.57,96.52,1123579.0
2025-07-23,97.17,97.92,95.87,97.33,1148802.0
2025-07-24,97.25,97.77,96.78,96.87,560521.0
2025-07-25,96.78,97.76,96.42,97.55,571007.0
2025-07-28,96.91,97.16,95.74,95.98,653539.0
2025-07-29,95.63,96.39,94.79,94.95,779156.0
2025-07-30,94.7,94.98,92.81,93.32,992394.0
2025-07-31,92.06,93.2,91.56,91.65,975641.0
2025-08-01,91.52,91.79,89.32,90.62,1267659.0
2025-08-04,90.8,92.66,90.11,92.4,1141228.0
2025-08-05,92.73,93.04,91.56,92.05,871985.0
2025-08-06,91.81,92.41,90.67,91.15,1007567.0
2025-08-07,95.89,101.93,95.0,98.43,2517226.0
2025-08-08,98.98,99.38,96.66,99.26,1307562.0
2025-08-11,99.54,100.57,98.77,100.02,1010927.0
2025-08-12,100.1,102.27,99.56,101.82,1066400.0
2025-08-13,102.16,103.57,101.75,103.22,608704.0
2025-08-14,102.52,102.65,101.55,102.12,870346.0
2025-08-15,102.48,103.2,101.72,102.75,431198.0
2025-08-18,102.84,103.61,102.31,102.56,628377.0
2025-08-19,102.04,104.85,101.79,104.31,652521.0
2025-08-20,104.54,106.67,104.35,105.71,970255.0
2025-08-21,105.09,105.47,104.13,104.42,634490.0
2025-08-22,105.25,107.77,104.85,107.71,556987.0
2025-08-25,108.0,108.23,106.63,107.32,681033.0
2025-08-26,107.01,108.29,106.75,107.54,792652.0
2025-08-27,107.17,107.85,106.25,106.79,356184.0
2025-08-28,106.34,106.59,104.19,105.06,536197.0
2025-08-29,105.19,106.16,105.04,106.1,237866.0
2025-09-02,105.72,106.11,104.56,105.01,456492.0
2025-09-03,104.38,105.08,103.72,105.04,504519.0
2025-09-04,104.99,105.34,104.09,104.76,449601.0
2025-09-05,104.77,106.2,104.49,105.73,522519.0
2025-09-08,105.4,105.5,103.28,104.71,931833.0
2025-09-09,104.01,104.76,103.69,103.85,621115.0
2025-09-10,103.21,104.07,102.16,102.3,877602.0
2025-09-11,102.31,104.49,101.95,104.26,572591.0
2025-09-12,103.67,104.1,102.9,103.08,364856.0
2025-09-15,103.16,103.5,100.77,100.96,459894.0
2025-09-16,100.25,100.69,98.67,99.12,921902.0
2025-09-17,99.45,101.65,99.14,99.92,750916.0
2025-09-18,100.74,101.3,98.45,100.21,682638.0
2025-09-19,101.15,101.45,99.71,100.09,998001.0
2025-09-22,99.4,102.1,99.01,101.74,713290.0
2025-09-23,101.66,103.6,99.86,100.29,792600.0
2025-09-24,99.72,100.3,98.75,98.98,754969.0
2025-09-25,98.06,98.38,96.21,96.97,498790.0
2025-09-26,97.31,98.52,97.0,98.24,376262.0
2025-09-29,98.06,98.52,96.6,98.28,408710.0
2025-09-30,97.95,98.67,97.52,98.5,545152.0
2025-10-01,98.83,99.33,96.05,98.89,523678.0
2025-10-02,98.24,99.32,97.89,99.17,267027.0
2025-10-03,99.18,101.11,99.13,100.78,355599.0
2025-10-06,101.03,101.31,98.78,98.83,390671.0
2025-10-07,99.43,99.86,98.56,99.06,353482.0
2025-10-08,98.66,98.66,97.53,98.36,521177.0
2025-10-09,98.68,98.88,97.05,97.37,378521.0
2025-10-10,97.59,97.65,94.64,94.71,685911.0
2025-10-13,94.91,96.33,94.01,95.09,904523.0
2025-10-14,94.61,98.74,94.61,98.37,682756.0
2025-10-15,97.98,100.89,97.98,99.38,1356661.0
2025-10-16,99.52,100.56,99.23,99.92,434830.0
2025-10-17,99.82,102.1,99.06,101.92,492127.0
2025-10-20,102.33,103.78,102.19,102.74,871110.0
2025-10-21,102.81,103.12,102.13,102.69,311645.0
2025-10-22,103.49,106.88,103.26,103.98,1314303.0
2025-10-23,103.17,103.67,101.8,103.16,486919.0
2025-10-24,103.71,104.15,102.43,103.03,584872.0
2025-10-27,103.15,103.51,102.53,103.12,375319.0
2025-10-28,103.15,103.15,100.95,101.14,460707.0
2025-10-29,100.67,101.02,99.14,99.71,401649.0
2025-10-30,99.17,99.99,98.74,99.56,701140.0
2025-10-31,98.65,101.87,98.0,100.56,1150580.0
2025-11-03,99.9,100.54,97.88,99.88,950858.0
2025-11-04,100.01,103.7,99.45,103.18,2227396.0
2025-11-05,90.66,93.94,85.84,87.55,5886820.0
2025-11-06,86.07,88.92,85.33,88.51,2674278.0
2025-11-07,89.0,90.16,87.42,88.5,1285556.0
2025-11-10,87.96,88.95,86.51,88.73,1818041.0
2025-11-11,89.12,89.75,87.43,88.5,1070666.0
2025-11-12,88.99,90.17,88.24,90.03,876167.0
2025-11-13,89.49,91.08,89.49,90.57,971886.0
2025-11-14,90.91,91.28,89.16,89.91,1255726.0
2025-11-17,89.79,90.34,88.58,88.64,1450731.0
2025-11-18,88.89,90.25,88.49,89.08,1122915.0
2025-11-19,89.18,90.13,88.5,89.45,1099121.0
2025-11-20,89.41,90.51,88.9,89.07,1031666.0
2025-11-21,89.48,92.99,89.36,92.18,1520869.0
2025-11-24,93.18,94.0,92.53,93.52,988632.0
2025-11-25,94.11,97.18,94.11,97.07,920091.0
2025-11-26,96.57,97.77,96.17,97.55,945125.0
2025-11-28,97.34,98.34,97.3,97.52,471892.0
2025-12-01,97.06,97.79,94.62,94.76,1301427.0
2025-12-02,95.85,96.06,93.9,94.14,778964.0
2025-12-03,94.4,95.26,92.87,93.1,1103656.0
2025-12-04,93.0,93.25,92.13,93.16,1167361.0
2025-12-05,93.51,94.76,93.23,94.28,1291846.0
2025-12-08,93.97,94.31,91.46,92.75,1801751.0
2025-12-09,93.05,93.85,92.24,92.27,997427.0
2025-12-10,92.18,93.47,91.55,93.09,1297624.0
2025-12-11,93.0,93.85,91.45,92.45,1973650.0
2025-12-12,92.6,93.16,90.57,91.59,1491349.0
2025-12-15,91.82,93.09,91.05,92.43,1428111.0
2025-12-16,92.01,92.27,90.45,90.91,1097736.0
2025-12-17,90.55,92.74,90.51,91.56,1142469.0
