date,open,high,low,close,volume
2025-02-26,168.21,169.0,164.88,164.99,1570714.0
2025-02-27,164.6,167.45,164.5,164.98,1418155.0
2025-02-28,165.89,167.62,163.89,167.24,1366994.0
2025-03-03,166.25,170.6,166.08,170.53,1425437.0
2025-03-04,171.39,174.8,169.18,169.9,1743460.0
2025-03-05,169.43,172.06,165.22,167.0,1733781.0
2025-03-06,165.93,167.73,165.28,167.25,1702414.0
2025-03-07,166.86,170.93,166.76,170.37,1250524.0
2025-03-10,169.65,177.0,169.64,171.8,1539112.0
2025-03-11,170.62,171.82,164.14,164.39,1708442.0
2025-03-12,163.24,163.99,160.52,161.68,1375996.0
2025-03-13,160.65,161.59,159.57,160.06,1176540.0
2025-03-14,159.33,161.43,158.3,161.26,1370270.0
2025-03-17,162.21,165.82,161.78,165.17,870473.0
2025-03-18,165.12,165.42,163.24,164.43,775721.0
2025-03-19,164.03,164.92,162.84,163.75,726857.0
2025-03-20,163.83,164.14,162.25,163.16,509981.0
2025-03-21,162.88,163.04,160.91,163.03,994762.0
2025-03-24,162.27,165.48,161.69,163.17,905610.0
2025-03-25,163.31,164.35,160.25,161.3,796862.0
2025-03-26,161.16,163.47,160.68,162.82,852618.0
2025-03-27,163.25,165.41,161.66,165.02,704790.0
2025-03-28,164.0,165.4,162.82,163.11,794254.0
2025-03-31,163.12,164.9,161.58,164.65,1177719.0
2025-04-01,163.92,165.72,161.39,161.91,1136243.0
2025-04-02,161.52,163.65,160.8,163.5,973648.0
2025-04-03,163.27,166.34,159.26,159.61,1898621.0
2025-04-04,156.0,157.69,151.17,151.73,2018179.0
2025-04-07,147.42,153.39,143.85,149.1,2354848.0
2025-04-08,152.45,153.32,142.39,144.41,1685820.0
2025-04-09,141.16,154.29,139.7,153.55,2862867.0
2025-04-10,152.64,152.64,142.04,147.0,1677010.0
2025-04-11,146.64,149.74,144.8,149.44,1363346.0
2025-04-14,151.46,152.33,147.94,150.83,1769165.0
2025-04-15,151.43,151.46,148.26,149.22,1375808.0
2025-04-16,149.03,150.12,145.8,146.76,1200042.0
2025-04-17,147.23,150.03,146.76,148.67,1567846.0
2025-04-21,148.67,148.67,145.3,146.85,1174060.0
2025-04-22,148.02,150.74,147.81,149.99,1326534.0
2025-04-23,151.94,153.77,150.61,150.91,1066731.0
2025-04-24,150.87,152.58,148.0,152.3,1095316.0
2025-04-25,152.05,153.92,150.5,153.47,2130017.0
2025-04-28,153.35,154.78,152.45,153.57,848667.0
2025-04-29,153.29,156.22,152.25,155.43,840818.0
2025-04-30,155.72,157.2,153.77,156.4,948559.0
2025-05-01,156.55,157.42,152.3,155.65,823368.0
2025-05-02,157.95,159.97,156.68,157.44,1242555.0
2025-05-05,157.2,158.3,155.58,158.06,2278846.0
2025-05-06,159.68,159.68,148.99,149.87,2152990.0
2025-05-07,151.68,156.62,151.0,155.99,2540059.0
2025-05-08,155.48,162.16,155.02,161.69,3047189.0
2025-05-09,161.41,162.44,159.08,159.27,2796727.0
2025-05-12,161.03,164.59,160.68,161.92,1852185.0
2025-05-13,160.72,162.91,160.06,160.41,1509683.0
2025-05-14,160.0,160.65,154.45,154.92,1687260.0
2025-05-15,156.24,160.41,155.82,160.35,2315671.0
2025-05-16,161.36,163.24,160.2,163.04,1157321.0
2025-05-19,161.92,164.18,161.55,163.94,876969.0
2025-05-20,163.34,164.85,163.16,163.65,852188.0
2025-05-21,162.82,164.57,161.3,161.44,1328454.0
2025-05-22,160.26,162.61,159.64,161.97,1472076.0
2025-05-23,160.55,163.06,160.14,162.58,1241146.0
2025-05-27,164.0,166.89,163.83,166.26,1199693.0
2025-05-28,166.16,166.65,164.52,165.4,783509.0
2025-05-29,165.92,167.79,165.11,167.14,1287234.0
2025-05-30,166.92,169.79,165.34,168.63,1707404.0
2025-06-02,167.82,169.48,166.26,169.42,1126657.0
2025-06-03,169.09,172.23,168.64,170.3,1406010.0
2025-06-04,170.75,171.26,168.07,168.59,1327746.0
2025-06-05,169.39,169.87,168.18,168.61,1716053.0
2025-06-06,169.58,171.52,169.37,170.16,649024.0
2025-06-09,168.82,169.5,162.22,164.61,1860598.0
2025-06-10,164.23,167.36,164.23,167.1,1391194.0
2025-06-11,167.26,168.06,164.94,166.33,1300470.0
2025-06-12,166.49,168.83,165.52,168.82,1234011.0
2025-06-13,164.96,167.38,163.51,164.33,1612282.0
2025-06-16,165.83,166.77,163.27,164.38,1150783.0
2025-06-17,163.86,164.33,160.9,161.67,1074449.0
2025-06-18,157.09,158.11,154.54,155.06,2577336.0
2025-06-20,155.57,157.7,155.0,157.17,1319525.0
2025-06-23,156.77,158.46,155.99,157.34,1272091.0
2025-06-24,157.48,158.65,154.26,157.77,2981501.0
2025-06-25,156.88,158.7,155.11,157.23,1581974.0
2025-06-26,157.48,157.62,155.26,155.79,1801683.0
2025-06-27,156.33,157.33,155.4,156.17,1301891.0
2025-06-30,156.16,156.92,155.07,155.95,1447640.0
2025-07-01,154.94,160.95,152.75,159.19,2339088.0
2025-07-02,159.71,160.58,158.63,159.08,1026738.0
2025-07-03,158.05,159.47,157.61,159.18,759913.0
2025-07-07,159.26,160.0,156.78,157.05,1454424.0
2025-07-08,156.76,160.24,156.72,157.8,1665004.0
2025-07-09,158.39,159.56,156.26,158.27,1569334.0
2025-07-10,158.7,161.77,157.06,158.8,1758304.0
2025-07-11,157.32,157.63,154.71,154.96,1223800.0
2025-07-14,155.23,156.7,154.7,155.65,996274.0
2025-07-15,156.26,156.62,152.54,152.86,1988201.0
2025-07-16,153.44,154.01,150.94,151.54,1768493.0
2025-07-17,150.0,152.26,149.41,150.03,1928132.0
2025-07-18,150.0,150.86,147.59,148.6,1657907.0
2025-07-21,149.29,150.11,147.28,147.37,1653033.0
2025-07-22,147.71,151.31,147.25,151.19,3041176.0
2025-07-23,152.51,153.84,151.48,153.45,1704448.0
2025-07-24,153.56,154.04,152.22,152.82,1282092.0
2025-07-25,152.86,153.37,151.23,152.12,2150547.0
2025-07-28,152.27,152.47,150.34,150.75,1245069.0
2025-07-29,150.02,151.04,148.54,151.01,1716898.0
2025-07-30,151.35,152.3,148.62,148.81,1629984.0
2025-07-31,148.0,148.78,145.31,145.79,2674880.0
2025-08-01,146.18,147.79,145.1,147.38,1763665.0
2025-08-04,151.0,152.59,148.76,151.81,3537660.0
2025-08-05,160.05,160.05,144.51,146.12,4399674.0
2025-08-06,146.2,147.3,144.25,146.5,3012911.0
2025-08-07,147.5,149.0,146.9,148.24,1711956.0
2025-08-08,148.35,149.0,146.27,147.35,1122680.0
2025-08-11,147.67,149.81,147.35,149.02,1275674.0
